,comentario,liguagem
0,"YALL READY FOR THIS...?
SUBSCRIBE IF YOU WANT MORE COLLABS WITH JIMIN, KODAK, MUNI, JVKE !",en
1,"Jimin sendo um anjo, tendo uma voz de anjo, cantando uma música chamada anjo: perfeita composição do universo
Jimin, em vc só faltam as asas!",pt
2," Everyone's voice fit and blend so well,thank you and much appreciated to all who was part of this project.️",en
3,A voz deles são perfeitas ,pt
4,"Linda canção sensacional os cantores, jimin cantando lindamente ",pt
5,"A música é incrível ,os raperes são maravilhosos a participação do Jimin é surreal ,mas essa mulher abalou tudo ,que voz que presença ma-ra-vi-lho-sa ",pt
6,"Simplesmente maravilhoso , muito boa essa música ainda mais jimin",pt
7,The vocals are heavenly and rap is so cool. Love this song ️,en
8,"I absolutely love Jimin, but he didn't do it alone. They ALL did an amazing job. Absolutely stunning. I haven't watched a F&F since Paul Walker passed but my son and I went and watched it the day after we listened to this song. We loved the movie and absolutely adore the song. Everyone did an amazing job!!",en
9,"This is more than just a great song, THIS IS A PRICELESS ART ",en
10,it’s like the whole world can see that JIMIN is a full of visual and all rounder... I’m so proud of stanning these talented idol,en
11,You are cool guys! I really liked this song. I will listen to it every day. I am a big fan of Jimin and I really liked his vocals! Thank you for such a wonderful song!,en
12,"Jimin, cara, entenda, você é lindo e maravilhoso demais! ",pt
13,"Love this song and the melody line is sooo good. All slayed but Jimin is gold! His voice is angelic, so beautiful and has such an unique timbre! Truly voice of an angel Loved his harmonization too and their voices blend so crazy well ",en
14,"tô apaixonada nessa música, a voz do Jimin é tão angélical️",pt
15,"ESTA CANCIÓN ES UN TREMENDO TEMAZO. ES QUE LAS VOCALAES, EL RAP Y EL MV SON TAN WOW... ES PERFECTOOOOOOO",en
16,QUE MÚSICA MARAVILHOSA  E A VOZ DO MEU AMOR JIMIN DOCE COMO MEL ,pt
17,"This collaboration is so good, the rappers' part are so catchy. And the vocalists; jimin, jvke & muni long are so talented, their vocal blends beautifully. The piano at the intro is so beautiful and I love when jimin & muni long's part came together <3",en
18,LA VOZ DE TODOS SE COMPLEMENTA PERFECTAMENTE!!,en
19,What a beautiful combination of vocals,en
20,A voz do Jimin é tão incrível!!,pt
21,"Jimin, remember when you said you wanted to have a voice someday that would touch people? It’s happened. Your album FACE  and now this OST are exceptional! Your voice is crystal clear and tonally perfect. It’s a joy to hear you sing.",en
22,Got this on repeat  best song of the year being released for me got all the genre of music artist together,en
23,Let's do everything we can to get this song to #1 in the last tracking week on BB charts.,en
24,I’m so pumped for this song. Jimin’s voice makes me feel like I am in heaven. After repeating the song I’ve come to really vibe to the other artists parts. They all together make a masterpiece. And NLE part is so damn fly,en
25,"I could listen to this song all day long, and vocalists nailed it ",en
