,comentario,liguagem
0,Finneas is underrated as a soloist. He's still the kind of artist that does his own songs and really feels them,en
1,"This is my favorite.  
His sister gets so much more attention but his solo songs are incredible.
(She sings backup on some of his.. so it’s sweet.  I love their relationship.  Their family is inspiring).",en
2,"I’m sitting outside at the recovery home I’m at, smoking a cigarette, and listening to this. I’m finally sober. No more heroin. No more sleepless nights. No more battling to stay alive everyday. It’s over. I’m at peace. I missed this feeling so much",en
3,"It's 23-05-2023 and it's the first time I am hearing this song, A few minutes before coming across this song, I was talking to myself in the mirror of how I needed to grow past my pain and then this song playedI think it's the universe sending me a confirmation...... thank you  this song truly resonates with me",en
4,His lyrics give me such comfort and healing during hard times. Keep going Finneas! You're amazing,en
5,Such a touching song.  I cry every time I listen to it.  I'll be 60 next year and I'm so aware of how time is passing right before my eyes.  First it was watching my children grow and now my grandchildren are almost grown.  I'm reminded of all the time I wasted on things that were not important in the end and I'm reminded to make the most of the time I have left with my family that means so very much to me.  One of my favorite songs.,en
6,"Can we take a moment and praise the fact that this was all shot in ONE LONG TAKE?! ️all of his videos are but are, but this one, at the end with the family shot… WOW! Billie, Maggie and Patrick snuck in there perfectly!",en
7,"How do you know
If you've done everything right?
Is it the love you have at hand
Or the cash you kiss at night?",en
8,The song hits hard on my heart it's so beautiful and it's so right in every word..,en
9,"He's a singer and a story teller, i love all his lyrics",en
10,"He is a real artist, he expresses his feelings and emotions into a song, and everyone can listen and feel it... Good job Finneas",en
11,"Listening to this while I’m on a 500km roadtrip...driving alone at 2am...no other car on the road...just me listening,feeling every word of the lyrics...best cry in a long time... Finneas is really a great artist...",en
12,"I'm sobbing right now. I wasn't expecting the whole family to be together at the end. I'm crying so much. The meaning of this song just speaks so much to my heart, like, I really feel that. This song has a especial place in my heart, especially after this video. You gave me a new philosophy to adjust my life into. Thank you FINNEAS.",en
13,"Why is this not the number 1 song in the US and playing on the radio everyday? Come on, this song is perfection. ",en
14,"""Don't waste the time you have, waiting for time to pass, it's only a lifetime, it's only a while, it's not worth the anger you felst as a child "" this hit hard",en
15,"What a gorgeous song. You have such a soft voice, and I love it! You and Billie are both super talented. Your parents are blessed to have two singers in the family. Well done! This song is really beautiful. God bless you Finneas. Merry Christmas to you and all those you love!",en
16,' For my family ' is the most touching sentence here  and his songs are always masterpiece .,en
17,Absolutely beautiful! You are definitely a genius. “Don’t waste the time you have waiting for time to pass” hit me right in the heart. Thank you.,en
18,"can we just appreciate the fact all his songs have such a deep MEANING? what a legend, thumbs up for Finneas!!!",en
19,"This guy makes suchhhhh deep songs , he's an intellect , a sensationalist , a incredible artist , just how can he know the tons of different feelings we all have inside our chests !?",en
20,"One of my all-time favorite songs this is a beautiful video. The end gets me every time. Thanks for sharing this song with us, Finneas!",en
21,"What a beautiful song, and message.  Such a talent,  you sing what so many of us feel.  Thank you and much success in your future!  I'm 64 and can vouche, don't waste your time.  It's precious on many levels.",en
22,"Finneas is the type of artist that will be around for a long time. No gimmicks, or whispering lyrics, he's the real deal!",en
23,"Finneas, you’re amazing. You and Billie have been inspiring me for years to get over my social anxiety and pursue my own musical talents. Maybe if I’m lucky enough one day, I’ll have the honor of working with you.",en
24,Man this guy deserves a Grammy for his solo work,en
25,"This song. Its probably so meaningful to me at this moment and its a moment that must absolutely be planned by something deeper than this reality. Someone must be watching to have sent this song to me at this moment when the new year has only begun. 

Thank you Finneas, you have given me a breath of hope <3",en
26,Wow!! i really enjoyed this song thanks a lot for your art️,en
27,"Beautiful song, impeccably produced and mixed. Read that Billie and Fineas were home schooled so they could explore their creative sides. You can see that their bond is really strong. A great thing to hope and aim for.",en
28,"I will never not cry to this beautiful, beautiful song. I love your art Finneas and I hope you’ll never stop making these masterpieces ",en
29,"Something so pure and genuine about his music. He's the definition of an ""artist"".",en
30,"Beautiful  song! With a deep meaning! My Dad and Mom are gone to Heaven now.  I am forever  thankful  for the family time I shared with my brother, mom and dad! Enjoy  the  time living your life through  the good and the bad.",en
31,"I always listen to this song on repeat in October. I first heard it off the Optimist album while my grandma was undergoing heart surgery. Unfortunately, it wasn’t successful. Despite it all, this song helped me to fall asleep at night and live my life the best way I can. Cherish your loved ones guys. They won’t always be here.",en
32,Beautiful melody and lyrics!,en
33,"This is my favourite song at the moment, all your songs are so well composed... so much talent! Thank you! ",en
34,"Beautiful. Such depth, thank you for this, such a talented being. So grateful you are sharing your voice and gifts",en
35,Finneas is underrated af…,en
36,Words can't describe how this song makes me feel. It's 02:00am and I'm sifting a pool of jumbled emotions.,en
37,Just discovered him his lyrics are some of the most genuinely beautiful things I have ever heard,en
38,Absolutely love him...glad his sisters success is bringing him forward so he gets the recognition he so rightfully deserves.,en
39,"I so love this, I love my mom so much I can't even express what she's to me and that line in the song just makes me cry everytime. Thank you finneas. I love you and you siblings are making everyone proud.",en
40,Such powerful lyrics and soft beautiful vocals! Your talent is amazing! ,en
41,"He releases absolute gold like this, and he still says he puts Billie's career first. This man is the ULTIMATE human being",en
42,This is beautiful! You are so so underrated and deserve so much more appreciation..!,en
43,"I'm unprepared to let go my loved ones, call them more often 

This is beautiful ️",en
44,"That was amazing. Such a nuanced, lovely voice. What an amazing and loving family unit they all are. This world needs SO MUCH MORE of this. <3",en
45,Fantastic lyrics.  Way to go Finneas️,en
