,comentario,liguagem
0,PEPAS  ¡DISFRÚTENLO! ,pt
1,"É uma combinação perfeita essa música! Timbre que marca, explosão de sentimentos que “martelam” e você fica com ela na mente o dia todo. Amooo! ",pt
2,"SOLO LOS QUE  SABEMOS DISFRUTAR   CUANDO ALGO  ES BUENO,  YO ESCUCHO  DESDE MUSICA  GOTHICA,   CELTA,   CUMBIA,  ROCK Y MILES  DE GENEROS  MAS,  LOS QUE  DISFRUTAMOS  LA MUSICA ES  COMPLETO",en
3,I heard this on American Top 40 for the first time today and I absolutely love it now. I hope it does well on radio and on there. This song should have way more views,en
4,"Lamento por não ter conhecido essa música na época em que foi lançada! Depois que a conheci tocando em uma formatura fiquei vidrado nela, porém não encontrava o seu nome.

É uma combinação perfeita essa música! Timbre que marca, explosão de sentimentos que “martelam” e você fica com ela na mente o dia todo. Amooo! ",pt
5,Não dá pra ficar parado com essa música  Saludos desde Brazil,pt
6,"Essa música é simplesmente perfeita, finalmente consegui encontrar ",pt
7,"Ya te vi, YouTube no te lo recomendó, tú viniste a ver esta joyita #pepas de Farruko ️",pt
8,Linda canção 🇧🇷,pt
9,Farruko is one Reggaton artist who really stands out from others. His tracks are party bangaz!!,en
10,Conheci essa canção agora. Muito linda e bem contagiante. Parabéns  @farruko,pt
11,A song that makes you feel that you are in the World Cup.. as if it expresses our scattered thoughts and miserable feelings ... Big love from algeria 🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿️,en
12,Cadê os brasileiros que gostam desse hit? 🇧🇷,pt
13,"You know a song is good when it breaks the language barrier and becomes a hit even amongst english listeners
Big ups",en
14,Adoro essa música demais.,pt
15,This song never gets old because its forever young ,en
16,1 ano desse hino ️‍,pt
17,ESTA MUSICA E DE MAIS,pt
18,Continuo a adorar esta música!! ,pt
19,Melhor música ,pt
20,Imposible olvidar este tema ,pt
21,WHEN I LISTEN TO THIS SONG I FEEL OLD MORIES,en
22,Música muito top e muito viciante rs um som muito bom pra vc escuta na caixa de som lá no máximo eu descobri essa música assistindo série bem vindo a eden meu bom,pt
23,Os brasileiros gostou tanto da sua música que fizemos uma versão.. só falta os artista pagarem os direitos autorais.️título  Reive e bagaceira ..,pt
24,"I was in the club in Mexico when this song came on  ️

It's so good!",en
25,Essa música tem história ,pt
26,LA RECOMIENDO PARA HOIRLA EN LA NOCHE,pt
27,"Que Lo Que!!! The emotions conveyed in this track are so raw and authentic. It's inspiring to witness artists like Farruko pouring their hearts into their music. As an independent musician myself, I understand the importance of staying true to our artistic vision. Sending love to everyone who supports the latin music community!",en
28,"Great mixture of so many great Latin styles of music, man is a musical genius ",en
29,Sou brasileiro sou muito fã de música internacional,pt
30,"Farruko, aqui no Brasil. Tem um cara o dj guga q fez a versão em forró da sua música. Eles chamam a musica de "" ela é da bagaceira"" pegaram sua música e transformaram no ritmo forro. Alem do refrão pegaram a batida. A tracy aqui no brasil foi procesaada pela Nely furtado por causa de uma musica lovezinho que ela pegou d musica de Nely. Ou seja do brasil pega tudo e transforma.. mas depois é processado, acham ruim ainda....kkkk",pt
31,There's so much energy in this song ️‍,en
32,Amoooo essa música ,pt
33,Essa música fiz sucesso aqui no Brasil 🇧🇷 em 2014,pt
34,"SUCESSO NO BRASIL 🇧🇷🇧🇷🇧🇷
como rave bagaceira",pt
35,Essa é a mais top lançadas recentemente   🇧🇷,pt
