,comentario,liguagem
0,"Obrigado por todos os vossos comentários, se pudessem definir a música com um emoji qual seria? ",pt
1,Fernando Daniel e Agir esta música está espectacular  as vozes combinam tão bem parabéns por mais um êxito,pt
2,A música é muito linda. Um abraço do Brasil 🇧🇷️,pt
3,Estou a me sentir muito bem enquanto escuto esta música... abraços do Brasil,pt
4,Impressionante a consistência que o Fernando tem a apresentar sempre músicas num nível excelente. Também de dois grandes artistas não esperava outra coisa. Parabéns aos dois.,pt
5,"Quando penso que é impossível fazer melhor, lá vem o Fernando Daniel surpreender-me mais uma vez. MELHOR CANTOR DE SEMPRE",pt
6,"Maravilhosa,  parabéns. Sou Brasileira 🇧🇷 e admiro você é muitos cantores portugueses ",pt
7,"És um orgulho Fernando! Está incrível, parabéns. Esta música transmite uma mensagem tão bonita, de acordo com a pandemia que estamos a viver, esta canção dá-nos, pelo menos para mim, uma força especial e muita coragem. Obrigada, adoro-te e mereces este mundo e o outro e outro!<33",pt
8,Sem dúvida que isto é dos melhores singles que já ouvi e que vocês são os melhores de portugal. Isto é só mais uma prova do valor que têm no mundo da música em Portugal. Parabéns e que continue a surpreender,pt
9,"Muito fixe! Felizmente tive a sorte de ver Fernando Daniel ao vivo por duas vezes, mas quero mesmo ver ao vivo Fernando Daniel ft Agir. Os artistas portugueses estão em alta🇵🇹",pt
10,As músicas do Fernando Daniel são fantásticas!!.,pt
11,"Voz magnifica, aliada a bons poemas, grande som e uma humildade e simplicidade deliciosa ️",pt
12,"Olá Fernando Daniel! Eu tenho 12 anos e sinceramente a melhor voz de Portugal és tu! O timbre mais lindo do mundo, a explendorosa voz está incrível! Obrigada por me inspires tanto a viver cada dia na música️.
Ps:O meu sonho é poder cantar contigo um dia... ",pt
13,Eu amo a música! Parabéns desde as Filipinas!,pt
14,"Grande música 
Que dupla se juntou 
Magia pura",pt
15,"Que combinação perfeita!!
As colocações de vozes, as harmonias, tudo está perfeito!",pt
16,Estou super viciada no som  lindo trabalho ,pt
17,Eu nem acredito que eu ia perder esta musica! Os melhores artistas Portugueses a fazer musica juntos #masterpiece,pt
18,"Esta obra de arte, precisa de uma versão acústica!!!",pt
19,Música LINDAAA️ Foi Publicada a 1 dia e já sei a letra quase de cor,pt
20, bora ouvir até decorar essa linda canção  BR,pt
21,"Eu a pensar que ele não podia superar as últimas músicas, do nada vem esta música e mais uma vez FD surprende-nos! ️",pt
22,"Linda, maravilhosa, esta música tem uma excelente mensagem...",pt
23,Esta música é tão linda!! Não me canso de a ouvir ,pt
