,comentario,liguagem
0,Estive três semanas em Portugal e me apaixonei pelas musicas portuguesas. Nunca tinha ouvido musicas de Portugal antes. São lindas!!!! :),pt
1,Tão lindo saber que muitos gostam da música portuguesa 🥹,pt
2,O Fernando foi o primeiro contato que eu tive com a música portuguesa... Que cultura! Tão doce... Estou encantada,pt
3,"Musica tocante, grande cantor, um abraço do Brasil🇧🇷",pt
4,"Sou brasileiro, não conhecia muito sobre os artistas portugueses, porém eu encontrei esta canção, e gostei muito. Meus parabéns! Eu espero que canções como esta toquem com mais frequência nas rádios brasileiras",pt
5,linda música sou brasileira apaixonada pela música portuguesa cada música mais bonita que a outra,pt
6,"Que voz, que música! 
Saudações do Brasil 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷",pt
7,"Amo música portuguesa, em especial o fado ! Abraços ! 🇧🇷️🇵🇹",pt
8,"É um dos artistas portugueses que amo, e que as músicas toca minha alma.🇵🇹🇧🇷",pt
9,"I'm from America and have zero idea what is being spoken, but WOW is this a powerful song! He is so talented!",en
10,"I wish I could understand his songs. I can't help falling in love with his voice, incredible feelings, love from Poland ",en
11,Sou a única que fico arrepiada sempre que ouço o Fernando a cantar ? ,pt
12,Sou brasileira e amei a música portuguesa ,pt
13,"Umas das melhores músicas que já ouvi até agora, Sou do Brasil e amo Portugal! ",pt
14,Que linda música Guerreiro ️,pt
15,Uma das melhores vozes no atual panorama musical português,pt
16,"Tu é totalmente incrível Que voz. 
Que Deus te siga em todos os passosjá sou Fã",pt
17,"Fernando Daniel é fera demais cara, tá louco!!! 🇧🇷🇧🇷",pt
18,Graças a Deus as tuas músicas enchem o meu coração de alegria  um dia gostaria de conhecer te pessoalmente és um ser humano fantástico,pt
19,"Esse vídeo está em Alta no YouTube Br 🇧🇷🇧🇷 tô passada!!! nunca tinha acontecido de um vídeo de um cantor Português ser muito visto pelos Brasileiros! Eu apenas visualizei pq pensava que era um cantor Br e me impressionei com o Fernando Daniel, arrasou ",pt
20,Sou Angolana e Amo Música Portuguesa,pt
21,Continue sempre a cantar a nossa língua 🇵🇹,pt
22,Acredito que daqui a alguns dias ou até anos eu alcance-se o teu nível de melodia ... Fernando Daniel obrigada,pt
23,Adoro essa voz e a tua garra,pt
24,"A voz dele é simplesmente linda, as apresentações dele no The Voice Portugal foram show, ele cantado Adele",pt
25,Sou brasileiro e gosto muito da música portuguesa ,pt
26,Cada música melhor do que a outra,pt
27,"Ele arrasa!!! Como não se apaixonar por esse Bello moço,voz de ourooooooooo",pt
28,Que Cantor  maravilhoso .,pt
29,"Aquele orgulho de ter o português como língua oficial, já estou viciado nessa música. 🇧🇷🇧🇷🇧🇷🇧🇷",pt
30,Música que fica na alma amo esa voz,pt
31,O melhor cantor de Portugal ️,pt
32,"letra

Eu já sei quem sou
E o que fiz",pt
33,"Ótima música, nós brasileiros gostamos mt.",pt
34,É sempre bom ouvir uma boa música logo pela manhã… obrigado por alegrar a minha alma,pt
35,"Orgulho em ver artistas Portugueses a ""conquistar"" o mundo de novo. 🇵🇹 Parabéns e continua sempre cheio de sucessos Fernando Daniel.",pt
36,Essa música sempre será a minha favorita ,pt
37,"Amei  essa  música  
Sou  Brasileiro ",pt
38,"Parabéns Fernando! Muito feliz por seu lançamento. A música é quase tão incrível quanto sua entrega, interpretação e voz! Muito BOMMMM!!!!!! #Brasil",pt
39,O melhor cantor português sem dúvida !!! Esta e a melodia da saudade tão top top top ,pt
40,Sou Angolana e me apaixonei pelas músicas do Fernando Daniel tu cantas com alma ,pt
41,Portugal é um país maravilhoso. Adoro meu Portugal.,pt
42,Mas que som  eu estou tudo arrepiado . Bom trabalho amigo e um forte abraço ,pt
43,Adoro as tuas letras e som  são lindas,pt
44,"Acho o sotaque de Portugal bonito, e com essa letra então... toca na ferida 
Excelente cantor!",pt
45,"Sou Brasileiro, gosto de musica com sotaque de Portugal",pt
46,Sou 🇧🇷 e amoo as músicas de Portugal🇵🇹,pt
47,Sou brasileiro e adoro suas músicas .,pt
48,Tu cantas muito bem continua a cantar ,pt
49,"Sou Brasileiro. Assisti a apresentação as cegas dele no The Voice, hoje. E já senti ele como campeão. Fui pesquisar a respeito dele e descobri essa maravilha. Ganhou a edição! Mais que merecido, uma grande voz. Muito talento nesse menino. Ganhou um novo fã. Parabéns, Fernando. Você vai longe!",pt
50,Não sei como ele consegue cantar tão bem ,pt
51,Ele canta mesmo mesmo muito. Basta ter a oportunidade de compor ou alguém lhe compor um grande hit e chega facilmente aos tops internacionais.,pt
52,Adoro ouvir a cantar,pt
53,Grande cantor...o que é Nacional é Bom,pt
54,Maravilhoso!!! Orgulho desta língua maravilhosa que é a Língua Portuguesa e dos maravilhosos talentos que deste Portugal brotam!!! Felicidades Fernando Daniel,pt
55,"Música tão bela️️
Como todas as do Fernando Daniel.Vídeo maravilhoso",pt
56,"Esta música é linda, não me canso de a ouvir ️",pt
57,"está tao bom! ainda à uns tempos ganhou o the voice, e ja tem um single. ",pt
58,Sou Angolana e amei muito a música,pt
59,Eu adoro esta música,pt
60,Primeira  vez q ouço  sou Brasileira  e ja ouvia  nininho vaz...amando  essas músicas  Portuguesas ,pt
61,Adoro! Parabéns Fernando pelas boas músicas que nos proporcionas! ,pt
62,Acho que é a melhor música portuguesa da atualidade.por isso acho que merecias mais.e pena que em Portugal não valorizem os que vale mesmo a pena.fico a espera de mais como está.tirute o chapéu.,pt
63,"Um hino desses, bicho!
Sucesso Fernando Daniel!
Sua voz e seu talento transcendem! 
Sou Brasileiro e daqui do outro lado do Atlântico posso te ouvir ressoar! Voa! ",pt
64,"ADORO!  I love, love, love this song!!!! I just discovered it this year when I was in Portugal and I'm obsessed. Your voice is amazing Fernando!!!",en
65,Fernando es demais boa voz  fantástico,pt
66,"Eu de tanto gostar desta música, já a dancei na primária. Mts parabéns Fernando ",pt
67,Até da arrepios essa voz,pt
68,Dou uma volta   e cá venho parar...que encanto   !  Que lindeza tamanha!,pt
69,"O mundo da voltas BB, ontem era nos traduzindo do inglês agr os gringos vai traduzir o nosso lindo português  Imagina um feat com Anavitoria ",pt
70,Adoro ouvir este cantor tem grande voz canta sempre con sentimento,pt
71,Esta música marcou muito a minha vida  ouvindo ainda hoje 2021 fiquei fã,pt
72,"És realmente especial Fernando....tanto talento. 🇵🇹
Muito obrigado e um beijinho enorme. Felecidades ",pt
73,QUANDO CHEGA NO BRASIL 🇧🇷 VAIS SER O MAIOR FENÔMENO DE TODOS OS  TEMPOS .,pt
74,"Hello from Poland! Wow, your voice is magic! ",en
75,A voz dele tem qualquer coisa que não sei explicar mas é tão linda. Adoro,pt
76,"Que voz! Sucesso, Fernando 🇧🇷",pt
77,Linda música ♪,pt
78,Eu adoro a vós deste rapaz ️,pt
79,Nao canso de ouvir esta musica..sou caboverdiana e as musicas do Fernando Daniel é o que mais ouço...muito bom.,pt
80,Amo ver te cantar..cantas imenso continua com esse talento,pt
81,ja perdi a conta das vezes q ja ouvi a musica! ,pt
