,comentario,liguagem
0,Perdi a minha mãe à 3 anos e o meu irmão este ano. Ambos por suicídio. Subscrevo esta letra na íntegra. Que dor enorme que eu sinto dentro de mim. Que saudades que tenho deles. Para além de todos os se's e porquês que não me saiem da cabeça. ,pt
1,"Perdi o meu avô á quase dois anos e esta música toca-me profundamente, Fernando Daniel grande artista, ️🇵🇹",pt
2,Canção comovente e verdadeira cantada por quem tem a melhor voz portuguesa da actualidade.Lá em Cima estão mto orgulhosos dele. Um dia encontrar-se-ao de novo,pt
3,Perdi a minha mãe ontem e esta música é tudo o que sinto. Amo te mãezinha para todo o sempre,pt
4,"Coisa linda demais, esse sotaque a leveza do piano e a voz que sai do coração torna essa música perfeita.",pt
5,I don't speak Portuguese but his voice touches me deeply. I can only imagine what the lyrics say. Beautiful voice with clear passion to it ,en
6,"Esta música é única para mim. A 14 meses perdi meu amado filho de 16anos. E as homenagens que os amigos lhe fizeram foi ao som desta música. E o irmão mais velho que canta muito bem, também escolheu esta música para a cantar em sua homenagem. Que todos os que amamos e perdemos ouçam esta música lá do céu.",pt
7,"Pai, espero que onde quer que estejas me consigas ouvir. Amar-te-ei eternamente, se eu pudesse traria-te de volta! és a minha maior saudade! ",pt
8,O amor vale sempre a pena... Independente do que digam,pt
9,Só quem sofre a perda de alguém amado sabe o seguificado desta letra Parabéns grande músico,pt
10,PERDI MINHA AVO A POUCO TEMPO ELA ME CRIO DESDE BEBE OUVO ESTA MUSICA E ME RECORDO DE TUDO ,pt
11,que a tua voz e a letra toque em cada alma e acalma a dor da Saudade. gratidão pelo teu talento.,pt
12,Um dos maiores talentos a cantar em português :),pt
13,"Meu pai partiu no dia 25 de dezembro de 2022, vésperas de meu aniversário... ouço esta música todos os dias. Saudades eternas meu herói, meu guerreiro. Amo-te muito meu pai.",pt
14,Linda música. Saudades meu querido pai.,pt
15,"QUANDO A DOR DA SAUDADE VEM, O QUE RESTA É OLHAR PARA TRÁS E LEMBRAR DO QUE VIVEMOS. QUANTA DOR, QUANTA SAUDADE MÃE, NUNCA JAMAIS ESQUECEREI TEU SORRISO, A TUA VOZ, O TEU CHEIRO, O TEU ROSTO.  TE AMO MINHA ETERNA RAINHA, JÁ FAZ 8 ANOS QUE SINTO FALTA DE TI. É VERDADE MORRO DE SAUDADE !!!!",pt
16,"Fiquei sem o meu pai.. meu amigo, companheiro.. tantas saudade .. Obrigada Fernando ... é exatamente o que sinto",pt
17,"A magia da música é isto... A capacidade de colocar tudo o que sentimos numa letra e numa melodia e transmitir todo o sentimento... Hoje, esta canção passou a fazer ainda mais sentido ️ Obrigada por tudo avó e obrigada Fernando Daniel por criares um espaço onde todos podemos partilhar a nossa dor e o nosso amor por quem perdemos ️",pt
18,A prova de que o Fernando não é apenas um cantor POP. Ele é um artista de verdade ,pt
19,Perdi a minha mãe há 13 anos e morro de saudades todos os dias. Obrigado Fernando Daniel por esta música ,pt
20,"Morro de saudades do meu querido pai, que nos deixou à dois meses e esta música arrasou-me.",pt
21,Um abraço do Brasil 🇵🇹🇧🇷 música muito emocionante adorei️,pt
22,"Esta música é..a lembrança da minha avó paterna. Uma mãe, uma amiga..de quem morro de saudade. Só queria um abraço. Não pude despedir-me.",pt
23,"Choro quando ouço esta música, saudades do meu pai e minha irmã mais nova, não à palavras, grande voz e linda música",pt
24,"Perdi a minha filha à 17 dias, esta música subscrevo na íntegra... Morro de saudade obrigado Fernando Daniel",pt
25,"Esta música ajuda-me a converter a dor da partida dos que tanto amei, ainda amo, em saudade",pt
26,"perdi meu avô dia 25 de novembro de 2022, cada vez que ouço a música eu me lembro dele, e isso dói e dói muito",pt
27,Esta música tem um significado forte para o Fernando porque é dedicada ao avô e eu sempre que ouço esta música relembro muita coisa devido a eu ter perdido os meus dois avôs em menos de um ano ! Muitas saudades ! ,pt
28,Esta música é demais não há maneiras de sentir e explicar a melodia da letra sem deixar de ouvir fica logo um sentimento especial na vida de alguém. A melhor sem dúvidas,pt
29,Musica linda. Perdi minha mãe em 2000 e ainda me faz falta.,pt
30,"Não interessa se foi há dias, semanas, meses ou anos. A minha mãe faleceu há 23 anos e ainda hoje, inesperadamente, sorrateiramente, sou inundada pelo tsunami da saudade. Esta melodia é um bálsamo para a alma.",pt
31,"Umas das canções mais lindas onde a letra diz tudo, descreve bem o significado da palavra Saudade, de quem nos foi tão importante e  querido em vida é verdade morro de saudades de não te ter aqui...Só Deus sabe...não há como não se emocionar. Parabéns Daniel por esta obra de arte.",pt
32,Muito linda mensagem a mãe uma homenagem a mãe bom filho  graças a Deus descansa em paz ,pt
33,É linda esta musica. Não consigo ouvir sem chorar...,pt
34,Esta música é lindíssima!!!! É o sentimento que tenho ( dentro do meu coração) em relação ao meu adorado. Avô e avó!!!) Tanto amor e conhecimento me transmitiram...que saudade!!!!! ️,pt
35,"Perdi o meu querido paizinho em junho de 2021 e todos os dias penso nele. Sinto muito a falta dele, espero um dia estar novamente com ele. Amo-te muito paizinho M.R.P.",pt
36,"Linda ️
O teu avô de certeza que está orgulhoso de ti ️",pt
37,"Sinto muito a falta do meu irmão que partiu a 9 anos. Sei que já foi a muitos anos, ms não a um único mês do ano que não sinto saudades da voz dele, e o sorriso dele. ",pt
38,"Perdi o meu marido á 2 meses, adoro ouvir esta música,pois é aquilo que sinto no meu coração ️",pt
39,Perdi o meu avô á dois anos e espero que ele esteja bem lá no céu junto com meu gato,pt
40,"Amo esta música, obrigado,esta música é toda o sentimento que sinto e sofro pela perca de minha mãe.",pt
41,Apertou-me o coração a cada palavra que cantou...tanta tristeza e tanta saudade para os queridos que jamais estarão entre nós. Música mesmo muito tocante. Que eles descansem em paz.,pt
42,"0 asneiras 
0 violência 
100% talento 
Obrigada Fernando Daniel, por esta musica linda! ️",pt
43,Saudades do meu pai   obrigado pela música  Fernando Daniel,pt
44,"Nunca consigo ouvir esta música sem deitar uma lágrima. Incrível. As saudades conseguem doer tanto. Um beijinho a todos os que infelizmente, já perderam alguém importante ",pt
45,"A melhor música portuguesa, choro bastante sempre que a oiço .. saudades tuas pai.",pt
46,"Perdi a minha avó no dia 31-05-2022, está música em tão pouco tempo, encaixa-se perfeitamente  ",pt
47,Perdi o meu rico pai vai fazer dois anos em Fevereiro e cada vez que ouço esta música vem sempre lágrimas de saudade..... Obg Fernando Daniel continua assim,pt
48,Que lindo ️ chorei do início ao fim.. parabéns pelo artista que és e fazeres magia com letras como esta... o teu avô estará orgulhoso do neto esteja onde estiver ,pt
49,Esta canção para mim reflete toda a saudade que tenho do meu pai...,pt
50,"🇧🇷️🇵🇹️ Rapaz, você é brabo demais! Canta muito! Parabéns...",pt
51,"Saudades do meu pai.
Muito obrigado Fernando pela música. ",pt
52,"Quem amou de verdade alguém que partiu( como eu os meus pais) , entende com o  cada palavra dita nesta canção! 
Obrigada por teres escrito esta letra que descreve , na perfeição, o que me vai na alma!",pt
