,comentario,liguagem
0,Brasil passando só pra dizer que a voz desse cara é INCRÍVEL,pt
1,Sou brasileiro e amo as músicas de Portugal ,pt
2,O melhor de Portugal uma voz incrível,pt
3,O Fernando não consegue fazer uma única música má! Todas elas têm mensagem e da gosto de ouvir para sempre! não consigo ficar cansada de ouvir!,pt
4,🇧🇷🇧🇷🇧🇷 Música linda!,pt
5,"Fernando. Tu só não cantas.... Tu encanta a todos! 🇧🇷🇵🇹Beijinhos, sucesso sempre!! ️",pt
6,Fernando Daniel eu sigo a tua carreira profissional desde o the voice e ... Adoro todas as tuas músicas. Parabéns ,pt
7,"Top demais, sou do brasil e adoro as musicas portuguesas.",pt
8,Que música! Abraços de Angola. 🇦🇴,pt
9,Melhor cantor português sem dúvida! E uma ótima pessoa ! ️,pt
10,"Encanto! 
Abraços brasileiro🇧🇷",pt
11,Tenho orgulho de ser Portuguesa!!,pt
12,"Que letra e que voz incrível, musica boa para ouvir nessa quarentena, Parabéns Fernando ",pt
13,Sou brasileira e amei a música! 🇧🇷,pt
14,É Muito Linda A Música Eu Simplesmente Amei Parabéns Fernando Pelo Seu Trabalho Muito Sucesso Prá Você 🇧🇷,pt
15,"É o melhor cantor português,
as suas músicas são pura magia, a forma como se expressa através da música é inesplicavel.
Admiro te muito️",pt
16,Brasileiro 🇧🇷 e adoro essas músicas de Portugal ótimas.,pt
17,"Por acaso,  esta linda musica saiu no dia dos anos da minha mãe ! Tenho certeza a 100% que vais ir muito longe Fernando ! ",pt
18,Fernando Daniel é capaz de cantar qualquer música e ficar bem. Ha que valorizar mais este cantor pelo mundo todo. Pode não ter milhões de seguidores mas tens milhões de portugueses que o apoiam e o fazem ter mais confiança em si mesmo. Orgulho no Fernando Daniel e em ser português ,pt
19,"''Agora não tens ninguém 

Dás por ti a pensar 

Naquilo que eu pedia

E que nunca soubeste dar'' é verdade",pt
20,"Eu gostaria de vê-lo na Eurovisão em algum momento
.
Adoro a sua música!! Saudações de Barcelona
. ;)",pt
21,i super love this man's voice sending love from the P H I L I P P I N E S,en
22,"Perfeitooooooo, e a música está linda! Tudo está maravilhoso. Vídeo, voz, letra, tudoooooooo",pt
23,Portugal gratidão por acolher o povo brasileiro,pt
24,"Quando sai uma música dele, eu penso que não pode vir outra melhor. Mas vem sempre uma melhor do que a outra.
És grande!
Um beijinho",pt
25,Wow.. Cada vez que oiço a voz dele... É simplesmente... Wow️️,pt
26,"De longe, o melhor de Portugal ️",pt
27,"Mal que cantas-te ao vivo eu fiquei viciada. E agora posso escute sempre que quiser. Obrigado, por tudo, Fernando.",pt
28,Sem dúvida o melhor cantor português de sempre.,pt
29,Este homem Fernando Daniel tem uma melodia forte que vem de dentro inspiração dada por Deus beijinhos continua assim,pt
30,Que música linda! Apreciando esta música daqui do Brasil 🇧🇷 🇧🇷,pt
31,"Amo a tua voz! Orgulho português! Letras, voz e som! Parabéns, continua! ",pt
32,"Que mais podemos dizer sobre esta voz, esta humildade que  o F D espelha.? 
Fica a pergunta porque eu não tenho mais argumentos simplesmente espectacular. Força Daniel.",pt
33,Perfeito !!! 🇧🇷🇧🇷️️️,pt
34,Ouvi a música hoje e já estou viciada AMEIIIIIIIIII,pt
35,Quando penso que não podes elevar mais a fasquia tu provas exatamente o contrário... Que música linda ️,pt
36,Como sou apaixonada ️ por todas as músicas Desse Homem Fernando Daniel é surreal demais mais uma canção se tornou A minha Favorita 🇵🇹,pt
37,"Sou sua fã desde o The voice, uma parte do fã clube enorme q você tem no Brasil",pt
38,"Não estava nada espera que sai-se agora!!️ A música está linda!!️ És o meu orgulho, Ídolo!!️",pt
39,"Encontrei agorinha esta música numa rádio brasileira, procurei o título no Shazam encontrei e estou aqui ouvindo esta linda música.
🇧🇷🇵🇹",pt
40,Adoro a tuas músicas mano!Paz e amor,pt
41,Que música que letra fogo.... Realmente quero começar e recomeçar a ouvir outra vez... 🇵🇹,pt
42,Obrigada por seres o grande responsável por ter recomeçado a ouvir música portuguesa! ,pt
43,Tenho ouvido essa música cada dia desde que foi lançada.,pt
44,Brasileiro aqui!!!! amo suas musicas,pt
45,Orgulho em ti e na aquilo que estás a conquistar aos poucos,pt
46,"5 anos da minha vida ️ amei , sofri , fui de corpo e alma . Aqui está tudo dito ️️",pt
47,"Adoro esta musica.

Sou Timorense 🇹🇱",pt
48,"És incrível, cada vez melhor, és um excelente cantor, orgulho enorme em seres português e principalmente do norte <3",pt
49,Gosto muito do Fernando Daniel tem uma voz incrível,pt
50,"1M, agora é sempre a subir. És dos mlhrs artistas portugueses, continua no bom caminho!!",pt
51,És INCRÍVEL em todas as músicas. Adoro ser tua fã.,pt
