,comentario,liguagem
0,"Se há coisas lindas na vida esta é uma delas, é impossivel ouvir esta musica sem fechar os olhos e usufruir do privilégio de ouvir a tua voz, obrigada Fernando.",pt
1,"Irei visitar Portugal no próximo mês e, por acaso, optei por ouvir um pouco das músicas portuguesas (no Brasil não é comum ouvirmos), estou absolutamente espantado com a qualidade musical, harmonia incrível. Abraços do Brasil!",pt
2,Em minha casa só se ouve boa música como esta parabéns Fernando Daniel um  para ti,pt
3,"Ouvi pela primeira vez esta manhã na rádio comercial e as lágrimas  só me escorriam dos olhos. Letra com muito sentimento mesmo, harmonia, alma…  parabéns!! 🩵",pt
4,"Parabéns lindo poema ,felicidades ",pt
5,"Além da excelente música , não comentemos o quão incrivel está este videoclipe!",pt
6,Das músicas mais bonitas que podiam existir ,pt
7,"O único artista português capaz de me tocar com apenas uma frase, imaginem uma música inteira. 
És grande ",pt
8,"Que linda música, sem dúvida a minha música favorita, a voz !! O piano!! A melodia!! Tudo espetacular ",pt
9,"INCRÍVEL!
Mais um trabalho espetacular!!!!!!!
Parabéns Fernando! Ansioso para ter o álbum inteiro disponível!",pt
10,Música incrível ️️. Sem dúvida a melhor música do álbum,pt
11,"Quem o ouviu na rádio comercial,ao vivo foi verdadeiramente espetacular..",pt
12,Como essa música me conecta com Deus ,pt
13,A música é incrivel. O videoclip está surreal de fantástico. Adorei!!! ,pt
14,"Esta música parece que está a falar para mim literalmente, eu tenho problemas de Ansiedade e por vezes eu tenho muitas depressões e fico sem saber quem sou eu, e depois fico sem saber o que fazer qual é o meu propósito qual é o meu propósito de estár aqui neste mundo, mas eu sei que essa pergunta tenho de ser eu a responder, e eu só tenho algumas depressões porque eu sofro de bullying na escola isso ainda me deixa mais embaixo mas eu agora sei que nós não devíamos desistir dos nossos sonhos por causa dos outros é como uma pessoa sábia me disse uma vez ""se queremos muito uma coisa arranjamos maneira de a tornar possível"".",pt
15,"Que música e letra incrível 
Mais um sucesso ",pt
16,Cada vez mais surpreendida com o teu talento! Isto está incrível ,pt
17,uma das minhas músicas favoritas de sempre! é um orgulho ver-te constantemente a superar a fasquia que tu próprio elevaste ️,pt
18,"Videoclipe, música tudo a um nível incrível. Parabéns ",pt
19,"Mais uma música incrível do Fernando coroada com um excelente videoclip, tudo perfeito, obrigado e Parabéns ",pt
20,"isto está completamente perfeito, música, letra e videoclipe absolutamente incríveis. tenho tanto orgulho em ti e no teu percurso exemplar!!!! és o maior fogo ",pt
21,Isto está mais que incrível️,pt
22,Amo!! Ouvi ao vivo num concerto em Alter do chão e foi magnífico!,pt
23,Cada uma que sai melhor q a outra Que trabalho fantástico,pt
24,"Que música , que videoclipe, que incrível !!! A melhor album do mundo
Gosto muito de ti
Eu sou tua fã",pt
25,Mais um enorme sucesso! Muito linda. Muitos parabéns Fernando Daniel e equipa,pt
26,A minha música favorita do álbum e claros as outras também ,pt
27,"Acabaste de descrever o momento atual da minha vida brother, divinal. Que rei !",pt
28,Mais um sucesso garantido! Muito boa!,pt
29,Suas canções mudam minha vida desde de então me tornei sua fã e sou muito apaixonada Por suas composições e músicas são extraordinárias!!️,pt
30,"Olá Fernando daniel que música 
Tão tão linda até vou chorar",pt
31,Mais uma incrível música Muitos parabéns Fernando daniel. ,pt
32,Tao Linda a música já abaixei ela e agora começar a ouvir todas as noites,pt
33,"Unfortunately I can't speak or understand this beautiful language, but this song and his voice are amazing!! ",en
34,o poder desta música..️‍️‍,pt
35,Perfeita  quem gosto aperta aqui ,pt
36,A melhor do álbum V.H.S! ️‍️‍️‍,pt
37,"Sem vergonha,digo-te que apenas conheci o teu trabalho através de músicas para crianças (Panda). Mas logo aí, percebi que tens um talento enorme. Parabéns,és grande",pt
38,"Que música tão linda, adorei ",pt
39,"""tanta gente à minha volta mas ninguem para falar...a minha casa és tu""
Sublime! Música, voz, letra, videoclip.
 É ir para longe, e ter a certeza que nos trazes de volta, sempre.
Que bom! ",pt
40,Mais uma música sublime. Obrigada Fernando Daniel,pt
41,INCRÍVEL !! Ansiosa pelas próximas,pt
42,Adoro parece a minha história ,pt
43,"""Prometo"" guardar cada música tua ",pt
44,Musica incrível tal como as outras,pt
45,"Minha música favorita agoraaaa, irei escutar todos os dias !!",pt
46,Não para de impressionar com este album! wow!,pt
47,"a minha favorita do álbum, sem dúvida alguma ️",pt
48,Que perfeição,pt
49,Lindo  amei,pt
50,Simplesmente linda essa canção ,pt
51,Fernando és incrível. És o melhor. Obrigada por todo o teu trabalho por tornares o mundo um lugar melhor.️,pt
52,L I N DO ! Uma das mais bonitas...obrigada por isto,pt
53,"Está incrível 
Nunca desiludes, Fernando!
Só lanças músicas lindaaaaas 
O vídeoclipe simplesmente maravilhoso 🫶",pt
54,"que mv foi este, adorei tudo nesta música. Bom trabalho fernando, isto está simplesmente incrível",pt
55,Poderosa ,pt
56,Você nunca erra ,pt
57,Mais uma música linda ,pt
58,Todos os teus videoclipes e músicas são incríveis,pt
59,Cada música tu surpreendes . Linda música  .felicidade,pt
60,Que música linda nando tanto orgulhooo,pt
61,"Cada música, diz tanto  
Lindo!!!",pt
62,És um máximo Fernando gosto muito das tuas músicas parabéns a ti e á tua produção És o melhor artista que eu conheço continua assim adorei esta música mas adoro o prometo mas está está um máximo.Deseijo-te sorte para continuares assim.,pt
63,"que orgulho em ti fernando, és o maior! ️‍",pt
64,"Linda música  excelente cantor ,desejo todo sucesso para você Fernando Daniel 🇧🇷🇵🇹 que Deus continue abençoando grandemente sua família ",pt
65,Excelente.  Fantástico trabalho,pt
66,Fernando é o melhor ️,pt
67,que orgulho na pessoa que és fernando,pt
68,"música linda, obrigada Fernando ️",pt
69,Lindo de viver!,pt
70,Sou teu maior fã adoro todas as tuas músicas ️,pt
71,ADORO ,pt
72,Uma das tuas melhores Fernando Daniel é a minha inspiração eu vou tentar ir para o Theo voice pro ano,pt
73,"Meu ídolo, esperei tanto por essa canção 🇦🇴",pt
74,"Uma música nunca fez tanto sentido, como as tuas ",pt
75,"INCRIVEL, SEM PALAVRAS!!!",en
76,"sem palavras, LINDO!",pt
77,ÉS O MEU MAIOR ORGULHO 🥹,pt
78,Adorei  adoro sempre ️,pt
79,LINDOO ️🫶,pt
80,que música mais linda meu deus ,pt
81,Lindo ️ sem palavras ,pt
82,"Mais uma música incrível!!! O NANDO NUNCA DESILUDE!!
ESTE ÁLBUM VAI PARAR A TUGA!! ",pt
83,"Sem dúvida a favorita já, gostei tanto ",pt
84,ta brutal o videoclipe musica linda o melhor sempre,pt
85,"Nunca desiludes , um grande abraço e muito sucesso meu idolo ️ sabado faço 33 anos ️ esta foi a melhor prenda",pt
86,Amando seu trabalho desde o Brasil.,pt
87,"Já disseram tudo. A mim, resta-me agradecer a partilha de emoções.",pt
88,nunca falhas ️,pt
89,O vídeo-clip estou sem palavras ,pt
90,Wow! É tão bonita! 🩷,pt
91,"ÉS INCRÍVEL NANDINHO
VIM DO DIRETO!!FOI INCRÍVEL",pt
92,"AII, TÃO BOA️",en
93,"A favorita já, sem dúvida ",pt
94,Precisamos de um viral com essa música no tik Tok pra já,pt
95,O MAIOR ️,pt
96,Está tão lindo ,pt
97,Umas das minhas fav ,pt
98,"Ai jasus, o que é que eu estou a ouvir
Tão bom!",pt
99,Amei 3:43 adorei a música,pt
100,LINDOOOO!!!,pt
101,E muito linda parabéns ️,pt
102,a música é incrível,pt
103,"a música, o videoclipe, tudo perfeito🥹️️",pt
104,Que power!!!!! ,en
105,"a minha preferida, és o maior fernando!!!! 
“ a minha casa és tu “ e és mesmo️‍",pt
106,Adoreiiiiiiiii a música ficou lindisimaaaaaa adorei mesmo sou muito tua fã gosto muito de ti,pt
107,Incrível!!! Maravilhosaaa,pt
108,a música mais bonita que ouvi em MUITO tempo,pt
109,oh Fernando que musica absurda muito bom,pt
110,"lindo, nao ha palavras. Estas sempre a supreender",pt
111,das melhores músicas sem dúvida 🥹,pt
112,melhor impossível ,pt
113,ÉS O MELHOR!,pt
114,que orgulho em ti,pt
115,Adoro a tua música sou a tua fã,pt
116,o melhor cantor de sempre,pt
117,Gostei muito Fernando Daniel sou tua fã ️ abracinho da Marta,pt
118,"Muitos parabéns Fernando daniel 
Do teu próximo Single Casa muitos
Parabéns do teu fã Preferido 
José Pedro de Vila do conde ",pt
119,Melhor música do século,pt
120,Este música é nova é do Fernando Daniel ,pt
121,"Música incrível , que tive o privilégio de ouvir e ver o videoclipe na Cristina Talks mesmo antes de ter sido lançada, Obrigada ️🫶",pt
122,LINDO LINDO LINDO,pt
123,mais uma lenda tua!! ,pt
124,se tu não és o maior artista português eu não sei quem é,pt
125,Adoro-te ,pt
126,"Só um problema nisto tudo:
Termina. ",pt
127,Top,en
128,nado nunca desilude amei a mscc,pt
129,"Lindoooo sou tua fã tenho \14 anos meu sonho era cantar como tu e tirar uma foto ctg , sucesso lindooo",pt
130,força colega,pt
131,"mais 1 musica incrivel
nunca desiludes nando",pt
132,és do caralho ,pt
133,Lindo Nando ,pt
134,"O Fernando no seu melhor, a dar a todos nós  a  sua alma e a sua força.",pt
135,o nando não brinca em serviço ️‍,pt
136,esperar ouvir já esta musica em Matosinhos,pt
137,Hoje ouvi pela primeira vez está música... E as lágrimas caíram...,pt
138,A minha casa és tú,pt
139,A minha casa és tuuuu,pt
140,Boa Fernando!!,pt
141,mais uma para aprender eheheh,pt
142,ainda a tentar processar… és do caraças!! ️,pt
143,Rendida ,pt
144,Para quando aquele feat com a Marisa Liz. ,pt
145,Sou de Moçambique e não aguento com Fernando dAniel,pt
146,Não tem uma vibe de billie eilish?,pt
147,sou o único que sente a vi be adele aqui?,pt
