,comentario,liguagem
0,"Acabei de ouvir essa música no tik tok onde o sobrinho fez homenagem ao tio, que música linda, sucesso aqui no Brasil já ️️🇧🇷",pt
1,Quem mais aqui veio por causa do The Voice Portugal? Homenagem do sobrinho pra ele... Foi sensacional ,pt
2,Só quem ouviu essa música e se emocionou.?curti  🇧🇷,pt
3,"Letra 
Oh
Oh oh oh
Oh",en
4,"Quem é pai, sabe a dimensão do que essa música significa, muito linda, parabéns 🇧🇷",pt
5,"A tua voz faz a minha alma chorar, pois nem consigo explicar todo o sentimento que esta música consegue passar. Obrigado Fernando por nos aconchegares o coração!️",pt
6,"LETRA | LYRICS

Prometo guardar cada abraço teu
Prometo levar-te onde ninguém chegou",pt
7,"Sou brasileiro, Primeira vez ouvindo uma música no idioma português de Portugal, essa canção é muito daora ",pt
8,Sou do Brasil e me emocionei muito com esta bela canção. Parabéns!,pt
9,Que música linda mds 🇧🇷 vim pelo TikTok o sobrinho dele cantando me emocionei 🥹🥹,pt
10,"Que música linda! Acabei de ver o vídeo do sobrinho cantando no The Voice. Já virei fã. Linda voz, lindas letras. 🇧🇷🇧🇷",pt
11,"Como falante em português brasileiro, está é a primeira música em português da Europa que eu tenha gostado porque és tão profundo ",pt
12,Fernando Daniel tem A voz mais linda e relaxante que já ouvi ️,pt
13,"Sou brasileiro,  música muito boa , vai ser sucesso no Brasil inteiro",pt
14,Música linda ,pt
15,Meu Deus essa música é linda não consigo parar de ouvi-la ,pt
16,"Música linda, chegou no 🇧🇷, agora segura é sucesso ",pt
17,"Todos nós, pais, nos revimos nesta canção.. obrigada por transformares em musica o que vai nos nossos corações!
#Rumo a 1 milhão!!!",pt
18,"Conheci através do The Voice, amei demais essa música",pt
19,"Vim por causa que vi o Tik Tok do seu sobrinho. Muito linda essa música, tô chorando ",pt
20,"A homenagem do seu sobrinho foi lindo demais, sucesso. 🇧🇷",pt
21,"A parte que mais me toca é mesmo o refrão! ""Então eu só quero que sejas feliz, que saibas o quanto eu gosto de ti!""",pt
22,"Chorei. A tua filha tem com certeza muito orgulho dos pais que tem mesmo sem saber ler e falar. Vocês são incríveis, obrigada por mais uma música extremamente linda. Mereces tudo o que tens conquistado. ️",pt
23,Gosto muito da música portuguesa aqui do Brasil! 🇧🇷,pt
24,O orgulho de Portugal ,pt
25,Música certa no momento certo. A homenagem que a Matilde merece! Não existem palavras já ️,pt
26,"Cada pai, e mãe do mundo inteiro se identifica em cada letra, em cada palavra dessa canção. Obrigada Fernando Daniel, por mais uma vez, transmitires através da música, os sentimentos.
Desejo que Portugal nunca te esqueças, nem deixe que sejas esquecido.",pt
27,"Fernando quando ouvi essa canção, a lágrima desceu sem eu querer. Que canção é essa, na maior pureza que possa existir, assim como olhar e o sorriso puro da pequena Matilde. Eu te agradeço por todas as tuas canções de cura, alegria, paz e muitas delas, de desabafo. Amo-te, tuas canções, e Família. ️",pt
28,"Um dos melhores cantores que Portugal tem o
Presente de ter ",pt
29,"Ja é sucesso no Brasil Fernando Daniel , muito sucesso pra ti tuas letras são poesias!",pt
30,🇧🇷 parece até um hino ... Letra muito bonita,pt
31,"q coisa mais lindaaa, sou brasileira amei a musica🇧🇷",pt
32,"Fui mãe há pouco tempo e chorei de tanta emoção que esta música traz, obrigada ",pt
33,"A música mais linda que eu já vi
O Fernando arrasou demais,vi no tik tok você cantando com seu sobrinho e já vim ver no youtube,chegou no 🇧🇷 é sucesso",pt
34,Eu que sou uma pessoa muito dificil de chorar com esta musica as lágrimas começam a cair . Exprime os sentimentos que tenho pelos meus dois tesouros. Vos amo filhos ,pt
35,"A melhor música para meus filhos , obrigada Fernando Daniel ",pt
36,Que música linda não consigo parar de ouvir 🇧🇷,pt
