,comentario,liguagem
0,2023 and this still a Banger...His voice and flow on this beat is a masterpiece..,en
1,2019 and this is still one of the hardest bangers ever,en
2,"realest line I ever done heard, "" Man I'm so high I can't even look my own momma in the eyes""",en
3,Freddie makes type of music that has you thinking about some past shit and makes you actually do some hard thinking upon making a decision he makes you actually question you and what you think you should do alot of thinking he actually lets you know the cons of every situation you may go through in life,en
4,I had this song on repeat all day yesterday.,en
5,Goddamn!! I never heard this before and I damn there teared up listening to this. Keep going y’all. You got this!! ️,en
6,"Freddie Gibbs, Mozzy, Nipsey (before his passing), and Dave East really the most underrated rappers of the new generation",en
7,"""man I'm so high that I can't even look my own momma in her eyes"" Freddie talkin real shit ",en
8,"damn, best rap song ive heard in a while. This instrumental is killer",en
9,Keeping this in repeat in 2020.,en
10,This deserves a music video!,en
11,This song harder than most these new songs out. 4 years ago still hot. Big shout out to Freddie gibbs,en
12,2020 and still one of the most played songs in my playlist,en
13,One of the best songs ever written,en
14,Even in 2019 i can hear the passion. I still bump this in my scenic routes just driving ,en
15,One of my favorite Gibbs songs!!!,en
16,Amazing song! Just a straight banger never gets old ,en
17,One of the best songs I've ever heard in my life!! Freddie G,en
18,2020 & this still goes hard like it just dropped ,en
19,The realest song ever made ,en
20,one of the best tracks i have heard. this will endure the test of time,en
21,one of the best Gibbs songs I've heard yet. top 3.,en
22,Man. When i found Gibbs couple years ago.. I was stoked...i could just tell he would always come out with dope real shit.. Restored faith  in gangsta rap..,en
23,I know God been saving this heat for me for this exact moment. Been listening to Gibbs since 2013 and just discovered this fye. Just yesterday night I caught lightning and put it in a jar.,en
24,this song brought me to tears when i first heard it. just hearing something that doesnt make you feel alone in this shit  helps alot sometimes. thanks fetti,en
25,freddie is so underrated,en
26,Ya'll gotta hear this in the car!! Shit bumps!!! Gangsta Gibbs!!!!!!!!!!!!!!!!!!,en
27,Freddie is underrated. He is definitely on my top 10.,en
28,Song's been on repeat all day since yesterday! BANGER!!!,en
29,still bumpin 2023 he spit so hard in this shit my headphones caught fire,en
30,One of my favorite Freddie joints,en
31,this track man... dont think Im ever gon get over it this song speaks for me ha. Good Shit G keep it up!,en
32,I just noticed Spotify removed this album! WHY?! this song is my all-time favorite,en
33,Gibbs really hits you with this one,en
34,This man been killing it for a whole decade now,en
35,Still one of the best in 2023,en
36,I really can't get over how fucking good this song is and how fucking underrated Freddie is,en
37,Legendary song,en
38,"Freddie Gibbs would have to be one of the greatest rappers of all time!  He is keeping it real in his lyrics, music, vocals and video clips! He is definitely on the same level as Tupac and DMX!",en
39,Best song imo on this album..str8 killer no filler,en
40,This production is God Level !!,en
41,Bumpin this hard in 2019 ,en
42,2020. This song still lives —,en
43,"I can't explain how Freddie Gibbs music helped me in life. 
Love from London fam. 
Idk if youll see this but this song and stay down meant alot for me. 2020 and I'm still here 
Hope everyone has a nice day and what ever your going through never give up. Have a blessed day people ",en
