,comentario,liguagem
0,"This track is flawless, the beat, the melodies, Gibbs & Jada spitting fire.",en
1,This beat is sick. Not enough credit given to the production and how the background vocals are integrated,en
2,"""Before we knew what billboard was we had our own charts""",en
3,“I don’t rap about dead ops I’ll let his name die” that’s a bar ,en
4,Freddie has one of the best voices in rap history. If you stand out on a track with Jada it’s top tier!,en
5,"I can't stop listening to this, it's been months. Flawless track.",en
6,You cant say hip hop is dead as long as tracks like this are being made.,en
7,Freddie Gibbs has always been a great lyricist in my regards. I’ve listened to his work since about 2011 around the age of 18 to 19. Salute - Messiah🇯🇲,en
8,Jada’s verse on this track is diabolical,en
9,"two rappers from two different millenniums working together so flawlessly, raw talent!",en
10,"Freddie is a great lyricist and performer. Saw him in Houston and cannot wait for the last Madlib album to be released. They're an amazing duo that will not be overlooked in the future. Keep it up Freddie, I will always be rooting for ya!",en
11,"I am so glad you worked with Jadakiss, I grew up listening to him in my teenage years. You are a true, real rapper - I am honestly beyond impressed.",en
12,You know Freddie gonna drop a classic when he’s wearing a track suit,en
13,Conscious rap will never die,en
14,That Sopranos reference gave me chills. loved that whole rhyme scheme. Freddie is so underrated,en
15,"Freddie is one of the reasons I started rapping in general. He has such a unique and recognizable voice to compliment his hard hitting bars and flows. I pray someday I can meet up with this man and make some magic together. Definitely a dream for now, but I’m patient and happy just being a fan too. ️",en
16,"holy shit this runs deep, the subtle switchups in his flow and the pacing of the beat is legendary ... really fun to listen to",en
17,It’s the “What should I do” female vocals that gets me… Freddie on a whole nother level,en
18,"You know Freddie about to go in when he starts the verse with ""slammin""",en
19,Can't get enough of how Gibbs and Kiss flow on this beat. SheeshThis song's on repeat repeat repeat!!!,en
20,This one a classic from the beat to the bars! Couldn't think of a better duo to kill it! Jada wasn't playing bout his verse,en
21,"""Turn a witness into Stevie Wonder, you ain't see sh¡t"" 

That was a hard bar.Freddie Gibbs spazzed.",en
22,Two verses was all that was needed. They both killed this track,en
23,Why This Song Not On $$$? The Album $$$ Fire by The Way,en
24,Everyone needs to respect how consistent Freddie is.,en
25,Got this shit on repeat at work !,en
26,"The beat gives me so much bump chills, and the rap too!",en
27,We will look back years later...this song definitely is one of hip hops greatest. Salute,en
28,"Big ups Freddie Gibbs,really dig ya style and lyrics,shout out to Gary Indiana,and Kiss is just Raw,thanks for both y'all's contributions,1 Luv",en
29,This one of the hardest verses I heard from Gibbs as a new nigga late to the party…. This and Gang Signs are top tier in my humblest opinion no one asked for. That voice in the background with this beat is sooooooooo  “what do I do” smh. It look like Gibbs been rappin wit Kiss his whole life. Love this energy on camera. I play this shit once a day.,en
30,Jada is a true example that real hip hop needs to be respected.....period.,en
31,Freddie Gibbs is the one who didnt use AUTHENTIC views but got talent. He deserves most views and respect ever,en
32,"This video is just perfect. The beat, the bars, the beautiful ladies. Just perfect.",en
33,two of the most timeless flows at once… crazy,en
34,"I don’t know about Freddie’s fight game, but I know Money can rap his ass off! Keep going Black Man!",en
35,They both killed this track ,en
36,I must admit I slept on Freddie Gibbs for years but have recently realised he is a top tier lyricist. Holding his own on a track with Jadakiss is no mean feat.,en
37,This gives me good vibes and reminders of the good old days when rap hip-hop n rb actually meant something. Very well done.,en
38,this is one of the few songs that touch your soul every time you play it.,en
39,A year later this still the top of my rotation. Too cold!!! ,en
40,Jadakiss verse is epic always is & Freddie Gibbs is nice  he got real bars This beat is great,en
41,"""I dont rap about dead opps I let his name die"" Gibbs has some of the craziest quotables right now",en
42,The beat vibe is just out of this planet! 2021 best track!!!,en
43,"Eu volto aqui todo dia, obra de arte ",pt
44,This is pure gold ,en
45,Man!  What more can be said about this?  Straight heat in the dead of winter.  Salute and thank you.,en
46,Straight fire from start to finish ,en
47,One of the few times where The artist doesn’t get bodied by Jadakiss on they own track. Gibbs can hold his own against any rapper .,en
48,It's been months and I'm still back daily. THIS is rap.,en
49,One of the only dude's to kill MF DOOM on his own track. Freddie dirty as hell.,en
50,Need to be on Radio ,en
51,Certified  big up Freedie Gibbs been grinding and spiting that flame for a long time and another CLASSIC to add to the catalog ,en
52,"Underrated and so lethal in all aspects, the definition of hip hop, the definition of music.  I'm just hearing it and it came out 3months ago",en
53,"The more I think about I genuinely believe he is one of the only artists I’ve ever heard who has a perfect discography. The amount of love for his craft and his versatility is paramount, he hasn’t even reached his peak yet and goddamn I’m so excited for SSS. Bless Freddie been a fan for near a decade and you still never miss ",en
54,"Through away the trap & autotune garbage, this is true hip-hop",en
55,"Understand that has a choice in life, do your thing at the same time don't lose yourself for the Bs Out Here... It's Not Worth It Fam. 
2022 Peace and Guidance to All Reading ",en
56,WE NEED MORE OF THIS !,en
57,"Bullet Proof Soul is a group I was in in the late 90's with Yariah Garcia (YG) and Victor Santiago (Menage) couldn't imagine how it felt to hear that shout out 
Rest well breda",en
58,Freddie never has and never will miss and Jadakiss came through like it was back in 06. Legendary shit.,en
59,This is real rap ,en
60,"I go for late night walks, often under the influence of substances (safely I assure you) to free my mind and discover the universe. This track makes me feel like a kingpin and the confidence it instills into me is incredible. That production is on par with both of their verses, Jada delivered though ong ",en
61,Jadakiss should of gotten a lot more props over the years.,en
62,Yo this guy is insane he is even on Genius,en
63,Beat is clean!,en
64,Freddie gonna drop another classic album,en
65,Can’t go  too long without circling back to this ,en
66,“Turn a witness into Stevie Wonder” Hard Af,en
67,"'Black Illuminati, Afghan doggy straight off the poppy
I ain't trust him, had to dust him like Christopher Moltisanti'

I gotta say as a Sopranos fan and a heroin fan Freddie gets me just right",en
68,"Freddie does not miss bro. Hasn’t even received his proper flowers. Let’s hope it comes before death, cause this is an artist who deserves his props. Keep killin it bruh",en
69,You know it's  going to be hard asf when Jada is on it ,en
70,Can't stop listening to this song,en
71,"DAMN STRAIGHT ️
One of the best tracks I’ve heard.
Love you guys 🇺🇸",en
72,How can a dope track like this be underated ... This is hip hop we listening at .... d(-_-)b Freddie Gibbs is a goat you proof yourself in this song,en
73,"Flawless and effortless are the best way to describe these bars. Soulful rap with a real message, that can reach.",en
74,"i still listen to this song everyday since it dropped, they both killed it !",en
75,Been rocking with Freddie since I heard him on that one song with Bun B & Chip “Oil Money” I was a fan since! Baby Face Killa album by Gibbs is a classic!!,en
76,Looks like real rap coming back!!,en
77,I am in love with Freddie Gibbs all day like he is such a Lyricist and I so am into the heart and the feeling and emotions and everything that's just in him that he puts with in his songs you can feel him even if you ain't never lived that life you can identify with something I am really on a whole another vibe when listening to him,en
78,That Christopher Moltisanti line was legendary! Shout out to the sopranos,en
79,"this joint sounds like it belongs in the very early 2000s , an absolute classic by Freddie & Kiss.",en
80,Need more of this duo,en
81,That old school vibe is what we need. We need the feelings back and this did it! #Killuminati,en
82,This shit is a classic track. That beat ,en
83,"This is my first time heard his song and this song give me that 90s vibe ,love it",en
84,I feel sorry for the people that are still sleeping on Gibbs. They're missing out,en
85,Been bumping this since it came out...fire track...Jadakiss just bring a different feel,en
86,This joint is lit..no doubt respect to our elders(Kiss&Freddie),en
87,This is real rap! ,en
88,His flows are impressive! S/o directly from brasil,en
89,This beat so crazy!!!! ,en
90,Gibbs raps like his life is on the line on every line!,en
91,They both get to your brain of listening ,en
92,One of the best songs ever.,en
93,"Now that's what I'm talkin bout, Rappin thats Keeps it real deal on Point, none of that dumb shit. Keep it coming Freddy Gibbs. Love and repect you artist to artist.!!",en
94,Just a pure vibe,en
95,"this freddie gibbs flow is ice cold amazing, god damn!! 
much love from germany",en
96,This was tuff the beat the flow and the delivery. We need music like this to remind ppl what a true lyricist is ,en
97,"Freddie Gibbs is really rapping. Something we don't see today. And you can't go wrong with Kiss on a record.

South Africa, Johannesburg ",en
98,Slayed it.,en
99,Dang. I’ve been a fan of Freddy For like….20 hours now. Pretty sick.  And of course awesome guest on Kill Tony. Dem boys was wiiiiiiilldddd,en
100,I won’t let em blemish your image Gibbs just be a man. Bars fire . I did not leave disappointed,en
101,This is one of Freddie’s best verses. Goddamn,en
