,comentario,liguagem
0, My boi is droppin' classic after classic and people still have the nerve to call him irrelevant ,en
1,"Man, Rick Ross’ voice is just perfect for this kind of beat",en
2,Alchemist is hands down 1 of the best Hip Hop producers ,en
3,Ross should let Alchemist produce a whole project for him his voice fits perfect with his tracks,en
4,"Ever Since Freddie Changed his production to Madlib and Alchemist, the music complement his style so well He’s down to start being at the top of Real hip hop where he belongs.",en
5,"They need to do a whole album together 

Need more artists like Gibbs, these kids nowadays growing up with these weirdo rappers who just usin dat site AUTHENTIC views to get they hits up to go Ham.",en
6,"Let's all give props to The Alchemist,  he's very underrated.",en
7,The song will always be a timeless classic alchemist is a genius,en
8,"I’m a pest control tech in DFW Texas who sprays down a school district on the regular and I listen to this all the time. I walk around empty, silent hill havin vibes ass schools and listen to this and many other things but something about this beat always sticks with me. I’m also initially from Indiana. All the love in the world for Freddie.",en
9,This song is too good for this era of rap.,en
10,Ain’t nobody dropping classics OR telling stories like this. Freddie is and always has been top shelf rap.,en
11,Bringing back them early 2000s vibes,en
12,"Moral of the story, become friends with Rick Ross",en
13,This beat was made for Rick Ross him and Freddie straight killed it,en
14,"Scottie Beam is an underrated certified bad bitch!  And, Freddie Gibbs is currently the most consistent listenable rapper in the game! ",en
15,Whoever shoots Freddie’s visuals is on their cinematic shit!!! Thank you,en
16,Masterpiece. Freddie Gibbs is a genius man. Let this man produce a movie!,en
17,"Whatever song or beat Ross jumps on, he kills it !! #menzmusic",en
18,Freddie's constantly uppin' his game with the story-telling and acting; and we already know his flow game.,en
19,"This is honestly one of my top tracks of the year. So soulful, so exquisite, and Freddie doing this caviar of a beat justice as usual with nice assistance from the Bawse. Also I had to google who Scottie Beam was and oh my, she’s fine.",en
20,Underrated lyricistit hurt to say i miss you the real ones always be leavin us,en
21,Uma das músicas mas fodas q eu já escutei em toda minha vida essa e Babies e fools é outro patamar de rap.,pt
22,"This is a true Masterpiece , Art at it's purest form God Bless ",en
23,I haven't heard that much SOUL in rap music in... A Long Time! Keep doing THIS,en
24,Hardest song on the project. A Freddie and Ross collab tape would be sick. The chemistry is on point,en
25,they both killed this !,en
26,So far the best song of 2020,en
27,As soon as you hear that “M-M-M” it just changes the whole song,en
28,Ross is so good on those kind of instrumentals.. I totally love it,en
29,"Man Alchemist is blowing up like wildfire this year!!  He been producing Griselda, Marciano, Freddie, and many more. Now Rozay on a track!! Love the Alchemist man",en
30,"Bandana album of 2019
Alfredo album of 2020
Freddie coming for a 3 peat ",en
31,"Damn, this video is already at 2.6 mil in a week.  gladd to see Freddie finally getting the attention he deserves",en
32,Been saying this shit for YEARS. But I don’t even have to say it anymore. He no longer underrated. He’s finally getting the recognition he deserves. He’s getting views. And it’s well deserved,en
33,"Alchemist does it again with another cool ass beat that I just can't get enough of. 
I'm not the biggest fan of Rick Ross but he flowed best with it.",en
34,Alc is a magician freddie murders it every time,en
35,"""Wont ever let this industry  demasculitize me"" ",en
36,"Okay I'mma need a Freddie, Alchemist and Ross album now. This was so . I love that they made it to Jamaica safely at the end. So beautiful... #FTP #BLM ",en
37,This video just made my day . Reminded me of driving through palm beach county with dreads in my box Chevy... it goes down exactly like this! This video took me back. Reminded me why I left for the islands myself. Made my day to see the cop get his and ol boy make it outta Babylon. Was my top fantasy when I was in that trap myself. Now only something like this can trigger a memory like that. I don’t live that kinda fear anymore. Found a place where a G can still be a G,en
38,"Freddie always has the best music videos. Wow, Alchemist made such a smooth beat. Ross was a nice touch.",en
39,"Ficou pesado esse som em  o instrumental dela, mais só uma coisa pra ele ficar ainda mais da hora, faltou as batidas de trap, ai ela ia ficar muito loka..",pt
40,Freddie Gibbs is one of my favorite MCs in the last ten years. He's always dope over anything.,en
41,Freddie has been putting out the best hip hop albums for the last 5/6 years now. Absolutely  one of the most consistent.,en
42,They need to do a whole album together ,en
43,"This is one of Freddie top 5 songs. The beat, the flow, the cop he murks... Classic!",en
44,Wicked!! Sick how you did the video couldn't have been done better,en
45,"My god....The music...the delivery....the video....  I feel like I just watched a good movie.  Gibbs, Rick Ross, and Alchemist should do a whole project.",en
46,The Alchemist’s beats are so good holy.,en
47,Over 1M views in less than 24 hours? I don’t think Fred ever did those numbers. Glad people are catching on,en
48,Gibbs has been on fire for years. Hes at his pinnacle.  Sit back and enjoy greatness,en
49,"This song really embodies the power and talent of everyone working on this project. Freddie’s amazing rhymes and flow, The alchemist’s best sample flip, and to me, Rick Ross’s ability to sound good on every genre he’s featured in.",en
50,These are these laid back retro type instrumentals that not just any rapper can slide into. Props to freddie for having a little sexy chocolate bunny in this video.,en
51,Incredible music here brothers!!! Excellent Camera Work. Amazing Production. Salute Alchemist. Lyrics are picturesque. ,en
52,"Rick Ross respaldando a Freddie, mis respetos",pt
53,People really say Freddie isn’t relevant smh. This man been undefeated the last few years,en
54,Alchemist has been on fire these last few years. Currently my favorite producer.,en
55,This album is the best thing to happen in 2020. ,en
56,Probably listened to this song 50times when he dropped this album ,en
57,"Dope. Alchemist on the beat, you can never lose.",en
58,Freddie's first verse is perfection. AOTY 2 years consecutive,en
59,That beat breakdown at the end was crazy!! Should be its own track,en
60,This album actually something different ,en
61,"That´s HipHop-Storytellin on its highest level. Much respect, much love. Legend.",en
62,"I love a dope song, but I really love when the video compliments the dope song.  Nothing but good vibes here.  Queen and Slim got away on here  The Alchemist soundtrack sounding all dreamy.  Kane spittin’ that raw.  Ross doing his thing.  Man listen ",en
63,"The alchemist beat is so dope, man I love this song, from the message to all the rythm",en
64,I wanna see a movie in it with Freddie as the main character.,en
65,This is what I call hip hop music! Much respect no lie,en
66,ross ima give u big props cause its been a min since ive heard you spit something this crazy  alchemist and freddie killin the whole shiiiiii boi,en
67,"[Intro: Freddie Gibbs]
Pissed off you know
This is, like, exclusive
Yeah",en
68,"Love Freddie Gibbs for this one, he is one of the realest!",en
69,I just got into Freddie and it's literally the best thing that has happened for me this year.,en
70,This the collab we never asked for but the collab we needed; Would love a joint project between these 2,en
71,"Banger.
Great album.
Everyone should check it out.",en
72,This song should have 500 million views fire work SALUTE!,en
73,Ross always killin these beats ,en
74,"This might just be my favourite sample ever, by my favourite producer ever",en
75,This joint is gonna age well. Classic.,en
76,This is just a classic ass masterpiece!! Hands down!! ,en
77,Dope visuals one of my favorite tracks,en
78,"Bruh, I just wanna know one thing. Ross must be on some HELLA woke shit these days and speak some seriously soul-touching wisdom, life, and game to these OGs who ain’t never been no sellouts. Curren$y, Freddie, and if Boldy ever ends up shaking Ross’s hand my head might explode... Only the realest know why and I ain’t gonna tell you.",en
79,Fire Track! Respect ,en
80,beautiful beat. Alchemist always on point,en
81,didn't know how much i needed to hear rick ross on a alchemist beat til now.,en
82,i don't know if it is just what al cooked up or fred's choice of beat either way that instrumental got me sentimental. either way al and fred killed it again. individually and together. wow,en
83,Man I swear alchemist one of the greatest of all time facts,en
84,Visuals gave the song justice ,en
85,This beat is perfect,en
86,That “Alfredo” was a solid body of work definitely one of the best albums this year and the visuals just complete it even more looking foward to the others...,en
87,“You need a dictionary when you write your raps!” Ross’ bars got longevity.,en
88,Saw this on an ad and ended up watching the whole thing through. Great music and the beat is lovely.,en
89,Ross and Alchemist need to do a tape... shit would be impeccable,en
90,"This beat reminds me of me and my pops on our way up a mountain to go fishing with our Capri Suns, ham and turkey sandwiches, and a big Value bag of Lays potato chips with fishing poles and tackle box in the back, and the cooler making that shaking ice noise,  while pops bumps Kenny G and Miles Davis with the window down smelling nothing but Pine",en
91,"Freddie, Griselda and Alchemist owning 2020 ",en
92,Solid music as always ,en
93,This has to be one of the best rap songs of all time.,en
94,"this video was like a movie, I was glued to the screen, direction and visuals were beautiful inside the boat, and just the sequence of enjoying all those great gifts, smoking good, eating good, sex is good, the video just a really good representation of what it feels like, pure euphoria",en
95,Shits DOPE!!! Ross puts the icing on the cake to tracks like this !,en
96,So nice. Freddie been holding this hip hop shit down fr. Shout out Alchemist!,en
97,Rick Ross (with) Freddie Gibbs always ,en
98,Freddie Gibbs is rapper  that I love to listen to.combined with Rick Ross! It’s a classic for sure!,en
99,Freddie killed this one ,en
100,"the song is fire, the video is fire, the instrumentals is out of this world.. but we really need to talk about Ross having a landline rotary dial telephone in 2020",en
101,"About time somebody got away!! Thank you brothaz for the video, all parties involved.. Peace and stick together",en
102,Alfredo has been on repeat since it came out... best project of 2020 by far,en
103,One of my favorite tracks of the year,en
104,"""Sometimes it be your own damn homies, Judas set Jesus up"".",en
105,Gibbs always been  and Ross stays elevating artist you gotta respect the hustle,en
106,"Alfredo is a masterpiece.

Freddie is honestly the closest thing we have to Pac and honestly takes K.dots “go to hip hop artist”",en
107,Lowkey Freddie has a better discography than almost all of his peers on the Freshman XXL 2010 Cover,en
108,This album Is a masterpiece 10/10 few like it,en
109,Glad I found this . Smoothest track I’ve heard in a min . Reminds me of old Wiz ,en
110,The whole tape is just fire.,en
111,We need a Ross x Alchemist project,en
112,Song is a masterpiece.,en
113,Still love hearing the MMMAYBACH MUSIC.. melts like butter on Alc's beat,en
114,"man it’s so good, he doesn’t miss",en
115,This shit is BODYGUARD HARD!!!!!,en
116,Wow Alchemist did his thing with the entire album and I'm becoming more and more of a Freddie Gibbs fan. FYI: I love the brownskin girl representation in this video. Sis is beautiful,en
117,Alchemist has always been in my top tier of producers,en
118,"""dark horse, rap black sheep, they got me vilified"" 
I felt that shit...",en
119,Probably heard this song like a thousand times and it doesn’t get old ,en
120,We need the Alchemist and a Rick Ross Album,en
121,First Freddie Gibbs song I've heard and I'm now a fan tho,en
122,This beat was meant for prodigy i can feel it .. and rip p and freddie goes in on this,en
123,Thanks Freddie for Finnishing the movie with a fraction of the budget and the ending I needed to see.,en
124,This is gonna be a classic man,en
125,"Freddie and Alc been restless,man .They’re the literal description of the “i’ll sleep when i’m dead” artist.",en
126,"Ever since 2014 Freddie has been putting out only quality music, I’m pretty sure that this man is able to put out bad music and I’m all for it. ",en
127,This sounds like something Prodigy would destroy.,en
128,This album is lit!,en
129,The fact he shot the officer on the Queen & Slim line... so well done. This song been on repeat.,en
130,"Got this shit on repeat. Freddie Gibbs the Groovy Gangsta, he stay wit the smooth shit. Keep doin what you doin. We love it!!!",en
131,Freddie the Best rapper on the planet!!! ,en
132,This beat is soulful.....damn...,en
133,Rick Ross is back!! This a classic!!,en
134,You got the right person on this classic type soul beat. #Facts,en
135,First verse so perfection ,en
136,Keep waiting on some more drums to drop.....beat is so ILL,en
137,"Freddie Gibbs makes Dope music, great visual from Slim & Queen. Freddie actually made it to the island ",en
138,This might be my favorite song of all time.,en
139,Alchemist is in my top 5 producers of all time!,en
140,2020 real dope music for a change appreciate it Gangsta Gibbs and Mr. Roberts 1luv not being materialistic is understanding the struggle this get way deeper than a rap video ,en
141,"Freddie Gibbs mate, and the legend Alchemist, great work much respect.. freshest shit in long time",en
142,"Im so happy they chose this song for a video, Ross verse is fire too, he flexes like a boss.",en
143,This track is Fire Freddie Gibbs did it again.,en
144,"Nice collab, both fit so well on this beat",en
145,"I've seen this video a thousand times. It's not that I'm just now noticing this, but rather the significance of it..... is the fact he got George Floyd protests on the TV. That will forever tell the climate and time period that this video was made. And it was a quick look into reality, in an otherwise perfect visual of the story being told. Bravo Gibbs.  ",en
146,I like how Alchemist changed his style since Gangrene 1st album. He is completely different from this moment. This beat reminds me Albert Einstein album.,en
147,This jawn with alchemist is instant gold,en
148,"You ever listen to a song and visualize how the music video would go? This is it. The whole Alfredo can either be a movie or a soundtrack for a movie. Beautiful execution, the lead actress complimented the video respectfully. What better place than Miami to capture everything, the song sounds like a getaway heist.",en
149,We need an Rick Ross and Alchemist album. Freddie Gibbs killed this shit too. But Ross compliments this track very well.,en
150,This song is a work of art....,en
151,"“Spark spliffs, raw kicks, I give 'em Clark Kent
Common sense, no Prince, strictly the mob hits”

Why is everyone sleepin on this?",en
152,in 15 years this will be a classic,en
153,Pulled us all through that first pandemic summer.,en
154,"ross should make more music like this, he goes hard af on these type of songs",en
155,Ross should make an album with Al.....he always had that ear for beats......,en
156,Banger for sure. Would love the opportunity to work with Freddie Gibbs.,en
157,Freddie gibbs been on fire this last 4 years,en
158,Oh this here is definitely relevant Love it,en
159,Man if the Grammys don’t nominate Gibbs for a Rap Grammy imma riot,en
160,freddie needs to be in a movie lol,en
161,I’m from the U.K. and all I’m saying is Freddie gibbs is the most underrated rapper he always comes 🇬🇧,en
162,they are just the best at what they do,en
163,"Glad they finally  working together  I felt  Gibbs  should have always  been with Rick  Ross, they  blend  so well together. Hope to get more classic's from these two.",en
164,Alchemist and a Ross tape is needed ASAP!... ️,en
165,Freddie and Maybach Music??? legendary ,en
166,what a sick tune live thanks for the performance in vicar street love from ireland,en
167,And this version actually has a HAPPY ending!,en
168,"I know there is a lot of shit going on in the world right now... but this is one of the best albums/tracks of the year and it’s a great way to start the decade in terms on music. Y’all quit sleeping on Alchemist and Gibbs ️ big Ross came  in clutch this track, He fit so nice with the beat/vibe.",en
169,Freddie Gibbs Is One Of My Favorite Rap Lyricists Of All-time Dope Track And Video Rick Ross Is One Of My Favorite Rap Lyricists Of All-time Too Gray Indiana Legend And Miami Boss Come Together And Kills Dis Track Dope Beat Alchemist Is A Very UnderRated Producer,en
