,comentario,liguagem
0,"LET’S BE HONEST, DOJA CARRIED THIS SONG… I mean her voice is unique and you can’t stop listening ",en
1,Doja never disappoints with her lyrics!! Her pen game is on point!! She is so creative and versatile!! She obviously puts a lot of dedication into her craft!! Her talent clearly speaks for itself!!,en
2,I love that Saweetie is constantly improving. I love her voice in this. Seems like shes experimenting with her sound. Her rap style is slightly different from her other songs/features. Love this growth for her.,en
3,I really like the hook from both the ladies. How it goes from Doja's animated and quirky voice to Saweetie's sultry voice they both carried this song,en
4,Doja is in a class all by herself. Very unique different and can switch it up. She  bodies every song & verse.  ,en
5,"I actually like how they didn’t just do the typical 16 bar feature, all 3 artists were present throughout the chorus and verses. And they had really good interplay.",en
6,"I wish doja would do more songs like this, they ain’t gotta be thotty but I like when she raps on songs and gets into it! I like her other styles too but I like her raps better",en
7,"i love saweetie and doja together, their voices amd flows compliment each other so well",en
8,"Great job Doja!! Not a Stan but you are one of the only couple artists in the game who deliver at a high percentage, similar to prime young money artists! I love what you do to the game",en
9,"doja has such great presence vocally and visually, hits every beat on the track, hits every angle in the video",en
10,"Doja Cat inspired me to go all in with the music because she was once just like me, an artist trying to get heard. And now she’s on top. I believe it will happen for me one day, Im not stopping when it does!! ",en
11,"She didn’t JUST carry the song, she carried the video too!!!! You all know exactly who I’m talking about! ",en
12,"Doja's back must hurt, she carried the whole song.",en
13,I been a fan of saweetie and doja for a long time!! Before the fame. I knew they would blow up! They made this song a banger ️,en
14,Doja has a really incredible vibe that you just want to keep coming back to listen too and you will never get bored or annoyed listening to this great song.,en
15,Doja deserves an award for her look too and not just her bars. I love it!!! ,en
16,Doja car & Saweetie & French Montana never disappoints when it comes to visuals,en
17,I used to love Doja cat before she blew up And this is the first song after that im feeling it Love her vocal and styling in this song.,en
18,Doja Cat is so versatile and talented. Her word play is phenomenal,en
19,I actually love Saweetie’s verse.,en
20,"Doja Cat is really the new supreme. The face, the stage presence, sex appeal, body. An equally good rapper and singer. Saweetie ate too. But it’s Doja’s world and we’re living in it.",en
21,I love her voice and confidence and she is so much fun to watch,en
