,comentario,liguagem
0,The first song I ever heard by chase will always be my favorite (edit: I did not know I had 3.2K likes on this comment ),en
1,"Girl, tell me what you're doing on the other side?
And so, just tell me what you're doing with that other guy?
'Cause I ain't got patience to slow down the bass
All your girlfriends are wasted",en
2,This song brings back so many memories and not all of them are good but they still remind me of how far I have come,en
3,This is honestly one of my fav songs of them why is this so underrated,en
4,This should be one of their most successful songs. How is it not???,en
5,damn 2019 and still jamming to this,en
6,"Pode se passar 50 anos, Chase Atlantic sempre vai ser minha banda fav",pt
7,I first heard this on Spotify. My playlist stopped playing and then this song played. Glad I didn’t skip it ,en
8,Eu sou muito apaixonada por essa música! Eles têm muito talento,pt
9,2020 and still a jam and will always be,en
10,4 yrs ago and this song still hits that spot,en
11,Meuu deus eles merecem muito sucesso porque eles sao muito bons aaaaa🇧🇷,pt
12,I’m getting mad “The Neighbourhood” vibes from this,en
13,É incrível como eu continuo sentindo essa vibração INEXPLICÁVEL todas as vezes que ouço esse som!! ,pt
14,"Meudeuuuus as músicas deles são tudoo, eles precisam de mais reconhecimento!!",pt
15,i love Chase Atlantic with my whole heart and it makes me so mad that tik tok found them :’( but i hope they get the recognition they deserve,en
16,Perfeitos demais!!!,pt
17, This song is so perfect ,en
18,This has been my very favourite song for over a year now and i’m still not tired of it. goddamnit I love this song so freaking much,en
19,this gives me such chill vibes,en
20,Do tempo que eu escuto essa música até hj não parei  é mto boa,pt
21,I love this song ,en
22,I love this song️,en
23,"Estou a ouvi desde completou 6 meses que foi lançada essa música, simplesmente perfeito ",pt
24,Agradeço a Alice por ter me apresentado essa música incrível ♡,pt
25,Essa música é perfeita pqp,pt
26,Sem comentários para dizer o quanto essa música é viciante.....,pt
27,Eu AMO ESSA MÚSICA!!!!!,pt
28,This song will always be my favorite ️,en
29,ESSA MÚSICA É PERFEITA MEU DEUS,pt
30,Favourite song of Chase Atlantic. I love it,en
31,this song deserves more recognition fr it’s so good it’s the first chase atlantic song i heard about 6 months ago,en
32,I'm gonna listen to this for life!!!!,en
33,ESSA MUSICA E PFT AMOOOOO️️️️️️,pt
34,Bruh. I'm ready to buy merch. You guys are so awesome and this really hits me. Stay cool!,en
35,AMO ESTA CANCIÓN CON TODA MI ALMA,pt
36,This song is a masterpiece,en
37,musica muito boa,pt
38,Love this so much ,en
39,Foda demais !!!!!!!,pt
40,Cara quando EU ouvi essa música me apaixonei por todas as outras kkkk incluindo a voz do cantor qui canta elas,pt
41,4 years later still a masterclass,en
42,"I just heard this one I ended up downloading the entire album-EP, such a good song.",en
43,amo demais pqp,pt
44,"OMG I loved the song so much, now it's one of my favorites ",en
45,"Girl, tell me what you're doing on the other side?

And so, just tell me what you're doing with that other guy?

'Cause I ain't got patience to slow down the bass

All your girlfriends are wasted",en
46,"Lyrics:

Girl, tell me what you're doing on the other side?

And so, just tell me what you're doing with that other guy?",en
47,"This beautiful song has been 4 years in youtube and I discover it NOW?!?!
Why nobody tell me this masterpiece existed before?",en
48,My favourite song from this amazing boysgives ne goosebumps ️‍️‍️‍️‍️️️,en
49,this song is art ,en
50,Mais uma vez estou vicianda nessa música,pt
51,"Girl, tell me what you're doing on the other side
And tell, just tell me what you're doing with that other guy
'Cause I ain't got patience to slow down the pace
All your girlfriends are wasted",en
52,Essa música é boa demais ,pt
53,please tell me that i’m not the only one who would die to go to a Chase Atlantic concert:)),en
54,Ouço tds os dias viciei kkkkk,pt
55,"I swear, they have no bad songs.",en
56,Agradecendo ao courtesy por ter me apresentado essa maravilha,pt
57,This music= everything to me♡︎,en
58,this will always be their best song,en
59,"I love this song. I remember the first time sharing it with my sis and I was so excited about it..she says ""this sounds like teeny bopper music""  my poor heart",en
60,chase atlantic never fails to impress me,en
61,"tradução: aqui nao tem namoro, eu te quero so como amiga
..
so como amiga
so como amiga",pt
62,This song is amazing. Why isn't it more famous?,en
63,Chase atlantic songs give me nostalgic feelings (*_*),en
64,this song is a vibe.,en
65,"The vibe, the music , this song is soo good",en
66,muito boa,pt
67,"Dear Chase Atlantic, it's my comfort zone, like any song of these three I'm in love with. I love you three.",en
68,Cadê os br amantes de músicas nessa vibe🇧🇷🇧🇷🇧🇷,pt
69,how is this song so underrated omg?? it’s amazing!,en
70,It’s 2023 and I still surprised this song hasn’t gone viral ,en
71,"What a great song Chease Atlantic , I really loved it, you broke it all, I kept going 
I love you so much Chease Atlántic ",en
72,My fav song of all time ,en
73,"It's soo shocking that my taste of music is different and hard to find it and this is just perfect for me.... I LOVE CHASE ATLANTIC

  Edit:CHASE ATLANTIC is a bomb ass group with almost no negativity....",en
74,This song is always on repeat,en
75,I love this song ,en
76,2020 and still jamming out to this song,en
77,This song is so addicting!!,en
78,i love this vibe,en
79,I found this now.. I'm already in love with this ,en
80,The Neighborhood + Artic Monkeys + Chase Atlantic= perfection  ,en
81,Favorite song by them,en
82,I LOVE THIS SONG ,en
83,"THIS SONG IS AMAZING!! if you disagree, FIGHT ME",en
84,Eu to apaixonada nessa musica,pt
85,God ...i love this song,en
86,"I am the only one who when he hears this song makes him want to cry, but at the same time he is happy because he loves this song
?",en
87,"this will be my forever song, please play this at my funeral, wedding, idc just do it",en
88,this song represents one word.....perfection,en
89,"essa música me traz boas lembranças... escuto ela todos os dias (literalmente). essa música lembra do meu ex, ele era fiel demais só que na época eu não era.. eu dediquei essa música pra ele quando a gente terminou, ele não gostou muito da letra mas eu disse pra ela o quanto essa música significava pra mim
ele tem o mesmo gosto musical que eu, ele escuta todas as músicas que eu escutava.. ele já deve ter parado com isso e continuado a vida :/ sinto falta dele, do jeito que ele me tratava e espero que ele possa me perdoar depois de tudo",pt
90,This song ages like wine the older it gets the better it becomes. ,en
91,This song gives me chills,en
92,You Feel like you want to hold the mic and just sing with them up in the stage,en
93,This song makes me feel some type of way but I don’t know what and why,en
94,Que música foda é essa ??? Top demais,pt
95,I think I broke the replay buttonI love this song,en
96,"I'm not a fan, but this songs hits hard.",en
97,This single alone is better than most trap/mumble rap songs on the radio nowadays don't @ me,en
98,This song just bring me a whole different vibe :)))),en
99,A melhor concerteza,pt
100,my favorite group ahh they are beautiful beautiful voice ,en
101,I love this song ,en
102,I'm just crying. I'm obsessed with this masterpiece...,en
103,Vcs são bons pra porra love youuuuuuuu,pt
104,This song makes me cry i love it so much,en
105,"Now look what you've done, you've done this chill song. ",en
106,The best song ever️️️️,en
107,I will pay these guys to perform at the Grammys and that's final,en
108,"“And what the hell were we, tell me we weren’t just friends, this doesn’t make much sense” i felt that on a different level like ",en
109,"bro i fucking love this dude so much, my bsf introduced me to him the only song i knew before was Swim but, now i listen to all his music this one is my favorite along with consume & slow down.",en
110,"""Tell me we weren't just friends this doesn't make much sense"". This shit hits, man",en
111,Essa é a mlhr e todos concordamos né?,pt
112,Chase Atlantic songs are my guilty pleasure.,en
113,This song is everything to me ,en
114,"""Cause what the hell were we? tell me we weren't just friend, but I'm not hurt I'm tense cause ill be fine without you babe"" Amazing",en
115,i love this song,en
116,2023 and still listening to this masterpiece <3,en
117,"Não me diga que somos só amigos, isso não faz tanto sentido ---",pt
118,This song is everything,en
119,i love this ,en
120,this will remain iconic periodt.,en
121,"Que música maravilhosa , amo vcs ",pt
122,porra! por que eles não tem o reconhecimento que merecem?,pt
123,"a única msc q me faz chorar.
conheci essa em 2021.",pt
124,how tf can this song be SO GOODDDDD!?!? I mean like I’m just obsessed with it...,en
125,2022 and still listening to this song,en
126,possui um total de zero defeitos e não surpreende ninguém,pt
127,"All that I can say is that I'm happy Spotify recommended me this song, but if only it was sooner!!ಥ_ಥ Cuz I needed Chase Atlantic in my life quicker ಥ‿ಥ",en
128,i told my crush i like chase atlantic and he made me feel like this song wow he's so kind !!,en
129,Man its 5 years ago but its still FIRE,en
130,Bro they deadass don't have a single bad song,en
131,Wow I LOVE THIS SONG,en
132,STILL THE BEST SONG EVER,en
133,ugh i just wanna go to their concert next year here in brazil omfg,en
134,"I understand every comment, one day we will all get through this phase one day my friends.",en
135,omg this song is sooooo good,en
136,Tenho um xodó pro essa música,pt
137,"Só no ""girl"" eu já comecei a chorar ",pt
138,1:33 perfect lyrics ,en
139,i love this song soooo muchhh.,en
140,My opinion.... Chase Atlantic is underrated,en
141,still a bop in almost 2021,en
142,my favorite chase atlantic song,en
143,this song is everythinggg,en
144,i just love them,en
145,Idk if they have or not but they should totally do a song with the neighbourhood,en
146,Infelizmente eu estou vivenciando essa msc novamente. “Namoradinhos q ñ namoram…”,pt
147,TELL ME WE WERENT JUST FRIENDS THIS DOESNT JUST MAKE SENSE,en
148,"The moment when you dont have a fav. song, cause everyone is sooooo gorgeous",en
149,Eu tenho um vício tão grande nessa música.,pt
150,I want my life to feel like this song,en
151,ahh this is the most played song on my phone i love it so much,en
152,It's 2023 and I'm still living with this:)),en
153,This was The first song i heard by Chase Atlantic,en
154,THIS IS SO GOOD,en
155,This song catches my feelings so bad at 1:33 ,en
156,2023 and still chillin' right here!,en
157,Its 2020 and im still this shit really good and it hurts,en
158,"i want they to be famous, but i want they as my secret",en
159,What the hell were we ?!? Tell me we weren’t just friends ️ #love,en
160,eu que fui o manipulador mas... pq fui me apaixonar por ela? olhos pesados agora.,pt
161,"Girl, tell me what you're doing on the other side?

And so, just tell me what you're doing with that other guy?

'Cause I ain't got patience to slow down the bass

All your girlfriends are wasted",en
162,"great work man, keep up betther",en
163,This song is way to fucking underrated my favorite song atm!!!,en
164,The first song i’ve heard from “Chase atlantic”️️,en
165,Can we appreciate the bass on this like daaaaamn,en
166,"Depois de descobrir que essa música foi feita pro Kras, não ouço mais do mesmo jeitohklkkjmjklj
Eu tinha começado a odiar dessa música e tava mega enjoada de ouvir, comecei a gostar de novo só por causa disso. Deu um ar diferente.",pt
167,This song slaps!,en
168,Its 2023 and I’m still listening to this,en
169,this is the kind of the song u would slowly dance too and become high,en
170,better than anyone,en
171,i discovered them in spotlfy with this song and now im addicted ugh,en
172,They r so underrated it hurts,en
173,i need this back in apple music,en
174,This Song is everything omfg,en
175,Missing it on Apple Music ,en
176,2023? This is MASTERPIECE,en
177,"he dedicated this song to me when we were dating, before breaking up....unfortunately 70% he was right :/",en
178,this is so underrated,en
179,This Music is very good.,en
180,So nostalgic ,pt
