,comentario,liguagem
0,"This song is addictive, you can feel the anger but it’s soothing at the same",en
1,"This is one of the songs ever created. The lyrics was written, the words were sung, the instrumental was created. This is definitely a song",en
2,I love this song cuz she just expressed her self her emotions and her thoughts,en
3,I love her style and this song ,en
4,"I absolutely LOVE this song! I could listen for hours… it’s so light and fun but so true and real, ya know? ",en
5,gayle voce e linda cara sua musica espressa tudo que ja passei. tenho 15 anos moro no brasil cidade de belo horizonte,pt
6,"I liked this song just because she sings “everybody but your dog…”
TRUE! The saddest part about losing a bad friend/ex is having to say goodbye to their animals.",en
7,Alguém mais arrepia ao ouvir essa oração? ,pt
8,Amo 🇧🇷,pt
9,"Not usually the sort of music I like but I can relate to this very heavily. My ex girlfriend destroyed my reputation, alienated me from all my friends and exposed personal secrets to people I didn't want knowing.",en
10,This song sounds like it's 20 years old. Makes me nostalgic,en
11,I've been listening to this song for a while. I kind of knew the lyrics. Today I decided to read the lyrics while listening and holy crap. It is literally describing my ex and what he did. So that's great and now I love this song even more.,en
12,I thank the social media. Its a  masterpiece song.,en
13,This song is great to listen to when you are angry,en
14,Best breakup song ever love it just how I feel after a narcissistic ex tried to screw up my live after a break up.,en
15,The 2000s girl punk vibes are EXQUISITE. ,en
16,"É Foda! Amei esse Som Vibe Estilo Rebelde, Da hora...🇧🇷",pt
17,"A pleasure for my ears to listen to this work of art, and how beautiful they are ",en
18,"THE MOST ENGAGING/stimulating song I have have heard in years!!!  Pure perfection in every way, and that voice/harmony - just unreal!!  This should reach 10 Million views at least.  I make sure I share with one and all....",en
19,His father is probably happy that he wasn't mentioned in this song ,en
20,"I think she has this irresistible charm about her, I hope she makes more great songs like this. the lyric is catchy and playful and full of emotion at the same time. bravo!",en
21,Amo essa musica até hj <3 é MT boaa!,pt
22,This is somehow proof she’s lowkey a one hit wonder. This song is heavily known with 200mil views while her other stuff at the most is 100k views. Hopefully she can get back up there,en
23,Something inside of me broke watching this. It's just the vibe. It reminded me of that one summer that will never come back,en
24,"It just describes all the anger that could be in someone’s heart, I just love the vibe",en
25,"Love the raw, bluntness of this song and she has a great, unique voice too!",en
26,I wish I had a group of friends like this ️,en
27,I can see this being me and my friend when I’m older !,en
28,Cadê os brasileiros pra apresiar essa obra prima??,pt
29,"Tava curtindo o toque... Aí fui pesquisar a tradução, cara!!!! Que obra de arte  rachei!!!!",pt
30,This song is a vibe on its own. I swear to god every time I hear it I want to yell and scream out loud to those who've hurt me in the past. Glad I've encountered this song before it turns into a massive hit.,en
31,This is what music does for us. So needed cause it taps into all of us. We've all felt everything sung here ,en
32,"They rock hard , great song :)",en
33,"The words, the lyrics everything in this song represents me ️",en
34,"Most brutal of songs that hit home for me. Makes me tear everytime...
--abcde",en
35,She looks like she has a lot of potential to become an amazing artist. I  came upon this song by chance and I really loved it and now I'm a fan. I look forward to her future endeavors.,en
36,Tô eu aqui um ano depois... escutando de novo,pt
37,one of my favorite songs ever.  my ex wife put me simply playing this in the legal paperwork for our divorce.  ,en
38,QUE HERMOSA CANCION ES ESTA GAYLE TE FELICITO ,en
39,I love this song thank you for making this song,en
40,"Essa música é maravilhosa , adoro a parte q ela xinga todo mundo ,menos o cachorro ,mto boa ️",pt
41,"This bring back the days of the 90's and early 2000's. 

Awesome song and really talented singer. Keep on rocking.",en
42,"I can't help but sing along what a flow , such an amazing song",en
43,This song just proves how different guys and girls take a break up,en
44,I appreciate the fact that she says ‘everybody but your dog”!  This is what gives me faith in humanity ! (Thank you to everyone!!),en
45,""" i was into you but i am over you now. I was trying to be nice"" hits hard cause its true  some relationship are toxic but being well raised can play it back same way",en
46,Pertencente elo profundo e fabulosa música! Linda e magnífica!,pt
