,comentario,liguagem
0,Chorei vendo o filme e desidratei vendo esse clipe lindíssimo  Você entregou TUDO Giulia ,pt
1,"O Brasil precisa de mais filmes nacionais assim, nós temos total potencial pra isso",pt
2,"Meu marido com 29 anos teve um aneurisma cerebral e teve morte cefalica em cima da nossa cama, numa terça feira comum, eu tinha acabado de colocar mossa filha de 8 meses no berço quando ela dormiu e fui ve-lo, corremos pro hospital, ele não teve reação e na 2° parada cardíaca ele não resistiu. Tínhamos acabado de começar a nossa vida, nossa casa, nossos sonhos, nossos planos, nossa família e tudo acabou em um instante, eu sinto que esse não é o fim, nosso amor era puro, e um dia eu vou reencontrar o meu amor. ",pt
3,"Vi esse filme depois da  mulher da minha vida ir embora deste mundo devido a cancer, chorei parecia um dilúvio. Onde estiveres Andreia parte do meu coração será eternamente teu. Obrigado pelo nosso filho de um ano e meio que deixaste, ele é igual a ti ️ falarei ao Lucas da grande mulher que eras. Preciso seguir em frente,  e eu sei que me querias feliz. Brilha até ao final dos tempos minha Andreia ️",pt
4,"Quando escutei essa música, só consegui pensar em Jesus… inacreditável.",pt
5,"Minha mãezinha morreu dia 21 de abril de câncer no pulmão, com 44 anos, nova demais, e essa musica é realmente linda demais e me faz pensar nela, que eu ainda vou reencontrar ela",pt
6,Só pra quem chorou horrores com o filme e veio procurar a música pra salvar e ficar sofrendo mais vezes ️‍🥹,pt
7,"Dedico essa música pra minha avó que partiu em 2013 e me deixou nesse mundo cheio de sofrimento onde não existe tanto amor, não tanto quanto ela me dava, era uma mulher extremamente forte e linda, fazia de tudo por mim e me criava de maneira maravilhosa. Saudades voinha",pt
8,"Só quem viveu essa música, sabe a intensidade de cada palavra.",pt
9,Só quem perdeu o amor da vida entende a profundidade dessa música...,pt
10,"Em Junho completam 15 anos de sua partida e minha vida nunca mais foi a mesma. Fecho meus olhos e todas as lembranças permanecem vívidas, sua voz, seu sorriso, seu cheiro, seu jeitinho de andar, suas palavras em nosso último encontro, 4 dias antes de você nos deixar. Eu vivo na esperança de te reencontrar Sylvester, Te amo eternamente ",pt
11,"Perdir minha mãe a alguns dias atrás, e dedico essa música a ela, pois sei que a nossa história não acaba aqui e que em algum lugar iremos nos reencontrar, tenho certeza que tem um final infinito para nos duas...
Te amo mainha",pt
12,"Sei que você não veio com a intenção de ler esse comentário! Mas Jesus te ama e está contigo independente das circunstâncias e dos seus erros, não desista dos seus sonhos nunca. E ele está de braços abertos esperando você se achegar até Ele ️",pt
13,"Quando eu escutei essa música eu achei que era internacional. Falta mais músicas no Brasil desse jeito, pegada internacional, mas em português.",pt
14,"Além da música ser linda, lindo mesmo tbm é ler as histórias de vida nos comentários. Arrepiei e ....chorei",pt
15,"O lado ruim dessa música é que ela acaba, por mais que uso em momentos triste, ela me ajuda de mais ",pt
16,"Filme de muito bom gosto. Mostrou música clássica, cultura de verdade. Parabéns @Netflix acertou!!!! Por mais obras assim. Giulia está de parabéns atriz e cantora nota 1000!! Muito lindo o trabalho de vocês",pt
17,Toda vez que sinto saudade da minha mãe venho ouvir essa música. ,pt
18,"MUDOU O MEU CONCEITO DE FILME BRASILEIRO! ENREDO, ATORES, DIREÇÃO, TRILHA SONORA! ELEVARAM O NÍVEL DOS FILMES BRASILEIROS. 
PARABÉNS A TODOS OS ENVOLVIDOS! ️🇧🇷",pt
19,Que música  toca a alma voz linda ,pt
