,comentario,liguagem
0,compartilhe aqui o seu #momentoinesquecível,pt
1,GIULIA É MUITO TIRO PRA UMA PESSOA SÓ,pt
2,"uou! já se passaram 2 anos, e apesar disso a música continua sendo maravilhosa ",pt
3,"O quanto a Giulia Be é LINDA não ta escrito, a presença de palco dessa mulher então nem se fala SENSAIONAL!! S2",pt
4,"PQP, Luan ja é um astro da musica mas a Giulia eh bizarramente TALENTOSA, QUE VOZ, QUE PRESENÇA, QUE TALENTO NATO, BORA VALORIZAR NOSSOS ARTISTAS !!!!!",pt
5,Adoro os clipes ,pt
6,"Letra
Vou começar dizendo
'Cê nunca me deu um final
E eu nem sei se eu quero (se eu quero)",pt
7,O timbre da Giulia Be é único .,pt
8,Já se passaram dois anos e essa música e o amor ambas são inesquecíveis ,pt
9,"A musica é simplesmente perfeita, mas esse clipe É MARAVILHOSO.",pt
10,"Caraca já vai fazer 3 anos desse clip , com certeza é inesquecível ",pt
11,"A contracenação da Giulia é impecável, não dar pra piscar. As jogadas de ombro, caras e bocas. Parabéns Giulia. O clip ficou lindo e como ditos em comentários anteriores, o clip tem uma fotografia surreal.",pt
12,"sempre formaram uma dupla em tanto, em ?    
adoro a giulia Be vai fazer historia vai ser como: ''inesquecivel'' PERFEITA",pt
13,"Eu não me canso de ouvir essa música!!
O talento de vocês é um brilho ",pt
14,"Revendo várias vezes  ,digo:foram feitos um para o outro.",pt
15,"Deve ser ruim não gosta do Luan Santana ,pq que defeito a pessoa vai colocar nele? Na moral ele é o cara  charmoso , talentoso ,e merecedor de todas as suas conquistas e bençãos de Deus ,ele é o cara ️️️️",pt
16,A conexão deles é surreal nesse clipe 🇧🇷🇧🇷🇧🇷,pt
17,"Quem diria que a menina que fez o cover de ""Deixe-me Ir"" se tornaria uma das maiores artistas pop do país ️",pt
18,Esses dois estão fazendo um sucesso atualmente! ,pt
19,"Jurava que era gringa ! Realmente temos muitos talentos no nosso Brasil , merece todo o sucesso e brilhante como atriz ! Sem comentários",pt
20,"Eu sou apaixonada da Voz e na Vibe dessa mina, ela transmite algo tão bom que nem sei explicar o que é.",pt
21,NÃO me canso de ouvir essa música essa melodia é maravilhosa e com ela trás tudo  de maravilhoso.,pt
22,Quando junta dois artistas talentosos cheios de atitude é sucesso na certaaa!,pt
23,A voz dessa menina é incrível.,pt
24,"Já acordei com o inesquecível ️ na minha mente, inesquecível não começar o dia ouvindo esses dois incríveis talentos.",pt
25,Giulia tem uma voz muito diferenciada.  E ela com o Luan ficou muitoooo envolvente.  ,pt
26,"Excelente trabalho,dois gigantes da música. Continuem a brilhar! Desde Portugal,grande abraço! ️️",pt
27,"Voz perfeita, pra completar fazendo dueto com Luan Santana, amooooooo d +",pt
28,"Tem amores que por mais que a gente tente..não dá pra trocar,substituir,existir outro,é realmente inesquecível ",pt
29,Boraaaaaa colocar essa música no top das plataformas de streaming. A Giulia e o Luan Santana merecem. Já é hit!!!,pt
30,Não  me canso de   ouvir Giulia  be .simplesmente apaixonada pela voz dessa menina .lindíssima  ,pt
31,2023 e a música vai sempre ser inesquecível para todos ,pt
32,"Já tinha ouvido essa música, assistir o filme “depois do universo” e lembrei dela 
Maravilhosa ",pt
33,"Isso sim é um voz tocante..
Que voz dela",pt
34,"Incrível como a Giulia brilha pelo seu talento, ela n apela em roupas sensuais, ou fica exibindo o corpo pra ter atenção. Ela é talentosa, tem originalidade, tanto em suas músicas,  voz, letra, jeito. Ela é inesquecível, tudo q canta vira hit",pt
35,Essa DEUSA ainda vai ganhar o mundo que pena que ela não é muito conhecida no Brasil,pt
36,"@Giulia Be, Você representa a nossa nova geração, eu te amo demais você é maravilhosa e tem um jeito tão único e peculiar, você tem suas próprias regras, seu mundo e segue suas intuições. Parabéns você é uma inspiração pra mim. ️",pt
37,Eu nunca vou deixar de amar essa música meu deus do céu ️ e é uma dupla lida ,pt
38,deus abençoe isso sim e musica,pt
39,"Do luan a gente já esperava mas essa giulia cada vez se revela mais. Que voz muito diferente e linda, uma artista de verdade, criativa, pura!!! Amo seu trabalho giu!!! Portugal, vem logo ️",pt
40,"Essa rouquidão na voz da Giulia Be é fantástica... 
Fora que ela canta maravilhosamente bem em qualquer língua.",pt
41,A Química entre eles PERFEITA! Produção incrível clipe tudo inesquecível!,pt
42,Eu amo quando a Giulia fala “mesmo que você não queira”,pt
43,"Conheci a música somente agora, que perfeição, fascinante! Já faz parte das minhas favoritas.",pt
44,Escuto 24 horas por diaaaaaa amei .,pt
45,"GENTE EU AMEI, por mais músicas brasileiras nesse estilo... boa produção e ritmo",pt
46,"Poderosa com sorriso tímido, irresistível. Se ficar com o pé no chão vai voar longe :). Parabéns aos 2!",pt
47,"Eu amei esse clipe deles, acertaram na música pop essa música é inesquecível ",pt
48,Julia Be! Realmente inesquecível! Estou estonteado com tua linda voz e canção! Impreterivelmente já estou sendo teu fã! Princesa!,pt
49,Q música !! Passa o tempo q for quando ouso nunca enjoa.. ,pt
50,"Que parceria véi, impecável, já viciei, sou apaixonada nesses dois.",pt
51,Amo a voz dessa mulher canta muito ,pt
52,Amei essa música! 2021 lá vamos nós concluir com essa música,pt
53,"Lindo a forma que ela pronuncia inesquecível, esse sotaque é tudo , Giulia seu jeito de cantar é maravilhoso ",pt
54,O ANOITECER SERVE PARA NOS MOSTRAR QUE NENHUM MOMENTO DURA PARA SEMPRE. O AMANHECER NOS MOSTRA QUE SEMPRE PODEMOS RECOMEÇAR ,pt
55,"Clipe cheio de referências. Referências a Too Bad, Não era amor e menina solta ali. Já quero tocando nas rádios",pt
56,Ela é muito lindaaaa e tem uma voz incrível !!! ,pt
57,Até hoje não consigo decidir se eu gosto mais dessa versão ou da versão em espanhol. As duas são PERFEITAS,pt
58,"Sintonia Inesquecivel 
Que vibe  aguenta coração por que esses  dois talentos  é  Inesquecivel. ",pt
59,Maravilhosos ️,pt
60,So in love with this song! Beijinhos da l'italia ️🇮🇹🇵🇹,en
61,"Lançaram o hit de 2020 já to vendo dominando as rádios até ano que vem, que viciante!!",pt
62,Luan todo ritmo de música fica ótima na sua voz,pt
63,Conhecia essa música mas não tinha visto ainda o clipe. Eles tem uma química incrível!,pt
64,Momentos inesquecíveis é ouvir a voz dessa deusa,pt
65,Princesa do True Pop ,pt
66,"A voz da Giulia combina com qualquer música,sou mt apaixonada por essa garota perfeita te amo dmss",pt
67,Música perfeita! harmonia maravilhosa! Parabéns!,pt
