,comentario,liguagem
0,"that's what I wanted in my country, artists like you!

thanks for this art!",en
1,This song has a way of both calming me and tearing me apart inside thinking about my past relationships. Truly a work of art,en
2,"If words could express how I’m feeling right now, this song would be SPOT ON!! Thanks Giveon ",en
3,"É tão satisfatório ver o Giveon alcançando o reconhecimento que merece, gravando músicas com artistas como Justin Bieber. Não sei nada sobre a pessoa dele, mas como artista ele com certeza merecia e merece todo reconhecimento. ♡",pt
4,"I am endlessly grateful for this song. It has been my comforting song for 2 years, no matter what my mood is, this song resonates with my soul. The best thing my ears had ever listened to",en
5,"Since it's been about a year, I've been going through a challenging moment in life. and this tune is clearing my head. I appreciate it, Giveon!",en
6,his voice is like a hug from someone who you’ll never see again,en
7,This song gives me chills up and down my spine. It is sultry and soulful at the same time.,en
8,3 Anos e ainda não superei essa obra de arte!,pt
9,"LYRIC

Sometimes I wish you knew

But I disguise the truth",en
10,EU AMOOOO ESSA MÚSICA!!!,pt
11,"Que voz bonita,plmds,isso isso sim é música ",pt
12,"am i the only one that loves his uniqueness in his voice? it’s soft but so deep, the pronunciation in his words are also really interesting",en
13,"Essa música causa uma mistura louca de êxtase, calma e excitação ao mesmo tempo. Não dá pra explicar, só sei que essa música é um ÍCONE ️",pt
14,When you hear his voice and the beat makes you want to sit down and close your eyes and be there in a moment of Wonder. Love is hard and hard to get over you really get the message from this song. Great song!!,en
15,The way your voices gel into each other creates a perfect harmony and just really feels my heart with soo much gratitude to have found this song today️,en
16,Amor esssa música  traz uma vibe surreal  giveon nós te ama cara,pt
17,"Aqui é onde esqueço 100% dos meus problemas,  nois te amamos Giveon  ",pt
18,"This song hits hard. I was dating a girl who was obviously really hurt by her ex who stressed her out and cheated on her a lot so much to a point where it made her miscarry a baby...she was honestly the most beautiful girl to me so sweet we had so much in common and I made sure to keep her happy every day, but she would have these days where she would just sleep and cry all day...we broke up two years ago cause her healing was much more important then her worrying about me and a relationship, I sent her flowers on the exact date she had a miscarriage 02/20/2017 to hope it would make her a little happy...I just don’t understand how guys can be so cruel to so many innocent beautiful woman...I want her but she seems to be a little more happier now so I don’t want to disturb her peace.. <3",en
19,Simplesmente amo ️,pt
20,First time hearing this ..stop me dead in my tracks. So now I have it on repeat for 5 mins so far. Your voice got me hooked. Luvin the vibes️,en
21,O tanto que eu amo essa música ,pt
22,Essa vibe é surreal ️,pt
23,I did NOT expect his voice to sound that deep while waiting for him to start singing.,en
24,This song opens old wounds that were worth healing and this song just puts the stitches in place for me to move on…,en
25,This song is deep!! It hits you in places that you never knew existed! I love it!! ️  ️,en
26,"Talento puro! Perfeito, sem condições",pt
27,Essa música toca na minha alma de tão maravilhosa que é,pt
28,"If you're listening to this song, just wanted to let you know you've got great taste in music",en
29,I thought that male voices like his died a long time ago..... thank you Giveon for bringing us exactly what we needed. Vocal excellence that's smooth as satin!,en
30,"This song is Beautiful.  His voice , the beat really soothing.  Repeat for days",en
31,"This song hits different when you realistically feel every word of this lyrics.  
Nice on giveon.",en
32,"Amazing ,adoro essa música",pt
33,His voice.. So unique. He sounds like absolutely nobody that's out there right now. So refreshing,en
34,Brasil ama você e sua músicas ️‍,pt
35,This song is so dreamy and his voice is phenomenal. He truly should have gotten a Grammy for this,en
36,As músicas dele são muito boas esculto todos os dias Like I Want You,pt
37,"If you're listening to this song then you're either heartbroken, just here to vibe, or you need HER/HIM.",en
38,I just feel this song in different ways every time I listen to it and I listen almost everyday. I love u Giveon,en
39,"I remember finding giveon when he had like 400 thousand spotify monthly listeners , its crazy to see how far he's come since",en
40,q linda essa musica amo,pt
41,Isso é uma obra de arte,pt
42,"Luxo de voz 🇧🇷 e música,e charmoso ainda ",pt
43,this songs be hitting different when you're thinking about that special person,en
44,A vibe dessa música tá em outro patamar!!!,pt
45,"Mds, não consigo parar de ouvir as músicas do Giveon ",pt
46,"A gem of a voice, love this song, breath of fresh air, still can't get over the excellence of this soulful  artist who has entered in and has vibrated what's necessary musically today...yes this is needed.",en
47,Man I love music that you can feel in your soul. The background sounds so soothing. This is my type of music ️ I love me some him,en
48,A voz desse homem ,pt
49,~ Sinto um mix de emoções ao ouvir essa poesia ️‍,pt
50,Literally can't go a day without your music ,en
51,"This is beautiful. It's like gut wrenching pain and still wanting to try again.
Hats off to you and continue with this wonderful work.",en
52,"Love this music!!
I'm in my 50's, and grew up to the beautiful Motown music",en
53,"he is ART
his voice is ART
he is UNDERRATED
he is GIVEON",en
54,I'm so in love with his music it's so relaxing to listen to    ,en
55,Uma obra prima ,pt
56,I will forever be a fan because of this beautiful song truly timeless,en
57,Who else thinks Giveon has the most unique voice they ever heard?,en
58,"About as close to perfection that we get to see every now and then. Absolutely amazing, ",en
59,Essa msc é perfeita ,pt
60,"essa é demais, não tem como.",pt
61,Love GIVEON so much & the entire band is gorgeous. UK 🇬🇧 audience was the best.,en
62,This man be singing to my heart.   I gotta replace the memories because I love the entire album.,en
63,Omg his voice sounds like when a song is slowed and reverbed <3,en
64,Will forever love this song,en
65,This is it. This is where it all started. When I first heard this incredible voice.  You never forget the first song you hear from an artist,en
66,"So thankful for this song, for words I can’t convey myself. This hits hard and is exactly what I’m going through :( I hope it gets better",en
67,His voice is CRAZY. My YouTube recommendations did the damn thing today wow,en
68,"Nice music to listen to when you're in your apartment on a cold, icy January Friday night. This guy is really good!",en
69,This song is perfect in every way… especially if you lost someone you truly love ️….,en
70,Que perfeito♡♡,pt
71,"This song is so good, I loved it so much   ",en
72,Everyone needs to just search underground artist cuz I’m telling you it’s a new world. I started doing this after I felt like there  was no different music when I wasn’t feeling mainstream anymore and it’ feels good playing shit no one heard before. Makes you look like you have a expanded musical palette,en
73,"I just found Giveon a few days ago , his voice is amazing.",en
74,Giveon gives me chills everytime️.,en
75,What a lovely voice 🇧🇷,en
76,Que música perfeita mano mdsss️️,pt
77,This video is aesthetically pleasing beyond words,en
78,Um dos melhores cantores sim!!!!!,pt
