,comentario,liguagem
0,This song hits different now that I'm listening to this on a late night in the middle of June,en
1,"Unforgettable song 
Hats off to Glass animals ",en
2,I love this song so much I can't stop listening to it,en
3,Congratulations    superb performance ,en
4,One of my favorite song  when ever I listen this song I felt very happy ,en
5,"I listen to this song very often, the first time I listened to it 2 years ago, and I still can't stop being surprised.",en
6,"Seriously, it never gets old.....",en
7,It amazes me how people can put these feelings into words and bring out its sounds... Its overwhelming sometimes,en
8,"this song reminds me of the covid era when I was studying online, staying at home, playing games, and chillax, such a nostalgic time.",en
9,"I heard this song at the beginning of the Corona virus, and I loved it very much, because it talks about my psychology during that period..what days it was",en
10,This seems to be sung in the present tense. It hits home as we creep toward 50 years together.,en
11,The song is a masterpiece that no words can describe,en
12,It’s been almost 3 years and this song still rocks.,en
13,Still as good as new ️,en
14,"Uma pessoa muito especial me mandou essa música há algum tempo e desde então, sempre venho aqui ouvir ela e me sinto tão bem. ",pt
15,Bro I love this so much I literally can’t even get it off my mind,en
16,I hope this summer comes up a song like this. One of the best in 2000 - 2030 i think,en
17,Can music be any better than what Glass Animals is putting out??,en
18,"Popular opinion: Everyone agrees that Glass Animals’s visuals, charisma, concept and talent is everything!",en
19,Who suddenly remembered this masterpiece and came here to hear it  ,en
20,This is fire man thanks for this masterpiece,en
21,This can play all day and I will listen.,en
22,Love this song ,en
23,Everyone's talking that this song will be giving them nostalgia in the coming 4-5 years in future ....but deep down this song has given us nostalgia of all the years that we've already lived in the past.,en
24,This deserves a billion!️,en
25,Love this song! One of my favorites!,en
26,I love this song it's amazing,en
27,"Whenever I want a song to listen to, I come back to this",en
28,This song makes me feel nostalgic for something that hasn't happened yet.,en
29,This is still my favourite song till  2023,en
30,"2021: What a song man I love it.
2023: Yep still love it.
Best song I have ever heard.",en
31,"Há 3anos q escuto essa música,e a vibe não acaba",pt
32,This song is HIGHLY addictive ️!!!,en
33,Wow what a great song  literally one of the greatest songs ever made!!!! ,en
34,We hide and still this beat finds us every time,en
35,1:30 I love that part,en
36,"as the years go by, I'll never forget this song",en
37,It's been 2 years never gonna let this song die..,en
38,This song has saved so many controllers after a fifa loss its such a banger,en
39,"Sometimes all I think about is you late nights in the middle of June.
This lyrics is so amazing.we will all support you bro.",en
40,"Essa musica tem muito a vibe 2020, muito bom",pt
41,Almost 3 years but the song its still a masterpiece,en
42,"2 anos e essa música continua sendo uma das minhas favoritas, até o momento! Essa música nunca vai envelhecer, não importa o que aconteça. O tempo pode passar, passar e passar o som, a batida, e o cantor serão lendas!!!!!!",pt
43,"Every time I hear this I immediately think of dnf,therefore I ABSOLUTELY ADORE THIS SONG!!!!",en
44,"I can't believe a song can become nostalgic in only two years, incredible.",en
45,This song touching my heart  bro ,en
46,Nostálgico ,pt
47,The story behind the video is amazing. Best covid jam,en
48,"It's a good song for good vibes
️",en
49,Everybody's gonna play this late nights in the middle of June and it'll all make sense.,en
50,It's a such a great song with chill and groovy vibe on it~! I love it so much~!,en
51,Im not usually impressed by the younger generations commercial thrash it and dump it expendable music but this is just creative genius. An absolute masterpiece of a tune.,en
52,Old but gold ,en
53,"It hasn't been that long since the release of this song, but it is already giving me some bitter-sweet nostalgic vibes",en
54,"This song is built different its just so much better than most of the songs ,

Its just giving me nostalagic vibes",en
55,And it is still the best and it will be forever ️,en
56,One of the most underrated songs I history.,en
57,Amo essa música! 🇧🇷,pt
58,"Can't make you happier on now 
Essa música é linda ",pt
59,Fun Fact: This song will never gets older ,en
60,Can't wait till it's a late night in the middle of June so I can give this song a proper listen.,en
61,If any song compares to real music in the 70's 80's 90's it would be this song This is the real definition of music for 2023 you can vibe to it and understand fluently,en
62,This song always gives me FIFA vibes.,en
63,"Those late nights playing Fifa with my friends, hit different.",en
64,"This song will be like a wine. 
The more it will get old the better it will keep getting 

A legendary song that'll never die :)",en
65,I love this song ,en
66,Everytime i hear this song it hurts my heart and brings back memories good old days,en
67,"It's now April, but this song is in my ears. And give me the feel of JUNE.  WHAT'S ABOUT YOU?? ",en
68,"This hits so deep like seriously it goes directly into the heart and reminds me of all those memories I made with my bestfriend, whom I don't even talk to! It hits so deep <333 HEART TOUCHING SONG FRR",en
69,Just I love it,en
70,Playing this song every June until the day I die.,en
71,Ouço desde que lançou essa pedrada,pt
72,Hearing this song again and again and again. You can't get enough of this.,en
73,Every time I hear this song it hits me pretty hard because my ex and I always listened to it in the car during our summer night drives,en
74,I just discovered this song! Gonna add this to my late night drive playlist!!!,en
75,The only bad thing about this song is that it ends!,en
76,This song is fire ,en
77,"This song for me will never saturate, it's a success. I see myself in 40 years and suddenly I'm listening to it again feeling that same vibe every time I hear it 
Listening from Brazil in April 2023 ️🇧🇷",en
78,Great song its always fresh ,en
79,"Eu amo essa música, e me faz lembrar série, Eu nunca ! ️",pt
80,"""This song never gets old. No matter how much I listen, I never get bored.""
HAPPY NEW YEAR you guys",en
81,Great song to listen to while staring at the starry night over the beach shoreline,en
82,Great music,en
83,This is still my favorites song ,en
84,"100 reasons to stay alive: 

1. to make your parents proud

2. to conquer your fears

3. to see your family again",en
85,this album feels rlly personal from what we’ve seen so far,en
86,I love this song️,en
87,I love this song so much ️,en
88,This song will forever be in my heart tbh,en
89,this song is incredible i enjoy listening it during  studying i really love this song,en
90,"This song just makes me feel sooo good 
BECAUSE IT SOUNDS SO GOOD",en
91,Love this song!!,en
92,When the weather is nice and rolling the windows down this is definitely a must played song,en
93,this song is a really good example of how to make music enjoyable,en
94,Love this song,en
95,This song never gets old,en
96,Masterpiece to cherish,en
97,Feel the song  ,en
98,I wasn’t even halfway in and I already started ugly crying.,en
99,The beats always vibrating in mind,en
100,"Finally found this song, i heard this song in reels bgm, asked many page owners to tell the song name, no one replied, i searched with some keywords like ""freaking me out"" then found it ",en
101,"This song is awesome,we all love this song.I don't know your name but I love you. Good luck bro",en
102,"526 million views, i've vibed with this band since 2010-2013 or so, im so proud",en
103,I AM SO MUCH IN LOVE WITH THE SONG. LOTS OF LOVE FROM KENYA,en
104,"No matter how much i listen this song, I never get bored .
Happy New year to all you guys.",en
105,"dois se passaram e eu ainda sinto a mesma senção quando ouço e o dia nostalgico que ouvi a primeira vez com meu amg e atual namorado, é a nossa música preferida",pt
106,N A S T O L I G I A ,pt
107,Its an all time song. Year doesnt matters ,en
108,Just awesome this song give me goosebumps,en
109,"Since it’s June, let’s not stop listening to this song. Make sure this song is first on your liked songs on Spotify!",en
110,this is a masterpiece ,en
111,this song hits different now that l´m listening to this on a late night in the middle of JUNE,en
112,É impressão minha ou essa música é melhor de noite?,pt
113,"Recently i was coming back to my house from my friend's place. And right as it started to rain and i pulled the window down, this song came on the radio. LIKE I WAS DYING-",en
114,"This song created in 2020, but DAMN this sounds nostalgia for some reason.",en
115,This is that type of the song which you listen over and over on YouTube and a decade later you will somehow end up here again and feel nostalgic,en
116,Goosebumps the masterpiece ,en
117,Very time masterpiece ,en
118,Música perfeita gente ,pt
119,"This song is perfect
It’s not depressing and it’s not uplifting either, it’s… just ",en
120,"They created a vintage one in this new era 
The song
The background
The music everythings like vintage ",en
121,Brings back the memories of last summer :) ♡,en
122,I love heat waves,en
123,Não paro de ouvir essa musica,pt
124,Soon this masterpiece will hit 1B,en
125,"Τhis is one of those songs that have a very familiar vibe , even nostalgic. It feels like you have hear it somewhere before in the past...even though it's relatively new. It's a weird feeling but in a good way.",en
126,This song will always be remembered,en
127,I have listened 2 years this song. Still I live with this song  ,en
128,Glass animals i loved dreamland with all my heart but I DID NOT KNOW Y’ALL MADE HEATWAVE. Keep going ️️,en
129, this freaking song!!!,en
130,This song will never die.,en
131,Mano quando eu escuto essa música eu sou consigo lembrar de FIFA 21 q nostálgico,pt
132,Still this is my favourite song ,en
133,I love this song but it makes me cry at the same time ,en
134,2 more months and time to start playing this banger EVERYSINGLEDAY,en
135,This song is a masterpiece and i love it. It should get more atention than it already has. Also this song should not only be remembered for being a DNF song. It's much better than that.,en
136,Why does it feels nostalgic whenever I listen to it,en
137,I love this song!,en
138,"Crazy that this song hit No. 1 on Billboard's Hot 100, after being on the chart for 59 weeks. Well deserved.",en
139,That baseline rocks so hard!,en
140,"Essa musica nem é o estilo que eu gosto, mas me da uma paz porque eu me lembro da  calma que eu tinha quando eu tava montando um time pra espancar meus amigos no Fifa.",pt
141,The people recording Dave were witnessing a masterpiece,en
142,Thats a masterpiece,en
143,That feeling u can’t express when you close your eyes while listening to this song️,en
144,This song is masterpiece ,en
145,This song I am listening right now is fire ,en
146,This is dope,en
147,this song makes me realize that how important it is ignore people some time you do what you have to,en
148,This song plays in my head all day and I played it to my boyfriend earlier today and it's safe to say we're both vibing to it before we sleep tonight:),en
149,Lovely song!️,en
150,This song is my super love ,en
151,This song is in a class by itself.,en
152,"The song 

The vibe

The singer 

The instrumental ",en
153,Only a month till we can blast this again kings,en
154,this is probably the best thing to blast in a car windows down in the middle of june,en
155,This song makes me happy when I am sad it is deserves a star ,en
156,Really awesome ....love from India ,en
157,I love this song.,en
158,"This song was the last song my ex sent me during breakup.Sending song was romantic to me but I didn't know it could be sad too. I avoided this song after that but today am listening to this again. Idk if i moved on or may be am listening to this cause i miss you. It still stings a little but i guess am better cause am not crying anymore. 


thanks for this amazing song",en
159,I LOVE YOUR SONG ITS SO GOOD,en
160,I can’t get over this song honestly it makes me feel so safe and full of nostalgia ,en
161,This song is so beautiful… Especially hearing it in the middle of June..!,en
162,This song is describing the present chapter of my life.,en
163,Heat waves been freaking me out because from day to night I always listen.,en
164,Shit hits so hard  ,en
165,This song is never getting out of my head,en
166,Uau! Um ano após Conhecer esta musica Só nostalgia Amoh!!,pt
167,"Brasil na cena!
manos, essa é a 1 ano a música que mais ouço",pt
168,"Can't believe we forgot this masterpiece
Edit: I got a bit emotional ",en
169,Love this song! Can’t wait until my birthday in June!,en
170,it’s unbelievable that this song still has under 100M views.,en
171,Headphones + full volume + alone = heaven,en
172,Properly brilliant music,en
173,Everybody's gonna play this late nights in the middle of June and it'll all make sense.,en
174,Love this song,en
175,These songs are made by legends,en
176,I can not stop listening to this song,en
177,listening this song vibes hit me so hard,en
178,Dam when the beat actually drops,en
179,I don’t even know why but this song makes me cry so bad..I literally listened to it today for the first time and I can’t stop now. Thank you for this!,en
180,Musica linda de mais,pt
181,Can't believe it's been 3 years of this masterpiece,en
182,I love this songggggg!!!!!!!!!!,en
183,i like this music because it help me relax,en
184,The chorus is literally stuck in my head All day.,en
185,Loooovve love love this song,en
186,Takes me back to the summer and then I look forward....to the summer...,en
187,Listening to this songsmakes me feel like I'm in a another word ,en
188,It's 2 am right night and June has started. The best time to listen to this song. Dang the vibe is so different.,en
189,"This's my first time listening this song, It's got a deep lyric",en
190,This is the best song I have heard all day,en
191,I LOVE THIS SONGGGGG,en
192,1:46 perfectly matchs with last day of school farewell ,en
193,I’m 40 years old and this is seriously one of the best beats I’ve ever heard.,en
194,"Last night, all I think about is you
Don't stop, baby, you can walk through
Don't wanna, but I think about you
You know that I'm never gonna lose",en
195,Advice to future generation ..never let this die ,en
196,i love this song!!!!!!!!!!!!!!!!!,en
197,This song got me going  . Glad I found it.,en
198,"Listening to this on Fifa 21 it was an instant banger, and a year on it's just as amazing. Crazy to see how big it got",en
199,Muito top gostei dessa musica,pt
