,comentario,liguagem
0,"To this day it's my favorite song, because it was the first song by this wonderful band that I heard ️",en
1,I don’t care what anyone says about their music. They’re incredibly inspiring and so very talented.,en
2,One of the songs that will never get old even after 100 years.,en
3,Dolph Lundgren é uma lenda viva!,pt
4,This is the song that made me so inspired for doing anything that I feared to do. Hats off to DAN REYNOLDS & IMAGINE DRAGONS.,en
5,"Mom:clean your room
Me:I'm the one at the sail I'm the master of my sea
Mom:slaps me
Me:PAIN!",en
6,Amoooest música,pt
7,verdadeiro significado de perfeição,pt
8,"Me doin hard work
Mind: i want to stop 
My wallet: we can't",en
9,Isso é uma relíquia do mundo,pt
10,If I had a dollar every time clicked this video.. I would be a millionaire by now,en
11,I don't care what anyone says about their music. They're incredibly inspiring and so very talented.,en
12,Por muito tempo a seis anos atrás e só hj ouvi essa música de novo,pt
13,"(When parents don't complete their promise.)
Me : you build me up ,you build me a believer .
A flying sandal on my face
Painnn!!",en
14,2023 e essa música continua perfeita,pt
15,Cadê os br🇧🇷🇧🇷,pt
16,"Imagine Dragons and OneRepublic should make a song together, it would be epic.",en
17,The AMVs imagine dragons have gave to us are truly phenomenonal!!!,en
18,This song will never be old,en
19,"I let my son listen to this, he is no longer a boy, he's a man",en
20,Great song ️,en
21,"We don't search for old songs.
We search for old memories.",en
22,Imagine how many people are listening this song right now.,en
23,eu amo essa musica,pt
24,Wow! I heared this music for 4 years but it is always great to hear it!,en
25,Amo lindo ,pt
26,"Editor:should i-- 
Imagin dragons: yea sure why not?",en
27,Imagine Dragons Team Is Full Of Vibes And Talent ,en
28,Imagine dragons-group that gave us a lot of masterpieces.,en
29,"They should make a ""Believer 2"" song.
Would be pretty dope to hear, and a ""Radioactive 2"" would be nice aswell.",en
30,Enjoying it even now!,en
31,"i showed it to my dog, he's still a dog but he likes the song",en
32,"I remember there was a time in my life where I almost ended my existence, and if it wasn’t for this song inspiring me to fight and move further, I would’ve been dead by then, Thank you Imagine Dragons, I am forever grateful for this.",en
33,"ALL: ""I WANNA STOP""
2020: ""WE CAN'T""",en
34,This still hits hard,en
35,"No idea if this was the intent, but this song helped me through what I later discovered was something called masked depression. Anywho, that line ""I want to stop, we can't"" resonated enough to keep me from nixing myself. Because it seems like the fight is the difficulties of life.",en
36,It's already 2023 and I still love this song!,en
37,"As Believer alarm ringtone user, this song always gives me goosebump everytime I hear it",en
38,"Me- trying to sing 
Friends- i think he became mad",en
39,i love imagine dragons their music is so good,en
40,THIS IS A WORK OF ART,en
41,"6 years ago this song was made, wow time does fly fast",en
42,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
43,"My dog listened to this,


now he's a late game Nasus.",en
44,"As a sickle cell person,  whenever I go through crisis   this is my go to song when I'm in pain...",en
45,This isn't my first time hearing this song but damn they make amazing music love it,en
46,"I actually think when this song first came out, me and my friend were playing roblox with this song playing. Really awesome. I have broke my friendship with him after arguments and conflicts. Songs like this remind you of a time when things we simpler, more fun, energetic, and thrilling",en
47,Why aren't they making such masterpieces like this anymore ,en
48,This tipe of Masterpieces Will be remembered by the next 100 yesrs,en
49,Nobody cares if you are from 2020 June. Just enjoy the song ;),en
50,"Hoje é meu aniversário e eu não poderia passar esse dia maravilhoso sem escutar ""Believer"" 
Isso é um presente para os ouvidos",pt
51,Adrenaline at it's peak....,en
52,Dolph Lungren is one of my favorite actors he is a legend just as Imagine Dragons are.,en
53,The only word to describe this song is MASTERPIECE PLZ do create another one The world needs you.,en
54,Here are the lyrics ,en
55,This song is my hymn to keep me all active and it is my inspiration to practice self defense I am fierce when I listen with imagine dragons believer I love it     .,en
56,this man is a legend and dont need autotune,en
57,All time favorite song for probably the last 2 years,en
58,66 years old and I've heard a lot of music in my time ....this is a top top band....,en
59,This is just beautiful,en
60,"I'm leaving this comment here so after a month or a year when someone likes it, I get reminded of this song ",en
61,"This is just a masterpiece
It is 6 years now......
But this is my favorite.",en
62,"I just search this song after 4years it never gets old, let this MasterPiece never die",en
63,Anytime i listen this song the goosebumps are waked up,en
