,comentario,liguagem
0,I love how this band consistently puts out the most fire songs you’ll ever hear,en
1,1 years later and this song still hits different. Truly a masterpiece ,en
2,"Imagine Dragons has been a blessing in my life, from Radioactive till Bones, what a band ",en
3,"Damn, superb choreography, fantastic song, great lyrics that don't repeat love every 2-3 words ... now this should be called music! Simply brilliant!",en
4,"From top to bottom, this is a masterpiece. It's so strange to see a band get better and better as they mature. Usually it's the opposite that happens.",en
5,"Generally we don't see much songs in Hollywood. But when they make it, it crosses all the boundaries. ",en
6,My respects to ID for being the first ones i see that manage to make zombies dance and look amazing and it doesn't look ridiculous,en
7,Eu amo essa banda,pt
8,imagine dragons have made some of the biggest bangers its so cool that they can keep making more,en
9,"perfeito, gostei demais",pt
10,"I said it before: ""Imagine Dragons is like an old fine wine, the older they get the better they sound""",en
11,"Bones Lyrics

Gimme, gimme, gimme some time to think
I'm in the bathroom, looking at me",en
12,"I can't believe they're still making music for how many years,
And they reach more than 20 million subscribers gosh amazing band",en
13,Como pd??? td q essa banda faz é prft!!! melhor de todas apenas,pt
14,"love how this song has become a timeless classic, with its powerful lyrics and unique sound. It's no wonder it's been used in so many popular memes and shows, including The Boys. Imagine Dragons truly created a masterpiece with THE BONES. 
Welcome to all Boys ",en
15,Songs like this is exactly why I love Imagine Dragons’ music.,en
16,"One of the best song's video clips I have ever seen. The make up, choreography,  sync with the music and lyrics. What a level of finesse.",en
17,Fantastic concept. I felt the exact meaning of this song which the band exactly wants to say from starting 1 second to the last one. This is called true artist.,en
18,Tô cantando até agora,pt
19,This band reminds me of my childhood when i lived with my grandparents for 3 years in Tokio :D so calm <3 much love,en
20,Your music is awesome. I really like it.,en
21,Essa música me relaxa muito que até durmo depois que eu ouvi isso,pt
22,Imagine dragons are always ahead of there time,en
23,"Imagine Dragon rocks agian with a new bomb in the meme industry
Strong lyrics,
Great music &
Also a good music video",en
24,I never gonna know when I need this song.Sometimes I just know it will only be this song.,en
25,This song was released barely 3 days after my osteoporosis diagnosis. Now it's always on my mind whenever my bones hurts due to the medicaments.,en
26,It is one of the most immersive songs I have ever heard,en
27,"Imagine Dragons seems to get a lot of hate, but man their songs are just catchy af every time.",en
28,"Big fan of this very talented band since 2017 after hearing :
""Believer,thunder,enemy, and now bones",en
29,Essas é a melhor música ,pt
30,The companies are really inspirated by the content behind the song. Great setting. Loving the song.,en
31,this mans twerk so stronk I'm still feelin it needs to be immortalized years later,en
32,"Whenever i feel depressed,i listen this MASTERPIECE",en
33,Props to the producer!,en
34,"I remember listening to this song non stop on 88.1. It got so annoying to them (i like the song personally) that they contacted the station TWICE to get it off the air because it was playing ""too much"". Still a good song, keep going!",en
35,They are not only great singers but also great actors.,en
36,Does make me wonder how this band went from indie one year to super popular. Who they sacrifice? ,en
37,No tension no headache no loneliness after watching imagine dragons,en
38,"Imagine Dragons never disappointed us. I don't know why I am getting the vibe of Michael Jackson's ""Thriller"". Maybe they all are legends in making too ",en
39,The dancers are absolutely incredible. I hope at least one of them goes through the comments and sees this. You’re fantastic.,en
40,"before : incredible song! Imagine Dragons done it again
now : THE BOYS",en
41,Choreography in last chorus is amazing,en
42,"The world has to admit, there's no comparison to Imagine Dragons ",en
43,Got this feeling ,en
44,"I don’t understand the exact meaning, but it’s still a great song!",en
45,Is a unique feeling of satisfaction and realisation when you hear complete music and watch original video after being familiar with the song for a year through YouTube shorts.,en
46,I am never done with listening to this masterpiece,en
47,this song came out a year ago and i feel like i listened to it for the first time yesterday,en
48,Masterpiece song ,en
49,this song and the music video are so good that i already imagine an entire 4 season series about it.,en
50,The best music video EVER!!! LOVE THEM,en
51,"""Overall, I think you have a good foundation to work with, and with some experimentation and fine-tuning, you could create a really strong song. Good luck with your music!"" - ChatGPT",en
52,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
53,I love this song so much !,en
54,Mad respect to the camera man for filming it all between the zombie apocalypse.,en
55,Doesn’t matter what genre you're into. Imagine Dragons has a song for you.,en
56,Haven't practiced my tameshigiri in over 10 years. Loaded this song up on my phone and I'm gonna dust off my sword today. I'm thinking that this beat will be a good strike que.  :),en
57,I LOVE THIS SONG! <3,en
58,Love the song. The only problem is that it's too short. Oh well... that's what repeat is for.  And good to see no black bars on the sides finally.,en
59,"Never Knew this song would make the ""The Boys"" meme evergreen and Famous. It blends well with our boys' attitude. ",en
60,Imagine dragons never fail to entertain us and they have provided best songs,en
61,minha musica favorita,pt
62,as always the song is awesome,en
63,Why does this band get a bad rep? This is good,en
64,"Though the song was published last year......but yet whenever I listen to this song....it still gives me goosebumps.... amazing work by the  ""IMAGINE DRAGONS""️",en
65,"Gimme, gimme, gimme some time to think
I'm in the bathroom, looking at me
Face in the mirror is all I need (ooh)
Wait until the reaper takes my life",en
66,"Imagine dragons is the best band that i have ever seen, their songs always match my vibes.!!",en
67,The song which made all the memes entertaining for us in 2022 and still going strong in 2023 ,en
68,What a song ,en
69,Takes me back to 2014!,en
70,Officially a year since we got this master piece,en
71,"I want to work in a company where when someone achieves something, they can come on stage and start dancing their joy with the others cheering. But I would do it without the zombie invasion.",en
72,one hit after the other...this band is amazing,en
73,Watching imagine dragons 6 years and learned 2 or 3 songs it's a legend ,en
74,Even though the song hits main success the visuals are also stunning and idea for making masterpiece is simply on the process of making  ID,en
75,I am leaving it here just like that so whenever someone like this I’ll get to watch it again. My favourite masterpiece,en
76,The song is brilliant but the dancers in this clip are also on fire ,en
77,"It's an energy giving song 
Really, I have heard it too many times",en
78,Imagine Dragons You are Absolutely Brilliant ,en
79,THIS IS MY FAVORITE BAND OF ALL TIME!!!!!!!!,en
80,The dance choreography in this one is crazy,en
81,This song is amazing. That's remember me the summer because I've listened this song a lot,en
82,2:00 these are some serious dance moves,en
83,Perfect music .,en
84,Mad respect to the camera guy for filming all of this during the zombie apocalypses ,en
85,I respect everyone who involved in this. Seriously the best piece that I've ever seen on YouTube. HATS OFF TO YOU ALL!LOVE YOUR VIDEOS ,en
86,This hits hard!!!!,en
87,My favourite of all time,en
88,"I love these guys. They can be an actor, a singer, and a dancer at the same time. They don't bore us with their songs. That's why I thank you Imagine Dragons.",en
89,"I’m not that big of a meme person so I’m one out of a few kids in my school that likes your band.Really, the only people that like you is me, my three best best friends, and a couple other kids.But no matter how much times I get bullied for liking your band, I will ALWAYS love your band.",en
90,The temptation to have them simply do the Thriller dance must have been immeasurable. Congratulations on resisting.,en
91,"Imagine dragons never gets old. Their music gets better and better, I love this video too best band in the world",en
92,"Lyrics:

Gimme, gimme, gimme some time to think
I'm in the bathroom, looking at me",en
93,Lyrics are totally insane,en
94,IMAGINE DRAGONS NOS TRAJO UN GRAN TRABAJO ,en
95,Luv this song ,en
96,THIS SONG IS A LEGEND NEVER WILL DIE ALWAYS WILL BE,en
97,"This is the best song ever 


Respect for everyone who worked at this song",en
98,"Gimme, gimme, gimme some time to think
I'm in the bathroom looking at me
Face in the mirror is all I need
Wait until the reaper takes my life",en
99,Big respect to Imagine dragons ,en
100,I LOVE THIS SONG!!!!,en
101,The craze for this song ,en
102,"is it just me or the dance at 2:02 was so dope, the choreography was amazing, makes you wanna play it again and again.

Imagine Dragons never disappointing.",en
103,every imagine dragons song tickles my brain,en
104,this song is really helpful for boosting up confidence,en
105,"Before listening this song I was frustrated for some personal works 
When I listened this song believe me I forgot everything and tried to solve  everything 
Awesome  ବଢିଆଁ",en
106,Every song of these guys is a banger and turns famous,en
107,"Every one of Imagine Dragons' songs are something that's going to empower the sh*t out of you and i'm here for it.
Amazing song, again.",en
108,"Fun fact: if you constantly repeat the music video, you will realize that it is a loop, an endless paradox, a nightmare that seems to last forever.",en
109,"Im 67 & still rock out. This song is infectious! But I barely heard of this band and thought they were something like Billie Ellish, whose music is not something I’d listen to-ever.",en
110,both the song and the video are great,en
111,That tribute to MJ is awesome! Respect,en
112,This song really gave us a great gift ,en
113,"You guys rank up there with the beatles in my book.   I don't care what anyone says.   Nobody has a larger collection of absolutely original great songs as you guys.   You show no signs of slowing down in any way, shape or form.   You make me very happy with every new release.",en
114,I'm glad it got famous but I really loved the vibe of listening to it when it wasn't..,en
115,"Imagine Dragons are the best 
I love their songs 
Good Job guys keep it up :)",en
116,Finally found the song after all these days,en
117,imagine dragons are phenomenal and legendary ,en
118,Who would have thought this song would produce the biggest meme in 2023 ,en
119,Mad respect for ID for putting everyone who worked in the video in the description,en
120,"Pure meme from the very start
Still havin that ""Imagine dragons"" vibes ",en
121,this music needs more recognition,en
122,This guys just churn hits after hit... Awesome feed us more️️,en
123,I love this song and imagine dragons,en
124,"Já disse há 11 meses- O ""Thriller"" do Imagine Dragons!",pt
125,Melhor música do mundo,pt
126,I really like his music!!! I'm your fan,en
127,In love with this song,en
128,"Incrível como Imagine Dragons não tem uma música ruim, brabos demais. Esse é só mais um hit pra gente curtir. Amo essa banda ️🇧🇷",pt
129,Wow What an Enargetic Song Man ,en
130,1 year of this song congratulations imagine dragons,en
131,I can’t stop listening to the song it’s so lit,en
132,No words for this song...A+ grade for this miracle,en
133,Bro i can't stop listening to this masterpiece,en
134,"I like all of the songs this channel posts
They are just crazy",en
135,cada vez que Imagine Dragons lança uma música nova eu tenho uma música nova favorita! só música de qualidade. 🇧🇷,pt
136,This song would perfectly match for The Wolf of Wall Street main theme,en
137,Love this song!!!,en
138,i love this song so much,en
139,"SE VOCÊ TEM MÁGICA NO OSSO PARABÉNS
VOCÊ TEM MÁGICA NOS OSSOS",en
140,"0% alcohol, 0% naked girls, 0% drugs, just 100% sheer perfection.",en
141,The most underrated song of imagine dragons,en
