,comentario,liguagem
0,It took me 30 years of life to finally find the ultimate band whose every song is an absolutely perfect hit. Thanks for the playlist...,en
1,"Demorou vinte e nove anos p me cativar por imagine dragons, agr é td dia o dia td ouvindo.
Enfim uma banda gringa com um som daora q não toca só sertanejo gringo.",pt
2,Thank you for taking me back to a point in my life where music was amazing I had forgotten how many good songs imagine dragons have,en
3,"Mano essas músicas faz a gente viajar mexendo no celular. escutando de um volume moderado, muito boa essa seleção ..",pt
4,Conheci o Imagine Dragons em 2018 - Believer - gostei muito do som. Hoje conheço mais músicas deles e sou apaixonada pel banda!!,pt
5,"Thank you!! I finally realized how many people, and I should appreciate this group. They make great songs, and put so much effort in! Thank you!!!",en
6,"I found out about imagine dragons when i was 7, i'm turning 14 soon,still my fav bend.btw i got their concert ticketswith my friends! i'm on cloud 9️",en
7,I always listen to imagine dragon songs when I take 10mins break after every study session ,en
8,"I found them before they had a label, still awesome!",en
9,Imagine dragons giving me the chills right now,en
10,I could literaly listen to this all day and never get tired of it. i have rewatched this video like 7 times now going for 8.,en
11,One of the most influential band… i am a believer ,en
12,I love this band,en
13,All the imagine dragons songs have deep meanings very nice,en
14,My favorite band of all time ,en
15,Always listening to this playlist while working ,en
16,"Music : perfect
Background : perfect

Nothing to say about this playlist except : perfect",en
17,"Does this give anyone else the motivation to get up in the morning and just work to infinity and beyond and then push yourself to break the limits? Yeah, me too.",en
18,I love this band,en
19,Why does Imagine Dragons have some of the best songs I have ever heard?,en
20,Melhores músicas que eu já ouvi !!!!!!,pt
21,I always listen to imagine dragon songs. I realy realy like it ,en
22,Listening to nice musics when working is the best thing I love to do.,en
23,I love this song it's legendary,en
24,Amo muito,pt
25,"my childhood group. I'm 12 now, I've been listening since I was 6. I have a whole room in posters with imagine dragons, I love them.

definitely like)",en
26,I like listening to their song whenever I am working paper works  in school during weekends and overtime.,en
27,I love this songs so much and I really like it that somebody made every song of them in one video Thank you so much ,en
28,"Listening to this while Image Dragons is scheduled for a concert in my home country, and meanwhile, I'm in a different continent ",en
29,Me waking up at 6 in the morning to vibe to this while making breakfast and having a concert in my kitchen ,en
30,Não da pra parar de escutar,pt
31,love all of their songs!!!,en
32,Love it,en
33,I'm a big fan of Imagine Dragons since i was 6,en
34,Love this group,en
35,I listen to image dragons every single hour that is how much I love image dragons there my favorite,en
36,"love this
i start my day with this every day",en
37,My favorite band ,en
38,"Very good music, i love it,i listen to it every day.Seriously it's very good ",en
39,I just got out of the shower  and I'm just listening to the music ,en
40,This is the perfect playlist to do housework to.,en
41,Love it!,en
42,omg love their every song,en
43,"Mayeen, it's really hard to sit calmly with this playlist on.",en
44,"I am listening everyday your songs,  I am from Ukraine 🇺🇦,  I hope this crazy Russian will finish war... so many people killed.... you're music help , thank you!",en
45,That is the best playlist someone ever did,en
46,BEST PLAYLIST EVER,pt
47,A beer and Imagine dragons . What else you need,en
48,I love this song,en
49,it mean for me so much thx for this playlist (love it),en
50,"Thanks a lot, the best play list here. Incredible
!!!!",en
51,TY  YOU I LOVE ALL OF THESE SONGS,en
52,this is now the playlist for them im going to listen two and i just found your channel today and im already subscribed lol,en
53,"Real ROCK SONG DIRECT FROM THE HELL. Love it.

                                 Sinned,
                           DARK KNIGHT.",en
54,"It is a first time that i heard ""Bullet in a gun"" and I love it :)",en
55,i could listen t this all day brilliant keep it up,en
56,"if this don't play at my wedding, I ain't getting married",en
57,This brought back so many memories ,en
58,I’m sitting here in my work van jamming out; while people who drive by me look at me funny.,en
59,hermoso,en
60,"I play drums so I’m drumming all the songs one by one and I’m only 7 years  old :)

Love it so much",en
61,"I was playing this because my young kids love Imagine Dragons, but Radioactive is the remix with Kendrick Lamar. Wish this playlist noted that somewhere since it would have a parental advisory for that song.",en
62,"""Wrecked"" is also famous! LOVE that song",en
63,Best Band over the World.,en
64,"Best music for my online class, thank you so much",en
65,"thank you , I love imagine dragons and I heard several playlist but yours is best!",en
66,"Thank you, may God bless you all and everyone. <3",en
67,Very good this playlist,en
68,thanks for the list ,en
69,Good music for the concentration ,en
70,They are best of the best hello from Ukraine 🇺🇦 we love them because of support my country,en
71,c'est le meilleur groupe du monde     it's the best band in the world    es el mejor  grouo del mondo,en
72,Omg I should show all of this to my neighbors ,en
73,This is so good that my fav songs are in here,en
74,"Great vibe, I hope everyone who reads this comment will always have a lot of health, happiness and peace ",en
75,I can listen this song every day ,en
76,Who else is having a little concert on their own in their room to this,en
77,Missing one of the best songs My Life,en
78,"Whoever’s reading this, I pray that whatever your going through gets better and whatever your struggling with or worrying about is going to be fine and that everyone has a fantastic day!",en
79,"My brother walked up when i'm listening to this and  goes, ""eeeeewwwwwwwwww"". So now I listen t this awesome band a lot more!!",en
80,"I love Imagine Dragons ️
But why I can’t find the song Ready Aim Fire on Apple Music ?",en
81,adoreitopshows,pt
82,Every words hit me,en
83,this artist group makes even homework fun,en
84,I speak like a person with ADHD and trust me when I say - this music on look helps alot at work or the concentrate on any other activity.,en
85,I love this,en
86,Have had it on loop.all day at work ,en
87,Good music,en
88,This is masterpice,en
89,my fav band also my fav song of them is believer,en
90,Who is listening this cinamatic playlist while studying they are legend ,en
91,"Thank u so much for this playlist! My fave ID songs are 
1.) Natural 
2.) Cutthroat 
3.) Bones ",en
92,"I love thoes musics, my favorites!",en
93,best music ever,en
94,i like this music thanks,en
95,:)> easily my favorite playlist llllllllllllllllooooooovvvvveeee beliver.,en
96,Who else is imaging themselves in an epic medieval fight and your the badass main character that has the coolest armor and weapons ever and there's a lot of sad scenes and some other scenes is that just me orrr like can anyone else relate,en
