,comentario,liguagem
0,imagine dragons have a deeper lore than carmillia now,en
1,"Imagine dragons got to make their own characters because they love the league of legend franchise, and I am so glad they collabed with Arcane to do their songs!",en
2,"the parts where it go ""every single person is my enemy"" and ""oh the treachery"" are my favourites",en
3,adorei demais,pt
4,The fact that they took the time to make realistic versions of the Imagine Dragons is remarkable,en
5,"This video hits so hard. Especially the payoff at the end, like these people are using all of the cheesy symbolic methods I grew up around but using them in a way that feels earned instead of derivative. Watched this before the show and in this video alone you experience these characters enough to feel the tragedy at the end.",en
6,oh my god could this song be any better ?,en
7,Uma das melhores animações que eu já assisti!!.,pt
8,Essa música é incrível ,pt
9,"ESSA MÚSICA É INCRÍVEL 
Minha música favorita é com ela q eu desabafo todos meus sentimentos de raiva e tristeza obgda IMAGINE DRAGONS ️",pt
10,"I don't even play league anymore but their music, animation, lore, and marketing is top-tier no doubt.",en
11,"I’ve never loved any music band in my life, but imagine dragons is something else ",en
12,"Simplesmente amo essa música, ID é bom demais",pt
13,"This animation its just so perfect and detailed that i don't even have words to describe it, even the side characters are so well written and with a great and perfect development, im not even playing, there some side characters better written than some main characters in other series or movies, One of the best things a human being has invented, perfect characters, perfect soundtrack, perfect animation, perfect script, perfect history.",en
14,Dude the people who animated JID's part deserve so much praise it's so sick,en
15,Your song's lyrics always directly convey deep emotions.,en
16,"Animating Imagine Dragons for this video, and the entire show, is such a perfect match! Somebody should make a mod for LoL, and put you guys into the game, that would be good...",en
17,"I've been practicing the JID part for a while and FINALLY got a perfect run

fun as hell to sing lmao",en
18,"(Look out for yourself)

I wake up to the sounds

Of the silence that allows

For my mind to run around",en
19,Venho do futuro e posso dizer q Arcane ainda tem um dos mais bonitos 3D já feitos,pt
20,"The music, the visuals, the whole series, man everything is perfect on this project",en
21,can't believe it's been 1 and a half years since the song came out and i want a season 2 because you know the ending hits me like a truck,en
22,"I usually listen this song al least once in a day ;because,i can relate it with my life as well as refresh my mind.Especialy, the tune️",en
23,imagine dragons never dissapoint this is possibly their best song!,en
24,"An amazing song for an amazing series, well done for the hard work.",en
25,"I know this is a random song to relate to but i really do, even if it was made to tell the story of two fictional characters. The way i interpreted this song, it seems as if its highlights how quick people can turn on you. Just kinda reminds me of my life and all the times ive been made to feel bad just cos of tiny mistakes that ive made. People who i thought were there to support me but were so quick to give me a piece of their mind when things didn't go their way. ""Tell you you're the greatest"" as the eldest sibling my parents as well as siblings have high hopes for me, even my friends as well. Its like they all expect me to be this jolly talented person but once i make a mistake or even get angry, its war w them. There rlly is no winning here is there",en
26,The fact that arcane and image dragons work so well is just amazing because they match to the same vibe.,en
27,"Terminei hoje de assistir a série arcane, e simplesmente achei maravilhosaaaa!!!",pt
28,"This is one of the songs/videos that persuaded me to believe Billy is an artistic genius. Wouldn’t want my kids to ever emulate her at all, but I can’t deny her creativity.",en
29,Assistir a essa obra prima é sempre uma honra.,pt
30,One of the best music videos ever really good I have been a fan ever since they started,en
31,"When you decide to watch Arcane, series based on a game, you expect easter eggs,homage and referrence to the game, but instead you get a story with deep layered characters, world building/expanding, political ideals and conflict in moral values. Plus the actions and animation is superb too. Got way more than what you ask for. Well done Netflix",en
32,why every imagine dragons song feels like i can make a revolution,en
33,"I love it , no other words , I just LOVE IT ",en
34,Never thought i would see JID on a mainstream song. He killed it tho,en
35,"Imagine dragon is a band that I can completely forget about for like a month, but once I find them again I’m listening to the same song on repeat for at least one hundred hours…",en
36,"This song, and The series Arcane alone will forever be a memory i shall forever remember. One of the best animated series Ive ever watched.",en
37,"One of my favorite music video, I don't even play the game, but this mv itself gives you the story",en
38,"Just finished the series and it is absolutely terrific. Good blend of comedy and tragedy, the characters are very well written and the dynamics between them don't feel forced or out of place.
I also love how they portray each character's viewpoints by using visual queues that match and explain their mentality without using words, from Jinx's manic panic attacks to Jayce's journey from a simple inventor to the man he becomes at end.",en
39,"The animation blowed my mind, especially when Powder was singing at 2:56, like you can read the lyrics of the song on her lips, that's crazy O_o",en
40,"I have watched Arcane: League of Legends before and it is AMAZING!!! This is my favourite song in the movie . The story is like a war. The movie should be called ""Enemies"" for the fighting.  stars for the amazing outfits .",en
41,The way the beats cuts out piece by piece when J.I.D is rapping his verse was smooth too me ,en
42,After a year it's still a masterpiece as always,en
43,So catchy. I cant forget it its stuck in my head forever,en
44,"I've always been a fan of the Imagine Dragons, but this takes it to a whole new level!! Absolutely love it <3",en
45,Mano essa música é muito boa,pt
46,A perfect song for a perfect series,en
47,Amo essa musica,pt
48,"I love how, prior to the fight between the sisters, they show the enforcers walking through the city, and when powder pretends to shoot the enforcers, it shows a quick frame or two of Jinx",en
49,I swear you won’t be able to name a single bad song by this band.,en
50,"A série arcane foi muito daora cara, continue com o trabalho! A introdução de arcane é uma que eu nunca skipei",pt
51,That moment when powder fires her finger gun and it does a quick flash to jinx is so sick. The amount of detail they go into even just for a music video  shows the prowess and talent of these writers and animators. This effort and passion with focus on even the smallest of details is the exact reason why this show is a masterpiece.,en
52,Straight up chills! Incredible stuff happening at Fortiche. Cannot wait for s2. Also now a huge fan of JID!,en
53,Masterpiece for ever.,en
