,comentario,liguagem
0,Congrats for 1 Billion ,en
1,"Indila, congratulations on 1 billion views.  This is my favorite song of all.  Thank you for your music, I hope one day you will release a new album",en
2,"With her awesome voice she  reached the 1Billion, congrats Indila",en
3,Wow!!! finally 1B views  congratulations Indila you really deserve it,en
4,I feel lucky about having this masterpiece in my childhood.,en
5,Finally this masterpiece of a song has hit 1B views congrats Indila ,en
6,"After 9 years, this song is still one of the best out there.",en
7,"The meaning of this song is something powerful. This is everything, congratulations on hitting 1Billion views on this iconic music video! Well deserved! Wish you and everyone all the best! Stay happy",en
8,2022 and I still love hearing her songs they never get boring. I'm glad Indilas songs were a part of my childhood!,en
9,This song never gets old ,en
10,Her voice will be remembered for generations,en
11,"I have no idea what this song is about, but the passion in the music is amazing.",en
12,"Lyrics French & English
French

[Couplet 1]",en
13,First time i hear this song and i cant get over it . 1 billion is well deserved et les paroles sont très fortes . ,en
14,"The reason why this song has  reached 1 billion views steadily over time is simple… this is a real song. With a real singer, with normal sounding instruments. Such a shame i just recently come across this masterpiece. Very melancholic… just the way a billion people could like, mostly without understanding it. Greetings from Türkiye",en
15,"This song never gonna be old.
Understanding 0%
Feelings 100%",en
16,Outstanding song. 1 Billion congratulation Indila. Love this song.,en
17,If you dont understand the language but you still enjoy the music that means this music is genuinely good!,en
18,"1 Billion views
Proud of you Indila",en
19,9 years after release i still get goosebumps listening to this incredible song.,en
20,"90% of us are not even french, but we can feel the song.",en
21,1 Billion great job Indila ,en
22,The first French song to cross 1 billion! Indila is underrated.,en
23,"Divided by language, united by music.
Love from 🇺🇲🇺🇲🇺🇲",en
24,I don't understand the lyrics but i just love this song ,en
25,"Almost a billion views! Come on we can do this bois!! Indila deserves those billion views for such an outstanding song


Edit: Yesss we finally did it 1 BILLION VIEWS  congrats Indila!! ",en
26,J'adore cette chanson I love this song,en
27,"Finally at 1 Billion 
Love this song!!",en
28,Congratulations on 1 billion views one of the best songs ever,en
29,"Subtitles in English  Thank me later  
  
       [Verse 1]

Oh my sweet suffering",en
30,"I have listened to this song so many times I’ve lost count . 

I am so glad it reached 1billion views ",en
31,Congratulations on 1 billion views Indilla ,en
32,IT REACHED 1B VIEWS! CONGRATS INDILA,en
33,"I didn't know the name of this song, so I just searched for ""that French song"" and this was the first suggestion. I've never felt more understood..",en
34,Beautiful song indil️,en
35,The song has become addictive ,en
36,Congratulations for 1B views ,en
37,this song amazing after 8 years >>  i love it >,en
38,"Lyrics in English :

Oh my sweet suffering,
Why do you insist? You start again",en
39,Finally reached 1 billion views..... Congrats ,en
40,"english translation

Oh my sweet torment,
No point in fighting, you start again",en
41,So glad this has the success it derserves. 1 billion views !,en
42,"Seems like nobody understand the lyrics, but everyone is coming here regularly",en
43,"Congratulations for 1 Billion
A french song by an Algerian girl ",en
44,This song literally proved that language doesn’t matter for any song..:,en
45,Congrats  1Billion views baby! First french song to reach 1B views ,en
46,I don't know why  this song makes me to feel good even though I don't understand it.,en
47,I used to listen to this song with my mother a few years ago and when I came back I saw this! Congratulations,en
48,"The  actual visual meaning of this song is  - ""she is homeless and depressed and suicidal and she feels like  alone and nobody cares what she going through and that storm represent that her  depression is getting really bad and everybody running away means nobody cares or actually try to understand what she going through and she letting herself go into that storm means she finally tired and wanna end all this and  finally she kill herself and the end shows finally she is in peace after her death""",en
49,"Congratulations for 1 Billion  
My favorite song :)",en
50,"Congratulations for  one billion views.... Since I  watched this video for the first time ,there were only 500 million views...But now its reached one billion views...",en
51,First french song to surpass 1B is crazy,en
52,Great sound,en
53,"I don't understand französisch, but really like this song",en
54,It finally got 1 billion views. ,en
55,I’m so happy this song hit 1B views 🇫🇷,en
56,"my battery: 1%
plays this song*
my battery: i will wait",en
57,First french song to reach 1 billion views !! 🇫🇷,en
58,This song makes me want to tie up my dress and take out my sword to defeat the men that invaded my castle,en
59,"After so many days, I found this song today finally!!",en
60,I understand  French after 1 year french lessons   I feel like more clever  I don’t know why.   . It’s a special langage. It’s a kind of gift,en
61,1 billion wow! Well deserved!,en
62,"1 Bilhão, parabéns ",pt
63,I don’t understand shit but this song is definitely satisfying to hear.,en
64,Omg it hit a billion views!!! I was literally watching this video constantly for the past few days to see if it had reached it yet and I’m so happy that this masterpiece finally did,en
65,congratulations Indila on 1 billon views!!,en
66,"Im so happy you got a billion views on this song, i saw it at 999million just yesterday ! <3",en
67,Love it wow ,en
68,6 years later. if you're watching this you're a officially legend.,en
69,Indila the best singer she speaks french everytime My dad understands in the car,en
70,The sound is so perfect that you can fall in love with the song without understanding the lyrics.,en
71,"Common we heard the masterpiece and now it has 1B views..
Congratulations  ",en
72,"English Lyrics Via Google Translate:

Oh my Sweet suffering 
Why bother? ",en
73,I literally just searched for a good French song and that was the result,en
74,"1 billion,, what a successcongrats. 9 years later and still my fav",en
75,7 years ago everyone still watching this masterpiece is real legend,en
76,"Finally 1 Billion, this is a masterpiece...",en
77,"Me : having french classes for 6 years 
Also me: understanding nothing",en
78,"Never knew most of the french songs i knew were from indila-
Shes the best️️",en
79,J’adore!,pt
80,Congrats indila for hitting 1 billion views,en
81,French sounds intrinsically sexy especially when spoken by a French woman.,en
82,who else want to learn french after listening this song,en
83,so happy this song reached 1b views. 🫶,en
84,A big huge like for this song .... (i don't understand nothing but i love it),en
85,Finally !! Congrats for 1Billion ,en
86,Love this,en
87,First france lady and song  reach 1 billion..be proud beautiful lady ,en
88,"1 Milliard!!! 
INDILA  !!!! BRAVO  ",en
89,It finally got what it deserved 1B,en
90,"Meme apres 9ans indila , tu rete forte bravoo'o ",pt
91,"Finally 1 billion views 
Amazing lyrics even if you can't understand a single word",en
92,Congrats for 1 billion views ,en
93,I don't understand this but I like it ,en
94,1st French song that reach 1B views congrats Indila ,en
95,"Mygoodness, what a voice",en
96,"So I just searched for “dance,dance,dance” since it’s the only word I know from this song and damn it’s here",en
97,Congrats for 1B ️️,en
98,The people who disliked this video were so much scared with this song that they weren't able to decide,en
99,i just searched up “that popular french song” and hey it worked,en
100,Congrats for 1 billion ️️,en
101,This masterpiece has finally reached 1 billion views.,en
102,ENFIN ! LE 1 MILLIARDS DE VUES POUR CETTE CLASSIQUE ,en
103,Happy 1 billion indila I ma soo happy for you ,en
104,Congratulations for the billions of views,en
105,FÉLICITATIONS INDILA POUR LE MILLIARD ,en
106,"The meaning of the title is last dance, for those who are wondering.",en
107,Congratulations for 1 BILLION ,en
108,BRAVO!!!,pt
109,I know this froom i was 5 years old and i am 8 years old i love this song congratulations for 1b views,en
110,Congratulations to all those people who found this song before Valentine’s Day 2021,en
111,"Finally 1B 
Congrats ",en
112,"I first heard it years ago, when a girl was singing this song on The Voice program, with a terrifying voice and screams, and from there I loved it very much",en
113,Congratulations!! 1 billion views,en
114,Moral of the story: dont bully people or they will become the next avatar,en
115,"No clue what she's saying, but this still goes ridiculously hard.",en
116,"Me trying to sleep

My Brain : HEY REMEMBER THIS SONG?",en
117,Felicidades por 1B,pt
118,bravo it's the first french song that reached 1 billion views you're the best indila,en
119,Who here listens to French music so much they can kinda say the lyrics but have no idea what they mean?,en
120,Congratulations on your 1 billion views ,en
121,Such a deep song.....But some tiktokers ruined it's Beauty.....,en
122,This song will never get old ,en
123,"Me singing along me and not knowing any french and accidentally summoning a demon ️️

Update: I started learning French Doulingo Bird is a good teacher lmao ",en
124,Finally this reached 1 billion views,en
125,Imagine being this artist then learning your song is used in Indian Joker Tik Toks almost exclusively!,en
126,Congratulations on 1 billion viewers!,en
127,"First french song to get 1billion views, that's wonderful ",en
128,"Yeah she hit 1, billion  plz come back with new song",en
129,"Fun fact: you cry ,but you don't understand anything  ",en
130,I love this song,en
131,5 seconds of silence for those who didn't find this song till now.,en
132,One billion for the queen   congratulations ,en
133,It's really a masterpiece,en
134,"In this sweet suffering
I paid for all the offences
Listen as my heart is immense
I am a child of the world",en
135,Let's say hello to the people who finally found the song,en
136,Finally one billion  congratulations ,en
137,This song revolutinesed the music industry 10 years before,en
138,The first French song in history to reach 1 Billion views.,en
139,"I'm leaving this comment here so after a month or a year when someone likes it, I get reminded of this song ",en
140,Congrats for 1Billion ,en
141,"Me: *singing a French song*
Mom: I hope you’re not in a relationship with a French girl
Me: Oh ma douce souffrance",en
142,indila wake up woman it's already 1 billion views ahhhh you deserve it and much more love your songs   good 9 years of this work of art how beautiful,en
143,I don't understand what it says but I love the sound of the music ,en
144,Congratulations for 1b views ,en
145,When there are no good songs in English so you listen to French songs,en
146,What a voice !!!!,en
147,This song is so amazing. I know the lyrics and really helps learning French.,en
148,Generations are going to study this song.,en
149,BRAVO POUR LE MILLIARD.  SUPERBE INDILA,en
150,"Congrats to the 1 Billion views,Top G power.",en
151,"I've honestly disliked the French, especially their language, but this put an end to that. This sounds just perfect.  ",en
152,listened to this in french class and it was fire so gotta give it a try again,en
153,"I’ve been waiting for this song to hit 1B so happy , it’s been a long time coming",en
154,"As a frenchman, I don’t think any of us expected the first French song to reach 1 billion views to be this one",en
155,"Roses are red
Violets are blue
This song is in French
I thought the comments would be too",en
156,Congratulations Indila and all french singers... Which amazing voice::: You deserve it 1Billion,en
157,The only time I payed attention in French class was when the teacher put this song on.,en
158,Almost 10 ten years later finally 1B views,en
159,congrats for 1 Billion,en
160,"I : just give me a good reason that i need to learn francais.
Mom: Listen to this song
I: damnit, where is my french book ?",en
161,"who in 2023, this jewel does not go out of style ",en
162,moment of silence for the people who are trying to find this song because they heard it on tik tok,en
163,Congrats for 1 Billion  ,en
164,This song should've had 1B views years ago.,en
165,Congratulations one billion views ,en
166,First song sung in French to reach 1 billion views!,en
167,You know a song is good if comments are in various languages.,en
168,1 MILlIARD PTN TELLEMENT MERITé CETTE MUSIQUE ME DONNE TELLEMENT DE FRISSONS GG ENDILA !!!!,en
169,I’m disappointed on myself for not choosing French to study in school,en
170,How am I just finding out about this Jem 9 years later ???!!! I'm obsessed !!!,en
171,Perfect,en
172,Congrats 1billion views ,en
173,"1 billion 
Congratulations ",en
174,I searched for “that french song everyone likes” and this appeared.,en
