,comentario,liguagem
0,11 million likes achieved a first in kpop Jennie ah dammit what a queen but let's make this amazing song 700 million views for our kpop goddess,en
1,Tudo pelo 1B da Queen,pt
2,"well arranged beats, pre chorus melody, choreo,visuals SOLO IS NOT JUST A SONG ITS A WHOLE MASTERPIECE",en
3,Keep going guys we’re gonna get it to 1bil no matter what let’s support our girl <3,en
4,KEEP ON GOING YOU GUYS!!! JENNIE IS ABOUT TO REACH 1B!! DON'T FORGET THE OLD SONGS AND DON'T STOP AT 900M!!!,en
5,I love you Jennie. We are so proud of you. Do whatever makes you happy love.,en
6,"JENNIE QUASE BATENDO 1B DE VISUALIZAÇÕES, CONTINUEM BLINKS!!!",en
7,Keep going guys. We need to reach our goal ASAP!,en
8,Jennie is going to slay and trend everywhere with her red carpet look today,en
9,This song deserves 1B!Let's continue on streaming for Jennie amd make her reach higher number!!!,en
10,"Wish that this song will be 1B views,Love you a lot jennie️️",en
11,Wow  Jennie I love your solo ,en
12,Solo is an evergreen song. You can listen to it for 100th time and still feel like it's so fresh. It has such a rich vibe to it. Everything Jennie does is top-notch!,en
13,CREO EN EL RAP PODEROSO DE KIM JENNIE!,en
14,I need a album by Jennie,en
15,"vai ser delicioso jogar na cara dos outros que a jennie é a única solista com 1B
o fato dela ser alvo constante de críticas, é porque ela é literalmente a maioral. e junto com o enorme sucesso vem também a inveja",pt
16,"I REALLY CANT WAIT FOR HER TO REACH THIS SOLO MV TO 1B AND I HOPE YOU GUYS TOO. PLEASE, KEEP STREAMING SOLO GUYS AND THANK YOU FOR ALL THE EFFORTS TO STREAM THIS SOLO. LET'S MAKE OUR QUEEN JEN THE HAPPIEST GIRL IN THE WORLD. ILY ALL JENSETTERS.",en
17,"'SOLO'  Es el mejor Debut de Una solista De Kpop, es Impacto  Let go Jensetters y Blinks VAMOS POR 1.B PARA 'SOLO' VAMOS POR IT GIRL GLOBAL : JENNIE!!",en
18,When I went to vote Jennie in shining awards in morning then i saw that she was at first place in most popular Blackpink member I became so happy but now again she came in second place pls go and vote Jennie in shining awards,en
19,Jennie is really the ace of the group. She's barely showcase her talent yet she shine the most.,en
20,Hermosa ,pt
21,I love this song ,en
22,"i really can't wait for her to reach this solo mv 900M to 1B views. and i hope, she create and release another song. i miss her soloists era. please, keep str3aming guys. thank you for all the effort to stream this solo. ily all",en
23,930M as soon as possible please !! Fighting for Nini,en
24,precisamos fazer o solo da jennie chegar em 1B,pt
25,VAMOS CHICOS POR JENNIE LLEGUEMOS A UN 1B,en
26,33k come on guys cheer up we can do this !!,en
27,JENNIE SUA LINDA,pt
28,"73M to go for 1Billion for our beloved Jennie! Keep streaming, blinks!",en
29,Blink vamos mostrar que amamos NOSSA JENNIE!!!,pt
30,Let's try to complete 500k views today pls!!!! Keep streaming,en
31,"If we're not gonna work hard now on str3aming, we will miss the chance to have a billion first for Jennie.",en
32,This song brings memory years ago after it got released. We sang this a lot during our field trip back then with my coursemate!,en
33,Come on Blink! Let's make this masterpiece 1 billion!!!,en
34,"Just 200k more. I am so excited to see this iconic video hit 900 Million. Jennie shining solo!!
Yay! We did it blinks. Let's go for 1 Billion!",en
35,this song deserves 1B!! let's continue on streaming for jennie n make her reach higher numberrrr!!!,en
36,"I love Jennies solo! It's one of my favorites, I hope they give her more solo songs especially with more rap parts! I would also love to see some harder choreography, I really loved the moonlight rap and choreography hope they give her more choreos like that!",en
37,1 million views more and hello 100 million!! lets keep on streaming blinks!,en
38,"Jennie is such a charismatic person her aura her charisma everything hits hard on stage
Queen indeed",en
39,"We love you JENNIE, We will always be with you to give you our love and support, we are proud of the woman you are becoming today, continue to shine and always take care of yourself",en
40,RUMO AO 1 BILHÃO AAAAAAAAAA JENNIE TE AMO,pt
41,"Let’s make this mv
 1 billion",en
42,"We need to reach 1 billion asap , let’s make Jennie first female K-pop soloist to reach this milestone , keep str3aming harder , we are going really slow , Pls we need to do this for Jennie",en
43,So many beautiful pictures of Jennie on her I G,en
44,your voice is very peaceful,en
45,"It's going to be 900M soon!
DON'T STOP JENSETTER! KEEP STREAMING!!
We have to reach 1B soon! ",en
46,This song never gets old. SOLO will be forever iconic!,en
47,927M !!! Guys wake up keep streaming almost 1B,en
48,She's perfect,en
49,I can't stop hitting my replay button OMG JENNIE YOU ARE THE BEST,en
50,Keep going guys.We need to reach our goal ASAP!!!,en
51,This solo has everything VOCALS RAP VISUALS DANCE JENNIE KIM THE ALL ROUNDER ACE,en
52,"Only 73M to go for 1B
Come on Jensetters let's do this for our Nini fighting!!!!",en
53,"I am not a kpop fan  this girl knows how to own a stage. She has that charisma that always makes us to love her and surely she deserves  the love of blinks

Mama im famous ty for that much likes",en
54,Jennie is shiny and classy. I love everything about her. I'll support her all the way.,en
55,We need more than 20 votes pls vote for Jennie in shining awards guys,en
56,Jennie slaying so hard... she is so popular,en
57,Just keep doing what you want Jennie coz we want you to be happy... we are here to support you. Your SOLO mv will reach 1B soon ...,en
58,Vote for Jennie in shining awards guys we need more than 100 votes now,en
59,"Let's go for the billion views, he deserves it",en
60,"w/ the help of some blinks who are ot4 and jennie stans, we can achieve 300M this week right? JENNIE DESERVES THAT.",en
61,"Seriously I've never been a big fan of Bp especially Jennie but i never hated on her or body-shamed her. BUT NOW HOLY SHIT THIS IS TOO GOOD OMFG HABISHSISKWOWBSJSOJAVSHAISNKSOSK

Sorry i had to let that out",en
62,She's  totally stunning at  Cannes Film Festival ....just wow,en
63,"It's easy to be an idol, but it's hard to be Jennie... 
I love you .",en
64,Jennie is the best,en
65,Never got and never going to be tired of this MASTERPIECE!,en
66,"Don't stop supporting our princess, keep streaming Blinks!",en
67,THIS IS MY FAVOURITE SOLO SONG,en
68,Sending more and more love for my nini,en
69,Vote for Jennie in shining awards,en
70,"OMG yesss 3M likes and 60M views reached... AMAZING BLINKS
Lets not give up and keep streaming and supporting Jennie Queen <3 <3 <3",en
