,comentario,liguagem
0,This is his golden hour! Excellent video!,en
1,"I know I’m not the only one but his voice literally gives me goosebumps and makes the hair in my arms rise.Artists definitely have that power,I love that feeling.",en
2,"So I met my twin flame online last year…his last name is GOLDEN  Had to wait a whole year to finally meet him in person. He had told me about hearing this song, so I looked it up. When I finally got to meet him in person, I pulled up in my car & as soon as I saw him for the first time, this song started playing…it was amazingly, divinely timed, orchestrated by the Universe. All to say how special this song is to me! ️‍️‍",en
3,"Que melodia, que voz, que letra, parabéns essa música mim fez sentir muita vontade de viver algo que ainda não vivi.",pt
4,"I absolutely love this song, this kid is amazing! ️",en
5,"This song's my wife, I'll be dying soon, terminal disease, and this song means my wife to me, she's the world, and more, light, life, everything, I hope in the future when I'm gone, this song reminds her how much I loved her. Thanks for this song man, it means a lot.",en
6,"Generally not my style but this song definitely shocks you, pulls you in, then slaps you RIGHT in the feels!!! Instant hook... VERY nicely done sir!!! Talent isn't dead after all!!!",en
7,Que som maravilhoso 🥹,pt
8,Mágico 432,pt
9,"SHINEEEEEE, IT'S YOUR GOOOOOLDEEEEN HOURRRR ",en
10,"This song perfectly represents the feeling of love. Like when you're in love so much and you just can't explain to the world how it feels, but you can show them what it would sound like if you were to put the feeling of love in a song. This would be the sound of love.",en
11,Beautiful song and video to compliment it! Thank you JVKE!,en
12,I don't listen to music like this at all but this song connects with anyone that has ever been in love. Thank you JVKE,en
13,this music always cheer me up smile after.. when I’ll look up stars n moon while listening this song ,en
14,This song is very good to listen ️,en
15,"I used to be a fan, but after hearing this masterpiece, I'm a whole air conditioner",en
16,"The way he delivers the vibe in his music is surreal!
I can imagine seeing her during sunrise, facing the sun, and suddenly, 
the flashback of good memories flashes right before my eyes.",en
17,"dês do lançamento dessa música ela continua sendo minha favorita, eu não me canso dela. o sol é perfeito, tudo nela é!",pt
18,I still have chills running up and down my arms.,en
19,This is for the future: never let this song die,en
20,Love this song soooooo much! I think you're absolutely right that one doesnt need a record label to be big. Cheers to you and your brother for the job well done  ,en
21,"She showed me this song just a week before we broke up. I still listen to it, and get teary-eyed every time. thank you JVKE, for this masterpiece",en
22,I love this song very much... lets it SHINEEE foreverrr... luv u JVKE ,en
23,I learned of this song from my 6 years old daughter she sings it all day every time I hear it I get all kinds of chills  Beautiful voice Beautiful song,en
24,"A beautiful Master piece!  Loved the song.
The Piano hits different on so many levels.
Can't have enough of it <3",en
25,Masterpiece I'm surprised how he wrote the lyrics ,en
26,"Hey Jvke if you see this, I love this song, it’s been stuck in head for months and im not tired of this, thank you for making this song ",en
27,"It has to be more than an accident that I stumbled on to your video. My son was a piano player and looked JUST like you. Same build, same hands, same style of music. His name was Jake and died 2 years ago. His birthday was yesterday which was the first time I heard your song. Lots of tears flowed down. This song had to be God inspired to touch people so profoundly. Thank you Jvke. Keep on writing and performing!",en
28,Absolutely stunning! The music video blew me away! This was very personal for me! Please keep blessing us with your music!,en
29,This is definitely one of the best songs I've heard. The meaning behind the song is also just as beautiful.,en
30,A masterpiece  this is pure talent!,en
31,"Que música PERFEITA
Eu estou apaixonada, da vontade de viver",pt
32,I was listening to my kids singing along to this song..caught me instantly and indeed an excellent song. Very touching.,en
33,"Music isn’t made like this anymore. True art, talent and genius. Beautiful.",en
34,This song is so magical!! permanent song in my playlist now..,en
35,I drew my love for this song. She is like a golden hour when it comes ,en
