,comentario,liguagem
0,"Jacks verse is so inspirational, as is the fact that this song even exists ",en
1,Drake came in with the sweet 16! Shout out to the winner for Best Featured Verse at the BET #HipHopAwards22 #HipHopAwards,en
2,As a Kentucky kid who grew up in this part of town this gives me chills. Absolutely love it,en
3,"This is an incredible piece of art. The setting of upper class horse racing, the beats and tempo, the witty truthful verses, and all the cinematography in the music video. It's great to see Drake show that greatness again and also have a new young guy like Jack bringing it out of him!",en
4,The amount of goosebumps I get everytime I hear Drake's verse is ,en
5,This is a masterpiece ,en
6,When Jacks mom does the mind blown reaction because she can't believe the fact that her son is doing a video with one of the biggest stars of any generation is so beautiful... The amount of pride she is feeling has to be one of the best natural highs ever,en
7,Incredible amount of angles and direction. No lie this is the work of a group of freakin geniuses. Much respect!,en
8,The music video is so well shot and color graded and the vibe is all there omg,en
9,"""How can I address u when u don't own property"" line was fire",en
10,This is a great video. A lot going on that isn’t immediately noticeable. Jack’s mom really stole the show in a wholesome way. That is a hard thing to do with two legends on the track. The respect Jack and Drake have for each other is apparent both lyrically and visually. Great to see Jack having the ability to put the spotlight on his state. Can’t tell you how many times I will rewatch this one.,en
11,"Drake’s lyrics are so self-aware. They really reflect the life he lives now. The bars are powerful, elegant, inspiring.",en
12,I would love to hear more music with them together! This song is so good.,en
13,"a great song, a great duo and an awesome background score. And the video totally matches the vibe",en
14,"First time hearing of this Drake fellow, he has nice bars, I can't wait to see how far his career goes!",en
15,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Thought You Should Know” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
16,"This is one of those tracks that will age with time like fine wine.
When all my brothers and sister who are hustling today will make it.
We'll play this song, and vibe to it.
we'll find out that all along, this was a dance song.",en
17,"Jack never disappoints. 
Drake can’t disappoint.",en
18,"love the lyrics in this one, some high quality stuff here would love to get more of these",en
19,Fall asleep while listening to this masterpiece woke up still playing damn I love it,en
