,comentario,liguagem
0,He's under rated he deserves so much more credit for his dancing & voice.,en
1,"Love this song, it's gonna be a great hit this summer",en
2,"Jason, please keep it up. I have been listening to this for about 2 hours and I'm still not tired of it because this is so good.!!!",en
3,I never get tired of this song,en
4,I've been here since his first album. He is still underrated especially as a dancer. This coming from a fellow dancer!,en
5,This song makes me feel very good everytime when i listen to it! Well done Jason ,en
6,I've been listening to this for about 3 hours and still not tired. it's incredible,en
7,This song is SO good. Giving me 2009-2013 vibes and it is SO needed in todays world. Thank you Jason DERUUUULO ️️,en
8,"This song is so catchy, just can't get it out of my head.",en
9,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
10,"Such a good song, absolute vibe ",en
11,I swear this dude is consistently killing it with every new tune,en
12,This song and the guy deserve more because it's literally the return of good music and concepts to these days when all artists are lazy or just can't do it,en
13,Jason Derulo can really hit those notes that's why this song is soo good.,en
14,"I loved you Jason Derulooo, you rocked it!",en
15,"Thank you Jason for this amazing song! 
Loved it
0:20",en
16,"Jason is a true SuperSTAR.
This is so happy and fun, I love his vibes and lyrics and dancing.
It feels like a party or celebration with every song of his!",en
17,The energy that comes in Jason Derulo's song is simply magical!,en
18,Dude always been a very creative artist. I forgot how many hits dude had. This song should be huge.,en
19,Much love on this new song. So obsessed with the lyrics and can't stop playing it.....!!!,en
20,"This guy doesn't know for a bad song, he just makes it better!",en
21,"I can't stop loving this song, the video, the expressions, the girls everything...this is a masterpiece",en
22,Another song from Jason Derulo that is just gonna be stuck in my head in the next few weeks. Always delivers. The moves the tune just good vibrations ,en
23,Idc what people say. Jason Derulo is one of the best pop artist of the last decade and is still going strong.,en
24,Absolutely LOVE this track by Jason Derulo! We always dance to it in Dance Fit <3 <3 <3,en
25,I love this song so much!️,en
26,I love this beat. I need a playlist full of this tempo,en
27,"Jason Derulo, always brings a vibrant mood with his music,, ",en
28,"Love your voice, dance, talent and sense of humor <3 perfect!",en
29,feels like 10 years back. love love love this beat,en
30,This song still give me fellings after 1 year of listening to it!!! Good job!!!,en
31,I play this 20 times a day it's really an obsession ♡,en
32,I really love this song️️️ especially the beat,en
33,"I love the way he introduces him at the beginning of each song 

Jason Derulo
-Jason",en
34,"Piece of art, on point loveeee it",en
35,I love this song!!! ️,en
36,"This man, his music always wake me up. Love it man",en
37,I’ve been listening Jason from I was 9 and I’m now 21 and he’s still my favorite artist he’s so talented and underrated #future history still my fav album,en
38,Such a great song! ️,en
39,Coming again and again back here to  enjoying the vibe ,en
40,The vibe is just ,en
41,Love it!!!,en
42,Ahhhh! i cant stop listening to jason's hits i love it pls keep it up i am listening it for more then 3 years ,en
43,Let music speak on our behalf...it reveals the best part of nature...wishing nothing but more success to you my fellow musician #acapulco,en
44,Great song️!,en
45,"My fav song so far 
Can't stop vibing to it",en
46,Jason Derulo this song is amazing please keep up the work you're incredible man may god bless you !!,en
47,"One of the best song, old vibers as the old song from 2009-1013 great job Jason never disappoints. :D",en
48,"Damn the choregraphy, song, outfit, concept, Jason derulo is a genius ",en
49,Favorite song these days ,en
50,"The 2010's feeling is what I miss rn, plus it's summer so this fits perfectly ",en
51,Well done Jason!!!! This song kicks!!!!!!,en
52,The choreography is ,en
53,"This melody has the power to make Someone's day better 
give me such a happy and chill vibe :))",en
54,I’m just randomly listen this song on soundcloud and it’s so good that i have to find it on youtube. This MV is so amazing,en
55,"My fav song so far 
Can't stop vibing to it",en
56,I can't stop listening to this song is so good️,en
57,Parabéns pelo só magnífico amo as tuas músicas meu ídolo Jason Derulo 🇲🇿.,pt
58,This is going to be the greatest hit of the summer!,en
59,"This guy's multi-talented, I don't know y his musics don't have billions more views. He keeps putting out hits after hits and the industry seems to keep stifling him. He's got the whole package and more and yet his videos haven't seen billions  views",en
60,Such a big hit song! We always play it in our party!,en
61,THIS SONG IS ONE OF THE BEST SONGS I HAVE EVER HEARD!! Keep going,en
62,This Song gives me 2009-2016 vibes it is a masterpiece,en
63,"It's a perfect song, I can't get it out of my head",en
64,Never changed the “ JASON DERULO “ Gives me the 2010’s vibes again. ,en
65,Gosh!!I can’t stop listening this song! Is a masterpice️️️,en
66,Love this song!,en
67,This song really just make wanna dance,en
68,Sou brasileiro e fã do Jason Derulo🇧🇷,pt
69,"YO JASON YOU WERE THE BEST IN POLAND THE WAY YOU SANG MY HEART MELTED, GREAT JOB!! ",en
70,I’ve been a Jason derulo fan all my life this song makes him even better,en
71,probably Jason's best song  . masterclass.,en
