,comentario,liguagem
0,Love this track. Reminds me of summer last year when all the gyms started to re open and our dance teacher had this song in the playlist. So good!,en
1,"I really love this video the creativity and choreography amazing, Jason never fails to amaze",en
2,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you,en
3,At this point I can’t even count how many hits Jason duerlo has.,en
4,This dude always thinks we forget his name so he mentions it all his songs for us. What a nice dude,en
5,Muito boa música ️️️️,pt
6,Eu adoro esta música Ela é maravilhosa,pt
7,Jason Derulo needs a grammy because he's definitely got my vote,en
8,"It's so amazing how through the 8 years that i had been listening to Jason, he's still making great music. Yall this is the REAL star not all of those celebrities known for ONE song",en
9,the positive vibes this song makes me feel are unexplainable,en
10,"I love all of his songs, it never gets old",en
11,Jason Derulo is so underrated. This man always coming with hits and he can dance his ass off lol,en
12,I'm decorating my house for Christmas party and dancing on this song it give energy.,en
13,"i love jason derulo's dance moves, really gives me thrills",en
14,I had this “tatatatatara” in my head all day! Had to watch this again… ,en
15,Love his music!,en
16,My daughter is 11 months old and loves this song and dancing as soon as she hears it. This is her first musical experience.,en
17,Love it!!!,en
18,"I love this it's such a lovely song; makes me so happy :) 


Let me take you dancing~",en
19,Essa dancinha me deixa.... ,pt
20,"It’s literally impossible to be good at everything 
But i think Jason Derulo is good at everything",en
21,"Great song , great voice and amazing dance. Surprised to see only 110 million views. Though it’s a pretty decent number but this song deserves atleast a billion views",en
22,I really like his dance moves ️,en
23,A brilliant beat. Thank you for creating such a song.,en
24,I can't be the only one obsessed with his dance moves,en
25,I just love his songs ️,en
26,Love it,en
27,Loving this,en
28,The vibe and the bass of this song are so delicious!,en
29,"He needs more love in this world because he NEEDS the attention. His voice, dancing and his songs are SO good.",en
30,THIS IS ONE HIT️,en
31,THIS GUY IS LEGENDARY AND HIS SONG IS A MYTHICAL! NEVER GIVE UP JASON,en
32,Love this song,en
33,"there is no way that he can dance so smooth, thats amazing!",en
34,Listening to this song makes me want to dance even though i can't dance.,en
35,This song is a real vibe,en
36,This song never gets old,en
37,"Jason is the king of music , I just can't have enough of his music...how many people like him ",en
38,"The mv, music, her vocal, her dance so nice, catchy and makes me addicting",en
39,Love this song every time it comes up I start dancing,en
40,Your music is so great ,en
41,Love the song!,en
42,"Why is nobody talks about he's finally back with that ""Jason Derulo"" intro after a long time?",en
43,His moves were on point! Every single one ,en
44,He Dances so well. I love his moves.,en
45,Incredible ,en
46,Lying in bed listening to this on loop cuz its so good,en
47,Mood refreshing song  ,en
48,Man this man is making memories in this pendemic with his songs,en
49,Listened for the first time n legit listening to this masterpiece 23th times that's impressive ️,en
50,Love this music!!! ,en
51,I just discovered this artist.. everything I heard I like- top notch happy fun music,en
52,His dancing is one of the coolest dancing.I fan his dancing and his voice.,en
53,Amazing performance as always ...,en
54,One of my favourite ️,en
55,Y'all did great in this️,en
56,"you know it is a great song when you hear ""jason derulo "" in the start",en
57,Every new song you post is my favorite ,en
58,This song and “Clover Cage - This Is What The World Needs” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
59,Love it,en
60,Loved your performance in Poland ,en
61,"Everyone = I like Jason's voice, Creativity, choreography etc

Me : dadadadadadadada",pt
62,Thankyou Jason Derulo for your music.️️,en
63,I am obsessed with the girls voice! ,en
64,His moves r so smooth ️,en
65,Love  it ,en
66,"""I can't stop listening to this song every time coz I love it""",en
67,I just found this song and I can't stop listening to it.,en
68,Why is this song so underrated? One of the best song I’ve ever heard,en
69,Jason's dance moves are also perfect   ,en
70,Awesome song can't get out of head the music is awesome,en
71,This guy can make anyone dance,en
72,I hear it every day when I get up and when I turn on my cell phone. I'm your fan and I've already written in my TikTok that I'm a fan of you.,en
73,He is the most productive singer in the quarantine,en
74,"funky groovy tune, cant resist that bass line",en
75,He can't just stop dancing on every song he made,en
76,"this song really makes me wanna dance

good music",en
77,"I have 3 things to say
1 damn boy has moves
2 the transitions are immaculate 
3 THIS IS A BOP",en
78,"This is his best song, never gets old.",en
79,Love it ️,en
80,This is very awesome ,en
81,"Best song ive heard in a awhile now 
Ta ta tara best part of the song 
I keep coming back and its weird cause it make me happy every time i hear it ",en
82,I love this song. ,en
83,who else attracted to the girl’s voice ‘da da da da da’️,en
84,I like the dance...big up Jason Derulo,en
85,Ok maybe I'm the only one but who feels like this song already existed,en
86,Love it!!!!!!!,en
87,Love this ,en
88,Just Great!,en
89,Omg! I love this song this is been my favorite song forever!! At least that’s what it feels like,en
90,Am I the ONLY one who just discovered that there's literally 2 different music videos to the song!? How freaking awesome.,en
91,Love it  It is my favorite song now yayyyyy!!!!,en
92,I'm in love with this song!,en
93,"Jason Derulo is a boss !!!! He is so under rated , the rap game needs to give him his flowers  he deserves it, besides the marketing team they are using for going viral is so foking underated AUTHENTIC views.",en
94,I like how he’s just running in place. Great Exercise ,en
95,"Their voice, damn. ",en
96,Very love you Jason Derulo.  Your song is amazing ,en
97,"Makes me wanna dance, addicted",en
98,Jason is so talented ️,en
99,"Am I the only person 
or no this man can’t make bad songs",en
100,Mad for this song ️️️️️,en
101,Love this song ,en
102,Man he got some moves,en
103,Superb moves and amazing music ,en
104,"I used to be a fan, but after hearing this masterpiece, i'm a whole air conditioner",en
105,Nice beat nice moves nice falsetto and nice torso,en
106,This guy is the best musician l swear almost all of his songs are hits,en
107,He is just going up in his career. so many hits.,en
108,Jason Derulo rules da world.. I totally admire his vocals.. Even if I don't want to.. I do..,en
109,"These songs just remind me of summer 2016, can't explain why but it's nice ig",en
110,See you all in 7 years when this randomly gets recommended to us again.,en
111,Love this guy️,en
112,Insane choreographic skills 1:07 onwards,en
113,J'adore ,pt
114,He is a talented guy  no doubt,en
115,The dancing skills are out of this world,en
116,i cant believe people actually thought jason Derulo was a tiktoker who got famous and released music ,en
117,"I love your dancing it's so lovely
You're the best singer I know
I love this song!!    ",en
118,At this point I can’t even count how many hits Jason duerlo has. ️,en
