,comentario,liguagem
0,This song is so beautiful! I'll never let it die.,en
1,This song is going to last for infinity ️,en
2,"This song is gonna last forever, just don't tell me its impossible.",en
3,This song is awesomely written arranged I couldn’t wait to grab my guitar to play to this. Thank you for the awesome tune.,en
4,"This song is literally so nostalgic.
I’m in love with it and always will.
This song definitely deserves to be popular!",en
5,It's 2023 and still this song hits another level,en
6,"Lyrics :
Baby, this love
I'll never let it die
Can't be touched by no one",en
7,This song melts me. Makes me feel like true love is still a thing.,en
8,"truly one of the best drops ever. i love vast and monumental it sounds. makes me think of deep space, intergalactic distances. really gives you the feeling of infinity.",en
9,"This song takes me to infinity....
Good luck, man.And I hope that you'll bring us more good songs.",en
10,This song just hits different I could just listen to this forever for infinity!,en
11,Love this song. First time hearing the lyrics ,en
12,Respect to James young for making this masterpiece!,en
13,"I can't stop listing to this song.. I'm in love these days and it touched me ""Cause you're the reason I believe in fate, you're my paradise
And I'll do anything to be your love or be your sacrifice",en
14,This song just gets me feeling that certain way,en
15,"A song that transports me to a world in which pain does not cease to exist, but loosens up and calms down... The verse and the song,

in perfect harmony, they surrender, they kiss and they shut up! Never say no... I Love .... Infinity this music  ",en
16,"I listen to this song over and over again, and each time I get chills and a feeling of love that encompasses my body. ",en
17,"This song never gets old. Thanks Jaymes, the acoustic version is another trip to paradise.",en
18,This song really lifts me up to infinity,en
19,Love isn't random we are chosen ,en
20,Simplesmente uma música perfeitamente infinita e bonita ️,pt
21,Essa canção é linda.,pt
22,I'm addicted to this song since today!,en
23,So glad Jaymes is finally getting regconition. His voice is CHEFS KISS,en
24,One of the best songs I've listened for a long time. ,en
25," Your music has a tremendous amount of energy, shocking to the heart. The mood rises and falls with the melody and lyrics, making appreciators addictive。
You have your own unique style",en
26,This song is out of this world it’s just perfect ,en
27,"This is the definition of when your happy you don’t understand the lyrics but when your sad,you understand the meaning",en
28,"Love this song so muchhh 
The voice, lyrics,  music & all so amazing",en
29,Well done this is a really good song and I'm really glad that a trend on tiktok helped your song be known because not everyone has a chance to be in the spotlight so well done,en
30,"Toda vez que ouço essa música apaixonante, é como se fosse a primeira vez.AMO DEMAIS!!!!!!!!!!!!!!! Não sei explicar!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!É demais!!!!!!!!!!!!!!!!!!!!!!",pt
31,its feels like this song is going to last forever dont tell me its impossible,en
32,"Just recently discovered Jaymes Young songs.  His sound, his gifted songwriting....All truly Magnificent!!!  Glad I stumbled across his music.",en
33,I’m infinitely in love with this song. It has been on repeat for my road-trips.,en
34,I just love the way his song tells a unique story along,en
35,"I love this song, the lyrics are outstanding!",en
36,Não paro de ouvir!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Demais essa música.,pt
37,Almost a year old… still lovin it,en
38,Getting goosebumps while listening to it ️,en
39,"I love it too, it is like a song for soulmates, beautiful ",en
40,"Essa música marcou muito uma época de minha vida, éramos jovens e cheios de alegria, com um empasse de minhas ações, pedi-la ao destino na época que essa canção estava em ascensão",pt
41, my first time hearing it .. brilliant song I got it on repeat ,en
42,This song and “Did You Call Me?” by Lukaz are some of the only things getting me through tough times  I hope everyone is doing well. I love you ,en
43,"AMAZING JAYMES, JUST REACHES INTO YOUR HEART ",en
44,"All of james young's songs are very good, the arrangements are also good. Really like James Young. I hope you can survive in the music scene with the genre of music it is today",en
45,Such a soul felt song!,en
46,0:50 I love this part of the song,en
47,I love listening to this song ,en
48,"Something about that “ Cause I love you for infinity Oh Oh Oh “ that does something to me , it’s just so sentimental and passionate ",en
49,Como que só fui descobrir essa musica agora ? Muito boa.,pt
