,comentario,liguagem
0,I can’t believe this song is 7 years old feels like yesterday.,en
1,I Absolutely love love love this song! You are Awesome John legend ,en
2,"The production and composition of this song is superb; the piano and string accompaniment to John Legend's powerful and poignant performance exemplifies the mastery, artistry, and skill at which modern music can be created.",en
3,It’s 2023 this song is not getting old I never get tired to play even for how many years or decade will passed such a great masterpiece during my childhood days ,en
4,"2013: Heard this song for the first time. 

2014: Showed my girlfriend this song months later. 

2015: many months later we both fell in love with this song. 

2016: Went to a JL concert with my girlfriend. ",en
5,This is timeless,en
6,if you re reading this then i hope something good happens to you today,en
7,My feonce and me are just lv this song . Feel like it's the truth for us . Keep singing lads can't get anough ,en
8,"Almost 10 years later this song still touches me, it's not just a song it's an emotion, love it",en
9,Good rhyme and harmony = a beautiful song,en
10,Such a lovely song ,en
11,"It's incredible how music can have such a lasting impact on us, isn't it? This particular song seems to hold a special place in my heart even after almost a decade. It's more than just a collection of lyrics and melodies - it's an emotion that speaks to me in a way that few other things can.",en
12,"I can stay on this for days without getting tired , it feels new , legendary ️️",en
13,"Your my dowfall, your my muse... 
Always 
Love song",en
14,I love it so much ,en
15,This reminds of my oldest three children…They were young when it came out. They would sing it together and they harmonized so well together. I wish I still had the video of them singing it but the memory is permanently engraved in my brain. I love this song.,en
16,still one of my favorite songs to sing to,en
17,Nice song,en
18,Love this song.Beautiful voice John has.,en
19,for 9 years but the sound  still in my heart,en
20,I totally LIVE for their marriage  They are my life goals man,en
21,"Just buried my wife today. This became 'our' song in 2015. A couple of years later, we were at a bike rally and there was a karaoke contest...... I sang this for her, and everywhere the lyric is ""winning"" I said it like Charlie Sheen, but the rest sang totally straight with the full love behind it. They gave me 1st place trophy! Just one of the beautiful memories of us and this song entertwined. Thank you John so much, for sharing this part of your soul with us.",en
22,Essa música marcou a vida de muita gente ,pt
23,All of us ,en
24,"PRA SEMPRE A MELHOR MUSICA DA MINHA VIDA, MESMO SABENDO QUE MINHA ALMA ESTARÁ MARCADA PRA SEMPRE POR  QUEM ME FAZ LEMBRAR....",pt
25,"2013: Damn this is fire
2015: Holy shit it’s still good
2017: Stuck in my head
2019: Cry tears of joy",en
26,"This song is still my favorite, ""I give you all of Me and you give me all of You.""",en
27,I love this song. John has such a pleasing voice. Just fantastic. ,en
28,Simplesmente linda essa musica .faz parte algo muito bom na minha vida ,pt
29,May we all find someone in our lives who would resonate us with the powerful lyric of this song.,en
30,"If your still listening in 2021, you’re a John “Legend”",en
31,"Incredible, majestic, magical and passionate song to correlate the emotions of a pure loving  and soul. Amazing lyrics to match the taste n flavor of this song.",en
32,"Celebrated my birthday with this song. April 19, 2023. Still celebrating it even now with this wonderful song.  Such an iconic song, and a song from my childhood when times were good. So many nostalgic childhood memories, even in my teen years, and now even as a adult. Now I'm 21. I even still remember the day this song came out. Can't believe time passes by so fast. If only time would slow down. Like what a time it was when this song would be played everywhere, especially during the summer whenever I would return back home.  Even heard it on the radio yesterday on the 20th of April, when I was with my dad and my twin brother when we went out on a car ride to continue our birthday celebration. ",en
33,This song is so beautiful and fun to play on the keyboard or piano. The beginning is fairly simple as I say as an intermediate player.,en
34,When I met the love of my life I told her this made me think of her every time and I intend to have this played at our wedding  ,en
35,I like how john used his wife and not some random model,en
36,"As mais belas palavras não estão nas poesias, mas sim nas linhas do seu sorriso....",pt
37,2023 and I still love this song,en
38,"I listened to this song so long ago, the memories it gives me are beautiful 🥹",en
39,Don't worry. You're not the only one who is listening to this masterpiece in August 2021.,en
40,I was mesmerised by this song when it first came out and I saw the video for the first time. I was struck at how beautiful and perfect the girl was but how he accepted all of her flaws and imperfections. The words seemed so perfect…then I loved it even more when I later discovered he had married the girl in the video. It made the love story in the words and video into a true love story that is still going strong today. So beautiful!,en
41,"Absolutely amazing!   One of those songs that will never be forgotten!  One of those joints i wish i could sing,  so badly wanted to sing it out loud, especially to one we in love with.",en
42,"One of the legendary songs , old memories... still listening until now",en
43,"Producer: ""So do you want this song to make people feel happy or sad""?

John Legend: ""yes""",en
44,"the perfect wedding song for us 2010s babies. Thank you, you absolute Legend.",en
45,Love this song it was my dad’s favorite and that’s why I’m in love with the song,en
46,This song represents the real love in all its splender.,en
47, EL MEJOR TEMA DE TODOS LOS TIEMPOS,en
48,This was literally one of my oldest childhood memories,en
49,This song is completely meaningful to john and chrissy after they lost there child ,en
50,Essa toca no coração.,pt
51,Toller Song I love this song,en
52,This song brings me chills and it is also a beautiful song,en
53,When I was little I loved this songs so much that I cried,en
54,"Doctor:You have 4 minutes to live
Me: Play All of me
Doctor: but that's 5 minutes long
God: It's Ok",en
55,If I had one last breath I'd use it to say I love you,en
56,Eu amo essa música até hoje,pt
57,Wrong song to listen to when you're missing someone that doesn't miss you,en
58,I like his music all of his albums and his family too,en
59,"Still Listening! Thinking about my mom. Been gone almost six years. It was playing on the radio riding to her burial. At the time my heart was broken. But now this song has matured with me. I think of her and Smile when I hear it.
 She gave me her All!. That's the Best . I couldn't have asked for anymore!!",en
60,The first time i heard this song i instantly knew it was going to be a classic,en
61,"if you re here in 2021, it means you have a good musical taste.",en
62,9 years and still it hits dif ,en
63,Listening this again I need to remember my pain and die as I live and in prayers to the devil I find peace.,en
64,Love this masterpiece  ️  ,en
65,"Que página mais linda,  você já ganhou mais uma seguidora aqui do Brazilian 🇧🇷  adorável linda canção  🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷",pt
66,"Wonderful couple, this song is so emotionally intellegent, with a bit of twist.  One of John's best performace till today!
#2023 ",en
67,"If you're watching this in 2021, I love you and you're not alone.",en
68,"Essa música, simplesmente resume tudo o que quero dizer, para minha esposa, pois em cada palavra vejo ela, cada vez que ouço, me traz cada momento antes do nosso casamento, por tudo que passamos, de como Deus vez muito mais do que poderia imaginar, e meu deu muito mais do que eu poderia ter",pt
69,Sem palavras para expressar o sentimento de ouvir uma canção tão bela!,pt
70,I can't believe this song is 9 years old and I still listen to it. This song gets me in a mood.,en
71, amo essa música ,pt
72,A voz de Jonh e surreal  que talento ,pt
73,"Who would dislike this song, why?!",en
74,I can’t believe this song is 25 years old feels like yesterday.,en
75,"If you give all of you, all comes back, love builds in you, and the love becomes a pillar you stand on",en
76,"Que música bonita!
Mais uma pro meu celular.",pt
77,This is one of the greatest love songs EVER ,en
78,"The only song, that doesn't require lyrics to sing along..",en
79,"already it's been 9 years old and still feels like yesterday , so much emotions",en
80,"This song is a masterpiece......beautiful song, written with heart and soul ",en
