,comentario,liguagem
0,"Visuals are great, lyrics are everything, John's voice IS IMPECCABLE.",en
1,"Two years ago I had this coworker that I had a huge thing for, but I couldn't quite tell if he liked me back or was just being friendly. One night he sent me this song and that was it. Our two year anniversary is in February. 
Edit: Coming up on three years ",en
2,His words are written for someone real. That’s why you feel them down in your heart and in your soul. That’s why his songs grip you. They mean so much.,en
3,"i accidentally discovered this song a few days ago and ive been listening to nothing but this all day long. this song really hits you in the feels. been single for my whole life and am still waiting for someone to simply love me like how the lyrics in this song goes, i hope one day i will find someone who doesnt make me scared of love, to be loved, and to love back, because deep down inside i know love can be pure and simple like this, it can simply just be. and till the right one comes, i will just have to keep on praying and to have faith in god's plan.",en
4,"I cried like a little baby watching this.  As a 32 year old man, love in a relationship like what we see here is all I have ever wanted and I believe that goes for the rest of us.  Its out there for us all.  Never stop fighting for it.  
Well done Mr. Legend.",en
5,"I think I've watched and listened to this song like a thousand times, yet it always touches my heart and makes me shiver from emotion. True inspiration for making videos myself too and to keep searching for THAT kind of love. Thank you John <3",en
6,i’m learning to do this for myself cause i’m tired for waiting for someone to come along and love me,en
7,"This song brought me to tears, such a great song—especially now with all that’s been going on in the world today! We need to remember love will get us, and help us through whether it’s with your partner, or family, your best friend or just yourself!  ️ John Legend!",en
8,I’m getting married in 7 days on January 16th and this is gonna be the song me and my soon to be wife are going to dance to!!! I can’t wait!️,en
9,This is the song that my partner dedicated to me.. I suffer with ptsd and every day is a big struggle for me.. I always play this song when I’m feeling down.. even our 2 daughters now sing this song which just makes it seem more perfect.. I will forever cherish this song.. and cherish what I have in my life right now.. if it wasn’t for my partner I wouldn’t be were I am today. ️️,en
10,if anything else is better than the lyrics its gotta be how true you can see the people in the video clips during this song…️,en
11,"This song makes my pores raise, but those clips of human beings loving each other brings tears to my eyes. 

Why can’t this be how the world looks 24/7? No hatred, just love for our fellowman.",en
12,Imagine someone loving u so much that all of their songs are dedicated to you.,en
13,Essa música é simplesmente maravilhosa! ,pt
14,Esssa musica é tao perfeita e o vídeo também que dá vontade de se teletransportar para essa época em que os amores eram mais intensos e verdadeiros,pt
15,Um dos clipes mais lindos e emocionantes que já vi! ,pt
16,"My girlfriend had really bad relationships in the past and struggles to see her worth and how amazing she is. This song helped show that to her, as well as the love letters i write for her. Always brings her to tears. Couldn't of found a more perfect song.",en
17,every single time this beautiful  masterpiece gives me goosebumps. it never fails to give me those positive and lovely feeling. listening to it and tears automatically rolls down my cheeks.,en
18,May we all find someone with whom we can relate this song to .,en
19,Obrigada this is us por ter me apresentado essa musica ️,pt
