,comentario,liguagem
0,First song in the CENTURY by a group to debut at #1 on the Billboard Hot 100 . Let THAT sink in! We are SO PROUD! Congratulations guys!!!,en
1,"4 years later, and this song still sounds good as new.",en
2,This song seriously never gets old,en
3,I've always been more into rock and metal and never really cared for the Jonas Brothers but I love this song. It's seems better than their other songs,en
4,Cant believe its already been 3 years since the Jonas brothers came back and made this song. Time really does fly and that makes me sad. Love them!,en
5,"Love the style of the video!! Kings with their queens! So excited about this, a super mature version of an amazing band. Congratulations!!! And you better come to Argentina soon lol",en
6,This song just doesn’t get old. I still hear it quite frequently on the radio.,en
7,4 anos se passaram e a musica ainda é perfeita.,pt
8,amo essa música 🇧🇷,pt
9,I AM LIVING FOR THIS! Their wives/fiancés slayed!!!,en
10,can't get enough of this song ,en
11,Como eu amo eles,pt
12,"Jonas Brothers were the beginning of a lot of people's fangirl life, including me of course",en
13,"Hino demais 
jonas maravilhosos",pt
14,It really is a song that never gets old,en
15,This song NEVER GETS OLD!!!!,en
16,My childhood is back! ,en
17,You know a song is iconic when you haven’t listened to the song for a long time but still know the words. What a comeback.,en
18,3 years has completed today but it's still one of their best song,en
19,The way Joe says on top of the cars is just amazing ,en
20,I love this song so much!!!,en
21,"I can't stop listening to it, it's amazing",en
22,No matter how no matter where ... Jonas's Brothers will being the best ever!,en
23,I can’t get enough of this song for real ,en
24,It’s 6 am I just woke up and I’m already living !! My childhood is back and better ,en
25,Lindos maravilhosos,pt
26,Great song. Great video. Rock on!,en
27,"its been legit 3 years and im listening to it after almost 
2 years and i remember each and every lyrics this was epic respect ++",en
28,"I could listen to this song all day️
You deserve your star on the Hollywood Walk of Fame guys!",en
29,Love it,en
30,I thought it was a joke ..but the JONAS BROTHERS ARE BACK!,en
31,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
32,Love this one ,en
33,It is a catchy song. I was swaying my hips the whole time.,en
34,I’m so glad Kevin finally got his solo! That whistle was on point  proud of you!,en
35,I SERIOUSLY CANT STOP LISTENING TO IT!!!,en
36,Still one of my favorites songs ever,en
37,"I just love this song because it's so catchy like ""Who's in Your Head"" by the Jonas Brothers. I hope that everybody listens to this catchy, stuck-in-your-head, awesome song one day of their lives. This song is my favorite song. The Jonas Brothers seem so awesome, amazing, and incredible, especially at writing catchy love songs to their wives and girlfriends over the years. The Jonas Brothers are my favorite band and they're my favorite singers. I hope that everybody enjoys this song as much as I do. I didn't find out about the Jonas Brothers until 2019 on Apple Music. That's one place where I listen to them, I also listen to them on YouTube Music, and on YouTube. I can't say that I'm going to watch the official music video posted above for this song, but I can say that this song should and has no reason not to be my favorite song, ever. Here's a list of the following Jonas Brothers', DNCE's, and Nick Jonas' songs that I'd recommend anybody to listen to: ",en
38,I love this. And the fact that they have their ladies in the video with them .. So cute!,en
