,comentario,liguagem
0,The fact he sings about death threats he got and he’s donating the money off his song to mental health organizations. Yeah he’s got my support 100%,en
1,“Momma called cause she heard I got death threats” being a mom of 3 boys this hit my heart!! I felt that so much us mothers only want our babies to be safe and happy and loved :( This is a beautiful song,en
2,A lot of people compare early Taylor Swift to Olivia but I honestly think Joshua compares more to later Taylor.. the maturity in his songs and the stunning guitar reflects the sombre emotion of somebody who has been trampled over but doesn’t want to take revenge.,en
3,"""but you sensationalise, keep fanning the fire for the headlines."" SO GOOD. His songwriting skills omg.",en
4,Joshua definitely wins this one. He’s actually expressing his emotions and explaining his side instead of blaming the other person.,en
5,"This song never gets old. No matter how much I listen, I never get bored.",en
6,"I think it was extremely wise of him to wait to release this. At the time all the drama popped off, his side would have been irrelevant. The fans were raging and painting him as the villain. Now that the dust has settled and the emotions have passed, we can all hear him clearly. I respect him a lot for this. He shared the part of the music industry we never get to hear about. He straight up addressed how that situation affected him and all without having to do any interviews lol. I hope when he's asked about this again in the future, he can point to this song and just say ""Listen to this."" and leave it at that.",en
7,"This song is like... so emotional. He got so much hate when olivia's fan didn't even know half the truth. The effect hate can have over one is tremendous, it really really messes with one's mental health and I hope this doesn't happen to anyone ever again. It's completely fine when we love a song, keep vibing with it but it's NEVER OKAY to give death threats or hate someone JUST BECAUSE YOU ARE A FAN!",en
8,"After SOUR everyone labelled Joshua as the bad guy and people didn't even bother trying to listen to his side of it. I love how he just explains how he's being treated (by fans not Olivia) through his music. The reason he's one of my favourite singers is because his songs are more than just relatable. You can easily find songs everywhere of people saying someone broke up with them and how their hurting but its difficult to find songs that portray the feelings of the one who ended it, the one who's reasons are never heard. So finally being able to find an artist that describes these emotions makes me feel better. I was labelled the bad guy by every single person I knew and no one tried to listen to me. And Joshua's songs always speak for me. He's an underrated artist and he deserves more recognition.",en
9,"After listening to the Sour album and all of Josh’s songs (and now these 3 new ones) I’m with Josh on this. Both sides need to be heard, and it’s heartbreaking he got death threats. Olivia did some damage. He’s not digging at her here. He’s expressing himself.",en
10,"I remember being so worried for Joshua earlier in the year after all the drama. All the hate towards him was so horrible. People will grow apart from others and that's understandable, so I never hated him when Olivia released those songs. I hope he's doing alright now. This is also such a beautiful song too :)",en
11,“Messing with my life as a career move” damn... he’s awesome. I can’t believe Olivia’s fans sent him death threats... it’s insane. How fucking pathetic could you be to care THAT much about the life of someone you don’t even know.,en
12,just the fact hes donating 100% of it to mental health charities is so f*cking nice this man is so f*ucking kind,en
13,"""Half the shit you're sayin' is only half true You're messin' with my life as a career move"" 
Damn that hits hard!!!",en
14,The fact that Liv did nothing for the death threats and kept the drama going on over and over again just hurts me. I loved both of them so much. I was never picking sides. But this is just making me sad. Making everything about yourself isnt cool. and Liv did exactly that,en
15,"I felt this… so real and authentic. Joshua shouldn’t be compared with any other artist, I think he has his own sound and aesthetic. Talent.",en
16,His side of the story is just as relevant as Olivia's. I hope everyone that listened to drivers license and SOUR also hears this,en
17,"this song is so good! he didn’t talk about the breakup in an aggressive way, he was calm, and made his points very clear! and didn’t give him all the credit, bc he knew that he wasn’t perfect too. “don’t go thinking i didn’t hurt too.” is so so sweet! and i love how he is donating all of the profits for charity for mental health crisis’s! he could’ve bought stuff for himself, but no! he has my side! ",en
18,"The lyric at 1:20 about the death threats shattered me. Joshua didn’t (and still doesn’t) deserve all the hate he got, and no one should go through something like that. I’m glad that he mentioned that his mental heath is a lot better.",en
19,why aren’t these getting more views josh deserves to tell his truth too,en
20,Joshua is on his way of self-acceptance and emotional maturity.,en
21,I can’t stop listening to these. They’re amazing. “Weren’t you the one why left in the first place? Weren’t you the one who called things off? Was it an act to live me or an act to hate me? But don’t you dare act like I didn’t love you…” thank you Joshua. These songs might have honestly helped save my life.,en
22,"I have huge respect for him and his music. As someone who suffers from chronic diseases and mental health issues, seeing and hearing other people share that vulnerable side to them and especially your donation to charity just saddens me (that you have to suffer from mental health issues because of all the drama), and warms my heart. I hope people realize that these artists are also people and that we shouldnt involve ourselves in their personal matters. Stay strong man, and sorry if my english is all over the place.",en
23,"He’s giving me Harry styles, Charlie puth, Shawn mendes along with himself sorta vibes and honestly, I’M LOVING IT",en
24,he’s in his reputation era everyone and he is NOT HOLDING BACK !!!,en
25,"We can all appreciate all the art: Sabrinas, Olivias and Joshuas! They’re all talented and deserve the best ",en
26,"""Messing with my life is a career move""


This is so fucking eleite!",en
27,Reading all the comments about respecting both point of views initially made me think to hell with that because the same energy wasn’t given earlier this year but then I realized that’s the difference between his fans and others. Empathy and respect for the feelings of all parties involved. Truly a testament to Josh and the love he chooses to spread ,en
28,"Joshua really helps me a lot... he speaks out my fears and anxiety in his songs, and they turned out to be beautiful in the form of art",en
29,I feel so bad hes literally getting death threats hes underrated asf and hes talented asf. love you joshua keep drinking water and staying healthy your music is great<3,en
30,"He's very brave, the lyrics are very direct. How could anyone ever hate this guy? I don't think there's any malice in him.",en
31,To be honest I’m on his side he just has such sweet songs.,en
32,"This is one of those songs that nobody can do justice covering, just because it's so loaded with emotions and references that are unique to his situation/experience.",en
33,"Joshua, This song speaks so much about what happened. I'm so, so sorry for everything that happened to you and no one should ever have to go through that:(. I'm very proud of you releasing this because it shows the people who always thought it was your fault that you never got to show your side. Just know that I never hated you from day one and that I'm sorry for everything that happened to you. I hope everyone understands your true feelings .",en
34,"Why are people picking sides?! Both Josh and Oliva are insanely talented people. And don't hate on Josh for releasing this, he deserves a chance to tell his side of the story.",en
35,i read the comments and the fact that nobody is being hateful is amazing. this is a wonderful song and i hope things will get better for him,en
36,“was it an act to hate me or was it an act to love me” THESE LYRICS  I LOVE YOU JOSH,en
37,“And it’s cool if you want me to play the bad guy” omg I couldn’t relate to lyrics more I love all of his songs so ima go and blast them in my room,en
38,"This song is so raw and emocional I love it so much!! I’m so proud of Joshua and his evolution as an artist and person :) it’s not easy to release a song like this one, I can only imagine how vulnerable it makes you feel",en
39,"Aside the fact that his voice is poweful and the song is touching...
I wanna say that the thing that we forget sometimes is that they all are young. They both have the right to creat songs about their feelings and all, but what that turns these songs to a war zone is the way fans act after listening to either one of them. You know this is THEIR lives. Yeah they do write about it but don't hate or annoy any one of them cause at the end of the day the really are just young people still trying to figure out things in their lives. And also, non of our businesses! ",en
40,"I love the music that has come out of this situation, but I feel terrible (at least emotionally) for everyone involved. Especially Josh, cause the support and success Olivia has gotten is crazy in comparison to the hate he (and Sabrina) received.",en
41,The fact that he always kept respectful- even though she put him through all of this- that's so strong and grown up,en
42,They always say there’s 2 sides in every story and as good as olivias songs are i think Josh’s songs gives a whole different perspective on the outside world Im so glad to hear his songs I feel so sorry for what he went through but so happy for him and his music it’s amazing he has my support,en
43,"Maturiting is realizing Joshua being a bad person only happened in her fans' head and none of them deserve hate, but staying silent while your fans are ruining his life and putting his life in danger is enough to be mad at her and writing this song",en
44,"Wow, there can be nothing better than this. You are singing about the fact that your ex is singing songs about hurting and your family is getting phone calls, and you are donating all the money to mental health organizations. He has my 100% support.",en
45,Such a beautiful song..Good job Josh!!,en
46,"I think this song is so interesting, not just because of the lyrics, but because of the musicality and tone as well. It's a breakup song written like a love song which so perfectly conveys his message.",en
47,"You guys wait like I can’t decide if I need to laugh or cry right now. Like the chorus is just so cutting and deep and raw that it literally made me tear up but then “you would never dare to waste a crisis” is just such a good burn and I wanna laugh and high-five him for that one and I’m just… 
Update: I’ve decided to cry",en
48,"Now THIS hits different, he told his side. He didn’t attack her, he kept together and expressed how hurt he was for her to make such songs that put him in a bad position.",en
49,"It's not like I'm invested in their drama, just happened to enjoy both artists.

But I GASPED. THE TEA. HOLY HELL.",en
50,"This is such an incredible powerful song, Josh! And I’m just so proud of you & this moment is yours to take. You deserve it ",en
51,"These lyrics gives off this powerful vibe :, (",en
