,comentario,liguagem
0,"Just one shoot! This music video is so good! And the song, WOW! I love it!! My bro will do a cover on it! And me maybe a choreo  You're amazing!!",en
1,"olivia and joshua are both lyrical geniuses, but in the end, we don't know the full story. only hearing their songs is far from knowing the true story. just support them both as individual artists :)",en
2,"Finally music from fresh people that doesn't sound like some 'high school drama' lol. This song feels like such a cool breeze, so refreshing and chill. I loved his voice like sooo much.",en
3,"okay....i never do this but: THE DIRECTING OF THIS! WHATTTT. SINGLE TAKE PEOPLE! There's not a single cut, it's so layered in the meaning, but to physically portray how life is constantly moving no matter what your circumstance is – is just so beautiful.",en
4,“Rumors can kill”  IM PUTTING THE PIECES TOGETHER,en
5,"That 'WHEN YOUR ""WOE IS ME"" STOPS WORKING, I BET YOUR SONGS WON'T SOUND THE SAME' gives me chills, it's so powerful",en
6,"He's giving me Harry Styles, Charlie Puth, and a little bit of Shawn Mendes along with himself sort of vibes and I AM LOVING IT.",en
7,"""i defended you still cuz i knew rumours could kill"" 

DAMN- JOSH",en
8,"“You had me tricked for 16 months”
THE WAY THAT ROLLS OUT PERFECTLY SOUNDS INCREDIBLE",en
9,"i’m so shocked nobody picked this apart yet! the ending? he’s telling her that her secret is safe, then she disappears, and all the lights are on him…..like press….because he kept her secret but she aired out his.",en
10,This song has a whole new vibe ,en
11,"pushing aside the drama surrounding Joshua and Olivia, this song SLAPS. keeping secrets for someone who seriously hurt you is crazy hard. it's something i've forced myself to do, regardless of whether or not certain people deserve it. the line ""i defended you still, cause i knew rumors could kill"" hits so hard. i might have been torn apart, but rumors and gossip do slowly kill a person and i knew i could never inflict that kind of hurt on anyone else, no matter how much i wanted to.",en
12,"Me listening to Joshua Bassett, Olivia Rodrigo and Sabrina Carpenter, because I love all their music. Let's not hate when we don't know the situation personally and let's just support the music career of them all! This song is fire!",en
13,"When he's singing directly to her though, the expressions, just amazing",en
14,"This song never gets old. No matter how much I listen, I never get bored.",en
15,The fact that this man isn't getting the recognition he deserves is beyond me,en
16,"I don't get it. People support Olivia when she tells her side of the story, but when Joshua is telling his side of the story everyone is judging him and criticizing him? He has EVERY right to speak about his side of the story. You never know what truly happened between them so y'all stop making Joshua the bad guy.",en
17,“we all owe him an apology” well actually some of us didn’t send hate and death threats to a stranger based on assumptions,en
18,"it's interesting how at 1:42, joshua takes lead guitar while the band refuses to face him. he even peeks at his band members to see if any of them are vibing with him, but they aren't. it might represent how even joshua's supporters fail to pay attention to his true self. though they work together, joshua still feels bittersweetly shunned.",en
19,The vibes? Immaculate. The beat? Great. The video? Amazing. The shade? Off the charts.,en
20,"Wow this is magnificent, can’t believe so many people don’t give him a chance",en
21,THE AMOUNT OF DETAILS AND ALL BEING A ONE SHOT IS JUST!! HE IS SO FUCKING TALENTED,en
22,"Dear Joshua, 
I hope this comment finds you and maybe makes your day.
I just wanted you to know that your truly a gift to this world.
As a fan I wanted you to know that I appreciate you as a singer actor and a human being.",en
23,2:32 his expressions looks absolutely realistic it's insane,en
24,I wish he gets the recognition Olivia gets because his music is just masterpiece. The whole world needs to hear.,en
25,"This music video is so powerful, love how all the visuals reinforce the feelings of the song, being disoriented, not understanding why your friends can't look at you in the eye because everyone knows but you, great video",en
26,I love his voice there is just something about his voice it is so soft and smooth,en
27,"This guy shredded the guitar, wrote and sang this amazing song, and created this amazing music video all while rocking a suit",en
28,"That drum fill at the chorus is just perfect. Joshua you are by far the artist that resembles myself the best, and I love it. You are and will forever be my favorite artist. And if your label sees this comment, then say hi from me :)",en
29,"I literally can’t thank him enough for these songs. They’re PERFECT and perfectly describe my life rn and just ugh I love them so much. I can’t help but smile and sing along when I hear this song. Cause despite the backstory, he’s getting through it.",en
30,"esse homem merece mais reconhecimento nmrl, to viciada nessa msc",pt
31,"“When your “woe is me” stops working, I bet your songs won’t sound the same” CHILLS",en
