,comentario,liguagem
0,"JK, you did amazing at the World Cup Opening!

Great way to show who you are as a solo artist and as a member of BTS on such a stage!",en
1,"Such a beautiful song....jungkook has got really damn awesome voice and the music of this song just makes to dance all the time whenever I listen to it..I believe after Shakira and Ricky Martin, this is the only song I would like to hear all the time and listen it again and again...lots of love Jungkook and grow more and stay safe and healthy...",en
2,"Still can't Believe this little boy who said ""I'm happy mom I'm on the TV"" is now the biggest singer in the whole world not only the K-pop indstruy, I wanna cry",en
3,Beatiful JungKook,en
4,I’m very proud of you Jungkook!,en
5,"This song shows us that no matter your background, religion, nationality or ethnicity, we are all Dreamers.

Who agrees?",en
6,Vamos por massss q podemos juntas lo lograremos sii no Olvidar Spoty I love Jungkook Forever :D:),pt
7,I still can't believe he literally performed at the world cup and even sung live! Respect,en
8,"This always gives me goosebumps, like performing infront of millions on q worldcup without a solo debut, this is why he is the most loved and popular idol.",en
9,"I'm not a fan of anyone in bts, but this spectacle was so impressive, if the world has blessed them with such a fanbase, they must have so much talent.",en
10,As an army and as an Arab army I'm so so so proud of you JK thank you so much for this amazing performance it means so much to me thank you and love you 🇹🇳🇹🇳,en
11,Her voice is very Magical and sweet ,en
12,He's so beautiful and his voice and presence mesmerizing. No wonder ARMY is waiting for his first album.  I m so happy it s coming,en
13,"This video was a banger!!!!!The camera,the lights,the people and least but certainly not least,our top singer Jungkook!",en
14,Jungkook's vocals is very cool,en
15,"eu venho aqui chorar, quando a saudade dele aperta demais. morro de orgulho desse menino",pt
16,"will forever be impressed by the fact that Jungkook delivered a flawless performance despite having technical difficulties and couldn't hear himself properly in his in-ears! he was essentially relying purely on his senses and muscle memory which makes this performance all the more epic and legendary! JUNGKOOK, YOUR FANS ARE ALWAYS SO PROUD OF YOU, AND WE WILL ALWAYS LOVE YOU AND SUPPORT YOU IN EVERYTHING YOU CHOOSE TO DO!!! <3333",en
17,"Um talento nato. Sempre irei torcer por você. Te admiro. 
Meu utt",pt
18,"It has been 4 months. And I still get goosebumps when the song starts.
What a performance!! ",en
19,So proud i remember watching him with my family and i was screaming literally gave me goosebumps i love you jk,en
20,Just happened to see this mv .. woow is so exclusively done. Congratulations JK ,en
21,"Today some of my school students perform on this song which made me cry and proud that was unexpected but it really happened today I'm so proud of him that was the best moment of my life
Bts forever ",en
22,Everyone agrees that Jungkook's voice is no joke and unparalleled,en
23,Amei apresentação JUNGKOOK FOI TÃO ESPERADO ESTE DIA....FICOU  PRA HISTÓRIA MEU MENINO. VC E FANTASTICO,pt
24,Stable live vocals as always our Jeon Jung Kook!,en
25,"BTS'  'THE PLANET' is coming. It will be released on May 12th (KST) at 1PM (May 11th EST). This OST will be the last full group song before BTS is discharged in 2025. And this year marks the 10th anniversary of BTS' debut. __In the South Korea, there are fireworks, issuance of commemorative stamps, and documentary screenings to commemorate the 10th anniversary of BTS' debut. ___Then, what can ARMYs around the world do together for BTS? Let's set a record by streaming the song 'THE PLANET' and the official music video sung by the seven members of BTS. __If many ARMY sing this song like Butter, BTS members will be able to feel the love of the ARMY fandom even while serving in the military.",en
26,He is a super kpop idol with infinite skills so talented,en
27,Eu  nunca vou superar esse vídeo do jungkook na abertura da copa do mundo ,pt
28,"I got tears in my eyes when I was seeing him performing live, my inner self was bursting in so much pride, 25 years old JK has made it ! He has made his haters cheer for him ",en
29,Eu posso ver esse vídeo mil vezes (literalmente) e sempre vou ficar super orgulhosa do nosso JungKook. Ele foi tão incrível que quase explodo de amor ♡⁠(⁠>⁠ ⁠ਊ⁠ ⁠<⁠)⁠♡,pt
30,"Porque este video dura 2 horas seguidas, no entiendo  jajaja Te Amo Jungkook ",pt
31,"Indeed, more than 5 months have passed, but I could not get over Jungkook's beauty and voice, also his movements, and in the end his humility with a fahad and his way of peace. I did not and will not get over Jungkook no matter how old I am.",en
32,"Jungkook !!! Woooow you're a legend, Global superstar",en
33,Hermosooo no me canso de escucharlo,pt
34,Não me canso de ouvir... um sonho lindo Deus te proteja,pt
35,Everyone agrees that Jungkook is multitalented,en
36,"Amei essa abertura ,pena que o Brasil e a Coreia perderam️️",pt
37,Just a little more push to make this performance of Jung Kook the 9th most popular video of all time on BANGTAN TV,en
38,FOI DUPLAMENTE MARAVILHOSA  ESSA CERIMONIA ARTISTAS TALENTOSOS.,en
39,"This is so magical, Jungkook really put his all into this and it showed, love you Jungkook ",en
40,Pode passa o tempo  eu sinto a mesma emoção  daquele 22 novembro 2022 junkook e Fahad  na abertura da copa  magnifico maravilhoso dreamers vai fica na historia  ,pt
41,"This was the best opening of world cup history. They both were amazing.But Jk was fabulous, his dancing and singing was really really so much  outstanding.",en
42,"This song is so uplifting, positive and encouraging :) great job",en
43,I LOVE YOU JUNGKOOK ,en
44,"Its been 5 months, but I still so proud of JK and BTS as a whole",en
45,This performance is everything i will love it forever,en
46,When i watch kooki's performance tears drop my eyes i proud of you proud sister here kooki,en
47,I'm not a BTS fan but I fall in love of this masterpiece song.,en
48,Dreamers 2022 fifa world cup best song ever Jung kook you are a extraordinary intelligence singer ,en
49,E foi neste dia que o Jungkook me fez mudar de opinião sobre eles e me fez apaixonar perdidamente por 7 coreanos. Foram tantos comentários que eu vi falando sobre ele e muitos querendo que ele não cantasse nessa abertura que me fez ter curiosidade sobre e ir atrás e hoje até página tenho.,pt
50,I HAVENT MOVED ON FROM THIS. QATAR HOSTED THE BEST WORLDCUP,en
51,"INCREDIBLY PROUD OF YOU, JEON JUNGKOOK, THE AMAZING ICON AND PRODIGY YOU ARE.",en
52,"Hoje no dia das mães, as 06.33 da manhã eu assistindo pela 73' vez esse vídeo.
Isso é amor ",pt
53,Our Kookie shines so brightly in any and every situation!  ,en
54,"Jungkook, você é maravilhoso, Deus abençõe , te amo️️️🇧🇷",pt
55,Saudades disso  eu tenho fé que em 2026 a gente ganha o hexa,pt
56,You did amazing Jung Kook!!! I am so proud of you ,en
57,This song and this worldcup will be always memorable ️,en
58,As an Army and Argentina fan this world cup was wholesome for me,en
59,COMO TE AMO JUNGKOOK,pt
60,"1:06 I still get goosebumps just like when it was airing live, 
was waiting for DREAMERS from the start with my whole family,, we were all talking while watching the ceremony and suddenly this music hits my ears and my happiness new no bound T_T (happy cry)",en
61,Super voice Super lyrics Super music loved this song JK done it well,en
62,love coming back to this song. i miss the 2022 world cup craze and excitement.,en
63,"Everytime i heard and watch this song always gives me goosebumps️ 
Kudos to Jungkook and Fahad they deliver this song with passion and with their hearts️️️",en
64,lindo demais tou amando esse rapaz e essa musica,pt
65,Esse Dia é atemporal!!!! ,pt
66,"look at our maknae :) I’m still here jungkookie… every time I watch this video, I’m proud of you with all my heart…",en
67,Eternizando uma memória que eu vou levar pra sempre : },pt
68,"Jungkook ur amazing keep going 
I love u so much 
We're so proud of you 
Fighting :)",en
69,A superb artist - Jungkook you will always be an icon ,en
70,Both of them was amazing . I'm hearing this song from the very first day .,en
71,I got goosebumps 🥹 they combined 2 amazing singer from very different world korean and arab.. this is one of the most beautiful performance in the world cup history 🥹️,en
72,One of the best World Cup I've ever seen my life,en
73,Imagina quando o jimin viver esses clip ,pt
74,"The soccer World Cup is another level, it is the most famous show in the world, and a unique platform for a singer because it makes you known all over the world.",en
75,Watching this again because I'm so proud of Kookie,en
76,When i saw him in the stadium it gave me goosebumps and my heart started beating fastit was justlove you kookie ️borahae,en
77,A song and a performance that you cannot get bored even if you repeat the video thousands of times,en
78,"Great clip and preparation, dynamic performance of an incredibly professional and perfect Jungkook. In the rhythm of this music and its performance, it is impossible to sit still, the body itself moves energetically to the rhythm of the song ""Dreamers"". Jungkook's voice is as amazing and unique as his humble personality. The only opening of the championship that I will remember for the rest of my life  Total revelation",en
79,"Am i the only one , who kept smiling during the whole video, Look where we are, we are the dreamers, and the dream has happened. Our Kookie  I watch this song every week since it released, and my smile has always widen seeing JK reach here",en
80,"I still can't believe HE did it. Jung Kook is a legend. 
P.S Dreamers i love u  ",en
81,I am so proud of bts army,en
82,"He shows that even the poor people and unpopular can be one of the richest and
 popular ...... GREAT JOB JK",en
83,"Still can't Believe this little boy who said ""I'm happy mom I'm on the TV"" is now the biggest singer in the whole world not only the K-pop industry, I wanna cryWe are all dreamers.",en
84,Proud of you as Asia people myself ,en
85,We are forever proud of and will always lovingly support beautiful Jungkook!!  Such a heart melting song and performance!!,en
86,O dia que o Jungkook ficou conhecido  mundialmente,pt
87,6 months with this legendary performance and it's 131M+ ... Keep streaming it Armys 18:11,en
88,"Almost 6 months and it's 130M+ , keep streaming it Armys",en
89,"Congratulations!! Jungkook is the first solo Asian artist whose live performance has the fastest 100 millions views till now in the history..I am feeling so proud of this boy who was once so happy to be on TV and said, ""Mom, I am on TV"" with his baby eyes..",en
90,So proud to be apart of this fandom  ARMY️️️️️️️,en
91,What an outstanding performer!!! Jungkook ,en
92,foi ai que cantaram a maior música da copa!,pt
93,I can listen to this song all day,en
94,JUNGKOOK SESİ EFSANE PERFORMS YAAA,en
95,"Although five months have passed, the song and performance will remain legendary",en
96,I use to listen this song when I get depression.This song heals me a lot.,en
97,Nobody can dance this hard while singing this stable & looking this confident & great stage presence like Jungkook,en
98,"Eu vejo esse vídeo e muito gostoso  vê-lo essa energia e contagiante,sem contar que show lindo",pt
99,After a Hectic day I watched this performance again and with jungkook angelic voice I am able to retain my energy.... I am so proud of you jungkook,en
100,Wow I love this i love jungkook soo much I love all the members from bts,en
101,A classy performance befitting the biggest football event. These are real songs that deserve praise. Jungkook's performance is amazing,en
102,"Go Kookie, for this great hymn dedicated to those who want to achieve their dreams no matter how many obstacles there are and what they say ",en
103,"5 months since this song was out, even got played at school and danced to it at a school event, AND I NEVER KNEW THAT ENTIRE TIME JUNGKOOK SUNG IT",en
104,This song is one of my fav song love you kookie forever ,en
105,"I love completely, I cried at all this moment I am so proud of Jungkook and what he achieves I love him ",en
106,"TREMENDA PRESENTACIÓN QUE NOS DIO JUNGKOOK!!! LA CANCIÓN QUEDO PERFECTA, LA LETRA ES INCREIBLE, EL SONIDO, LA COLABORACIÓN ESTUPENDA!! FUE LA MEJOR PRESENTACIÓN DEL MUNDIAL!!",en
107,Amazing perform,en
108,"It was great, Jungkook
I love you, thank you
I wish you more success
Always shine beautiful boy️️️",en
109,Maravilhoso ,pt
110,Fantastic performance Jungkook,en
111,I love how the first comment under the vid is how he distributed free tickets of their concert and now performing for world cup.. Honestly I've never got bored of this performance i can watch it several times️,en
112,99M CONTINUEMOS APOYANDO A JUNGKOOK SE LO MERECE!!!,en
113,"Can't believe he sang live 
He is so talented ",en
114,That's an unforgetable world cup,en
115,Both of them are well deserved for standing ovation,en
116,"Jungkook breaking records on T*ktok, YouTube and Spotify. HWANGNAM MAKNAE indeed!",en
117,"Eu me emocionei quando o toque da música começou eu chorei de verdade chorei de orgulho de você Jungkook, que subiu no maior palco do mundo para representar seu grupo foi lindo será inesquecível, você foi PERFEITO",pt
118,The song and performance that birthed my love for BTS,en
