,comentario,liguagem
0,"I can remember the first time I heard this song.  I was driving home late one night, after spending the day with my wife, of nearly 17 years, who was in palliative care with pancreatic cancer.  I've never in my life had a song bring so much emotion to me, and hit me so deeply as this song does.  She passed in November 2021 from this horrible disease, and to this day, I still cry when I hear this song.  My advice to all, is to love everyone with all your heart today, as there is no guarantee of tomorrow.  There is nothing I wouldn't give, to spend one more day with her.  Love you Anna!",en
1,"It has been 2 years since this song was released and I still hear this one to gain my courage and believe in good while my darkest times, Love you so much Justin for this song, You deserve every happiness in this world",en
2,Amo d++++ essa música,pt
3,"I lost my older brother to suicide when I was 17, and I am now 22 almost 23 and this song is dedicated to him as I miss and love him so much",en
4,I lost my dad last month..... & this song helps me to live with those memories we had together.,en
5,THANK YOU JUSTIN BIEBER,en
6,"Not a fan of JB...  but can't contain it, this one surely hits me. It reminds me of my late father, all the good memories we had with him. Found myself in tears.",en
7,"I still love Justin's music no matter what, forever ",en
8,One of my best and most favorite song. I cannot stop listening to it. It just touches my heart and inspires me to be different from who I am. Love you Justin,en
9,"This song hit me so hard!
I lost my beloved Grandma, my Momma and my First Love.
And the pain still remains.
Dedicating this to them.",en
10,I lost my dad almost 2 years ago. This songs still makes me cry each time!,en
11,"I love this song, a great tribute to anyone who's lost a loved one.",en
12,"""your memory is ecstasy"" is one of the most powerful messages I have ever heard in a song. Beautifully describes how we think of memories with loved ones we have lost.",en
13,"Love the video, lyrics and overall this song",en
14,"This song makes me cry every time. 
My sister died from lung cancer and it traveled into her brain. Her organs stopped working.  She went blind. All in a span of 6 months.  She suffered in horrible pain. Will never forget you Kaoy. Miss you. God has you in his arms and your pain is no more. We will see eachother one day! We all love you!!",en
15,Ghost by Justin Bieber is a phenomenal song with moving singing and incredible music to match. I only wish that I knew of Ghost by Justin Bieber much much sooner though fortunately I unexpectedly heard this song through a local radio station earlier today.,en
16,This is like a really short movie… ,en
17,I hear this song on repeat the whole day. It touches the most deepest part of my body so perfect the song,en
18,No matter how old this song gets it will never be forgotten,en
19,MANO! CHOREI QUANDO LI A TRADUÇÃO!,pt
20,"This song will never get old, no matter how many times I listen to it, I never get bored.",en
21,"This song made me cry so much because  I lost my grandfather who died because of lung cancer.When I  heard about his death it hurt me so much but I didn't want to show my feelings to my father to not make him feel sad and support him,but when I listed to this song I could finally express my feeling out and it was a relief for me.I want to soy thanks to Justin for making this beautiful song.Thank you soo much.",en
22,"The lyrics in this song is too good, it hit me so hard emotionally, I'm crying right now",en
23,Love this song it binds me like a role around my neck ....pulling me in as I use my power to break the pain away and get back to work,en
24,People need to comeback and give this song a listen and never let it age. This song is as beautiful as life can be.,en
25,I love this song!! I lost both of my parents.  This song says it all.  It brings tears to my eyes.,en
26,"This is one of the greatest songs of this generation, give credit where it is due! Thank you JB  this song brings the beautiful emotions inside of me!",en
27,"Heard this song at work and it got stuck in my head so I looked the lyrics up and couldn’t believe it was another JB song that I liked . I gotta say , I used to hate his music when I was in high school but now he is by far the most talented artist of our generation. Total respect for you JB! Your voice is beautiful.",en
28,"The fact that we are literally watching him grow up as his music becomes more and more mature in terms of themes and experiences...say what you want but this guy has managed to stay relevant all these years by dropping good songs no matter what. Always on the radio, sometimes I vibe not even knowing its by him. Most people I know that used to hate him for no reason appreciate that he's a good artist nowadays.",en
29,"When the first tune came out, along with the image in the video, I burst into tears. What a great song!!",en
30,"Como uma obra dessas não tem tanto reconhecimento? Ghost deveria ser planfetada por todos os lados, todo mundo precisa de um quentinho no coração escutando ela",pt
31,"This song is so personal I lost my 20 yr old son tragically.  Who ironically looked like Justin.  I watch his videos in fact to remind myself of Jordan,  when he was alive and smiling Thank you Justin,  God bless you",en
32,"I swear, to this day...i cant get through this song without crying.",en
33,Listening to this sitting outside of the hospital where my mom just passed away while crying my eyes out. I sung this in my head the whole time holding her beautiful hand even when it turned cold. I love you mommy forever and always! ,en
34,"I just can't explain what this song does to my body, the video, the song and the lyrics make me go so emotional, it made me shed some tears.
Thank you for reminding us that we should always show love and kindness to the ones we love, because we never know when we will lose them.",en
35,"When they are the least expected artist to make a song that touches your soul deeply, and gives you chills that brings you to tears.  Thank you! ",en
36,I miss my mom so much even after 7 years. This song expresses all and more that I want to tell her and brings me to tears...every time,en
37,Thank you Justin this song perfectly describes how I feel about losing my padrino (only father figure I had) he died years ago to cancer and I haven’t been able to fully accept he’s gone. I think of him every time this song comes on. Rest in peace to all our angles in heaven ,en
38,amo muito essa musica,pt
39,"Never heard this song before, which is odd as it’s been out over a year! Today I took my three year old son to my friend’s baby’s birthday party (her names Kosma). After the party I drove to my best friends bench. Today Sophie would’ve turned 27. This song came on the radio the moment I stopped the car. Pure magic. Thank you ",en
