,comentario,liguagem
0,This song has no business being this good after all these years.,en
1,"The fact that it's still iconic and playing everywhere, 10 years later, shows that it's really successful.",en
2,Amo muito essa musica ,pt
3,this song was made 10 years ago. but it still surprises me to see that a lot of us come back to this video to comment and appreciate the song. shows how great it really is,en
4,"Não importa o tempo que passe, essa música segue sendo especial pra mim! ",pt
5,9 years later and this song still hits different. Truly a masterpiece.,en
6,Amor eterno por essa música  umas das minhas preferidas ,pt
7,"Ele cantando essa ao vivo, é sem explicação. Muito massa ",pt
8,Escutava essa música sempre com uma menina muito especial.. hoje em dia não estamos mais juntos.. até hoje volto aqui pra escuta essa música que marcou uma parte da minha vida.. ️,pt
9,"I'm 31, and my first partner of 5 years died 6 years ago, two years after our marriage. This was the song she walked down the aisle to. Every few months I find myself watching this with mixed feelings of sadness, but also hope. This is such a beautiful song and an even more beautiful video about love and partnership. I genuinely thank you for producing such an amazing piece of art and life; so many people can learn from this video about what it means to be someone's mirror.",en
10,10 years letter and still one of the best songs ever made. Timeless. The perfect song exists,en
11,Melhor música ,pt
12,Essa música pra sempre estará no meu coração ️‍,pt
13,"Muito linda essa música, amo demais essa música ",pt
14,Nossa... que música linda ,pt
15,"The song Mirrors was written in honor of Justin Timberlake’s grandparents for their celebration of 63 years of marriage, and that is why the music video is very special to him; he holds it dear to his heart. In the video it shows an elderly woman remembering how she met her husband, and showing all the ups and down the relationship had but how she still stuck with him.",en
16,"I love this song the whole meaning is so clear and to the point if that's truly the one for you,  you'll know it period  !!!!!",en
17,"A música ""Mirrors"" de Justin Timberlake é uma balada pop romântica que fala sobre o amor duradouro e o reflexo que o parceiro amoroso tem em nossas vidas. O refrão repete a frase ""you are the love of my life"" (você é o amor da minha vida) e reflete a gratidão do cantor por ter encontrado esse amor. A música também é uma homenagem a sua avó que faleceu. Justin Timberlake canta sobre como a influência de sua avó em sua vida e relacionamentos amorosos se reflete nas suas reflexões sobre o amor e na pessoa amada. Em resumo, ""Mirrors"" é uma canção emotiva e pessoal que celebra o amor verdadeiro e o poder transformador que ele pode ter em nossas vidas.",pt
18,Essa música tem história ,pt
19,Essa música é tão linda..sinto saudade dessa época..das pessoas queridas que partiram.. JT 🇧🇷,pt
20,"Lembrando das antigas quando eu tinha meu primeiro celular de botão Nokia, escutava essa música na radio",pt
