,comentario,liguagem
0,This song never gets old. For the ones of us who understand the lyrics. You deserve better than you may allow yourself. Life is too short to be stuck with misery!,en
1,2023 e essa música ainda me contagia ,pt
2,Kelly Clakrson really knows how to put emotions in her songs! Listening to it 2023 and still crying like a baby to the lyrics!,en
3,"This song still makes me cry when she says ""because of you, I don't know how to let anyone else in""

I pray any and all of us who lose it at this line can heal from what keeps us from letting anyone else into our lives. If no one told you today; I love you and I believe in you ",en
4,"“My heart can’t possibly break, if it wasn’t even whole to start with.”

Gets me every time.",en
5,em 2023 pra mim é umas das mais lindas musicas,pt
6,A temporal essa música ,pt
7,"No matter how many times you listen to it, you won't get bored.",en
8,"It breaks my heart to realize that a lot of us from our childhood experienced the same thing that she experienced. A woman can grow up and promise that she will never repeat her parents' mistakes, and that she'll choose her spouse wisely but then some of them still end up with a partner who left them and broke their family. When I think about this, I think life failed them and took away their hope of building a different life for their kids. I just feel so sad. :((",en
9,"She wrote this when she was 16. Very powerful song to be written at any age, let alone as a teenager. I think sometimes we forget just how good a writer Kelly is. Sometimes her songwriting gets over shadowed by her unbelievably beautiful voice. We all have our own opinions about music, but for me Kelly is the best singer I've ever heard.",en
10,"For me this is Kelly's best performance. Such an emotional song, such a beautiful song about such a tragic life experience. Thanks for sharing Kelly. You are never alone...",en
11,"I can't remember even one time I didn't cry singing this.

""Because of you
I try my hardest just to forget everything",en
12,I use to listen to this when i was younger not understanding the lyrics and what they really meant now coming back ot really hits deep,en
13,"Watching the music video for the first time as an adult, who grew up in a very dysfunctional family. I heard this song so much growing up and it all never hit me until now. Very powerful and deep song.",en
14,this song is never gets old. Great song and great voice. thank you kelly,en
15,"I wasn't physically abused as a child, but I did experience emotional abuse and neglect. I keep coming back to this song because it articulates the experience so vividly and real.",en
16,"This kind of song, with lyrics with an in-depth message and strong emotions, is what I'm looking for in today's music. Plus the melody and arrangement of this song are all perfect.",en
17,the subtle undertone harmonies on this track are so perfect - perfectly placed and drive the emotion and power through so well  Such a well composed song,en
18,Sou do Brasil e adoro essa música dês de pequena ela toca na alma.,pt
19,Simplesmente extraordinária! ,pt
20,As a teen I would listen to this song cause it hit home. Parents don’t realize how much your upbringing affects you especially as a teen,en
21,Thank you Kelly Clarkson for this song.. beautiful song..even more beautiful words..God bless you ,en
22,It’s 2023 this song is not getting old I never get tired to play even for how many years or decade will passed such a great masterpiece ,en
23,I am nearly 30 and this still describes so accurately the adult that the broken and hurt child that I was had become,en
