,comentario,liguagem
0,Essas músicas de kygo são muito boas 🇧🇷🇧🇷,pt
1,"Um verdadeiro Hino.
Os meus ouvidos agradecem tamanha obra de arte ",pt
2,Música maravilhosa ,pt
3,"Always been a kygo fan, earlier i thought i would get bored of these songs but it's a relief to feel that i can't get enough of these old songs also",en
4,"I love it.Amo essa música, ela é tão divina.",pt
5,TOP DEMAIS... PARABÉNS KYGO.. ficou foda demais.. todos os dias vejo esse vídeo e curto demais a vibe.,pt
6,Muito bom!! ,pt
7,"Love the tropical vibes, perfect melodies & cinematic footage! Well done bro - you're killing it!",en
8,"[Lyrics]

Like a kid and a teddy bear
Like a leaf blowing in the air",en
9,"Musica Excelente. Adorei, continue assim.",pt
10,Absolutely LOVE this song and the vocals are perfection at it's finest :),en
11,I love this song so much! It makes me feel so free and happy!,en
12,The best thing about Kygo's songs is that they always sound so fresh,en
13,I love tropical house! When the drop hits its an indescribable feeling,en
14,"I love this song, Julia and kygo ️🇧🇷",en
15,"I've been following kygo since 2012 now. Recently he tried to change his style, to answer to those who said all his songs were alike. He tried to prove them wrong and I have to admit even though I listen to all his songs, the ones I prefer  are the tropical ones. So please kygo, if you can read this, do what you want, but keep doing some stuff like that for your fans that love this type of music.",en
16,"A feeling I get when listening to this song is unexplainable, in 2022 I’m still here and loving the song still ️",en
17,Ahhh I've listened to his music since the beginning and it never gets old!! I love his music so much :)) always puts me in a better mood!!:)),en
18,The beats this guy produces are just off the chain. They're GREAT,en
19,That kind of song makes me feel happier and confident. It brings a summer breeze and for me it's impossible to be down! Love it ️,en
20,Another kygo song that gives me the chills <3. he inspired me to make tropical house music.,en
21,Love Julia Michaels voice ️️️,en
22,I LOVE it!!! I love Kygo's music.,en
23,For me Kygo is a sort of precious gift to humanity ! Thanks for this marvellous song !,en
24,I love this song !!!!!! I can't stop listening to it !!!!!!,en
25,Amo!,pt
26,"Listening after 3 years, so nostalgic and just perfect as always!",en
27,This is one of the few songs that really make me want to dance with all my heart,en
28,this song is not getting enough credit. LOVE IT,en
29,"<3

Kygo you're a legend! Your music always helps bring the vibes up <3 <3 <3",en
30,"Like a kid and her teddy bear
Like a leaf blowing in the air
Could you carry me?
Could you carry me?",en
31,One of the best music videos ever made!!!! ♡ love you KYGO,en
32,Lovely vocals & sounds ,en
33,Kygo`s music makes me feel life is beautiful. Kygo is best for Summer,en
34,"i really love how the video focuses on Kygo and Jay's friendship. cause society doesn't really accept male friends being affectionate towards each other, showing emotions, etc which is such bs. the video goes so well with the music as well, the whole concept is great.",en
35,Música Linda,pt
36,"Like a kid and a teddy bear
Like a leaf blowing in the air
Could you carry me?
Could you carry me?",en
37,4 years and I'm still listening to this Jam*,en
38,Great Job by Kygo and the vocals are just splendid.,en
39,"October 04, 2021 still going back to this wonderful song <3 
Kygo inspires me through his songs",en
40,Love this song ️️️️️,en
