,comentario,liguagem
0,"This is why being a fan of Jonas Brothers pays off, because you get great music from both the band, Nick and Joe & DNCE.",en
1,I've heard the song over 1000 times now and still as good as when I first heard it. The vibe is wonderful too. The song gives an amazing summer vibe that no other song can fulfill. You automatically get me in a good mood with this song. Keep up the good work!!!!!,en
2,"I’m always hyped when a new Kygo song comes out, he doesn’t disappoint!",en
3,"This mix makes me feel like a calm and happy summer. Forget all those things that stress you out and have a good time.

Loving this mix, taking me through all the happy summers after having a difficult few years. Relax, smile and enjoy. All the love, all the power ",en
4,Can't stop listening to it on repeat!!  Joe never disappoints!!,en
5,"OMG , I just discovered this song, I can't believe how good it is!!! I love it! ️️️️️",en
6,"This is on repeat, It's not just my feet dancing...one of the best dance collabs ever, great job!!",en
7,A tune with a 70's vibe that's a hit in 2022. Summer songs always prevail. Nice!,en
8,"OMG this is such a great song!!! I don't know why is so underrated. Love Kygo, love DNCE ",en
9,THIS SONG IS EVERYTHING!! I COULD LISTEN TO IT OVER AND OVER  amazing job guys! This is definitely a hit!!!,en
10,"Listening to your creations with vocalists is like feeling dancing raindrops all over. Playful, enticing, and rejuvenating! Thank you Kygo for sharing your gift with the world!",en
11,"I'm obsessed with this song! I love the beat, the way the song makes me feel and how much energy it gives out! Already added to my playlist!
Kygo deserves more recognition, as well as DNCE! (I know that's Joe Jonas but still!)",en
12,This song rocks to the very core. I think I have repeated it 30x in one go already. Well made. ️,en
13,"I love it! Great song! Crazy but also great music video!  I love that Kygo isn’t afraid to do new things and get way outside of his comfort zone. This is how you grow. Take note, as much as we love him, he’s still so underrated. Love it!!!",en
14,Vibe boa demais ,pt
15,Dancing Feet is the song of the summer!! Glad to have DNCE making new music.,en
16,"Love the 80s vibe, it's gonna be a smash hit this summer :)",en
17,"All the success aside, I truly believe Kygo is one of the best artist of this generation. Each of his song is happy, joyful, positive, and makes these current trying times a bit better. On a side note, Kids in Love is probably the most underrated album of the past few years.",en
18,I rarely put tunes on repeat but this is just some different kinda feelgood fun I can't get enough of. It's sunny out too which adds to the feelgood. ,en
19,"Kygo has really developed as a musician, this is one of his best songs yet! Completely different to what Kygo usually makes and I love it! Such an inspiration!",en
20,Feeling that 80s vibe! ,en
21,This is so good. It has a familiar flavour. The vocals fits superbly,en
22,Love it sooooo muuuuuuch !!!! . This melody makes me  always smile. Can' t stop listening   :),en
23,After watching this music video I like the song even more  The last scenes are worth binge-watching  From now on we need to see KYGO dancing much much more often  Applause for Johannes Lovund ,en
24,"This song is such a bop so happy that DNCE are doing music together again massive, Jonas Brothers fan and Joe as being one of my favourites has really made this great!! <3",en
25,"Whenever I see a new song, I get sooooo excited!!!! Already added to all my playlists. Great song!",en
26,Kygo and DNCE always bring those summer vibes ,en
27,Great track! Going to be blasted this summer!,en
28,Pqp como eu amo as músicas do Kygo ️,pt
