,comentario,liguagem
0,Kygo's music are not just songs. They're emotions,en
1,"Some how you mixed good vibes, sadness, hope, and just perfection with story telling throughout the video. It’s truly beautiful",en
2,It's so unique and magical.  Great expression of the way love feels for the first time.,en
3,I think that Kygo's music will never freeze. This song is one which can unfreeze someone's bad time and give a small hope for better future.,en
4,"Tbh.. just when I was about to lose every single hope of hearing something that still makes me dream, travel far from here but most of all.. feel alive once again. 

That’s the type of music that exactly fits my mind, soul, attitude and way of life  

This music video is an explosion of emotions, colours and inspiring art  ",en
5,"Kygo has made us believe that his music isn't a lifestyle, but an emotion which takes us where eternity lives!",en
6,"Wow.I got no words for this.Beautiful scenery,Amazing Instrumental and very amazing lyrics.Thank You Kygo for this Masterpiece, and i'm glad your hard work is rewarded.Not many songs can get 32 milion views here and 18M on Spotify.Congrats",en
7,Kygo never misses!! This is the stuff! Definitely gonna come back to listen to it further in the years. The buildup is beautiful!! Brings tears to a grown man’s eyes.,en
8,"All the songs on this album are amazing! Thank you Kygo, your music is a source of inspiration for me! ",en
9,"The emotional response this song brings out is pretty amazing, i find that in a lot of classical music but to experience it in the genre is very special",en
10,"Se juntos já parece que o tempo voa, imagina na distância... Dá vontade de parar tudo para prestar atenção em somente na sensação de como é bom estar ao lado de quem se ama",pt
11,"Meu irmão, que energia é essa que essa música transmite?! Abundantemente excepcional ",pt
12,"Just imagine sitting at the beach while having a cold drink, looking at the sunset and listening to this masterpiece.
That's indeed a moment I would like to ""freeze"".
Thank you kygo for saving summer one more time",en
13,"Essa música me leva a outro lugar, me faz sentir vivo ️",pt
14,I adore it so much ! It looks like a long travel in my mind and my soulmate...Thanks a lot to KYGO for this amazing sound and song ! ,en
15,"A symphony of awesomeness. This song is like a serene lake on a beautiful sunny day, it's so peaceful and calming.",en
16,Every Kygo's songs feel so melancholic and beautiful at the same time. His work wakes so many feelings and emotions! Such a true artist!,en
17,Do you ever just realize you are gonna miss this moment while you are actually living it? This song is exactly what it feels like,en
18,Song has been on my repeat for months  Brings tears to my eyes. So many moments of life that are blessings that you just want to freeze....🩵,en
19,"I'm a music lover, got an enormous collection, but this one dominates my hourly playlist. It's just soooo cool",en
20,One of the best songs i have heard in a while...its a rollercoaster of emotions..a masterpiece!!thank you @kygo,en
21,Essa música é perfeita! ,pt
22,Will forever love this song  you truly speak to my soul with your music ,en
23,"This song gives me hope that there is eternity and soulmates will find each other, regardless of time and space. This song washes away any pain and just lets you exist!",en
24,"It starts with no words at first for awhile and you wonder if its just beats but if you stick around you will not be disappointed!!! Very few songs can hit a home run and this one does!!!! Sick beats, Beautiful words, and awesome video.. all i can say is breath taking.....",en
25,"I listened to this song live last weekend during Kygo's performance at Tecate Emblema music festival in Mexico...and OMG!!! it's so beautiful, so powerful, so full of emotions...one of my faves from Kygo now...please come back to Mexico soon!!!! You are amazing ",en
26,"This song is a masterpiece. In 8 minutes I felt every high and low of my entire life and, how can you feel both a happy contentedness and a longing in the same moment? I don't have the words to describe how this music makes me feel.",en
27,"the best Song of last 30 years so far! What a sound, such beautiful vibes, passion! This Song will live for ever! Evergreen! ️",en
28,"Don't know why, but this song is the only music that can provide peace to me and makes me forget all the tensions, stress going on in my life and yeah the only music that can even makes me asleep. 
None other!",en
29,Ele tem o dom para levar emoção na música,pt
30,"These days no song is hitting like this song did ,kygo you made me believe good music still exists to which one can connect and relate to.",en
31,"Damn, dude. That one hit REALLY hard. Shit hasn't been easy lately, and a lot of it has to do with people in this life I have lost, one way or another, and this one hit it dead-on. What an INCREDIBLE song, and a BEAUTIFUL video. Please, keep making your amazing music.",en
32,Maravilhosa ,pt
33,"Damn! Had this playing in the background while doing other work, when my soul connected to it and demanded my attention.  Powerful song. Instant mental journey through past dreams and future memories.",en
34,"Hi Kygo, you probably won't read this... but I wanna say that ever since I heard your music for the first time back in 2014, your music became part of my life. There isn't a single day that I don't listen to your music. It is magical, inspiring and transports me into a quiet and calm state, where I imagine myself in places where there is nothing but peace. I hope one day I can say this to you in person . Keep making beautiful work!!",en
35,"This song makes me calm when I need it, when I’m crying in my bed I open up my YouTube and listen to this masterpiece ",en
36,"This is the only song in the world that makes me feel good in whatever situation I am in:



I listen to it when I am sad.

I listen to it when I cry.",en
37,Impressionante   linda     essa   música  romântica ,pt
38,"What a piece of art this is. Kygo you are truly gifted, you’ve done it yet again.  Magical song that takes you back to something so simple yet powerful.  Who doesn’t wish they could pause a magical time with someone they loved?",en
39,"First time i heard this song I was in total awe! It is sooooo beautiful and the clip is soooo amazingly too! The story it tells, I get teary each time, it cuts like a knife! ! Everytime I put it on it’s on repeat ! Amazing ",en
40,This song is long but feels like it’s not long enough! On repeat everyday!,en
41,Such a beautiful song kygo. Love that you make such beautiful melodies,en
42,"a master piece, it is on repeat for the next hours.",en
43,Kygo just fills everyone's hearts. This is just one of those stuck in the moment songs. Masterpiece after another ️,en
44,"I was travelling to live in a new country across the world last year. Right before the plane started taxiing, my good friend sent me this song which I had never listened to before and I was able to download it before losing service. I will never ever forget hearing this for the first time and having this songs beat drop while racing down the runway.",en
45,essa música me passa uma sensação TÃO boa...,pt
46,"Kygo always surprise me with the perfect timing and matching between music and videos.
I think this will be my weeding song",en
47,This song makes me wanna dance in the rain and feel the raindrops on my face..really feel them. and then suddenly your heart explodes with happiness. Just for a few minutes you feel happy and then suddenly the sadness takes over again.... I live for those brief moments of happiness. They keep me sane.,en
48,Cried a lot ! This songs bring out something rooted deep inside that we are unaware even after when it comes out. Thanks Kygo,en
49,This is one of my favorite songs.... A one I would love I could compose.... Every sound is in it's perfect place... Incredible that Kygo is so young... ,en
50,"The night I saw Kygo playing ""Freeze"" live was the best night of my life  It's the best experience ever ️",en
51,This song is so beautiful I listen to this a lot and I still tear up. This was the best song for anyone who has lost a loved one. Love this song ,en
52,"essa música da uma vibe muito boa, que só o kygo consegue trazer em suas músicas!!",pt
