,comentario,liguagem
0,2019 will be Kygo's year!,en
1,"This song helped me get past a difficult breakup, and it made me wish the other person the best, resulting in me eventually being happy for the new start. Thanks a million for this song Kygo and Sandro :)",en
2,This is one of the best songs,en
3,"Whenever I am feeling lost in life, I always come back to this song. If you're reading this, you'll get through whatever you're dealing with and you will be happy. These times are giving you lessons, and things will always work out in the end, that is life. Remember that.",en
4,"This song will never stop making life beautiful for me. This got me through some very tough times in my undergrad, through crushing loneliness, depression and anxiety, I always knew I could listen to this to cheer myself up, to get HOPE. <3 <3  
And  to this day reminding me how much I have grown as a person and as a professional every year of my life.
Thanks Kyrre for this masterpiece. You and your music has our hearts.",en
5,"This is why EDM is the best 
Positive vibes only
But still you get emotional
And you get chills",en
6,Watching this video is making me happy now!,en
7,This song helped me so much when I realized it was time to be strong and let somebody go and get my life back. This song means so much more to me than anyone will realize. ️,en
8,This is the best music video I have seen. So grateful that Kygo came up with this production. It's so peaceful and calming. It's been 3 years since this came but still it's so comforting.,en
9,This song is worth listening to while on a road trip.,en
10,"No drugs abuse, no violence or naked women. I vibe so much with this pure happiness you share with us, cherishing the best moments with friends and family, what an amazing artist! We can feel your beautiful soul through your music. Thanks man.",en
11,This is s beautiful in so many ways ,en
12,There is something about this song that genuinely makes you happy whenever you listen to it.,en
13,"Inexplicável como essa canção me anima... Entender que alguns ciclos se fecham e que algumas pessoas vão embora da minha vida, me faz aprender que elas são livres, que podem ir, apenas desejo que sejam felizes. Eu fico e preciso cuidar de quem fica.... No caso de mim mesma! Libertador ",pt
14,"Big big respect for Sandro Cavazza !!
Such a great voice ",en
15,"Kygo's most beautiful piece,  this song definitely resonates with me, love Sandro's vocals as well!",en
16,Everything about the song just makes you want to get up and go whether it's doing something or absolutely nothing you get the vibe and the energy from it.,en
17,"No drugs, no money, no weapons, just happiness, friends and moments, what an amazing production! Such a powerful vibe!",en
18,These songs are very beautiful. I listen to them every time while I work both at home and at the office.,en
19,"É sério que tô escutando esse hino só 3 anos dps ? ️ Viciado estou e chorando muito também ️️ mensagem pra geração futura , não deixem essa música cair no esquecimento ️",pt
20,"This song never gets old. No matter how much I listen, I never get bored",en
21,"This song really reminds me of the things we lost in the past and the dreams we never made because of a more realistic life and not just a fantasy. People comes and goes in life and some may say that people only live once but i refuse to think that cause.. people lives on forever, like Avicii and Stan Lee who just passed away this year, their legacy lives on and they will never be forgotten, and they  have thought me that you must first dream to start to the destination youre heading, but if you choose to stop and give up, the regret will bury along with you. Wish all the best to the people out there chasing their dreams and the people who are still searching, i dont believe in faith, but i do believe in myself , that one day i will get there. Thank you to Kygo and Sandro Cavazza creating this song and making the world more meaningful than just black and white. Thank you very much.",en
22,People have no idea how amazing this song is ,en
