,comentario,liguagem
0,"I truly love the way Zoe sings in this song, She gave me goosebumps!",en
1,"Whenever I'm in a bad mood I put on Kygo's songs and I can't describe the feeling I get listening to them... They make me go to beautiful, warm places and I realize that nothing is impossible THANK U BRO! YOUR MUSIC IS A MASTERPIECE.",en
2,"Top demais essa música ,kygo o melhor ",pt
3,Every time i hear kygo music it takes me to the moments that i haven't lived️,en
4,I'm always hyped whenever I see Kygo has something new. He doesn't dissapoint.,en
5,"Once again Zoe has done it. I love her voice. 

If you haven't checked her out do it. She has been through a lifetime in her few short years. As a mom of a son with Epilepsy her voice has gotten me through dark moments. Funny thing is she is only a few years older then my son. I can't wait to cheer her on in all her accomplishments. ",en
6,"Nossa, que clipe incrível! E a letra bem profunda. <3",pt
7,Simplesmente não consigo parar de ouvir,pt
8,Wow gosto muito dessa música que perfeição de clipe,pt
9,"I keep listening to this song over and over. It's just a surreal masterpiece! Kygo keep. I have discovered you recently and certainly enjoy your music-making. Keep in up, man!",en
10,I love this song more then words can express.️,en
11,musica maravilhosa ️,pt
12,"I looked through the comments, and I don't see a lot of talk about the actual music video. When I first watched it, I had tears in my eyes by the end of it. I've watched it multiple times now. Very well put together. I love the ethereal quality to it - like she's in a dream, but at the same time the dream is more present than reality. They're so in tune with each other, enjoying the beauty of the deep together. And the confusion and heart break on her face when he's gone - gets me every time.",en
13,The voice the editing the expression the lyrics the  Everything is on point ..love the song,en
14,Kygo's songs touch my soul ️,en
15,"I am going through a tough time, but I managed to find this song that somehow make me feel sad but happy at the same time. This song is full of energy!",en
16,"If you never liked Kygo at the beginning, this is the time to love him now with all his songs that are masterpieces.",en
17,Música linda!!! ️,pt
18,"Nossa amei de mais essa música  , esse clipe ficou incrível ... Essa letra e bem profunda",pt
19,This song brings me to tears every time. Two of my favorite artists making this masterpiece. Please please bring Zoe to EDC Orlando with you!,en
20,"18/10/2021. Eu só Amei de coração, Essa Novidade Musical internacional Eletrônica. Adoro Esses tipos de Músicas.🇧🇷️",pt
21,Her voice is so stunning - what a great and also very cute song - love it!!!,en
22,Kygo's music is simply magical and incredible!!,en
23,"As a person who has a huge heart for water nature, I just love the music video so much. It’s simple yet it speaks ️",en
24,Love this song Kygo always have good songs and great artist,en
25,This deserves at least 10x the views that it has right now! Absolutey beautiful!,en
26,"I'm in my 50s and don't care much for today's music, just discovered Kygo-and man, what an incredible vibe/beat/melody, I'M NOW A KYGO FAN!",en
27,"Modern music (especially mainstream one) normally doesn't touch me, but this song managed to do. It might sound upbeat and hungry-for-adventure-ish but there's so much insecurity, so much agony interlaced with the lyrics. That makes it feel like a warm embrace given by someone who has been going through the same problems as you.",en
28,"Kygo, nós brasileiros 🇧🇷🇧🇷 te amamos, esse música é incrível, você é o sereio dessa história kkkkk, amei a criatividade, as cores, a história leve... Música eletrônica de qualidade. Já baixei o som pro celular !!!!🇧🇷",pt
29,this is such an amazing music video - It makes me want to travel. it combines the sadness of a relationship ending with hope for a new match - Love it!!!,en
30,SOOO happy to see Zoe Wees do a song with Kygo <3 I've had it on repeat since release :),en
31,this song gives me absolutely goosebumbs,en
32,"Kygo will love you no matter what, his music is real love! ️️️️",en
33,"Kygo you're magic, it's a really a wonderful song!!! Always Make me feel happy, free, powerful.",en
34,Kygo's music is unreal !   songs are so catchy! Amazing ! ,en
35,O melhor 🇧🇷🇧🇷,pt
36,Can’t get enough of this beautiful video! So underrated!!!! Kygo please do us a favor and drop an album soon and this and Undeniable better be in it!!!!!,en
37,Love goes out to Kygo and his great music.,en
38,"Essa música é incrível, não paro de escutar ",pt
39,"Inspiring, calming, joyful, full of life...bravo Kygo!",en
40,Não tinha como dar errado! A produção impecável de KYGO com a bela voz da Zoe Wees!!🇧🇷,pt
41,Love this song better than some words ️,en
42,"I have a million compliments going through my head for this masterpiece, but the biggest compliment I can give is just my gratitude. Kygo, you always tend to post something wonderful when I need it most, and this is no exception. I was having a crazy-hard time tonight dealing with the death of a close family member, and for some reason I thought of you. I looked up your channel and saw that this was posted 2 hours ago. Normally something like this would show up in my youtube feed, but in this instance it almost felt like you personally reached out to me. All of the fear I had tonight has gone away after watching this video, so I thank you from the bottom of my heart for sharing your talents with the world! I hope I can meet you someday because you've completely changed my life for the better.",en
43,I really like this electro tropical style and this duet with Zoe Wees is very good. Thanks both of you for this good sound,en
44,Never stop doing music Kygo!!!,en
45,Always love Kygo ️,en
46,My first time hearing this one and I'm VIBING SO HARD right now. In my feels. Ughhh time for my new song to take over this....I felt this.  KYGO...Always a champ. THIS VIDEO. Her on the beach waking up and then the end...I FELT THAT.,en
47,Nossa essa música é top de mais show...,pt
48,"You can love or hate Kygo, but you can't deny that every song he touches is a masterpiece on its own <3",en
49,"Love this sound, it's very relaxing, thanks. ",en
50,"Lyrics
Only 24 hours in a day
24 hours, can't escape
In my head, living in it can be a real dark place",en
51,Perfeito como sempre 🇧🇷,pt
52,"This song is really beautiful, and the video is amazing. The lyrics hit the spot....masterpiece!!!!",en
53,"Ooh, I love this song! And it's summer where I'm from. Perfect time for another tropical house hit ️️",en
54,Zoe is such an amazing singer true goddess,en
55,Love the feelings and places kygos music takes you to!! KYGOOOOO!!!!,en
56,This will be a hit!! I’m addicted to this song lately and even today. ️,en
57,"ITS SUMMER TIME, KYGO YOU HAVE DONE IT AGAIN. MASTERPIECE",en
58,Boa música top o som Lindo ,pt
59,Sou apaixonada nessa música de kigoAmooooo,pt
60,Love it!,en
61,I love this song it's my favorite song ever  tank you kygo&zoe,en
62,Какая красивая песня и романтичный клип!!! What a beautiful song and romantic music video!!! I like everything what Kygo creates!!! Kygo,en
63,Feels like It’s summer 2016 again when hearing EDM pop like this ,en
64,Let's take a moment to appreciate Zoe Wees for doing justice to this masterpiece sound.,en
65,This song really grows on ya.  I find myself dancing to it while waitng for the bus or on the subway..,en
66,"I love the music that Kygo makes, it's perfect <3",en
67,I dreamed to create masterpieces like like this. Just incredible music,en
68,One of the Most Powerful Songs/Video Choreography  Ever Produced ! THANK YOU #KYGO  mentally this video helps me get threw life,en
69,Love this song️️️,en
70,Loved the visuals  and song <3,en
71,Kygo's songs are so unique. He is one of a kind.,en
72,"Kygo music does something to me that is so gigantic,it's like circumnavigating the planet every moment  he touches the piano  you feel like the whole planet is dancing with the tune 
#you wouldn't understand ",en
73,"The lyrics are sad, but the beat is happy, brings a sence of hope",en
74,Love the mv.. Love the song.. I JUST LOVE THEM ALL!,en
75,Simply perfection  ,en
76,",Your songs have given me the opportunity to feel a lot, they helped me a lot in my therapy process against my anxiety and depression, I am very stable now, and I remember that I always listened to one of them to give me hope, thank you. I LOVE KYGO <3",en
77,am glad Zoe is going the miles she deserves,en
78,"Nice tunes, nice lyrics, nice video.  Love the underwater piano!",en
79,I listen to your music everyday. I absolutely love it and I love you. I'm always in a good mood when i listen to your music I can feel it in my soul. you're amazing,en
80,I love it SO much!!! #LoveMeNow,en
81,Ai Kygo eu te amo ️🇧🇷,pt
82,Kygo's music is the only thing I look forward to in life now ,en
83,Amazing song. Love it. New favorit sont this year for sure,en
84,This Song Will never Die ,en
85,"Kygo has saved our summer with yet another masterpiece 
Indeed he's our tropical king  
Edit: Kygo playing piano on seabed hits different, perfect summer vibes, great vedio!! ",en
86,Another masterpiece.. lots of cheers kygo.. heard it few hundreds time,en
87,This song and video is a truly Masterpiece ! Perfection!,en
88,Só o Amor constrói 🇧🇷,pt
89,Awesome rhythmic music! Thank you!,en
90,"I was waiting for this video! Kygo,is a complete artist. The video is a masterpiece of images, and it blends perfectly with the melody. Kygo, you are always a certainty. ",en
91,"I'm speechless, Kygo is awesome on its own. ",en
92,"Truly the king of Tropical house 

Love this song,  The music video concept is really cool and Stunning visuals, editing, lyrics. Everything is perfect",en
93,Kygo music helps me through every difficult phase in my life,en
94,I feel like edm artists like kygo really just know my life story and release music just when I need it. like why am I crying,en
95,I LOVE THIS MUSIC! <3,en
96,"you can do all the songs you want, but I will never hear from you a better song than Firestone! I love you Kygo! Thanks you so much for being who you are!",en
97,Such a stunning voice Zoe has.... Love that Song...,en
98,I just love the way Kygo makes his music sound.,en
99,Good music ️,en
100,"Once I read ‘Whatever we do we do for being happy ‘.  I would add here , we live we try for feeling loved by people around or those we value ourselves. Amazing song. Sad but dynamic-perfect mix",en
101,"I really love to see the musician himself playing and acting in the video, gives another level of deepness to the story",en
102,Am I the only one who thinks her voice is a mixture of Lorde and Ellie Goulding? Just amazing,en
103,One of my favourite song!,en
104,The only bad thing about this song is it doesn't last forever,en
105,Nice music!!!!!!!!!!!!! Thanks for the positive emotions!!!!!!!!!!!!!!!,en
106,"Is this the best video I've ever seen? FREAKING YES!!
The edition, The music, The lyrics, everything here is perfect
Congratulations ",en
107,Ur music beats give me goosebumps... every single time I listen to it ,en
108,Right here right now. But for some reasons it feels different. Loving this ,en
109,"Lyrics 
Only 24 hours in a day
24 hours, can't escape
In my head, living in it can be a real dark place",en
110,Life is much more beautiful with its amazing music. He has all my respect. This woman is beautiful. Kygo always amazing.,en
111,Absolutely love this clip,en
112,I LOVE THIS SONG!,en
113,JUST LOVE IT,en
114,one of my favorites <3,en
115,"You are the best Kygo.. your songs always makes me cool,big up.",en
116,one of his best songs ever!,en
117,"It's good that there are artists like you! Thanks to you, you can forget about quarantine for a moment and enjoy such beauty! May the love in your hearts never fade away! I also love his work Kygo!",en
118,I love the changes in her voice!,en
119,As always STUNING ,en
120,"This Should Be The Music Video Of The Century with highest recognition  
This Has Never Ben Done Before , 
The concept and real views underwater is so revolutionary 
Kygo , You Are Killing It This Year ",en
121,"That's a beautiful song, a wonder-full vid and I cannot find anything not to love. The ""lonely"" theme is explored and by personal experience is that sea animals will interact with humans more than you may think. She befriended an aquaman eh? I petted a shark and a ray and I will never forget that experience. It's a 10/10 for me this vid and the song. Thanks a lot!",en
122,"As soon as i hear his music, i‘m weightless in my dreams ️ a place full of desire, love and freedom.",en
123,"Let's talk about beautiful things in life.

I start: Kygo's music ",en
124,"Thank you Kygo and Zoe!
Avicii is gone, but Kygo is here for us!",en
125,"As a forever single guy, I wish I could play these wonderful songs of Kygo and Gryffin to someone. Wonderful track as always.",en
126,This is the Kygo sound I like the most. Masterpiece ,en
127,I feel the need of an exotic & romantic holiday watching this video:)Big fan of Kygo!,en
128,"This song is so beautiful 
Kygo you are the best.",en
129,The music video is sooo beautiful ,en
130,This song is something else ,en
131,Its a wonderful song its reminds me on an nice summer feeling Song Great Job Kygo!,en
132,"Love Me Now Lyrics
(Love me now)
(Love me now, love me now, love me now, oh)
(Love me now)",en
133,Melhor DJ do mundo sim 🇧🇷,pt
134,"I don't know what's more beautiful, the song or the video♡♡♡",en
135,Me downloading this cuz it's nice it was on the radio ️,en
136,The mv was beautiful  love it!,en
137,Não paro de escutar essa música! Kygo é o melhor produto pra mim ,pt
138,The Best Of Kygo ,en
139,"Huge Respect, from Portugal 🇵🇹! Congrats, Kygo!

You're the Best!",en
140,I really love your song ,en
141,Awesome song and video!,en
142,This song took me back to 2011️,en
143,I Have No Words To Say After Listening To This Masterpiece ,en
144,Shall I share a secret with you? I saw this musicvideo after having a totally romantic week on the Bahamas it felt like meeting my soulmate laughing together and being full of joy and butterflys in our tummy it lasted half a year and like in the video I woke up from that dream. I'm rewriting my love story into a mature commited and long-lasting one full of growth and same values. Love peace and harmony,en
145,It's a song ....listening it for long ..I ️  it ..coz it's kygo.....,en
146,Love it!),en
147,This song is a Hit.. one of my favourites from Kygo,en
148,The song and video are amazing too!,en
149,"Inspiring, calming, joyful, full of life...bravo Kygo!",en
150,Love it!,en
151,Kygo at his very best once again ,en
152,Can’t believe this song slipped past me!! Amazing ,en
153,"Best video clip ever! ️
The sea, the nature around to just beautiful. 
Kygo is awesome musician and Zoe's very talented singer. It's good that together they created something so great.",en
154,sounds upbeat and awesome,en
155,I love how this songs takes me back to 2016,en
156,What an amazing voice,en
157,the bessssst KYGO ,en
158,One of the sweetest  songs  made for couples ....  so mesmerizing I love kygo from 🇮🇳🇮🇳🇮🇳🇮🇳 ,en
159,This girl sings  sings from her  heart..I feel it..,en
160, this wonderful video and music!,en
161,"If you're staying up at night and your eyes are puffy because you're crying as the thoughts in your mind keep telling you bad things. We're here for you. We might be strangers from all over the world but i assure you, we are here for you in prayers and when your time in need",en
162,It's crazy how many people come back to this everyday. This song is legendry !,en
163,Incredible as always ,en
164,Kygooo  your fan since 2015 ️️️️️️ thank you for these songs. All of your songs are on my playlistttttt!!!!!!!!,en
165,kygo i love your music its for  summer sun waves love friends  amazing life,en
166,"Perfect music , kygo, thanks.",en
167,A beautiful song.,en
168,Every time I hear this song I remember the good old days,en
169,Love this song and mv,en
170,this is the best song i ever heard i love it xoxox,en
171,What a melodious vibes backed by sweet voice,en
172,This guy deserves a Grammy,en
173,"If you are having a hard time, just listen to Kygo's songs. :)",en
174,Zoe wees did her greatest in this masterpiece !!!!,en
175,i love this vibe <3,en
176,That was awesome music video it sounds so good I like it,en
177,Kygo the creative artist in the world ...we really love your songs as they gat educational messages...,en
178,She can do magic with her voice,en
179,I always recognize KYGO music anywhere in this world his beats are UNIQUE,en
180,Awesome video and song!,en
181,"nice music and beautiful video, well done tried!",en
182,This song is the best!!!!!! ,en
183,"l am one of Kygo oldes fan l am 60 years old and l just love his sound and l am happy to be a Norwegian like him, he really is the best of us all her up in the North. To you Kygo; Du er bare den aller beste, lytter på din musik hver eneste dag! Hilsen Jan",en
184,Kygo i thank you for this one...yeah this guy knows what he is doing unique songs...i like his songs before listening to them because i know what he is capable of,en
185,The perfect summer love song,en
186,Always just inspiring,en
187,This song gives me strong 2018 vibes,en
188,"The first note played and I knew it was Kygo. So great, so good.",en
189,Sounds like 2016 music ️,en
190,King of trophouse music. Always feels sea beaches around when hearing his music.,en
191,MARAVILHOSO  <3 que trabalho lindo Kygo <3 sou simplesmente apaixonada por todas as suas canções.,pt
192,"Love ya, K & Awesome tune.
Been a fan for almost 10 years now.  
When are we going to get back to those INCREDIBLE remixes?  I miss those, braw! :)",en
193,Love love this song ,en
194,Kygo....the best!this song!,en
195,"One of my favorite musics, no doubt, kygo is amazing! Every single of his music is unique giving us such a good felling. Keep up with the great work kygo.",en
196,I can't help but listen  to this song,en
197,This song Is beatiful. ️,en
198,"Seriously Kygo you are amazing, thank you.",en
199,"some songs reinvigorates the mood, well this tops the list",en
200,Greatest song played it on repeat,en
201,Wow. I've been missing this feeling your songs for awhile... but this one.. is just wooow,en
202,The idea is out of the box... Good job,en
203,"Me ame agora, me ame agora, me ame agora, me ame agora
Me ame agora

Apenas vinte e quatro horas por dia",pt
204,One of the best collaborations ever!!!,en
205,Lovely! ,en
206,"Truly the king of Tropical house 
Love this song,  The music video concept is really cool and Stunning visuals, editing, lyrics. Everything is perfect. ",en
207,kygo I abslutely love your music,en
208,The lyrics is good ,en
209,Kygo's vocal selection is very ,en
210,Wow beautiful song ,en
211,Soooooooooo underrated!!! It's just amazing!!!,en
212,I love this song! And as a german i'm so fucking proud of zoe!,en
213,I love this song,en
214,What a beautiful song ,en
215,Your song energize me everytime I'm sad .ur fan from Philippines,en
216,"Bienvenido kygo a mi
 pais me gusta tu música ",pt
217,Kygo will be always my favorite artist 🇵🇪,en
218, love this so much,en
219,Maybe it's me. Every Kygo music have a signature beat and sound and u just know this gotta be Kygo. #DopeMusic,en
220,This is such a masterpiece!,en
221,GOAT OF TROPICAL MUSIC AND NO ONE ELSE COMES CLOSE,en
222,Kygo has gotten me through some very dark places.,en
223,"I just lost someone i deeply love a few days ago. Thank you Kygo for being there, in every difficult part of our lifes",en
224,"You are extremely amazing how you come to delight and our ears, heart in a state of nostalgia and exact tranquility  thank you very much ",en
225,Lets give credits to video. IT IS BEAUTIFUL,en
226,"I love your songs. If I listen your songs I think Im in heaven. I dont know how you make this, but I always wait for the new songs for the new creations.",en
227,"They should do more songs together, her voice is beautiful. And Kygo = Summer. Greetings from Holland.",en
228,"Wonderful song 
After 5 listening, let's go again ",en
229,One of my all time favourite songs and probably my favourite song of 2021. Thank you Kygo .,en
230,It's been really wonderful song ever,en
231,AMAZING! Kygo is the best house music. Desde ARGENTINA!,en
232,"Esse homem parece o Boto Cor de Rosa, lenda do folclore brasileiro ",pt
233,We need a behind the scenes video of this one!,en
234,Kingo amo tu música..... Te admiro desde México 🇲🇽️,pt
235,It's magical <3,en
236,This video is just so beautiful!,en
237,i swear kygo always makes me fall in love.,en
238,Music 4 the soul,en
239,"That ending when she found she was by herself. I felt that.
I love to think that she saw into her future, but she isn't there yet.",en
240,"always reflect, why this song brings light,but also tears to me..
maybe its one puzzle piece,that me myself is adopted, starting to realise, that life is not for granted.
although im 42 yrs, life still can have impact to the soul. and i got a 2nd chance .
this melody did, and has an impact . ",en
241,"Love me now suggests desperation, because its forcing someone to love us, i believe love is freely shared, its something which grows with time and experience. The spiritual love comes from deep within and resonates for all to see.",en
242,If this was a movie i would definitely watch it.,en
243,"You can love or hate Kygo, but you can't deny that every song he touches is a masterpiece on its own <3",en
244,Best of Kygo!!!!,en
245,"ITS SUMMER TIME, KYGO YOU HAVE DONE IT AGAIN. MASTERPIECE",en
246,"this song is just so perfect, and the girl in the video is so beautiful",en
247,The kygo we all want ️,en
248,awesome music,en
249,"The world will find this masterpiece later..
But we are real fans here",en
250,"This sound bring me back to summer, beaches, sunsets, cold drinks,camping and with your love one",en
251,create more music like this pls,en
252,"This is beautiful
Simply glorious!!",en
253,The Most Beautiful Kygo's video i've ever seen!!! Love it with the song too! ,en
254,Thanks kygo for the new release! Been waiting for this.,en
255,Thank you kygo for another beautiful piece,en
256,My heart breaks every time she goes into the water with him I can relate to her so much ,en
257,"How did they hold their breath for all the u/w shots??  That was incredible!
I do recognize the shots from Thunder Hole - Bahamas for sure!",en
258,perfect song ️,en
259,Finally a kygo vibe after a year ️,en
260,Great song,en
261,This song and “Did You Call Me?” by Lukaz are some of the only things getting me through tough times  I hope everyone is doing well. I love you ,en
262,i am proud to come from norway when we have kygo,en
263,How does he manage to produce masterpiece after masterpiece. Kygo you are the heir to Avicii️️,en
264,"..In my head, living in it can be a real dark place... Kygo's best",en
265,"Besides great song and beautiful melody, I think Kygo in this video is super hot ",en
266,"LYRICS:
Only twenty-four hours in a day
Twenty-four hours can't escape
In my head, living there",en
267,Awesome musical  instrument.,en
268,Charming voice️,en
269,Massive love from Kenya 🇰🇪. We love your thing mahn. It's just magical in every aspect.!,en
270,She looks like Moana in the real life ! So beautiful ,en
271,I love how this is Kygos own creation in itself. The dialogue to the song is so fitting. Absolute masterpiece ️,en
272,Wooooooow!!!Fantastic song!!!!Hello from Athens!!!,en
273,Wonderful Song ! Love from Germany ️ B.P.M,en
274,died with him..most djs and producers shifted to other more boring stuff it's horrible. Thanks kygo for staying faithful to your style!!,en
275,Kygo gives it a blast whose gonna love me now,en
276,great music,en
277,Road trip vibes. Beach vibes. Them vibes!,en
278,I love ittttt and this Girls is so beautiful ,en
279,"Beautiful Song, Beautiful footage... Thank you for what you bring to this world Kygo.  Your music is uplifting and motivational which is much needed in these times.  This video has given me more fire and motivation to finish a custom 45ft Hydrofoiling Power Catamaran I've been working on for years now.  I just can not wait to get it finished and cruise the Bahamas to experience all this beauty wile listening to your music!",en
280,Zoe is my gurl and I need Kygo to remix my song. Love this!,en
281,"Kygo, playing the piano underwater! Now that's a dream like no other!",en
282,How have I only just found this masterpiece,en
283,"Kygo is so talented, he’s now a mermaid too. 🥹🥹",en
284,"I'm going to shower me with attention and my awareness. I'm going to give me a lot of my time. I'm going to be in physical proximity to me. I'm going to touch me, hold me, cuddle me. I'm going to try to connect with me physically, emotionally, intellectually, spiritually. I'm going to take good care of me. I'm going to care about my needs. I'm going to help me to meet my needs. I'm going to help me to survive. I'm going to shelter me from excessive suffering, fear and trauma. I'm going to have my back. I'm going to defend me and be loyal to me. I'm going to take on my agenda as my own. I'm going to make me an extension of you. I'm going to treat me as well as i would treat myself. I'm going to be happy for me when I succeed. I'm going to want for me what me most want for myself. I'm going to sacrifice for me and work on my behalf. I'm going to support me nurture me and encourage me. I'm going to cheerlead me. I'm going to encourage my self-exploration, self-expression and self-actualization. I'm going to respect my sovereignty as a consciousness. I'm not going to try to manipulate me, control me, dominate me or exploit me. I'm going to totally accept me and never judge me. I'm going to value me for my sake and appreciate me and see my intrinsic beauty. I'm not going to need anything from me and I'm not going to make me a tool to satisfy my own needs. I'm going to respect my point of view, wanting to understand my point of view, wanting to understand me, my uniqueness, taking the time to deeply get to know me. I'm not going to force your agenda or point of view on me. I'm going to listen to me and care about my interests and share similar interests with me. I'm going to develop togetherness with me and collaborate with me. I'm going to be there for me when i'm down and hopeless. I'm going to be there for me when I'm lonely. I'm going to validate my feelings, sharing my emotions with me, empathizing with me. My pain is going to be my pain. I'm going to meet me where I'm at, at my developmental level. I'm going to forgive me for my mistakes.",en
285,Kygo is Genius and the is the most under-rated  Dj,en
286,i loved this song in 2019,en
287,"I love this song so much,,,
I can't stop listening to it ,,,",en
288,Waiting summer 2022..with Kygo soundtrack ,en
289,"WHAT A BEAUTIFUL STORY!  WHAT A BEAUTIFUL LANDSCAPES! WHAT A BEAUTIFUL ART DIRECTION! EVERYTHING IS ABSOLUTELY INSANE!!! THIS IS REALLY BEAUTIFUL I KNEW IT WOULD BE A GREAT VIDEO!  IT'S ALREADY ONE OF MY FAVORITES 
THANK YOU Kygo ",en
290,"Welcome to 2023, still listing to this classic song, i love you kygo",en
291,"Wow, you did it again.   wonderful as always you are simply great       ",en
292,"Zoe has such interesting voice, love it!",en
293,Loooove this song,en
294,An iconic Musician ,en
295,"Love is like the ocean, mostly is not stable, and yet uncomparably superb when it is.",en
296,This is so beautiful,en
297,I love you your music is so relaxing,en
298,"That girl is me on the daily basis. Dreaming of a perfect lover that always going to leave me when I woke up from my day dream. Okay, that's so emotional ",en
299,This was the song I sang in the shower today,en
300,"Kygo.... You truly are the king!!!! How do you make such music? Like seriously how are you able to get into people's minds and  mess with their feelings just by listening to your music!. 
Listening to your music is like.. Shifting to a whole to world.. The whole mood changes.! I don't have words to say.. Bcz you do this not once or twice.. But with every music of yours.. !",en
301,I love how Kygo is the Baller in his own video,en
302,This is pure Kygo I like to inject into my ears.,en
303,"Just imagine, the boy who inspired by avicii can do a masterpiece like this... Legend avicii... Kygo ️",en
304,Tu música inspira!,pt
305,this voice is so beautiful,en
306,"Finally , in a world running after remakes , kygo did a nice original one !",en
307,i love your music so much #love me now is amazing music.,en
308,Great ,en
309,"Really really really love her voice, so unique peculiar kind , ️️️ and also love this song , in fact, this is the sad song that's made it with up-beat dances vibe, but still i can feel through my soul, that hurts and lonely feelings, cause i can relate with it  so beautiful song, thank you ",en
310,Replica of avicii️️He will be one of the best dj in future.Go ahead kygo️,en
311,The music is great and the video gives me an idea of a prenup wedding video along the sea ,en
312,He is AMAZING,en
313,Nice song ,en
314,"Wowwww the video is my dream! 
Hermosisimo!!!!!! 
Divinisimo!!!!!!!!!",en
315,I think someday we will get to walk with Jesus on the beach  Kygo’s music makes me feel as close to Jesus as I can while on Earth ,en
316,This song is nostalgic even it was published one week ago :')),en
317,Can I please just say with out music we would be so lost and I don't think we would ever exist,en
318,Why this song didn't go at TikTok ️️,en
319,Kygo is the real deal,en
320,"Anybody know where this visually stunning video was filmed, I just love how beautiful it is where they are, I would love to visit this place someday maybe.",en
321,this video is so much to the song,en
322,"Each song to His Majesty's own are awesome and remarkable. But oh my, this music video is beyond Kygo's latter MV ones. Very unique and commemorative. I believe this is how he figured Freedom's supposed music video. You the one Kygo! ",en
323,I'm in love with this song,en
324,Minute 2:29 It's perfect!!  Kygo is the real mermaid pum! Disney!!,en
325,I’m In Tears.. it’s Just So Beautiful… I Love You Kygo ️️️️️️️️,en
326,this is the best song i've ever heard,en
327,Don't worry after 10 years we will meet again in comments section listening to this masterpiece.......,en
328,The music is great,en
329,This songs hits harder when you're the author,en
330,Kygo really loves his piano ,en
331,Great!,en
332,Now I feel Tropical House vibe of his songs again. His recent songs were a bit different.,en
333,the drop reminds me of Happy Now. Kygo's signature sound :),en
334,"Kygo tropical house king 
 the best love song",en
335,he is so amazing lalways listen his music he is the next avicii,en
336,how do i love this song so much?,en
337,Every girl deserve amazing love and amazing man ️️️,en
338,Tropical house king...Kygo,en
339,absolutely beautiful song! i love it. but i miss my ex love,en
340,For the first time ever I went out of my way to watch a music video. It makes you feel like you’re in a dreamworld.,en
341,I love this.,en
342,the vocal ️,en
343,"Am i the only one crying to this ? i know bro its not just me , aint no way",en
344,Brittany looks AMAZING! Can’t wait for Little Voice Season 2! The song is amazing and the video is beautiful!,en
345,Oooh OMG This is amazing ,en
346,Great composing . Thank you so much,en
347,I loved kygo & tropical house-down tempo genres from Indonesia,en
348,When ever i heard any song by kygo it's impossible to erase from my head,en
349,"CLASSIC KYGO!
Reminds me of his Firestone era!",en
350,This is the best EDM producer hands down,en
351,Wooow great music i like this,en
