,comentario,liguagem
0,"Can’t believe it’s been almost 7 years of this song, I remember listening to it in my last year of high school! It brings back so many memories, what an amazing song ️",en
1,"A minha preferida do Kygo, Simplesmente demais e nem parece que se passaram 7 anos desde a primeira vez que a ouvi",pt
2,"This song is so nostalgic, it's taking me back to my bad days. If you're reading this I hope you know that you are enough and loved. I appreciate you. Sending love",en
3,"Eu escolhi essa música para tocar na minha formatura em 2019, foi lindo ",pt
4,"Lembranças, boas lembranças, grandes lembranças, apenas lembranças... foi isso o que nos restou. ️",pt
5,"Nooosssa, tirei do fundo da memória esse lindo achado, meu Deus como esqueci essa música cara? Boa demais",pt
6,"The bass... This is EXACTLY the typ of music I like, it gives me an unusual, deep, aura, kind of feeling. Also it's like I'm in a jungle with no other human being around me. It's just so hard to find music like this. It's perfect. Thank you Kygo",en
7,"Bons tempos, não tem como voltar atrás",pt
8,"This song never gets old. No matter how much I listen to it, I never get bored. ",en
9,Always loved the song... the video was so beautiful and done very well. Was not what I was expecting ,en
10,I used to listen to this every morning before school when I was 12. Now I am 18 and I am literally bursting to tears because I cant control time.,en
11,Como pode as melodias desse cara tocar tanto na nossa alma? O ouvido dele é muito fino!,pt
12,I'm willing to live for this song. It's about the best time of my life. My brother and I were sitting in my room listening to it on МУЗ-ТВ.,en
13,amo esse clipe e a letra também ,pt
14,"8 anos se passou e ainda cinto muita vibe  com essa melodia  top d+ 


8 years have passed and I still have a lot of vibes with this top d+ melody",en
15,It’s 2020 & this song still hits me in my heart,en
16,"Lembro quando eu meus depois de uma noitada íamos ver o dia amanhecer e colocamos essa música em som bem alto ,o dia chegando , todo mundo bêbado, cantando com os pulmões, esse momento únicos nunca seram esquecidos a juventude é boa demais ",pt
17,"Sempre é bom ouvir música boa,que nos lembre de tempos bons em nossa vida,hoje eu com 22 aos choro ao lembrar no tempo em que podia sair sozinho de casa,tempos onde dançava e me divertir com amigos,hoje vejo o quanto o tempo passa,e tudo q temos é tempo",pt
18,"Darling, darling, oh, turn the lights back on now

Watching, watching, as the credits all roll down

Crying, crying, you know we're playing to a full house, house

No heroes, villains, one to blame",en
19,Não me canso de ouvir e ver esse maravilhoso clip,pt
20,"Lyrics:
Darling, darling, oh, turn the lights back on now
Watching, watching, as the credits all roll down
Crying, crying, you know we're playing to a full house, house",en
21,amooo este clipe ! Vejo há anos e não canso ... Kygo <3,pt
22,It’s 2020 and this song still keeps the same vibe ever since .,en
23,Never gets old for me. This will be always my LEGENDARY CHILL OUT SONG!... ️️️,en
24,Amo essa música,pt
25,This song and music video was one of my dads favorites before he passed recently. The song really speaks to the memories that we had together and that now is the curtain call but at least he stole the show. I got a little astronaut tattoo in homage to this song and his life.,en
26,Absolutely amazing video for this beautiful song... ,en
27,Escutava essa música quando tinha entre 6 a 7 anos e ainda continua boa apenas nostalgia sem sei pq eu escutava essa música mas eu amava ela e ainda gosto e dnd ela aparece pra min kkkk,pt
28,I used this music when I take care on a computer shop.. this gives me chills,en
29,"I don't know about others, but for me, Kygo is in my hall of fame artists that I play for my daughters so they have a music education.",en
30,"Thank you to everyone who made this song and this video, it is really beautiful and means alot to me!",en
31,"lyrics


Darling, darling, oh, turn the lights back on now",en
32,Nothing but good vibes and good times with this jam ,en
33,"The song and the video go sooo well together, easily my favorite music video in the past two years, if not longer.",en
34,"This song is a showstopper. Dancing all night, never getting sick of this song.",en
35,COMO AMO ESTA CANCIÓN!!!,pt
36,Agosto de 2022 e sigo prestigiando este hit!!🇧🇷,pt
37,"This is the perfect song for night time driving alone without a destination, just driving and enjoying the city lights",en
38,One of my favourite songs. Used to be so happy when I was young ,en
39,"Vídeo admiravelmente  concebido !!!
Excelente música de Kygo com uma voz fabulosa de Parson James...
Tudo foi tão perfeito!!!!!!
Meus sinceros parabéns...",pt
40,Essa música e esse vídeo é maravilhoso !!! Não me canso de verlo,pt
41,"No matter how old this song it is, this is a masterpiece! :)",en
42,"As of today, this song is 6 years old and still has it. Kygo is my favorite artist and will never stop listening.",en
43,"25/05/2022. Nostalgia Maravilhosa, Voltando Exatamente Pra 2015. Br- ""Eu Amo Essa Música"" Tô Passando por aqui.🇧🇷️",pt
44,"i love how the songs lyrics are sad, yet uplifting... does anyone else feel the same or is it just me. i think it’s why i love kygo and avicii’s music so much because it can be sad and match your mood but make you feel better?? hahaha i probs make no sense lol... have a nice day if you’re reading this :)",en
45,THIS IS TIMELESS MUSIC ,en
46,"Darling, darling, oh, turn the lights back on now
Watching, watching, as the credits all roll down
Crying, crying, you know we're playing to a full house, house",en
47,Amo ,pt
48,looking for this song a while- i found it. It takes me back when days and life was much better. I miss it,en
49,This is still one of my fav songs today ,en
50,"My little sister, our nephew and I enjoyed listening to this song in the morning during the summer holidays 2015. Thank you Kygo 🇬🇦",en
51,A message to the future generations. Don't let this song die.,en
52,"Very lovley, and acoustic song, makes me travel out of space every time i hear it. Well done kygo",en
53,The Video the lyrics the music. One of the best piece of art concepts ever made.,en
54,Amoooooo e não é pouco,pt
55,"lyrics of this amazing song:

Darling, darling, oh, turn the lights back on now

Watching, watching, as the credits all roll down",en
56,7 anos depois escutando essa track encrivel e pensando:eu to ficando velho,pt
57,"Época que eu realmente era feliz e não sabia,A gente pede pro tempo passar pra crescer e quando cresce queria que o tempo voltasse ...",pt
58,N O S T A L G I A,en
59,One of best music videos in last 20 years. Better than even the song itself.,en
60,Sou muito apaixonada por esse astronautaaaa  Ele dançando ,pt
61,I feel very sorry for anyone who hasn't heard this song before. Brilliant work.,en
62,My Childhood song ,en
63,"I remember 5 years ago when I was out of town alone in my room, drunk, and listening to this music. you know what it feels like you're floating through space.",en
64,"Just cant get over this masterpiece. The videos, the lyrics, the music, everything is evergreen",en
65,Como descobrir essa música só agoraaaaaa? Porraaa que música e que clipe maravilhoso.,pt
66,After 7 years to this song.. I still widely vibe to the beats,en
67,"This is 1 of my late girlfriend's favourite songs & when i hear it , it brings back so many memories of her ,  i will never tire of hearing it  .",en
68,Really love the instrumental... Kygo u r a genius,en
69,"Que grande Kygo, tus temas nunca se olvidan",pt
70,how can a song make you relive your memories so vividly,en
71,"I’ve been listening to this since I was 15(2015) and I have never paid attention much to the lyrics other than the song sounds catchy and vibey. Listening to this now, I have realized the lyrics is actually a bitter-sweet ending of a relationship. ️",en
72,"Lyrics

Darling, darling, oh, turn the lights back on now
Watching, watching, as the credits all roll down",en
73,"I have so many things to say but thank you for everything including this masterpiece
 ",en
74,"This is the only song I want to be played at my funeral. Some people say YOLO, but I say YODO… you only die once - live life every day, so at least you know you stole the show throughout ",en
75,I remember listening to this song when i Was younger but i forgot it until some months ago when i found this song by accident and after the begining of the Song i instantly remembered it i love this song so much,en
76,I listened to this for the first time when I was 10. I'm 17 now and still bumping this <3,en
77,"Kygo's beat is so iconic, never fails to amaze me",en
78,"I love this song now, I always remember listening to this as a child. It helps me in the hard times",en
79,"used to listen to this music in my old house, everything showing me that im getting older and that time is passing by. Already graduating highschool, feel like i started yesterday. If i can tell you one advice: don't waste you're time doing things you don't like, enjoy every moment of your life, we only have one. Don't die wondering what you could've of done , just do it.",en
80,amazing song!one of my favorits,en
81,"Lyrics 
-Darling, darling, oh, turn the lights back on now
Watching, watching, as the credits all roll down
Crying, crying, you know we're playing to a full house, house",en
82,"7 years now, but still so amazing!",en
83,"This is the song that glued me to Kygo.
Thank you for your wonderful music. 
Always with u 2019. ",en
84,"Listened to this song as a little kid, now i'm turning 15 and i literally had to cry watching this beautiful video.",en
85,"Amo essa música, estou a 7 anos escutando, mas nunca aprendi a dançar igual ao astronauta do clipe ",pt
86,"LYRICS:

Darling, darling, oh, turn the lights back on now
Watching, watching, as the credits all roll down",en
87,It's crazy how many people come back to this everyday. This song is legendary ♡,en
88,Legendary music,en
89,Só escuto as melhores,pt
90,Me and my friends used to sing this song at the top of our lungs. It's like we knew those times wouldn't last forever. Now here I am in 2020 missing the old days. Not a thing to do but talk to you type of vibes. If y'all happen to read this I miss you and hope you think of me sometimes too.,en
91,"In the future, when my child asks me which song did you like, I will say this I will say your masterpiece",en
92,"The bass... This is EXACTLY the typ of music I like, it gives me an unusual, deep, aura, kind of feeling. Also it's like I'm in a jungle with no other human being around me. It's just so hard to find music like this. It's perfect. Thank you Kygo 2022",en
93,"Darling, darling, oh, turn the lights back on now

Watching, watching, as the credits all roll down

Crying, crying, you know we're playing to a full house, house

No heroes, villains, one to blame",en
94,"Darling, darling, oh, turn the lights back on now
Watching, watching, as the credits all roll down
Crying, crying, you know we're playing to a full house, house
No heroes, villains, one to blame",en
95,"Darling, darling, oh, turn the lights back on now
Watching, watching, as the credits all roll down
Crying, crying, you know we're playing to a full house, house",en
96,"Darling, darling, oh, turn the lights back on now

Watching, watching, as the credits all roll down

Crying, crying, you know we're playing to a full house, house

--",en
97,"Darling, darling, oh, turn the lights back on now
Watching, watching, as the credits all roll down
Crying, crying, you know we're playing to a full house, house
--",en
98,"Darling, darling, oh, turn the lights back on now
Watching, watching, as the credits all roll down
Crying, crying, you know we're playing to a full house, house
No heroes, villains, one to blame",en
99,"Darling, darling, oh, turn the lights back on now

Watching, watching, as the credits all roll down

Crying, crying, you know we're playing to a full house, house

No heroes, villains, one to blame",en
100,Melhor música nostalgia,pt
101,One of the best music videos of all time hands down,en
102,Why do these songs hit when everything's over.,en
103,This is real music. No weird clips and the best bass to me. Thumbs up for This song ,en
104,The best song. I love it. ,en
105,That song was a soundtrack when i met a love of my life. And so it was when i lost her. Those moves they bust in the clip are heartbreakers for me.,en
106,This song meant high school to me ️,en
107,When I was 8 years old i listen to this song every day this song is nostalgic song and reminds me about my childhood ,en
108,"I know I am not the only one who found years like 2014-2017 (maybe add or take a year or two) to be some of the best years either culturally, socially or personally?
I've always said like 2008-2012 were like the best years of the internet, but of my life, boy do I envy going back especially to 2015-2016 to relive, and would give a lot to have made more of it.",en
109,It's a masterpiece,en
110,Love it great song,en
111,"So, basically quarantine brought everyone to old legendary songs.",en
112,"Better days. I wish I could relive these times, the world was a brighter place.",en
113,"7 years ago… if I had a time machine, this is where I’d go back to for sure",en
114,The moment this song hits you harder years later,en
115,"I love his music<3
A new generation of DJ who knows what real music means: a catchy melody, a subtle blend between electro sounds and real instruments and great voices (without Audiotune). It sounds like the Avener:)
 Sophisticated, not too ""show-off"" or noisy.",en
116,"I remember listening to this when i was 9 years old 

It was one of my favourite songs",en
117,Una de mis favoritas,pt
118,I needed that. how a song  gives love across a continent. Thank you Kygo,en
119,"when you find a song that makes you want to cry, scream, and sing along all at the same time is VERY rare... and I believe I have just found a diamond.",en
120,Still the good vibes!,en
121,When life was just life . No covid no war only music...,en
122,I LOVE THIS EVEN AFTER 7 YEARS️️️️️️!!!,en
123,"2017 about to end, this song is still gold !!",en
124,2015...I remember this track was on the radio and on TV if I was still listening from Russia without stopping until 2016 I was getting high from this track foreigners don't beat me ️🇷🇺🇺🇸🇺🇦🇸🇰🇧🇾I loved this song nostalgia what will I say,en
125,My favourite! one of the best song! and entry and exit or you can say ending. Love this ️,en
126,This masterpiece never get old coz i'm always listening to this song..,en
127,"what a fantastic music, awesome",en
128,I mostly listen to songs with one of my speakers on my headset. BUT THIS SONG DESERVES BOTH SPEAKERS!!!!!,en
129,Vc sabe oq mais nostalgia que isso eue era uma criança louco por essa música chorei pq eu era tão bem nessa época,pt
130,Pure emotion each time I hear. X,en
131,"Darling, darling, oh, turn the lights back on now
Watching, watching, as the credits all roll down
Crying, crying, you know we're playing to a full house, house",en
132,just discovered this and already love it,en
133,This is next level masterpiece I remember my heartbeak feelings,en
134,"Darling, darling, oh, turn the lights back on now
Watching, watching, as the credits all roll down
Crying, crying, you know we're playing to a full house, house
No heroes, villains, one to blame",en
135,I will never get tired of hearing that song. ️,en
136,Conheci essa música quando tinha 10 anos,pt
137,Lol I still start poppin and doing the wave whenever I hear this song.,en
138,kygo is part of my childhood thank u,en
139,"The song is good, but the MV is a real masterpiece for sure",en
140,"I really love that older 2014-2015 style of kygo.. its really his signature sound! Can anyone recommend me some more great music for my playlist? I also listen to Sky parox-voices of the forest, and Rubayne-desire",en
141,My ALL-TIME FAVOURITE ️,en
142,OMG this song is so good ,en
143,The best of all time ,en
144,When I listen to Kygo’s music with my eyes closed I feel like I’m in an other dimension,en
145,Que nostalgia!,pt
146,Loving this song cheers to good men that stay after the show goes on not just the good times bade aswell because that's what real men do ️,en
