,comentario,liguagem
0,"aaaaaaa lisa sempre arrasando ,como sempre",pt
1,"LISA TEM TUDO PRA SER A PRIMEIRA SOLISTA DO KPOP A CONSEGUIR 1B , ISSO SÓ DEPENDE DE NÓS BLINKS!",en
2,She really can level with some international artists. Her voice and rap lines are on fire!!,en
3,Essa música é muito boa e a coreografia muito satisfatória ,pt
4,"Don't stop guys 
Watch this performance daily 
Lisa deserves this",en
5,"as vezes fico ofendida cmg mesma por gostar de kpop, mas elas são muito boas e fofas mds",pt
6,"833 milhões, VAMOS CHEGAR EM 850 MILHÕES, A LISA MERECE.",pt
7,"Lisa is truly a global icon.
- She is a Thai, in a Korean Kpop girl group Blackpink
- A global ambassador for French luxury brands Celine and Bulgari
- A dance mentor in a Chinese television show Youth with You",en
8,"viciada demais, queria tanto a nova versão que a Lisa cantou no Coachella ",pt
9,Lisa performance is very powerful!,en
10,'MONEY' ES UNA CANCIÓN ADICTIVA! NO PUEDO DEJAR DE ESCUCHARLA.,pt
11,This song is one of my favorite song whenever i hear this song i don't know what happened to me my heart say listen this song again and again  Lisa is really Queen she just slay it,en
12,CAN'T STOP LISTENING TO THIS SONG SHE SLAY IT,en
13,TE AMAMOS LISA TIM LISAA,en
14,"Lisa is a multi-talented girl, her voice is amazing and her song is catchy, every line on her face is beautiful.",en
15,Todo dia aqui ouvindo esse hit ,pt
16,IT'S BEEN 1 YEAR But THIS SONG IS STILL A MASTERPIECE,en
17,She is the Queen of K-Pop.,en
18,This is sooo fireeee ️,en
19,I still don't understand how anyone could be as perfect as Lisa,en
20,This woman's songs are as perfect as she is,en
21,"Your style goes with anything, Lalisa. How are you making that possible?",en
22,"AMO TODO. MUSICA, IMAGENES, COREOGRAFIA, FOROGRAFIA, POST. BLACKPINK NO SOLO SALVO EL VERANO, NOS DIERON LA CANCION DEL ANO..",pt
23,I love how people still listen to this master piece after a year of it's release.,en
24,I loved Ada Lalisa because she embodies creative singing and dancing️‍,en
25,"Popular Opinion: Lisa literally melted Everyone's Heart 
She is so Savage and Beautiful",en
26,"What a masterpiece Lisa came in hard. This is a banger song, lisa is literally the Queen of kpop.",en
27,"Wow, we should give another appreciate because her dancing performance is so perfect. I love it.",en
28,"Everytime I watch Money and Lalisa, I can't help but feel super proud. Imagine being the first kpop solo artist to be an inductee of Asian Hall of Fame. Your hardwork is well paid with all of your achievements,  you deserve all the recognitions. Lilies will forever be proud of you Lisa. Please stay healthy and humble. We love you so much! ",en
29, I just love this song this song is my favorite song ever ,en
30,"Your smile is as deligent as sunshine in winter, Lalisa.",en
31,It's hard not to fall in love with you my queen,en
32,Let's get that billion views lilies ️ keep streaming ya'll ️,en
33,this  song always give  me the vibes,en
34,lisaa te amo como amamos dormir,pt
35,"""Money is a terrible Master
But an excellent servant""
Okay LISA we get it .",en
36,VAMOS FAZER A LISA E A JENNIE AS PRIMEIRAS SOLISTAS A TER 1B SÓ NUM SOLO !,en
37,"This song is the best, I can't get it out of my head!!",en
38,The girl just can't lose we love you Lisa! Keep winning over the entire world hearts.,en
39,Lisa we is so proud of you,en
40,Almost 900M!!! I'm so proud of you Lisa. Love you Lili..,en
41,This song will be forever iconic,en
42,"Incrível como essa música envelhece como vinho. Ela é linda, envolvente e hipnotizante. Ontem foi aniversário da Lisa, minha musa, que muitos aniversários venham, cheio de saúde a você e a todos que você ama, muito sucesso e felicidades, ok Meu amor.
BlackPink eu amo vocês.",pt
43,This girl is queen ,en
44,Big fans of yours lisa,en
45,lisa was breaking the record of global amazing!,en
46,"We didn't do so well yesterday, but we can do better today. Let's do this, Lilies!",en
47,At this rate Money will reach 951M by time solo reaches 1B. Somehow we need to catch up for Lisa <3,en
48,We will always be by your side lisa we love you so much i wish you continued success lisa unnie,en
49,Her vocal make my heart shake,en
50,"We are doing fantastic keep it up! Money, Lalisa, Shoong, and SG",en
51,Tasteful contrast of colours between Lisa’s outfits and the background!,en
52,Love you Lisa finna stream everyday till we get to 1 billion 🫶,en
53,Queen for reason ,en
54,First solo artist nominated for asian hall of fame yess queen let's go ,en
