,comentario,liguagem
0,"My dad was a fighter pilot. Has Alzheimer's, can't remember what he had for breakfast but he can still tell me in detail about the planes he used to fly. I love you, dad",en
1,"I wasn’t a huge Lady Gaga fan, but I’m a fan now, she hit it out of the park with many generations here! Absolute beautiful voice! Salute🫡",en
2,"Listening to this song several times over I’ve realized she is talking to a war hero with heavy guilt in his heart. As a retired soldier I appreciate this song and it makes me cry, because my love holds me and comforts me in my times and that’s what she’s talking about in this song. Love it",en
3,"What a movie, what music... everything perfect, this movie brought back a part of what was good in the 80's and showed that nowadays we can still have good movies and amazing music!",en
4,I love this song so much ️️️️️️️️️️️️️️️️️️️,en
5,"My dad really wanted to see this movie. He was I’ll with cancer and every time I visited him we would watch the movie trailer. Sadly, he died before the movie came out and I had to see it without him. I took a picture of him with me when I saw the movie and I know he was with me in spirit. This song and the movie are emotional for me because I’m reminded that I lost my best friend. Great movie and great song! Thank you Tom and Lady Gaga for this!",en
6,This song has 80s and 90s vibes. It's so nice to hear. Thank you Lady for singing this amazing song,en
7,"Good to see Artists in 2023 still focus on good melody, power vocals and nostalgic scoring. Gives us hope",en
8,"Wow. This song, “Hold My Hand”, playing behind the movie clips in this video, adds an incredible emotional aspect to Maverick’s background.  He’s been told that he’s a “has been” and washed up, that the future is coming now and he’s not in it.  It’s been decades since he was in his glory at Top Gun.  Washed up vets, like me, at 71yrs old, identify with Maverick.  Lyrics like “don’t give up on yourself”,  “tell me that you need me”, “I won’t let go till the end”,  all belt out encouragement to him with extraordinary power.  With a song like this, pulling behind him, he has to “bring ’em all home alive” from his incredible mission.  Over 177 million viewers have watched this video because of the personal impact on themselves and  on this movie.  The perfect song for the perfect movie.",en
9,She is such a phenomenal talent is so many categories.,en
10,NO MISSION IS TOO IMPOSSIBLE FOR LADY GAGA,en
11,"This definitely feels like one of those 80's power ballads. Another classic , Gaga.",en
12,I adore this woman... She is so genuine and perfect in so many ways!! This song gives me big goosebumps and my heart is full of sadness and happiness at the same time. I understand too well these words... I cried when I read the lyrics and heard and singing the song with our Lady Gaga. That is so powerful!!! Thanks again for this masterpiece darling!,en
13,I feel like this is her best song. It strikes right in the heart and there is something really special about the whole song!!,en
14,"Que música FODAAAAAAA, Lady Gaga arrasando como sempre que voz é essa DIVAAAAAAAA",pt
15,"I’ve been grieving the sudden death of my mother so hard for the last 10 months. When I hear this song, it paints a perfect picture of the support I wish I had during this time. I have lots of love around me, but people just don’t know how to hold your hand and not let go until they understand",en
16,"Gaga is no one to mess with, give her just a piano and she'll make history. Her voice is such a powerhouse!",en
17,"I’ll be the first to admit I am not a big Lady Gaga fan, mostly because I’m just not a fan of the music in general. That said, I will give credit where credit is due, this is an amazingly beautiful song, a perfect song for the movie; and I loved the movie too. Very well done.",en
18,This was the last song I sang to my husband before he passed. We were both crying . Now I cry everytime I sing it. He passed from cancer last Aug.,en
19,This song will always have a place amongst the firmament,en
20,Amazing. I get goose bumps. So deep and sung with a great voice.,en
21,"I lost my brother in two days ago, he passed away with cancer blood but I still remember he showed me this song...",en
22,"It's like with every record she releases, her voice gets better. Lady Gaga is quite underrated as a vocalist. She's literally one of our bests now......",en
23,"I have never been a lady Gaga fan, because I really didn't know who she was. But after hearing this beautiful lady sing I am now a fan. She can sing great and I love to hear her voice.",en
24,I love this song. its so powerful and motivational! ️️️ thanks lady gaga!,en
25,Her voice is on another level I love it this song is amazing,en
26,I've heard this song soon a 1000 times. It will never grow old on me. Just love it sooooo much ,en
27,O mundo precisa de mais músicas assim ,pt
28,"This song hits way outta the park, so genuine, a river of gold. Perfect timing and collaboration.",en
29,"Beginning with the background murkiness of Van Gogh's The Potato Eaters, Lady Gaga is the center of a Symphonic-Art-Majored ensemble of perfection while her most eloquently melodious rich truthful voice paints a tsunami of color with a tidal-wavelength of texture ever seen anytime anyplace anywhere",en
30,"I get goosebumps every time I hear this song, respect Lady Gaga.",en
31,"After having seen the movie for the third time tonight (first time outside the theater) and having listened to this song numerous times, it still touches me like only few songs can. Reminds me of the better 80ies power ballads. Lady Gaga's best work ever, as far as I'm concerned. P.S. I'm not the emotional type normally, but somehow, I got a soft spot for this particular song, don't know why",en
32,I'll always leave a light on for Lady Gaga.,en
33,I'm still so obsessed with this song! A masterpiece indeed Gaga  x ,en
34,Lady Gaga is so versatile. Love her voice.,en
35,Lady Gaga's voice dances gorgeously around the notes and chords on the musical page sculpting colors of emotion known and unknown on any music chart or color wheel,en
36,One of the most talented women this planet has ever known has her 37th birthday today. My forever idol and inspiration. Happy birthday Lady Gaga! ,en
37,Lady Gaga can sing this to me everyday for the rest of my life and that'd be my only dream come true.  I'd be happy to say the least!!!,en
38,I love this I mean I love it so so much ,en
39,Wish I could have a chance to see her performing in a live concert.  Hope she can start global concerts.,en
40,Perfect song to end the movie on! Walked out of the theater with such a big smile on my face. Now I’ve got this on repeat!,en
