,comentario,liguagem
0,"We don’t search for old songs…
we search for old memories.",en
1,"It’s funny how day by day nothing changes
but when you look back everything is different",en
2,"Lana is a genre all by herself, no one else quite like her",en
3,She invented authentic.,en
4,Recently losing my friend to suicide truly tore me apart and he ALWAYS listened to this son with me. I keep it in my heart always for him. It doesn't feel real.,en
5,"9 years after she put this song out, nothing changed shes a angel i swear.",en
6,Summertime sadness is life,en
7,"""Summertime Sadness"" is a melancholic pop ballad that was released in 2012 and became a hit worldwide. The song features Lana Del Rey's signature dreamy and ethereal vocals, which perfectly capture the mood of the lyrics. The song is about the bittersweet feeling of a summer romance that is coming to an end, and the sadness that follows.",en
8,"Don’t cry because this era is gone…
be proud you lived in it.",en
9,Músicas antigas são um refúgio! baita remédio contra as músicas atuais... ️🇧🇷,pt
10,"2013: I know this song.

2023: I understand this song.",en
11,"Lanitaaaa, você é incrível. Obrigado por essa música. ",pt
12,The dumbest wish as a kid was to be a grown up,en
13,Impressionante a beleza o talento dessa mulher apaixonado nessa música espetacular ,pt
14,After all these years it still feels like a summertime sadness,en
15,There's a summer stolen from me...,en
16,founder of aesthetic.,en
17,The saddest part of life is when the person who gave you the best memories becomes a memory,en
18,Why doesn’t this song has a billion views?,en
19,I just love her voice.  The beginning of the song makes the hair stick up on my arms. ,en
20,"i don't feel well, but everyone knows me very pozitif",en
21,Lana del Rey is the definition of nostalgic and aesthetic.,en
22,"NOTHING SCARES ME ANYMORE, KISS ME HARD BEFORE YOU GO Sending love to anyone who survived abuse & is grieving/healing a trauma bond. You got this. It wasn’t your fault. Stay strong, keep going, use it as fuel.",en
23,I've never been noticed how pretty this song is 'till now,en
24,For me is Christmastime sadness,en
25,"Lana doesn’t need a grammy, the grammy’s need her. She opened the doors for so many artists, she deserves way more recognition than she gets. Aesthetic.. forever an iconic queen, she’s a genius",en
26,Love this song still,en
27,There's no denying that we're getting old but this song will never get old!!!,en
28,My first Lana Del Rey song,en
29,summertime sadness but perfect in any season,en
30,can't stop replay ...,en
31,"This isn’t just a song, it’s a feeling…
the saddest part about nostalgia is knowing
 you're never going back…",en
32,song perfect ,en
33,"I don't believe that my dream was to become teenage fast, i miss my childhood",en
34,"""I got my red dress on tonight
Dancing in the dark in the pale moonlight
Done my hair up real big beauty queen style
High heels off, I'm feeling alive",en
35,Why is a woman so beautiful?,en
36,she was aesthetic before aesthetic was even invented,en
37,its 2023 and Im still here listening to this song like it was my first.,en
38,Lana is so pretty and love her voice so much ,en
39,"This summertime is also sadness and hurts my soul :(

2:53 ",en
40,Ill always love you bye,en
41,I kinda just realized that Lana is going to be the cool vintage music  that kids are going to listen to in like 20/30 years,en
42,"Kiss me hard before you go
Summertime sadness
I just wanted you to know
That baby, you the best",en
43,"Me to the gone intro : 

Remember I'll always love you, bye ",en
44,Tears,en
45,6 years later and this is still one my favourite Lana songs,en
46,"Even if this is soon 10 years old, this is still legendary and one of my favourite songs :)
Edit: WOAH 120 LIKES? MOM IM FAMOUS",en
47,This song ,en
48,Nostalgia when you are about to end summer and it feels like it just started ,en
49,The sweet sadness…. Of nostalgia ,en
50,"This song is sad, heartbreaking and makes you so nostalgic. The power. Not many songs can do that",en
51,"What happened with the “Remember I’ll always love you, bye” ",en
52,"Great Song!
Classy, Eerie & Melancholy ️️!",en
53,this song will never die,en
54,The first time I listened to it and searched for it to know what the story of this singer is ,en
55,one of the most majestic synth openings to a song ever. timeless classic,en
56,d.m.c think I'll miss you forever my love </3,en
57,"And after 7 years, it's back in the top 100",en
58,I can’t believe I just found her music literally ,en
59,I am a 17 year old senior who has absolutely no clue what I'm going to do with my life after high school. I will come back and tell you all what has become of me in 5 years. Stay safe and healthy until then stranger...,en
60,Surely a cure for the same Del Rey!!,en
61,I am currently going through the toughest time in my life and this song calms my anxiety and sadness…. ,en
62,"Here again, summer of 2023. Been on this since I was in jr highschool ",en
63,"i just wanna you to know, that lana you're the best.",en
64,"Most songs hit you in night , but this hits better in the afternoon",en
65,oooh is the 2023 and i still love it ,en
66,Oh the years have passed so quickly…,en
67,The best sound in the future and минулого.,en
68,I could hear this woman's voice every day of my life and I would never get tired.,en
69,Lana allowed me to look deeper and deeper inside  every single feeling I had in my memory of past summertime of my life.,en
70,Rest In Peace Kayla Nicole Hammonds - the biggest Lana Del Rey Fan ever  #DomesticViolenceAwareness #MMIW #MissingAndMurderedIndigenousWomen,en
71,past has the most saddest thing that lasts forever in your memories.happiness doesn't last forever..,en
72,"Live, laugh, love mother Lana",en
73,This song has such an unexplainable nostalgic/sad/tranquil vibe to it and I still feel that every time I listen to it and it feels amazing- THIS WOMAN IS AMAZING-,en
74,"the lyrics is getting clearer, our memories is getting vague",en
75,Hino que jamais será esquecido ,pt
76,i used to think she was lesbian bc of this music video as a kid,en
77,Crazy how this song is going to be 10 years old in 3 months.,en
78,"Every time I listen to this song, it’s like listening to it for the first time all over again.",en
79,Mother of authentic,en
80,"When people say that ""In 30 some years this song will be vintage""...it was already vintage when it was made",en
81,"my mom introduced me to this song the year it came out when i was 4, now im 13, turning 14 soon and this song gets me so emotional",en
82,I didn't know about this song but now I realize what I have been missing ️,en
83,"""Remember I always love you""",en
84,OMG that visuals hooked me,en
85,I come here because the sadness video football from tiktok,en
86,"no mater what season it is, this song will never lose its meaningfulness. Can’t believe what she had to go through. Must have been awful.",en
87,"Sim, eu volto aqui de vez em quando pra lembrar de alguém que me fez muito bem, e que agora é só uma tristeza de verão️‍",pt
88,I Witnessed a masterpiece.,en
89,Fallen love with this song️,en
90,You are very beautiful,en
91,I can't believe that 7 years ago lana perfectly described how everyone feels rn,en
92,her voice takes me to heaven,en
93,"Esse é hino,muito boa essa música  ",pt
94,Listening to this masterpiece and reading the realest comments.,en
95,"Lets be honest, this song is still legendary",en
96,THE BEST MUSIC!,en
97,e foi exatamente aqui onde eu comecei a servir a nossa pastora ,pt
98,"""Kiss me hard before you go"" hits.",en
99,Not happiness but sadness is a part of every human's soul. Thats why we can feel her art.,en
100,I think we are all very sad that Bobby Firmino is leaving Liverpool this summer but wish him well. Thanks to Lana Del Rey for writing this song for the fans.,en
101,Terri joe kept playing this I'm glad I found it,en
102,THE INTRO ,en
103,"I never knew this song was written for her friend that committed suicide but somehow, that makes the entire video make sense: shot hazy, like memories, two women having fun, depressive atmosphere and smoke everywhere...not to mention we see her jump a number of times. Man, I knew this song for a long time but this is the first time the video makes sense. I love her for this because it's important to remember the dead. Also, it proves true sentiment produces the greatest work, or at least the most powerful. I always had chills listening to this, now I know why. ",en
104,9 anos ainda você é o melhor baby,pt
