,comentario,liguagem
0,"I've been trying to reply under my pinned comment but I didn't know YouTube caps it at 500!  I love you all for your support and transparency! I pray that no matter what you're going through, this song reminds you that even when you feel alone... we're all alone in this together and will make it through our storms 🇨🇲",en
1,"Such a beautiful song. It’s so weird that my own family & friends don’t notice or don’t even care when I’m down, to ask what’s wrong. Instead they judge & make me feel insecure. But then I meet someone at work or at a meeting for probation and they ask me the questions that I wish my peers would ask. And I can’t respond because I don’t know these people and I just can’t trust that they will understand the demons that torment me. Thank you  for this song.",en
2,Honest this is soul music. It's like dedicated to people who are broken but pretend to be fine. Lyrics music and the way you sing it it's going to go down as a masterpiece of music. Lots of love and hugs,en
3,"Amo essa musica
Libianca é linda",pt
4,"I love this song. We so self absorbed we forget to check on ppl around us, to really see them…. Then there comes a time we wish ppl would check on us.",en
5,"Once a wise man said, ""when you're happy you enjoy the melody but,  when you're broken you understand the lyrics ""
We're here for the lyrics",en
6,"Keep doing what you do girl, you are the best and your voice is audaciously beautiful",en
7,Wow.. Great voice.. So calm tune... Really so good.. ,en
8, I love this song ,en
9,this song is setting the next level of art ️️️,en
10,"I wrote this song when I felt unheard... UNSEEN. To everyone who has resonated with my overflow of emotion through this song, THANK YOU! I wake up with so much gratitude and want this comment section to be a safe space for you all to tell your stories, for you all to be seen! ",en
11,"Such deep and well penned lyrics.
Intonation to kill!",en
12,"Thank you for composing such a lovely, meaningful and soothing song  This song hits different",en
13,"Felt like my story..
Thank you for the masterpiece libianca.
Love love and more love from India..",en
14,As a single mum off four... battling depression.... anxiety....PTSD.... unemployed..... and in the next few weeks we'll be homeless.. This lyrics hit different.....,en
15,"This film clip deserves so much recognition, the amount of feeling I felt in the short story it tells…. Beautiful and tragic ",en
16,I’m speechless. This song is amazing!,en
17,"""If YDK me well, you won't see how buried I am inside my grave"" Only those who experienced with depression can only feel the lyrics of this song.",en
18,"it's not just the song, she conveys the message really well",en
19,I addicted this song....thank you for this composing...love youu...her melting voice is awesome...,en
20,All my fellow Jamaicans 🇯🇲 let's gather here to support this Queen! This song gives me comfort with the relative lyrics and calming melodies.,en
21,"""Nobody will know the paranoia because I put a smile on my face.""  Damn That Hits Home",en
22,Love this song ️,en
23,"This one goes straight to the heart..  your voice, the lyrics and the fact that at some point in our lives we've been here... You've sang for all of us... Pray everyone overcomes and comes out stronger..  Much ",en
24,I absolutely love her voice!!!,en
25,Beautiful voice  beauty everywhere else ,en
26,"Depression does not have a particular face or race. Neither does it come at a certain pace or outfit. Check on your ""happy"", sad, creative, and especially quiet friends. Kindness can save a life ",en
27,I am in love with your amazing Song! All the best for you!Greetings from Germany,en
28,Your voice is so amazinggg ,en
29,she has a beautiful voice,en
30,"I am proud of everyone that is still holding on to hope even when life had always brought you down. I pray that those who are struggling be granted peace and strength to always push forward. Just know that a stranger out there, which is me, loves all of you. We'll all get through this!",en
31,"This song speaks to the soul, I be playing this song so loud when I drive . This song deserves a countless number.",en
32,"This definitely got me so in my feelings right now... My daughter was abducted by her mother with the help of my mother, my ex, and others. They tried to put a gun case on me and have me falsely imprisoned but the case got dropped because of lack of evidence but nobody is trying to help me about my daughter's abduction.  People..",en
33,"As a vet who suffers from anxiety, depression, and PTSD, I support the message of this song ",en
34,"Heeart melting lyrics and husky voice, lovely afro beats ",en
35,Such a beautiful and deep song. Already a classic <3,en
36,I love this song...thank u for creating,en
37,"it's not just the song, she conveys the message really well, love it!",en
38,I have listened to this masterpiece for 10x straight at once repeatedly..love from city under the sun NAIROBI 🇰🇪,en
39,This song should be sold in pharmacies. It’s a perfect cure for depression and anxiety. ,en
40,I wish all happiness to every sad and lonely souls. May you find peace & warm company  Dont loose hope...please.,en
41,What a beautiful song ,en
42,"This is definitely a song for folks who are going through depression,  loneliness amongst other difficult times....whisper a prayer. ..and then wait it out",en
43,I like the vibes of this song even the lyrics hits different ,en
44,"Cameroonians if u are proud of ur country , gather here let’s push this song ️️️🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲️️",en
45,"This song should win a Grammy, perfectly written and full of raw emotion, ",en
46,Love that they added that message at the end. This song is soo vibeyy. Def adding to my playlists,en
47,"The song is so good, I'm really addicted to it, the soft music with your voice makes me relax ",en
48,"I’m an introvert as they come, but this song hits home on so many levels. This sista is exceptionally talented.",en
49,"Beautiful lyrics with a beautiful message, actually being alone shows you are strong but at the same time you need someone who would actually care for you listen to you with all their heart ",en
50,"This isn't just a song, it is a feeling.",en
51,This is an amazing song girl! When I get brave enough to release what I've written I'd love to do a collaboration if I make it big.,en
52,I love this song listen to it everyday ,en
53,This was raw!  Got my eyes all watery. Sending healing to those that at this very moment feel alone and are going through a tough time. This too shall pass,en
54,I can verify that even those who don't drink alcohol love this song,en
55,I’m in love in this song lovely song and lovely voice,en
56,Love it.,en
57,Your voice is a blessing ,en
58,this song is so beautiful ,en
59,"Just want to thank all the African countries for their love and support for this girl especially Nigeria 🇳🇬 not forgetting the western world for the great love and support too . We Cameroonians are proud of you all guys. Please let us press the like, comment, and the share button .",en
60,she really deserve grammy ,en
61,Her voice  she deserves a Oscar for this song  #india,en
62,Tô apaixonada por esss música,pt
63,Who Else Agrees to sign the Petition for for this Song to be sold in pharmacies it Cures Depression %,en
64,Beautiful song and message queen. Keep it coming,en
65,"Soothing production, its amazing ",en
66,this one is a classic. surely gonna be listening to this one years to come,en
67,"As someone who literally was born from rape and thrown into the foster care system. Bullied and ostracized by my peers from preschool to college, survived abuse & homelessness, overcame sexual addiction, got abandoned twice by my biological family, had several failed relationships, and battles two mental disorders; this song saved my life and made me feel seen. This song came on my pandora yesterday and I broke down completely it was sooo therapeutic, you saved my life don't ever stop making music. Write for those who are invisible in the world- Peace",en
68,"Her  voice gives me goosebumps, lyrics on point not mentioning the msg ... Grammy award is coming",en
69,After watching so many shots.... I thought this is  a romantic song by people's expression of smile and moving waist .... but today I read it's lyrics ( bcoz I don't understand most of the English songs lyrics without reading)... this is a heart touching song.. I think most of people don't know what is this song expressing... they just do whatever in trend......,en
70,"This is a song that gave me goosebumps. After so many years, finally some good music that is sad but with an upbeat. Thank you for this song. It truly is soul touching.",en
71,This song gives me goosebumps,en
72,Since I hear this song I can't stop listening. Your voice and the song mood are amazing.,en
73,This song should be the theme song  for  people silently facing mental health issues! Lyrics hit to my core,en
74,"Libianca, you won me over from the first moment I discovered you on the Voice. ",en
75,Spent my whole day having this song on repeat...this is mad talent!!!!,en
76,Eu amoooo essa cantora ️️️️️️️️️️️️️️,pt
77,since my mother passed away this january .. this is my ringtone . may God bless the women !,en
78,Being an introvert can sometimes be frustrating. Because self expression is difficult. And now I'm going through alot of emotional breakdown. This song is a pain killer to the pain I feel now. And  I feel more stronger  when I listen to it. I know I'm gonna rise like an Eagle.,en
79,I love everything about this song!,en
80,Love it,en
81,This song hit me hard...people see you smiling when you are going the most.Story of my life.This song has become my anthem.,en
82,The song is  so beautiful and meaningful     love it  i’m from young country South Sudan 🇸🇸 ,en
83,Following her from blind audition on the voice. Not expect her will🫣i love you libianca,en
84,"As a single mother of 5 , battling cancer , feeling like I'm drowing in my depressive thoughts this hits hard",en
85, this song ,en
86,YESSSSS!!! WHAT A TALENT!!! Please release more songs like this️,en
87,I'm an Indian and i love this song...Afro beats are so cool..,en
88,What a song! i addicted to the song and also her voice.  loved it. ️,en
89,"As a Cameroonian, I’m so proud of her. This song has created mental health awareness among our peers. Depression is a real problem. Thank you for this. ️️️️️

Omg thank you guys so much for the likes  I didn’t think my comment would blow up ️️",en
90,"it's so important to check how someone is doing. People often pretend to be cheerful and happy, but in reality they are not. Then it can be nice that someone asks how things are going because they need a listening ear. Some people are afraid to express their feelings because they are afraid that they will be seen as weak. Never forget that it's good to say how you really feel and remember that talking is also important. Take care ",en
91,"This is the one of the best music of 2023 in the world, congrats sister 🇮🇳🇮🇳🇮🇳",en
92,As a cameroonian hearing this song play on a UK radio station at work today made me feel this immense sense of pride. Thank you Libianca fir this masterpiece,en
93,Your voice is great,en
94,the sound is really good,en
95,This is the greatest song I have heard and running in loop from last few months great work ,en
96,This song goes right into my soul ,en
97,Love this song can't stop listening,en
98,"I am not an alcoholic. I do suffer from depression, anxiety and addiction. I felt this song. Thank you ",en
99,Am loving the vibe of this song,en
100,This song is amazing . We are in it love you ,en
101,"More than 82 millions views in less than 4 months  ,it is just wonderful!
Cameroon's music travels around the world .🇨🇲",en
102,What a composition ,en
103,"Finally, a song not just about romantic love or sex or money, but of common, real life human experience that affects us all. So proud of this message and the amazing talent used to portray it!!  God bless you .",en
104,this song is so real it's touching me in a place that no other song has in a while,en
105,Not getting enough of this song. Much love,en
106,Very deep meaningful song that hits the heart. We live in a selfish world sadly.,en
107,This is my anthem right now!!! Tysm for sharing with us!!,en
108,I love this song ️,en
109,"I’m currently living isolated from my family and and friends in a different country, they know I’m struggling with anxiety, depression and low self- esteem but sometimes it’s easier to look the other way, I’m holding still  and going through my darkness on my own, thank you for this song, it’s a reminder that even when I chose to be alone for now, I’m not alone at all ",en
110,Heart wrenching ,en
111,I love this song ️️,en
112,This song helps me get through my hard times thank you so much libianca much love from trinidad 🇹🇹,en
113,love this song can't stop listening,en
114,"her words just goes through heart , such a beautiful song ",en
115,"All my Congolese, Africans and world wide let’s support this hymns very powerful",en
116,"I love your voice , It make me feel relaxed",en
117,Your voice is a blessing ,en
118,What a Amazing Song,en
119,It's sad how so many people resonate with this song. It's also really encouraging that we are willing to be more open about mental health issues. I'm super proud of you. Sending lots of love from Kenya. 🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪 Continue shining!!!,en
120,This song is so sad. Recently lost my father and a nephew.... can relate to this whole thing. ,en
121,Love this song,en
122,This song hit me hard  love this,en
