,comentario,liguagem
0,This been on repeat since it dropped ,en
1,"This song is a rare gem, there is music that can cut through your depression, doubt, worries and gives you hope. This song makes you reflect and reminds you that you can find your lost dreams and follow them. Only thing stopping you is you. Its harvest season!!! I didn't realize how off track I was until I heard this. Like he put his ambition in this track and gave us a slice.",en
2,one of his best songs ever. he killed it thoroughly and summarized him and his daily life all while maintaining an unmatched flow that gives you chills with every hook.,en
3,"This has been on repeat for the past 3 weeks on my playlist.....

In a minute ",en
4,I got more respect for this man now after watching untrapped. Coming out of the hood and took a chance on rap and stayed out and took care of his family. ,en
5,"Lil baby never disappoints, goes so hard on this, . and not like other rappers who are going viral by using hipviews     to get the views up. Thumbs up who agree",en
6,Lil Baby riding the beat is a whole vibe. Loving the vlog style video ,en
7,The world is unforgiving to those who don't know what they want in life and those who know will keep running you over. This song motivates me to go out and hustle.,en
8,The struggle never stops.its not the struggle that matters ...it's how we overcome it,en
9,"He shows what it's like in the streets for real. Lyrics and all! He keeps it 100 to the street lifestyle and us doing time, have done time, or beat a case.",en
10,"50 yr old fan of hip since the very start, gotta  give respect when one of these young new guys gets it right ",en
11,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Frozen In Time” are the two songs keeping me sane through these tough times. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️ ,en
12,"""""In A Minute"""" Lyrics: 



I be in the loop

She be in a group",en
13,"Muito bom esse som ficou perfeito se tá doido amei se é louco bravo de mais.
Esse som cada dia tá me expirando cada dia a chega em um certo nível da vida.
Curto de mais lil baby",pt
14,Been on replay for the past couple of days cause it hits deep . ,en
15,This track will never get old ,en
16,LIL BABY always making it sound so easy and effortless that's real talent can never get tired of listening,en
17,"Lil Baby is a solid dude, no drama no bullshit with great music. That's how artists should be.",en
18,"This one hit differentttttttt , motivational music",en
19,Been on this song since it dropped but I Swear everyday I find more and more song that I never knew he dropped. Lil Baby is the most consistent out as far as quantity and quality both go. So many artists out here just dropping trash to get it out but this man kills every track he steps on fr ,en
20,"Listen to this every morning literally to start my day, one of the best instrumentals out there, and he killed this as expected ",en
21,Mom of 2 and turning 40. Love this song and Lil Baby! He’s raw and relatable and super intelligent ,en
22,Lil Baby always got the bangers in repeat. Thank you sir!,en
23,How an artist can put you in so many feelings within 3/4 minutes is what I call god tier ,en
24,"42 years old hate the new rap but I love this kid, he's something special and come with that  ",en
25,Dis shit on repeat all-day! ,en
26,Still on repeat ,en
27,On repeat everyday!,en
28,That Ellie Goulding/Pound Cake sample!! ,en
29,"This is the type of rapper that make songs that go viral and they don't get old. Lil Baby isn't like other rappers, he is just different... No matter since when this song went out, Imma still listen to it.",en
30,Lil baby is truly a legend . Toughest tracks ever in hip hop history . Shit makes me tear thinking bout my struggles,en
31,"Rap is constantly evolving. I once said i only liked old school rap, i love it all, keeps getting better",en
