,comentario,liguagem
0,this feels different to what i'm used to hearing,en
1,Proof that you can rap about positivity and still be on the charts. Not everything needs to be money cars girls and violence,en
2,"This is what we need, props to you, Lil Durk. Great job, J Cole.",en
3,"A strong message to the next generation, please don't let this song die, love it!!!",en
4,This song will be timeless. I love how they incorporated the youth !!!,en
5,Awesome message man. We need more positive hip hop like this.  Big shouts to Cole for coming through and backing the message. The homie is always good for that.,en
6,Love to see this collab! It brought two amazing talents into each others world. Need more of this to unite the different sections of Hip Hop. Cole World x The Voice,en
7,#1 on Trending for music!!!!!!!!!!!!!!!!!! Day 6 by the way lets keep this going!!!!!!!!!! We need to let Cole and Durk get that number 1 on billboard,en
8,"This is what I call a role model way to give back to the community. Good rap is always the way, spreading positivity and showing everyone no matter what you into you could find a way to make it out!! Thanks Lil Durk and J. Cole.",en
9,The world needs to listen to such songs everyday coz they peaceful ,en
10,We need more songs like this era  music level is getting low each day,en
11,"Gosh, this is a very positive and powerful song.  Lil Durk is trying to change his image.   J. Cole is a brilliant lyricist...without question.  The ""little buddy"" lines are incredible.  Excellent job ",en
12,"No sex talk
No nudity or shaking of ass
No drugs or alcohol 
Just pure 100%talent",en
13,It’s been a while since a song touched me the way this one does. ️️,en
14,This is a generation song! This will be played for GENERATIONS to come ,en
15,Crazy how this song hooked me from the first second. Nice to see that Cole still making music and spreading good messages in his songs!!! These two have great chemistry. I want to see more of them. Can't wait to get a foothold in the music industry too I manifest it!!!,en
16,This message is gonna save many lives. Especially  Coming from someone like Durk. This song is a commitment. I can't wait to see the next move.,en
17,"Absolutely left Me Speechless 
Never heard anything like dis
And Lil Durk usually an Opp Rapper
Love to see this Change ",en
18,This really what the young kids listening to rap music needed. Big ups Lil Durk for sending out a different message.. Salute to J Cole he always with it.. ,en
19,The chorus is soo good. I get goosebumps when I hear it🥹️,en
20,THIS SONG HIT SPECIALLY THE HOOK ALL MY LIFE ABOUT TIME THEY GRAB A HOLD OF THE YOUTH ON SOME POSITIVE OTHER THAN DRILLING ️ THNX NEVER TO LATE I LOVE IT ,en
21,Love the message in the song and the inspiration I definitely glad to hear something positive and uplifting great song can’t stop listening,en
22,Nice piece..full of positive vibes. Am really in love with the messages in the song.. Good lyrical content...,en
23,"When lil durk said: I know some kids wanna hurt theyself stop tryna take drugs I refer to myself tryna better myself tryna better my health.That part hit hard bc it really has kids tryna hurt theyself, hope they hear this song and I like this song bc it has a lot of children hearing songs about guns and they wanna be cool and do what the people in the song are saying so we really needed this song",en
24,For someone who followed Durk career  love the message behind this song love the growth ,en
25,"Amazing song indeed, so refreshing... I salute the collab Gentlemen ... I knew the love spirit was real when I saw Lil Durk walking with FBG Butta with those real smiles on their faces...  Let's spread Love Peace Joy All around the Globe because those are the true elements of Hip Hop. #SouthAfrica #LilDurk #JCole #RealMusic #RealHipHop #Worldwide #ZuluNation",en
26,Thank you for making this song… our generation needed this ,en
27,Dude this is literally the 11th time i'm jamming this track and it feels better every single time. This is some great stuff. Positivity al the way.,en
28,"I'm not gone Lie I'm a  47 year old hip hop fan my era is 80s, 90's, this shit right here gave me CHILLS shout out to J Cole and Lil Durk Hands Down !!!",en
29,"Bro, there's absolutely nothing wrong with positive music, the people are going to feel it regardless when you're talented! Feel good music",en
30,This a Hit it really Speaks to the Soul. Youth Needed to hear this message,en
31,This the kind of song that never gets old..,en
32,Soulful music frfr. This touched my soul. Thanks Durk & Cole,en
33,"One week since I lost my mum then this song comes out and keeps me strong during this tough moments ,Thank you lil durk and j Cole for the motivation ,I do appreciate ",en
34,This song will live for 3 generations on... Durkio has evolved as an artist... J Cole confirming his GOATED Status Again!!!,en
35,"No drugs
No sex talk
No naked woman 
Just 100% real talent",en
36,we needed this. its time for positive rap to become more popular. yall already made enough songs about drugs hoes and murder for 100 lifetimes,en
37,Mr. DURK I want to thank you and Mr. JCOLE for this wonderful masterpiece Durk came a long way I'm glad your success and motivation influence millions keep it going,en
38,Gotta respect this one even if you not use to hearing it from a person who some think is heartless.. Sometimes you got to go hard just to survive..,en
39, que maravilha de música OBRA DE ARTE CARALHO que bomba divina,pt
40,"Prayers for the lil people and everybody else, thank you for these amazing lyrics",en
41,"To all my JCole fans, can we take a moment to appreciate him for this verse? He slaughtered it again per usual",en
42,"Certified classic 
A song that can be played in front of people of all ages... Durk Durk Durk.. you've done it mayne big up...",en
43,"It may mean nothing coming from someone you dont know, but I'm happy you made it out and became what everybody said you couldnt. This msg of positivity is needed now more than ever.  We should always Better Ourselves Selves for we are Brothers Of the Strong Struggle",en
44,We need songs like this sometimes to heal form the trauma.,en
45,Can’t stop coming back to play this joint  Anyone with me ??? ,en
46,Song of the year  shot out to Durk for this one. Sending positive msgs to the younger ones.. we need more of this from all of the artist's..,en
47,"Let's run the numbers up y'all! This song deserve a billy! Let's get it to 100,000,000 first though! Send it to your friends!",en
48,We need more this kind of hip hop in this era️️️️️,en
49,Change the message for our future I can vibe to this thanks for showing other artists that it's time to change the info there has been to many lost to senseless violence our youth who never had a chance to be somebody keep these bangers comin long over due many years of sex drugs violence and money there is more that it takes to in life this is proof respect ,en
50,This song gives me one of the most interesting feelings. I love it we need more from the whole rap game ,en
51,I love this song and the video just gives me Chill bumps especially for kids that need motivation they did perfect ️,en
52,"That hand shake at the end put nothing but a smile on my face , way to change the world, two legends !",en
53,"Everytime I hear J cole, my faith in rap is restored.",en
54,THAT'S It! Makin my Durk playlist...should been  done! #1 to start it off!!!️,en
55,The most dangerous time for a person with influence is when they start doing the right thing. ,en
56,Keep up the good work Love to see the narrative changing this is what the kids needs to be listening to much love ,en
57,Best song i ever heard this year thanks lil durk for the beautiful lyrics,en
58,Nothing but positive energy from Durk and Cole,en
59,"Best rap video to drop in these crazy times! No ass shaking, no drug dealing, no guns, just a bunch of well dressed beautiful children enjoying life. This is what it’s about. These kids are the future so stop filling them with the negative bs and bring back the positive vibes",en
60,"I love this song, its nice and smooth. Its relatable, peaceful, sending a message and i like the video. Its Durk in a whole new light He had J. Cole on there to like its a W",en
61,About time some positive music for our young people let’s make this song #1 so we can change the energy on our suffered culture,en
62,Y’all really put The work in. this message needs to be consistent yall never disappoint and  jermaine for the win love this ,en
63,Very nice song..keep up the good work Lil Durk. Keep pushing,en
64,AMAZING VIBES AND INTERESTING LYRICS! THANKS TO YOU ALL!,en
65,"I feel like this will easily top the charts, truly happy for you brother!",en
66,"I believe that we will return to this masterpiece after 10 years and say what a beautiful day it was, and it will remain a beautiful memory for future generations.",en
67,Proud of Lil Durk. Keep the same energy when the ones in control try to promote negativity…. J. Cole as always ️,en
68,"I’m not the biggest hip hop fan these days. Grew up on this from the 70’s up. 
Overall, this video and song redeemed the game.
Big ups to Durk and Cole for this",en
69,Durk needs to stay on this path he shows growth as a rapper and young adult  ,en
70,I've literally had this song on repeat for the last week,en
71,"A strong message to the next generation, please don't let this song die",en
72,Only 5 days and 10 million views already we needed this. Hard times dont last! ,en
73,Blessing to everyone who banging  this   and understand  the message they bless us with. S/O Durk an Cole from the Turks and Caicos  appreciate  you 2 mill per day . #Love,en
74,Love it! Durk you did it again such a vibe cause you know J Cole don't Collab with just anyone ,en
75,This is the kind of music we need ,en
76,The industry needed this. Especially from durk. So many young kids follow behind this young artist. He flipped it. Beautiful song,en
77,Finally something positive for the youngins to listen to. People don't understand how music affects the soul. Shout out to these amazing artists. Salute!,en
78,I like this song a lot. Lil Durk is growing through this thing called life. I salute it all! J COLE I mean Say Less!!!! I clicked because of him knowing that I'll receive another Gem from him. BIG TUNE!,en
