,comentario,liguagem
0,Been on repeat since it dropped ,en
1,This is probably one of the most genuine collabs I've listened to.  Two very different dudes... two different backgrounds... two different styles... Yet they come together and make this masterpiece while both being true to themselves and their styles.  Fuck racism.  Shit like this is what the world needs.    Peace and love to all of you wonderful people.,en
2,I love when songs break through genres. This has been my fav for almost a year,en
3,"Their voices together are so good, i love the mix  ",en
4,crazy to see a rap icon and a country icon come together and make a song like this,en
5,I can listen to this song on repeat. There's just something about Morgan's voice and Lil Durk rapping that just makes the calibration fire...they took two completely different genres and created something awesome. Love it! ,en
6,This is what our country needs more joint singers together showing everyone that we can get along and party together great song both these men did  mad respect,en
7,What a great banger for putting on repeat. Also love to see Durk so happy in the video!!!,en
8,Tbh this guy's gonna get somewhere if he keeps up the good work and keeps sending out good music like Broadway girls ,en
9,County and rap mixed together is fire ,en
10,Song is fire. One of the rare times I’ve seen two genres blend without it sounding corny I feel like they did a great job. Durk can still be him and Morgan did his thing. We need more of this in music.,en
11,Respect to Durk! Great collaboration! Y’all killed this shit! Let’s get another one.,en
12,the fact dude is basically country but can so good on hip hop beats just shows how talented he is. especially to have a durk feature on top of it all ,en
13,One of the greatest collaborations I have heard. Song is fire! Beat is spot on and sounds great. Good work!,en
14,"This song woke me up and put me back in reality for real almost fell victim to one of them ‍️

Thank you Morgan Wallen and Lil Durk ",en
15,I love when artists don't hold themselves back by sticking strictly to a genre. Morgan Wallen and Lil Durk made an amazing pairing and a great sound,en
16,"We need more of this type of stuff from morgan, brings more unity than politics ever could, and it hits like hell",en
17,"Oh my God I can’t stop listening. Great job keep doing what you do you’re the best at it. Love you Lil Durk and Morgan well
Done",en
18,"This song instantly puts me in a good mood, and the song “Clover Cage - Frozen In Time” took away my depression and changed my life. I am now working on loving myself and becoming the best version of me! Love you guys ",en
19,I love this song so damn much good choice of two people with different music genres,en
20,The day this video was released was the day I quit drugs. I’ll never forget it. This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ️,en
21,Respect to Durk for stepping out of his comfort zone and shoutout to Morgan for reaching out to Durk didn’t expect this to be this good,en
22,Randomly played on my spotify and now I'm addicted to this song.,en
23,This is already a all time classic ,en
24,One of the best songs I’ve ever heard from this new age rap ,en
25,This song hits hard on so many different levels,en
26,"I love when cross genre music is done right, brings so many people together.",en
27,I'm a huge rap guy and not really into country but this is a straight up banger!!! This song slaps!!,en
28,All I can say is I really love this song ,en
29,This song just hits me differently. Reminds me why I love music of all genres,en
30,"OTf I guess we deserve this Grammy Award for this Masterpiece! Shout outs to @Durk , @Morgan Wallen , , let’s get it !",en
31,"They deff need to drop an Album together… fan of both artist,  and the whole racist stuff needs to die .. this is what we need, understand we all make mistakes but if you learn from those same mistakes then you are worth forgiveness keep the love going and growing #tonylowkey #thinkaboutit",en
32,this is exactly what the mainstream doesn’t want and it’s BEAUTIFUL,en
33,I'm feeling it. Maybe yall should do another and I believe nobody would be mad. Never heard of Morgan just heard Lil durk speak on they collab. So I wanted to hear it. Too small of a world to have walls up so I don't mind those who break them down. Two different backgrounds and ways of growing up and music brings it together gotta love it,en
34,Still can't stop listening Durk made this hit for me alone,en
35,Mixing genres... this stuff is genius...I love Nelly and Tim McGraw's Over n Over... But I LOVE this one even more!!,en
36,"I’ve always loved country I’ve always lived hip hop, this song is it!",en
37,This is truly what music is all about. Absolutely incredible to see 2 artists I like from 2 separate music genres coming together to make an absolute banger. This is what we need!,en
38,"This is incredible, Morgan please come back to rap soon!",en
39,Crazy how the Internet tried killing Morgan’s career and it literally didn’t absolutely nothing but made him too much bigger,en
40,Awesome song  is an understatement true mix of genius genre! Absolute hit that will win many Emmy awards!,en
41,these Two need to do whole album would be Firethey would top the charts they work good together,en
42,This is awesome. The joy these guys have making this shows you that they are both true stand up guys. Durk is a living legend give this man his flowers. Hats off sir,en
43,May 23...still on my playlist...top 10..ever!! Song is Awesome!!....Luuuve It!!,en
44,"I love the vibe & the beat this song got. Damn! 2023, where's this song been all this time, & just now i hear it, sing along w/ it & did i mention, i prob forgot to mention it, i also danced along to it, too. I mean who wouldn't!!",en
45,This song never gets old,en
46,We need more of yall music  Issa hit,en
47,This song is the most unique and random combination of artists and it’s perfect to play for any occasion.,en
