,comentario,liguagem
0,"MY DEBUT ALBUM IS OUT NOW EVERYWHERE:



WELCOMETOMONTERO.COM",en
1,this song stuck in my headdd,en
2,TWO YEARS LATER AND STILL GOES HARD AF,en
3,This song always hits hard every December,en
4,"Even after nearly 3 years, still my all time favourite song and music video out there.",en
5,"IDK who is responsible for the outfits/costume designing. But, I always LOVE them! Keep it up Lil Nas X team!",en
6,"Every time Christmas come along this song still at the top of my list   
The outfits the moves …. Just never gets old ",en
7,This man really went from a cowboy to a futuristic SantaClaus,en
8,"this song was released during a small period of my life where life wasn't shitty and listening to this song reminds me of it. hopefully life will be like that again at some point, but until then I will listen to this song. thank you nas.",en
9,I like Lil Nas X cuz he  does what he wants he doesn't care what people think he's just going for it. Inspirational guy.,en
10,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
11,"Whether you like this dude or not, you can’t deny the work that goes into these, damn",en
12,"Can't stop listening to this song, the vibes are just too good! and The creativity, dancing, production-quality and costume design are all so good... This Music Video is out of control! Well played Lil Nas X!

 and",en
13,For a newcomer to the game......man you best keep on killing it.....you got the talent.....don't the the companies steal it. Keep being you. Respect.,en
14,TWO YEARS LATER AND STILL GOES HARD AF,en
15,his music videos have better animations and visuals then some movies out today.,en
16,Man this might even be a good music to play on the radio when your at a road trip,en
17,what artist Love you Lil Nas X 🇧🇷,en
18,2 years and it still hits hard af,en
19,The only Christmas song I’ll be listening to this holiday season,en
20,THIS MAN HAD NO RIGHT TO MAKE SUCH A BANGER OF A SONG BUT HE DID IT ANYWAY!,en
21,Loving Nas’ energy on this one. Looks like he’s really having fun lol,en
22,Lil always gets the lyrics right,en
23,Every time I play this in Christmas it gets me in the Christmas mood,en
24,No matter what for every Christmas this song is perfect ,en
25,"This song really just hit different...
Everything about it is just prime, the song itself is just art to me.",en
26,after two years this banger still goes hard af,en
27,LOVEE IT,en
28,This song hit differently ,en
29,"Idk what it is, the great looks, the great song, the great production, all of the above? I find myself coming back to this and other Lil Nas X songs ALL the time.",en
30,THIS STILL GOES HARD ON CHRISTMAS,en
31,"Wasn't a fan of Lil Nas X before, but not gonna lie this song is such a banger",en
32,Such a vibe ,en
33,I can’t stop Bumping to this and it ain’t even Christmas time yet ,en
34,"I cant explain how happy this song makes me
 The HOLIDAYS make me so happy :)",en
35,Temaso ,pt
36,Lil Nas is the most creative popstar. His personality is amazing. He is a cool guy to be around. Keep making music videos your doing beautiful,en
37,"Soon the 20 Million subscribers, you really deserve it considering the quality of the clip, you are out of control Nas",en
38,Celebrating Christmas with this song for the third time in a row,en
39,this masterpiece never gets old!!,en
40,"I love the way you danced with those white braids and the fact that your some type of Santa,this video is really awesome and creative️",en
41,essa música é maravilhosa,pt
42,Even though it’s not Christmas it’s still a vibe,en
43,my god... how can this be still that good after 2 YEARS?!,en
44,"Still cool, still never forget how good this song is",en
45,It's still a banger to this day!,en
46,"This is one of the only music in my life that I learned. If it isn't a proof that this music is good, then I don't know what it.",en
47,its christmas baby and it still a masterpiece,en
48,Lil Nas can’t do any wrong in the studio man...,en
49,It don't matter if it's halloween this song still hit HARD,en
50,2 years and this song still hits real hard,en
51,Man 2023 and dis song still hits hard too Bad that lil más don't do good videos like this anymore,en
52,I remember the 1 hour it released. Still a amazing song.,en
53,I remember December of 2020 this song was popping when it was calm and cold outside ,en
54,Whoever makes his music videos they have talent...,en
55,I played this song for like 4000 time and it still hits hard,en
56,I still love this song and its been 2 years,en
57,Even after three years this shit goes hard,en
58,Still the best Christmas song out there,en
59,1 year later and it’s still feels like christmas.,en
60,"This guy's a genius, how does he come up with such unique songs ",en
61,2 Years Later and its still our Favorite Christmas Song,en
62,This song still stay hard af when I first listened ,en
63,you're my favorite artist ever. Inspired by your songs,en
64,"Its been almost 3 years , I remember and miss the times I suposed to play it all day on my phone.",en
65,Theres just something about him that makes you addicted to his songs..,en
66,I love listen this song when the year is a point of end ,en
67,Love it,en
68,This song always hit even harder every december,en
69,The visuals are better than those in some movies. Keep it up nas,en
70,The dance was so fire that tiktok couldn't re-create it ️,en
71,"It’s December, and I will now listen to this every day ‘til christmas",en
