,comentario,liguagem
0,"MY DEBUT ALBUM IS OUT NOW EVERYWHERE:



WELCOMETOMONTERO.COM",en
1,"Director: “How many gay guys do you want in this music video?”
Lil Nas: “Yes, and give Jack one girl.”",en
2,WE DROPPING THE SOAP WITH THIS ONE ,en
3,I love how every single movement goes with the beat,en
4,I love how unapologetically extra lil nas is,en
5,Lil nasx&Jack never disappoints,en
6,"When Jack Harlow said ""I didn't peak in high school I'm still out here getting cuter ""  I felt that",en
7,"Os efeitos e segunda vozes dessa  música é incrível que acaba te viciando, e não deixa a música chata, isso é importante",pt
8,"This song lives in my head without paying rent, I can't help but listen",en
9,Não canso de ver.Amo,pt
10,Seu clip é doido pra caralho! Parabéns! MUITO BOM!,pt
11,"Jack: So what do you got this time? 
Lil Nas: Dancing in the shower. 
Jack: Okay that could work. 
Lil Nas: With a lot of gay guys. ",en
12,this song always gives me chills and motivation to study,en
13,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
14,Muito bom ,pt
15,0:34 this moment changed my life forever it was so inspirational it was so touching the music the beat the Rythm,en
16,This song slaps more everytime u listen to it,en
17,2 anos de música maravilhosa,pt
18,The choreography is really good for this video,en
19,I'm not the demo for the choreography being straight but his energy and just demeanor like his heart and soul are in the record sell it. That's what makes an amazing uptempo record like this,en
20,Why does no one talk about how powerful the message of this song is? Probably my favorite work of Lil Nas X.,en
21,"Everyone's trying to escape and Lil Nas x is like ""hold on, dance break""",en
22,I LOVE THIS SONG,en
23,This song never gets old ,en
24,I absolutely love you guys this is my most favorite song..  thank you for sharing your amazing talent and your amazing song.. forever kind words Melody aka lostgirl ,en
25,"Jack: ""Can I at least get a blue uniform?'
Nas: ""NO""
Jack: ""How about a dozen girls?""
Nas: ""ONE""",en
26,I can’t stop listening to this. It’s catchy af with meaning. I love it.,en
27,This song was awesome ,en
28,Here's some words of wisdom. Never erase this song. Keep this banger up all the way to infinity and beyond,en
29,I love this ... more of this please,en
30,“Yeah give Jack a girl so people know he’s the only straight one in the prison”,en
31,I'm still jamming this song in 2023 and it still sounds a banger. I really like lil nas x's songs.,en
32,Gostei desse vídeo e a música foi uma boa produção,pt
33,Never get tired of this,en
34,The energy in this song is off the charts!! Like it's on another level..as an upcoming rapper I'm learning a lot from this guy,en
35,when i saw them dancing in the showers i bursted out of laughter and tears,en
36,Boy is back with a BANGER!!!  yall he's flying high,en
37,"When I listen to it, I feel something in my heart
It is my favorite music till the end of my life
Great rythme, thanks",en
38,Muito fod4 ,en
39,"Man... accolades to nas

He's the only artist that would intentionally leak half of his unreleased song and still be a mighty hit after being released...wow!",en
