,comentario,liguagem
0,"MY DEBUT ALBUM IS OUT NOW EVERYWHERE:



WELCOMETOMONTERO.COM",en
1,1 billion in sight!,en
2,"Lembro que todos os dias na escola meus amigos ouviam esta obra, na aula, intervalo todos falavam de cowboys estilosos e suas perfeitas musicas, nostalgia pura é uma honra ouvir isso novamente",pt
3,Em 2019 essa música estourou de tal forma que meu Deus! Que saudadeees ,pt
4,"This is one of them songs that you only come across around a dozen times in your life, you know the ones that no matter how many times you hear it it’s as good as the first time you heard it, songs as good as this stay with you your whole life.",en
5,Ainda me lembro quando andava na escola e os meus colegas ouviam essa musica dia e noite era fantástico continua,pt
6,"This song needed a ""YEEHAW"" in some part thoo",en
7,"This gem is timeless doesn’t matter how old it is..
it’ll always be an awesome banger.  ",en
8,Primeira vez que ouvi esse hit foi na radio brasileira depois disso virei um fan do lil nax... Ele representa...,pt
9,This is going to be one of those nostalgic 5th grade memories in the future. It’s only been 3 years and it’s giving me some nostalgia. This was a HUGE hit when it came out in the spring of 2019.,en
10,O fato dessa música fazer 4 anos e uma loucura. 2019 só sdds.,pt
11,"He is the only guy who took - ""New Year New Me"" very seriously.",en
12,Its been 3 years since this masterpiece has been created!!! 1 billion hits the spot!!,en
13,A message to future generations: don’t let this song die. Masterpiece!,en
14,"This song is like wine, the older it gets the better it is!",en
15,Ouvindo em 2023 e lembrando do boom que foi quando lançou essa música em 2019,pt
16,Lil nas X wasn’t kidding when he said “I’m gonna ride till I can’t no more”,en
17,No me canso de esta obra maestra,pt
18,"Amo essa música,quem fez ela tem muito bom gosto ",pt
19,muito bom,pt
20,05/05/2023. As 00:08 escutando novamente essa relíquia. ,pt
21,"Oh how quickly 3 years passed by. 
This song seemed like it was released yesterday. This really was one of the best lockdown songs to exist. Missing when this song was trending but it’ll always be remembered!",en
22,I really love this song so much and It will still remain in my heart ️,en
23,Ja passaram 3 anos dps e eu aqui ouvindo essa obra prima ,pt
24,This Song Is Never Get Old !!! Keep Up The Work Lil!!!,en
25,"Really thought he was just a one hit wonder and was gonna fall off after this song. But he keeps making hits on hits, can't wait for the album!",en
26,REGRÉSENME AL AÑO EN EL QUE ESTA ROLA ESTABA DE MODA ,pt
27,"I’m an old broad and I LOVE this song!! My sons laugh at me when I’m doing housework and singing “can’t nobody tell me nothin….”

This is a timeless song for the ages!",en
28,"3 years ago,Yet Still a BANGER ",en
29,This was the best era of music I get nostalgia even tho it’s only been 3 years,en
30,The song is not really that old but it's really nostalgic,en
31,I've never seen a cow boy suit fit someone so perfect. ,en
32,Essa Música ja era um vicio em 2019️‍,pt
33,"Essa musica é muito boa, é maravilhoso ver isso depois de 3 anos",pt
34,"0 % nudity
0 % alcohol
0 % drugs
100 % cowboy",en
35,"Every time I listen to this song, there are 1 thing THAT come to my mind:

1. This song will never die",en
36,Eu não consigo superar essa música,pt
37,This song gives me nostalgic vibes,en
38,pure perfection when it comes to fusion hip hop.,en
39,He's gonna break the record for most remixes as well,en
40,I love this song it’s been the same for 3 years and still very very awesome,en
41,It's been a long time but this song just stays in your head.,en
42,Adorei essa música,pt
43,Still rockin with this song,en
44,This song literally comes in different flavors every week. ,en
45,"lyrics

 Hoje eu pensei em você

Em como éramos tão próximos",pt
46,"2023 and I still listen to this song every morning and night. Really, my friend, it did not leave my head. It became a part of me",en
47,"I've just found this guy while on a Festival I went with my wife just a couple of days ago. his show is one of the best if not the best I've seen in my life. All the dancing, the singing, the music, absolute masterpiece!",en
48,i love how this song went from a regular song to a meme,en
49,"""ride till i can't no more"" has a whole new meaning now",en
50,This song never gets old,en
51,He still should have gotten an award or something for country song. SMH.   And this needs an extended version.,en
52,I haven’t heard this song since 2019 and it still sounds fire ,en
53,cant believe it’s already been 3 years. i remember when i was a smaller child listening to this and signing it at school (in a really cringe way) and now i’m looking back and getting so much nostalgia,en
54,"2019: Lil Nas X rides on a horse

2021: Lil Nas X rides on the devil",en
55,He created other hit songs but I really expected he would create this genre. This is such a masterpiece,en
56,q sdds desses tempos e essa musica..:(,pt
57,one of the best songs i've ever heard,en
58,When you realize it's never been about the horses.,en
59,"Yeah, I'm gonna take my horse to the old town road

I'm gonna ride 'til I can't no more

I'm gonna take my horse to the old town road

I'm gonna ride (Kio, Kio) 'til I can't no more",en
60,1.1 billion views!! This song is a work of art,en
61,isto sim é musica boa,pt
62,"Everytime I watch this it takes me to summers of 2019

Nothing just pure Nostalgia",en
63,"He protecc
He atacc
But most importantly...
He got the horses in the bacc",en
64,"Congrats on the billion views, love to see it hit 8 more!",en
65,Que Música muito boa me lembrou a nostalgia,pt
66,"Lyrics:


Yeah, I'm gonna take my horse  to the old town road",en
67,Fantastic lyrics and melody. As good as it gets.,en
68,I miss singing this song wit my friends in 5th grade ,en
69,Can’t believe this was released 2 years ago felt like a month,en
70,This Song will never gets old,en
71,nossa cara amava essa musica!!!!!!!,pt
72,Its a tradition for me to sing the song everyday and watch the video if possible,en
73,"This song is legendary, you just get the vibe of cowboys on horseback from it, and you just really want to get on a horse and ride it to this song",en
74,I love it ️,en
75,He really wasn't kidding when he said  “I’m gonna ride till I can’t no more”,en
76,Respected song ,en
77,His performance  is one of a kind,en
78,His voice is on another level,en
79,A melhor de 2019,pt
80,He REALLY wants to be the song to have the most weeks at number one on the billboard,en
81,I love it so much ️,en
82,Essa música ele é muito linda ,pt
83,"This song makes me wanna go horseback riding with earbuds, blasting it <3 I was an equestrian in the late 90s early 2000s...this song totally rocks!",en
84,Billy Ray's verse though  so smooth ,en
85,WHY DOES THIS FEEL SO NOSTALGIC ALREADY? ITS BEEN LIKE 2 YEARS,en
86,Mano 1 biiiiiiilhão  de views! Vc tem noção de quantas pessoas viram essa obra de arte???????? ️,pt
87,I love this song ,en
88,"3 years later, this still hits HARD",en
89,3 years ago the world was taken by storm by this bop. Still slaps like the first day it dropped!,en
90,It's impossible to not dance while listening to this,en
91,This song would be nostalgia when your grown up,en
92,amoo essa musica,pt
93,Muito top!!!!,en
94,Muito BOM essa Música,pt
95,This song still gives me hope that this generation will make songs that can still be listened to 20 years later,en
96,I'm obsessed with this song.,en
97,Muito bom,pt
98,"1.1 billion views. 
Gosh this song is nastalgic and 2019 was still only 4 years ago",en
99,I salute the producer for the job well done those bits are owesome,en
100,From old town road to montero this guy has been on one hell of a journey,en
101,This song make me feel good ,en
102,Billy killed it!!,en
103,Moment of silence for this ICONIC song.,en
104,A legendary song was born.,en
105,Imagine how nostalgic this song will be in a decade,en
106,The greatness and grace of music simply displayed,en
107,This song brought the real OG in Lil Nas x...,en
108,Ik this was made only 4 years ago but it’s still nostalgic for some of reason,en
109,"Thank you for gifting us with this incredible repertoire of songs. Thank God I was born at a time when good music really existed. I was happy and I really knew I was happy. Despite life's adversities, I consider myself a happy man",en
110,Greatest song of Li Nas X after Montero. No Song can beat Montero  ,en
111,"I never expect such a great mix of country and hip hop, this rocks",en
112,Iconically funky,en
113,Essa musica e muito bom cara,pt
114,I love this song ,en
115,* starts cowboy twerking *,en
116,A pure fantastic gem! Thank you ,en
117,"Nice song, I used to think this song was not good, now I think it has a nice vibe",en
118,This track is forever in history!!!,en
119,"This song is a legend, can't believe its been already more than 1 year after its release.",en
120,"i remember when this song blew up, good times",en
121,Why am I just seeing this? Billy’s there! This is magical,en
122,"Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride (Kio, Kio) 'til I can't no more",en
123,Who else just randomly remembered this song?,en
124,I love this song,en
125,"i remember in 2019 all i would do is blast this song while riding my bike around my yard. it was before covid, the good times",en
126,"LYRICS


Yeah, I'm gonna take my horse to the old town road",en
127,We gon break this record wether u like it or not,en
128,This song is masterpiece for all legendary song's,en
129,"This music is an anthem, and it will always remain an anthem.",en
130,God i miss 2019 so much,en
131,LO MEJOR,pt
132,voltando aqui pra relembrar esse hino,pt
133,This is from 3 years ago and I’m still jamming to it,en
134,Love you Billy Ray! ,en
135,Love this song,en
136,when you realize this song is almost 2 years old.,en
137,"A galera falando que essa música não envelhece como se ela fosse de 10 anos atrás, gente, 3 anos atrás é praticamente atual....",pt
138,I wish songs like this a little longer,en
139,I'M GONNA TAKE MY HORSE TO THE OLD TOWN AND I'LL RIDE TILL I CAN'T NO MORE,en
140,I remember coming home from my holiday with my family and this everywhere on tiktok ,en
141,"2019: Riding Horses
2020: Riding Sleighs
2021: Riding The Devil",en
142,Man 3 years and this song is still good,en
143,Definitely needed some Yeehaw,en
144,Incredible song ,en
145,Still fire in 2023,en
146,"This song 's gonna be one of the ""classics"" in 20 years.",en
147,Listened to this song one billion times and still a bop.,en
148,"Be Evil, but billy took it all away with one verse ",en
149,This song will never be forgotten,en
150,nostalgia pura,pt
151,It's a just a great song. Musical is Universal too many people let personal dislikes impact their music taste but good music is good music.,en
152,It's crazy how many people come back to this everyday. This song is legendary . I'm lying,en
153,I miss 2019 and back  this already nostalgic even though it’s 3 1/2 years old,en
154,"this video makes me realize how much lil nas x changed, he used to look like a teenager 3 years ago and now.. he is becoming a grown up",en
155,Just heard this song for the first time in May 2023... Late to the party ,en
156,BTW its been years since I have listened to this it gives me memories,en
157,i'm having huge respect for Lil Nas X after his outfit at the met gala,en
158,Quanta saudade desse tempo…,pt
159,love this song:D ,en
160,Perfection is art ...and one should master it,en
161,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Colorblind With A Beautiful Mind” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
162,This song never gets old,en
163,"Yeah, I'm gonna take my horse to the old town road

I'm gonna ride 'til I can't no more

I'm gonna take my horse to the old town road

I'm gonna ride (Kio, Kio) 'til I can't no more",en
164,"Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride (Kio, Kio) 'til I can't no more",en
165,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
166,"Yeah, I'm gonna take my horse to the old town road

I'm gonna ride 'til I can't no more

I'm gonna take my horse to the old town road

I'm gonna ride (Kio, Kio) 'til I can't no more",en
167,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you,en
168,"Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride (Kio, Kio) 'til I can't no more",en
169,"Yeah, I'm gonna take my horse to the old town road

I'm gonna ride 'til I can't no more

I'm gonna take my horse to the old town road

I'm gonna ride (Kio, Kio) 'til I can't no more",en
170,"Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride (Kio, Kio) 'til I can't no more",en
171,Remember when everybody was addicted to this song,en
172,Has to be one of the most unique songs in music history,en
173,Adoro essa música assisto muitas fezes,pt
174,How does this not have a billion views? Literally everyone knows this song.,en
175,"This song used to be mad popular, they even played it at my 5th grade dance a few years ago I miss these times",en
176,2019 was just something else,en
177,"Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride (Kio, Kio) 'til I can't no more",en
178,Oqueeeeeeeeeee 1 bilhão  oqueeeeeeeeeeee eu nunca vi  uma musica bater isso,pt
179,POV: you just finished the live premiere of Industry Baby so you’re here rewatching the rest of his music videos,en
180,It's 2023 but still obsessed with this legend song ..️,en
181,The fit looks so good on him.,en
182,Even though this was 3 years ago….. this is still amazing! Tysm lil nas x and billy ray,en
183,♡Love the song!♡,en
184,I do not remember this song hitting as hard as this!,en
185,This song is still stuck in my head ,en
186,just i love this song ,en
187,Caralho que musica foda,pt
188,"This song doesn't feel like 1 year old. 
It feels like yesterdays",en
189,"The more I listen to it, the more I like it .",en
190,That starting verse says it all...,en
191,"Letter:
Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road",en
192,Love this song,en
193,Life was way different back in the day.,en
