,comentario,liguagem
0,"When he said, “I want, someonе to loooove meeee”

I felt that.",en
1,He really puts his heart out there. This song is going to be a hit forever.,en
2,I don't know how this man managed to reach all the way into my soul and show me my deepest darkest pain and fears but he keeps doing it. I hope he finds love. He deserves it.,en
3,"The wedding dress in this is so iconic. The way he whirls around with the guitar, his smudged makeup. This is definitely going to become an iconic outfit alongside other famous queer musicians",en
4,"Words can’t express how much I respect this man for bringing queerness to hip hop and country all at once. The two genres most resistant to it, and he was like fuck it here I am, super gay, and I’m not gonna shy away from it. Love it or leave it.",en
5,This song makes me wanna dance with someone.,en
6,"God I love this guy! If my teenage friends and I in the 1970s had known someone like this would eventually come, we might not have been so fucking scared of growing up",en
7,I have felt this song since I've heard but this video I've only found recently and it's forever tattooed on my heart. I love it. Thank you Lil Nas for putting this out. <3 I hope you find someone who adores you and loves you and treats you right! <3,en
8,You can feel all the emotions he put in the song,en
9,"I love this! He's so human, and he feels exactly the way the rest of us do. Preferences are immaterial - feelings are the same. We all just want to be loved. Keep them coming, Nas! ",en
10,"He has no genre, a true musical chameleon. I’m here for all of it. I love this man. I feel like we get little journal entrees in his songs and videos. He’s so amazing to me.",en
11,"Hate him or not, this guy is still making amazing songs",en
12,I truly feel like lil Naz is going to help save many young lives that don’t recognize the world they live in.,en
13,"I love this!!!! So many people in the industry disagree with a gay black man being front and center with his sensuality. You are changing the industry Lil Nas X and we're all here for it and loving it! You deserve love and will find it, but I know it can't be easy, especially with all eyes on you and what you're doing all the time.",en
14,"0:42 my favorite part of the song, really felt that and the video really expressed how i was feeling, keep slaying queen!!",en
15,The vibe this song gives ,en
16,"I love your music, keep doing you! ",en
17,This album feels so personal. I love that he seems more comfortable showing who he is & his story in his music now than he did in his older music,en
18,"No matter how you look at this song, I think we can all agree on the fact that we all need someone to love in our lives.",en
19,"THATS WHAT I WANT Lyrics:

One, two, three, four
Need a boy who can cuddle with me all night",en
20,"I'm going through a divorce and this song perfectly sums up the rollercoaster of emotions for me. Much love, Lil Nas X!",en
21,"I'm not gonna lie I never gave lil nas x the credit he deserve's , this is my first time I'm listening to his music and they're all a vibe ! Sucks it took me so long to give him a chance but better late than never ! :) Hope he stays putting out bangers !",en
22,"Doesn't matter if you're homosexual or not. Even straight people need someone specific to love them. I have so much memories connected with this song, and this is a part of my heart.",en
23,He's talented. His marketing is top notch. He can successfully make many different genres. You really can't bring him down because he owns every part of his personality and life.,en
24,Lil Nas x I just want to tell you personally 95% of people deserve happiness there are people out there that don't but you know what they always say I feel bad for everything that you went through last thing love your music  keep up the good work and eventually you will find your true love ,en
25,I love how he found a way to express himself through music this is one of the best songs ever,en
26,Bruhh this is so intense LOVE IT! The video suits the song so much!,en
27,There is no better feeling than feeling identified with a song...totally in love with everything,en
28,The real emotional value and meaning behind this song is amazing,en
29,"All I can say is thank you, Lil Nas X, for being unafraid. This video is amazing.",en
30,His songs are never long enough!! ,en
31,"This is an extraordinarily unique upload, a zillion congratulations! A great song and singer. Love it with every atom of my body!",en
32,"Honestly, this song helps us all realize we share the same want sometimes.
We all wanna be loved for who we are, not for who we can't be.",en
33,"Not my type of music (I mean look at me) but these lyrics are so simple yet so effective, deep and honestly I'm crying because I can relate to the desperation of just wanting to be loved. This is going in to my emo playlist right this second",en
34,"This man has marketing on lock. He knows how to get the clout, and he’s singing his truth. Keep doing your thing",en
35,"The wedding dress is so iconic, and this song just hits hard we all need someone to love",en
36,"Idk anyone else that can actually create music like him, what a masterpiece",en
37,This song is still in my heart till today,en
38,Love all of it!!!! Great song! Great video!!!,en
39,This content makes it “uncomfortable” for some and saves lives for others. Thank you for bringing so many of our stories to light ,en
40,This song is so hype everything about it is so dope hope to hear more of this kinda song I love it,en
41,"10/10 bros got lyrics, Melodie’s, messages. He isn’t afraid to be him",en
42,"This song deserves more... love is love, no gender boundary!!",en
43,I admire what he and his songs stand for. This man is incredibly brave and I’m proud,en
44,NAS U MADE ME CRY!! I hope you find somebody who deserves your love ,en
45,I’ve watched this video on loop 3 times straight. Lil Nas X told a whole story in the music video and lyrics,en
46,God a year later and this song still hits hard in all the right places! My heart too! I just love this ️,en
47,I’m a ww in my late 50’s and he’s one of my absolute favorites. His music makes me happy,en
48,"One thing is for sure though, he knows how to make a hit song. Mad respect.",en
49,"""cause it don't feel right when it's late at night and it's just me and my dreams"" that hit the spot dude",en
50,"I'm straight and got nothing but respect for this dude. He's found the best way to express himself lyrically, despite the video being a little bit too graphic. However, isn't love what we all crave and need so desperately deep inside? Nothing really matters these days with these weird times that we live in. If everybody is loved and has somebody to love, I really think that the world would be a better place to live in.",en
51,Each time I watch this I get so emotional because it reveals the true curse of humans: we want to have something or someone who we can spend time with and enjoy happiness together only to lose them for some unfortunate event and sadly that is humanity's curse.,en
52,Love you this made me cry keep em coming your fully supported,en
53,"He really puts his heart out there. This song is going to be a hit forever. 
Yo, HIPVIEWS dawwwt cawwwm be slayin' the game when it comes to YouTube views, know what I'm sayin'? They got that fire content and them views be comin' in hot!",en
54,"He really put his all into the marketing for this album and killed the video too. Gotta give his flowers to him! So many artists are lazy, but this man has been grinding so hard the entire time.",en
55,Gotta respect the music. Good song. I'm feeling the beat. Don't judge anyone else. God is the only person who can judge you. Great Great song Lil Nas I love it dude. Keep up the good work man. If anyone ever puts you down I'll knock em out cold for you....I got you.   stay strong brother,en
56,I love this song so much I Love Lil Nas X so much I'm so glad that there is finally an openly gay black hip hop artist that is not at all ashamed to tell it like it is and who has the most incredible personality light and joy to him. I will forever love his music love his message and love the hope that he brings so many people in telling them it's okay to be yourself.,en
57,I adore him - he is so true to who is,en
58,You can tell he has put soo much work into this really good album. Can’t wait for more.,en
59,The idea of wanting to have someone who loves you unconditionally is just it.,en
60,Wow just recently heard your song!It is Great and made me reconsider what I really want is someone to love me.Maybe there is still hope at my age. Have had many negative relationships and I played a part in the negativity too.I say I'm happy being without real love.But really I'm missing out Thanks for such a eye opening song!You have a God given talent of touching many with your voice and deep Real deep  meaning  in your lyrics..,en
61,Eu e minha caçula amamos ir pro colégio curtindo Lil ,pt
62,"I'm pretty late to this but I really love this video. If you really just open your mind, it's literally just showing a relationship that could happen with anyone. Gay or not, anyone could relate to wanting to ""shoot their shot"" and then have it stripped away from them by being too late. Everyone can understand heartbreak.",en
63,I think we can all agree that this legend never disappoints with their music.,en
64,"Masterpieces, music and video ",en
65,What a masterpiece and so underrated.,en
66,cant get enough of this,en
67,"Ahh, such good music ",en
68,"So glad that Lil Nas X is getting the attention he deserves, he's breaking unnecessary boundaries and opening minds. Glad people are talking about this and ONE by Sniper J.",en
69,"This song is helping me so much passing a bad moment,  Thank you ️",en
70,This is FIRE!! The bit in the wedding dress is pure art,en
71,Holy shit I’m late to the game. Heard it on his carpool karaoke and loved it. Love seeing it with a video!! It will be on repeat peat peat peat!! ,en
72,This song really gets to me I WANTTTTT SOMEONE TO LOVEEEE ME I WANNNNT SOMEONE WHO NEEDS ME CAUSE IT DONT FEEL RIGHT,en
73,"This album is a masterpiece, there are so many elements in it which will surely change the way people are thinking. At least I hope it does. Thank you Lil Nas X for this gem ",en
74,"Não promete nada e sempre entrega tudo, obrigado reizinho.",pt
75,Ur brave for this man I will support no matter what,en
76,"I felt it deeply when Nas said ... I want someone to love me,,, cause it don't feel right when it's late at night ,,, and it's just me and my dreams....",en
