,comentario,liguagem
0,fazer o que se ela roubou meu juízo?,pt
1,Te amo! BORA Q BORA Q CORAÇÃO CIGANO É PEDRADA! ,pt
2,A voz dela ficou perfeita demais nesse clipe quem acha deixa seu coração,pt
3,"A capacidade vocal da Luísa, é gigante!!! Ficou perfeito as vozes deles juntas",pt
4,"A voz dela pra música romântica é, perfeita",pt
5,"Essa menina canta demais , não precisa nem apelar pro lado mais erótico, ela tem um talento absurdo, uma das vozes feminina mais bonita do país!",pt
6,"Eu nem era fã da Luíza, mas essa performance me conquistou!!! Tô presa nessa música ",pt
7,tá chegando a hora!! CORAÇÃO CIGANO 21:30 para vocês. quem aí também não aguentava mais esperar!?,pt
8,Essa música n vai está na trilha sonora da nova novela da Globo não né ,pt
9,A voz da Luísa ficou perfeita nessa música. E ela ficou sensual sem ser vulgar... amo ver ela na essência!!!,pt
10,"Os vocais da Luísa e do Luan, me deram arrepios",pt
11,Não me canso de enaltecer a performance de milhões desses dois  mta química. E essas vozes combinaram mto com a música e vice versa ,pt
12,"Cara... vou te falar... talvez alguém pode concordar.  Mas essa foi a melhor performance da Luísa Sonza em toda a carreira de cantora dela. Ela soube pela primeira vez na carreira, usar sua beleza verdadeira,,, não usou roupa vulgar e é claro, sua voz ficou encantadora nessa música. Ficou fantástica.   Parabéns... agora sim, eu vi uma cantora.",pt
13,"Impressionada com a voz da Luísa  
Luan nunca decepciona ️",pt
14,"Estou apaixonada pela Luiza, estou apaixonada pelo Luan, estou apaixonada pela música... Quero eles cantando juntos para sempre!!!",pt
15,"Esse ritmo de bolero, latino, caliente... essa letra é muito boa ...que cancão envolvente Deu certo na novela Muito showE eu nem curtia a Luisa sonza. PARABÉNS!!!",pt
16,"É que eu queria tanto que você ficasse
Que ao invés de me soltar, você me abraçasse
Dá só mais um pouquinho desse amor cigano
Que segue me iludindo, e eu acreditando",pt
17,A dupla ficou perfeita! E a música com este estilo latino encaixou perfeitamente nas vozes do Luan e da Luísa! Que demais!,pt
18,Os vocais da Luísa simplesmente incríveis ,pt
19,"É uma sensação tão gostosa que essa música passa... Já ouço há um tempo, mas só agora resolvi comentar.

Luisa fica tão diferente nesse estilo, gosto tanto. Tão linda, sexy sem ser vulgar, romântica...  Maravilhosa! E que voz é essa, gente? Incrível! As vozes se encaixaram perfeitamente! 

E meu Luan como sempre perfeito em todos os sentidos... eu sou apaixonada nesse homem.",pt
20,"Música linda e muito gostosa de ouvir , todo dia ouço no YouTube e no Spotify , simplesmente viciante! , eu e minha Mãe adoramos! ,Luan sempre nos surpreendendo com seu talento que é cantar.",pt
21,"Que música, meu amigos!!!!! Não tem como escutar uma vez só. DE ARREPIAR ",pt
22,Que canção viciante  desde que descobri já ouvi várias vezes ,pt
23,"Cara essa música me toca de uma tal forma ,canto ela quase todo dia amoooo",pt
24,"Me arrepiei, essa música é linda e com Luísa, ficou maravilhosa",pt
25,Esse cara tem cada música cada vez está melhor. Tanto na música como na beleza,pt
26,Que perfeição..... não me canso de ouvir duas vozes maravilhosas,pt
27,"Música bonita, caliente e a combinação das vozes de Luan e Luiza, transformaram esse dueto num sucesso, tanto no Brasil quanto em Portugal.",pt
28,"Amo as músicas do Luan, são sempre, emocionantes. E os/as convidados/as perfeitos",pt
29,"Que música, meus amigos, que música!! Amooooo ",pt
30,"A química desses dois é surreal! Tantos nas vozes, quanto em presença de palco.",pt
31,Quem veio por causa da novela Terra e Paixão? Tema de Aline e Caio ,pt
32,"""CORAÇÃO CIGANO"" Ultrapassou 80 milhões de streams no Spotify. Continuem ouvindo.",pt
33,"Sou musico desde os meus 9 anos, toquei em orquestras , bandas, a solo , Amo musica, esta musica do Luan com a Luiza faz me sentir Vivo , Deus vos abençoe sempre, que privilegio estar vivo...",pt
34,"Eu Amo esse cantor lindo e talentoso,de quem estou falando? Luan Santana.ganhou meu coração ️",pt
35,Ficou simplesmente extraordinário. A batida perfeita e a companhia mais perfeita não poderia ter para essa música. Tudo se encaixou perfeitamente,pt
36,Nao basta a musica ser FODA! Ainda é tema de Cauã Reymomd na novela..aguentaa coração,pt
37,"Música é conexão ️ e esses dois tiveram isso e muito mais, coração cigano️️️",pt
38,Música perfeita de duas pessoas que disputam mais ao mesmo tempo se respeitam e se amam...,pt
39,"Luan e Luiza. Que perfeição,que química,sou fã! Música e vozes lindas....",pt
40,"Luísa melhora tudo que toca. É incrível como ela passeia entre os ritmos de uma maneira natural, sem forçar. Parabéns ao Luan por essa escolha. 
Estão lindos ",pt
41,"Que música maravilhosa e que afinação da Luísa, encantadora, parabéns Luan por não soltar a mão dela como prometido ",pt
42,"Tão linda cantando essas músicas. Melhor do que músicas vulgarisadas, combina muito mais com ela.",pt
43,Música belíssima   casal lindo  estou amando essa música ️ Luan Santana é incrível e Luiza Sonza show  a música maís linda de todas. Parabéns!,pt
44,"QUE SINTONIA É ESSA GALERAAA? Nossa! eu ainda n tinha visto o clipe, to apx!",pt
45,"As vozes combinaram muito, espero que venham mais músicas dos dois juntos",pt
46,"A luisa nunca erra na voz !
Ela merece o mundo ",pt
