,comentario,liguagem
0,5 anos e ainda escuto com a mesma paixão da primeira vez 🇧🇷,pt
1,Que musica maravilhosa,pt
2,"O Ritmo Latino é incrível de escutar, parece que trás um sentimento de paz e empolgação ao mesmo tempo ",pt
3,"Nossa amava essa música e amo ainda, música perfeita",pt
4,Demi Lovato arrasa em todos os ritmos músicais é divaaa! 🇧🇷️,pt
5,Não me canso de ouvir não me canso de dançar,pt
6,"Essa música é Maravilhosa, Luis e Demi são muito talensos têm vozes perfeitas. O Ritmo a Letra dessa música é coisa de louco, amo essa Música .",pt
7,Demi sempre melhorando as coisas!,pt
8,Eu amo essa música passo o dia inteiro ouvindo ,pt
9,Música muito boa🇧🇷🇧🇷,pt
10,Gosto muito de música latina  muito bom demais ,pt
11,"Essa música me dá energia 
Muito    bom
Obrigada",pt
12,"Essas música é maravilhosa, sempre volto aqui, uma obra prima!!!",pt
13,Wau é muito lindo ouvir os latinos a cantar têm melodia e ritmo que toca coraçõs ,pt
14,Muito bom ,pt
15,Época de ouro! Saudades,pt
16,Demi amo você amo a sua voz️,pt
17,Saudades dessa época ,pt
18,2022 e eu ouvindo essa música ainda 🇧🇷️,pt
19,"Amei essa música fico aqui no Brasil acompanhando pelo Youtube ,sempre a repito e fico ouvindo.Um abraço.",pt
20,Não me canso de escutar amoooooooo,pt
21,"Eu tive presente quando esse hit foi lançado, época que o “Em Alta” do YouTube era bom. Tô perplexo com a velocidade que o tempo tá passando. ",pt
22,Cadê os brasileiros que amam essa música? 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,pt
23,Amo todas as suas músicas ,pt
24,"We don't search for old songs, we search for old memories !",en
25,Amoooo essa música ,pt
26,"Demi sempre foi uma mulher impecável tanto de na sua beleza celestial quanto em sua voz , pena q hoje se perdeu em ambos",pt
27,"o   Nossa amava essa música e amo ainda, música perfeita like",pt
28,"Amo muito Luís Fonsi️
Esse vídeo é muito bom
Amo os dois ️",pt
29,"Nem sabia que era a demi cantando,mdss TÔ PASSADAAAA,e eu AMO essa música ",pt
30,Algum  brasileiro em 2021 ouvindo essa música  linda  d+ ️️,pt
31,Simplesmente maravilhosa !!!,pt
32,"Não sei como não conheci essa música antes, maravilhosa, mais tbm se vem de Luis fonsi pode esperar que é bom",pt
33,Eu gosto dessa música é minha inspiração para aprender espanhol e ainda vou continuar tentando a aprender espanhol com música.,pt
34,demi singing in spanish is everything. ,en
35,Amo ️,pt
36,Sou apaixonada nessa música,pt
37,4years later and it's still as good as ever.,en
38,Por mim 🇵🇹️! Vamos arrebentar a escala desta Música em Todo o Mundo 🇵🇹🇧🇷🇦🇶🇦🇬🇦🇷🇨🇦🇩🇪🇪🇸🇩🇴🇨🇵🇨🇺🇨🇭🇨🇷🇬🇭🇰🇳🇳🇫🇵🇷🇲🇽🇺🇬🇹🇭. Onde estão os FÃS DE SELENA GOMEZ & LUÍS FONSI ?!,pt
39,Os olhos e expressões de Demi Lovato são tão fofos ,pt
40,Quem ainda está aqui apreciando essa beleza de música em 2022??,pt
41,Adoro ️,pt
42,"One of the best Latin songs ever️️

Big fan of demi Lovato from Nigeria 🇳🇬",en
43,"Hey Fonsi
Oh no (Qué pasa Demi)
Hmm
Hey yeah",en
44,amei demais,pt
45,"5 years and I put this song on repeat here the lyrics... 
Hey Fonsi
Oh no (qué pasa Demi)
Hmm",en
46,Love this song ️,en
47,This just proves that a great song overcomes the barrier of language. It just needs to be good to hear and you don't even need to understand the lyrics.,en
48,Um amor por essa música 🫶️,pt
49,"Wow, over 2 Billion views! This is still a masterpiece and will always be.    ",en
50,"Eu amo muito e fui servido. Às vezes você não consegue o que quer, mas acho que é isso que acontece neste mundo. É difícil para mim me levantar direito, mas tenho certeza que voltarei muito mais forte. o mais importante é que ainda não perdi a cabeça. Deus esteja comigo e com todos vocês.",pt
51,Maravilha!!!!!,pt
52,Saudades desses dois juntos 🇧🇷,pt
53,5years later still     can't get enough of this song.,en
54,Amo por demais ,pt
55,Essa é demais,pt
56,Amo essa música!,pt
57,Linda música,pt
58,Eu sou o único brasileiro aqui escutando essa música muito boa,pt
59,"I don't know Spanish but I love Spanish songs from bottom of my heart.
Español idioma es  ",en
60,The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Learning To Love Myself” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you ,en
61,Perfect ,en
62,I don't speak Spanish but  I love Spanish songs so much 🇸🇷,en
63,There's nothing to say about this song because it has meaning of its own ️,en
64,Parabéns eu amo essa cumbia eu amo suas cumbis dos dois eu amo as cumbias eu so fã dos dois parabéns continuem assim sempre fazendo sucesso pro povo todo,pt
65,"This is March 2023 and this mood lifting, melodious, memorable, magnificent & marvellous music video continues to be exceedingly popular even today.",en
66,"I don't know Spanish but this song is created different emotions ️
Love from India assam🇮🇳",en
67,How beautiful demi lovato  love her and ultimate music and beats....love this song ...love from india,en
68,Que Buena Rola ! What a good song!🇮🇹🇺🇲,en
69,I remember when this was released I was 13 and addicted to racing games . I remember taking my dad's phone and drifting in assoluto racing with this song in background so simple so relaxing so sweet time........I rly miss those days,en
70,Oi Luis Fonsi musica ótima muito obrigado,pt
71,I want more duo’s like this ! ,en
72,Disclaimer: spanish songs are addictive .,en
73,Love this song,en
74,This guy tells that to enjoy music there is no language barrier salute luis fonsi ,en
75,2023 Y SIGUE SIENDO TREMENDO TEMON ,en
76,"I have heard this song from 2019 until now, it has become one of my favorite songs, greetings from Indonesia️",en
77,BRASIL TAMBÉM ESTÁ AQUI 🇧🇷,en
78,"2023
100%good lyrics
100%pure talent
100%happy",en
79,"O Ritmo Latino é incrível de escutar, parece que trás um sentimento de paz e empolgação ao mesmo tempo ",pt
80,top demais,pt
81,"To be honest, this song never gets old even how many times I watched to it.",en
82,Louis is my favorite Spanish singer love you fonsi and the voice of the Demi singer is amazing her voice is very sweet ,en
83,"I really love this song️
From Italy, with love ️🇮🇹",en
84,4 years later and I still can't believe how good this song is.,en
85,Another masterpiece,en
86,A Demi Lovato é maravilhosa eu sou apaixonada por ela muito gata.,pt
87,Demi’s Spanish is amazing! And Fonsi is just a cutie. ️️,en
88,Linda música,pt
89,From 🇰🇪🇰🇪🇰🇪i don't understand but i love this song  It's a vibe i keep on playing it .....the impact in it man i love this song never gets old,en
90,This is so amazing love this song so much,en
91,"Hey Fonsi
Oh no (Qué pasa Demi)
Hmm
Hey yeah",en
92,5years ago remains a hit,en
93,I Don't understand the lyrics but i love this song,en
94,"Listening this song after 4 year. 
This feeling pull me back in my past. ",en
95,Demi Lovato sounds so good . They just nail every song they are in.,en
96,I Love this songs ,en
97,Very Good song,en
98,"I don't understand Spanish but I mostly like Spanish songs 
Love ",en
99,I like how Demi speaks Spanish tbh she should make more Spanish songs,en
100,2023 escutando essa música️️🇲🇿🇲🇿🇲🇿,pt
101,Woaw  love it,en
102,I don't really understand Spanish but I'm in love with it,en
103,Loved this,en
104,4 Year passed and this song is still on my playlist.,en
105,This song is a special feeling  that makes us think positive ,en
106,I remember this literally being just a day old and having like 17 million views. Time flies so fast jeez.,en
107,2017 was prime year for Luis Fonsi,en
