,comentario,liguagem
0,The first viewer must feel like the king of the world...,en
1,"Lyrics : 


Ay!",en
2,Prolly even they didn’t imagine that this song would be a global chartbuster XD,en
3,"It's surprising how popular this song was in 2017—it seemed to be everywhere, playing on the radio, TV, and more. While the artist may not enjoy the same level of fame as during her golden age, she still possesses immense talent and continues to impress on a personal level.",en
4,Não sei como mas ainda escuto essa Maravilha.,pt
5,Música muito linda ,pt
6,"2017: People came to listen song. 
2023: People come to check views.",en
7,"Saudações do brasil, as músicas latinas são outro nível ",pt
8,Essa música nunca saiu da moda.É uma relíquia ,pt
9,Ouvindo do Brasil 🇧🇷,pt
10,"Musica mais tocada do youtube, e cá estamos nós apreciando esse momento",pt
11,"2017: People Come to hear this song
2019: People Come to see the views",en
12,"Isso aqui era relíquia, tocava isso daqui em 2017, não tinha quem não enlouquecia",pt
13,Top,en
14,"2018 : T-series VS pewdiepie
2019 : Avengers VS thanos
2020 : Despacito VS Baby shark
2021 : Despacito VS World population",en
15,"Even if you don't understand spanish,people all over the world can enjoy the powerful voice and cool music.",en
16,Essa música é perfeição,pt
17,"Wow, This song is the population of the Earth during 2009",en
18,melhor músicas de todos os tempos,pt
19,No matter how many times i hear this song... It never fails to make me dance~ now that's what I call a song that speaks to the soul~,en
20,Gosto muito dessas música Latino amo as danças parabéns  🇧🇷,pt
21,"8,1 billion views and they didnt use mr views omg its crazy",en
22,"TEACHER: What is the world population 
 
STUDENT: around one despacito",en
23,THIS A GLOBAL HIT,en
24,"2017: everyone came here to listen the song
2022: everyone came here to check the views and reading comments",en
25,This song won't be old anytime ,en
26,Amo musicas espanholas e antigas não se faz mais músicas como às antigas no Brasil não tem mais uma música atual que preste. Na verdade os melhores cantores do mundo ja estão idosos ou ja faleceram....,pt
27,"One of my favorites song ever 
️Love from the Philippines",en
28,this song will out number human popularity and out live human existence. T H I S   S O N G   W I L L   B E   A L L   T H A T   I S   L E F T.,en
29,Essa música é patrimônio mundial!,pt
30,It's beautiful song,en
31,Nice song ,en
32,Who’s here before 8.5B views ?,en
33,After 6 years of this song's release this masterpiece is still legendary,en
34,"Minha princesa escuta várias vezes essa música, nunca enjoamos de ouvi-la ",pt
35,Everybody gangsta' until this has more views than the population of the earth.,en
36,I am not from latino but I love this song and I like Spanish peoples ,en
37,Who just came to check the views?,en
38,Essa música é patrimônio cultural🇧🇷,pt
39,"Great song 
I appreciate it",en
40,Vídeo mais vídeo do YouTube ,pt
41,this song was so iconic I hope it never dies,en
42,"This Song Never Gets Old , ",en
43,Nao tem como falar que essa musica e ruim cara essa musica e perfeita lembro perfeitamente quanto ouvia quando criança.,pt
44,I love this song,en
45,One of the best thing about dude is that he never takes credit for himself when he achieves something. He always request us. The audience and his team and he is always polite in all of his videos. We congratulate ourselves on this achievement ,en
46,A música com mais de 8 bi...ate agora foi a música com mais visualizações que ja vi.,pt
47,"I’m still listening to this after even 6 years.
This song will last forever.
I LOVE IT",en
48,"Actually this song is masterpiece ️
I can't stop listening this song.",en
49,"Nobody:

Luis Fonsi: “If I had a dollar for ever view I got on this video man I would be rich”",en
50,Let's we all just appreciate the content this man and his crew makes it's just a masterpiece imagine what's he's gonna doing the future ,en
51,When life was easy and peaceful  but it's ok it will be better sooner or later ,en
52,Sempre gostei da música desde só 5,pt
53,"World's population : 7b+
Despacito's views : 6.4 b ?? Seriously",en
54,When I listen this song I am in another world. ️,en
55,I don’t understand Spanish but this song it amazing ,en
56,6 years ago and this song is still a banger,en
57,"Chill the whole world hasn't viewed the song yet, idiots like me watched on repeat  And i'm here still !",en
58,"Como cansar de ouvir essa música, não tem como amo aqui em 2023 ",pt
59,2023 and I'll have to say that everyone in this world  has watched the magical music video  8.1 billion views and still counting ,en
60,I was in 6th when i heard this masterpiece for first time now 12th completed but still this song gives same goosebumps ,en
61,Cadê os brasileiros que curti essa música?,pt
62,"Who is better ?
Like: Luis Fonsi

Comment: Ed Sheeran",en
63,2023... E ainda ouço essa música incrível!!!!!,pt
64,the views would soon be equal to the whole damn population of the planet wowwowow,en
65,This song is so popular that even since 2017 it has not become outdated,en
66,I listen this song today first time and i belive this song never getting old. ,en
67,Eu gosto muito de essa música,pt
68,I love this song️️,en
69,Who's here before six billion ,en
70,"Oloko, e pensar que eu fui um dos 200 milhões primeiros a assistir essa música em 2017",pt
71,Message to a future generation... Never let this masterpiece die ️,en
72,Best song of all time,en
73,"2018: PewDiePie VS. T-Series
2020: Despacito VS. Baby Shark",en
74,Essa musica me faz lembrar dos bons e velhos tempos,pt
75,I love this music  love from IND,en
76,may be we will hit 3 million comments this year,en
77,Wow It's been 6 years since this song was uploaded Time goes by so fast I remember it as if it was made yesterday,en
78,Love this!,en
79,CADE OS BRASILEIROS QUE AMAM ESSA MUSICA?,en
80,Just checking the on people who really like the song. Versus the people just coming to see how many views this video has.,en
81,Love from india didn't understand the song but i can feel the song.,en
82,o mundo inteiro escutou essa musica e foi mesmo o mundo inteiro,pt
83,Nyc song so excellent ,en
84,When you want to know the earths population just look for this song.,en
85,ME ENCANTA!!!,pt
86,Un himno q nunca será olvidado,pt
87,6 years later and all i have to say is NOSTALGIA 🫶,en
88,"Song: 99% Spanish 1% English
Viewers 99% English 1%Spanish (Literally)",en
89,I don't no understand this languages. But this song   & voice very Magnificent ,en
90,Masterpiece!! & For Always ,en
91,"God, this is music full of nostalgia, I remember how my mother turned it on every day...",en
92,Its 2030 and this song is still feels like new ,en
93,"Me: start watching Despacito.
Ads: it's show time.",en
94,love this song,en
95,After 6 years.  Still its listening ,en
96,"This is not just song.. it's medical for me in my worst time.. when I feel irritating, angry mood, and after listen this song enjoying like nothing happens with me",en
97,"2017: Listen only to the song

2020: Check the Views",en
98,No matter what style of music yall listen! This is fire,en
99,Get your “Before 9 Billion” ticket here.,en
100,Mi gusta muchísimo ️🇧🇷,pt
101,Damn it's been 6 years.... Old school days favourite song.... ..... Missing those days....,en
102,"Have you ever looked at the comments and thought...
""Damn, I wish I thought of that first""",en
103,"the great vibes,the sweetness of the song and thats why its  more than 8 bilions views",en
104,"6 years later, this masterpiece is still a banger.",en
105,This masterpiece is a one in billion. The lyrics speak itmuch love from Cameroon 🇨🇲,en
106,"World population is still higher than despacito views. 
Coronavirus: hold my beer",en
107,Love this song from India,en
108,musica demais,pt
109,The first person who commented on this video must feel like the king of the world.,en
110,still inlove in this music ,en
111,I CAN 'T  understand single word of this song but i still enjoys this song ,en
112,Even after 6 years this song stll hits better than most songs today,en
113,"Spanish song...
Japanese Captions: exist
English people: ",en
114,"Estive aq em 2017
Estive aq em 2018 
Estive aq em 2019 
Estive aq em 2020",pt
115,"🇧🇷🇧🇷 somos felizes  escutando essa canção, meu amor te amo , saudades de você ",pt
116,"very good song, i love this song",en
117,"Teacher: What is population of earth?
Me: Around one despacito..xd",en
118,"Zuleyka Rivera, is just perfection...Wow!",en
119,6 years later and still legendary,en
120,Legendary music,en
121,"2018 : Pewdiepie vs T-Series
2021 : Earth population vs Despacito Views",en
122,"I still remember, 2017, everyone was so hyped with this song, I can hear it everywhere, grocery store, internet cafe, mall, everywhere",en
123,Best Latino music of all time,en
124,"The fact that This has more views than the world population, shows how iconic and good this song is",en
125,This song is perfection,en
126,"When ,I showed her this song she told me ,,I LUV U TOO,,,THEN I was like eee DESPACITOOO",en
127,Time was so much easier those days,en
128,Outstanding performance,en
129,"acho que nunca chorei tanto na vida, lembranças muitas lembranças",pt
130,Imagine how much money they Would have made from one add,en
131,This song is ️,en
132,2023 and still listening to this masterpiece,en
133,"Let's see how many people come here everday before 7,1B views.",en
134,I love it this song so much ,en
135,I’m not even Latino and I know this song word for word,en
136,"This song still hits hard, even when i listen in 2023.",en
137,"I like this song  
I have heard it many times",en
138,Very beautiful music,en
139,Who else is here in 2020 just to check the views?,en
140,Man time goes by so fast i never thought this would be nostolgic to me at the time it was everywhere,en
141,Love this song from India,en
142,Musica mais tocada do YouTube e cá estamos nós apreciando esse momento,pt
143,This song is immortal ,en
144,We don't search for old songs. We search for old memories.,en
145,This is a duo always loving it  still now we don’t have another hits better Dan this ,en
146,It's 2024 and still enjoying this masterpiece!!!,en
147,This vid has more views than people that have access to internet ,en
148,Alguém em 2023 escutando essa relíquia?,pt
149,This video was posted 3 years ago yet basically a comment comes in every minute.,en
150,This comment section brings the world together in a safe way,en
151,"Still feels new and best . 
It's a masterpiece ",en
152,[SE VOCÊ ACHOU MEU COMENTÁRIO SE CONSIDERE SORTUDO PORQUE A MILHÕES DE COMENTÁRIOS AQUI],en
153,"Que nostalgia mano quem ama essa maravilha comenta ""eu amo""",pt
154,"All of us here for checking the number of views, giving it more views, and my head already hurts because I spent 49 minutes on this video and I think Im failing math kthx.",en
155,My favourite songs ️,en
156,"Hino atemporal. Vim só registrar que em 2023 ainda escutamos. 
🇧🇷",pt
157,Imagine being able to say “I made a video that has the amount of views as the human population”,en
158,6 years and 8.1 billion views. only 6 years since its release on youtube and being the most liked video. This song brings me immense nostalgia.,en
159,I swear everybody wanna get a million of likes.,en
160,"I think there is no country that has not listened to this song, this song is very popular here too, I listen to this song every day, I love listening to it, I don't know if you like it, but I love it.",en
161,Some things don't have any alternative. Despacito is amongst top of them,en
162,"Apart from not understanding a single word, song is a reeeeeeeal vibe",en
