,comentario,liguagem
0,I love this song its incredible,en
1,I love this song,en
2,i love this song its incredible,en
3,Love all these songs,en
4,I just clicked it and I love it,en
5,Adore both you and your Shares  Cheers,en
6,It’s a beautiful song,en
7,Love the sound of the song ,en
8,I loooooooooooove your song,en
9,Cool this song i LOVE it ,en
10,I love the songs speak me or better,en
11,I looooooooooove this song,en
12,More of a  club than a classic  song,en
13,cool this song i love it,en
14,it's nice. And  How do you overcome from  copyright claim ?,en
15,I love the songs,en
16,COOL️,en
17,Why the song name shape  but i still love the song ,en
18,Cool,en
19,I love tiz  Music de shape of  you 3:33,en
20,Best nice to see and hear all time and dace to ,en
21,Just interesting m8,en
22,my  ingish love,en
23,Well so that's because the driver makes way you will play,en
24,Cool ,en
25,was is in class you,en
26,COOL,en
27,My name is Shawn,en
28,AND HOW YOUR  FAMILY IS  DOINÇ OKAY  LEAVE AND ÇET IN A TAXI THEN KISS  IN THE BACKSEAT TELL,en
29,I love tiz  Music te De shape of you,en
30,I hate this song,en
31,Cool,en
