,comentario,liguagem
0,Let's go!! Surreal to be a part of this one ,en
1,James Carter! LEGEND!! Well done guys!!! ,en
2,This song speaks to my soul in all universes. Such an underrated song. The MV is absolutely gorgeous and artistic. I've had this on repeat for  weeks. Just sit in the dark at night and listen to this.,en
3,Essa música é viciante demais! ,pt
4,"I became a big fan of Meduza since ""Piece of your heart"" and ""Lose control"", those are still my favorites. This is another great song. 

Never stop producing, this is real talent",en
5,"Meduza: they don’t release music often, but when they do, the quality is usually golden.",en
6,música muito boa 🇧🇷,pt
7,"todo dia tenho que ouvir essa música, simplismente viciante..",pt
8,"I LOVE this song and video! It’s like a remedy for me, I can’t stop listening to it. Such a beautiful song ",en
9,muito bom 🇧🇷,pt
10,Adoro MEDUZA! ️,pt
11,Meduza never disappoints. And also Elley's voice is angelic. They both deserve much more,en
12,Essa música é muito top ️🇧🇷️🇧🇷️🇧🇷,pt
13,"Really good song, love the female singer's vocal and the lyrics so much. Mysterious background and abandoned buildings fit with the music theme so much. Throughout your camera shootings, the image of Vietnam is perplexing and enigmatic within each frames; as it has been an unforgettable memories engraved inside those teenager's mind. Free to do whatever desire with no restriction, enjoy the fullest of a life regardless of contradicting society prejudice. Thanks for portraying a piece of our nation in ur music products, surreal vibe as always been! ",en
14,"This song is amazing, first I’ve heard of meduza!",en
15,"Meduza makes nostalgic melodies like no other, house music is life! Amazing vibes for days!",en
16,Pra mim depois de DAVID GUETTA as produções de MEDUZA são as melhores nãoo me canso de ouvir  simplesmente uma pedrada atrás da outra HINOOOOOOS ️,pt
17,"I'm truly impressed by this track. I mean, the video is fire and the song is just a gem. I heard it on the radio and had to look it up. Now i have it on repeat.",en
18,Isso que é música para meus ouvidos!!,pt
19,"This song was playing on the radio yesterday when we were on our way to put our dog down due to his cancer and I still can't get it out of my head. Farewell Maks, you were the goodest boi ever and I miss you so terribly. The world has lost all of its colors now that you are no longer with us.",en
20,Que música de uma vibe incrível ,pt
21,thank you for letting me be a part of this masterpiece ,en
22,Que som foooda!!! ,pt
23,Adoro essa música  ,pt
24,"Such a great solid, deep sound and those minor chords.... I can't stop playing it!",en
25,My only issue with this song is its not long enough! Absolute banger.,en
26,I LOVE YOU MEDUZA 🇧🇷🇧🇷,en
27,It's incredible how people can create songs that just don't leave my head.,en
28,Que vibe boa!,en
29,"Just heard this for first time, awesome!!! What a fun exciting youthful trip with excellent filmography, this song rocks, keep it up, only wish it were much longer, please release an extended version!",en
30,"Adorei essa música desde a primeira que vez que ouvi na rádio Mix, realmente é altamente viciante está na minha playlist como favorita🇧🇷",pt
31,"You see instantly if it's a Meduza song... Its because of the landscapes and scenery with architecture. It fits so good with the songs. 
And thats coming from someone who is not a big nature fan ",en
32,"The continuous oscillation between C# and C has at minimum, an excellent hook effect.  I say at minimum because even better is that for some of us it induces a hypnotic, trance like effect which propels the song into a soul-piercing, uplifting experience.  Hats off to the writers of this song.  And furthermore, the songwriter had the guts to hold on to that C#, C back and forth throughout the entire song which gives the listener constant euphoria throughout; while other, lesser songwriters establish the hook, then make us suffer through a bunch of ""filler"" to make us starve for the hook so as to make the build up pay off.  But again, THIS songwriter boldly says, nah, I'm going to give you the beautiful, melodic hook through the entire experience.  Thanks so much for having the courage to do that and I can only pray that other songwriters will take note and do likewise.  God bless you Meduza and James Carter for improving my quality of life.  What better could you do for someone.",en
33,Tá aí uma das músicas que eu mais gosto Meduzaaaaaaa 🥹🇧🇷🇧🇷🇧🇷 vem para o Brasil pfv ,pt
34,Great song!!! One of my favorites!! Wish it was longer!!,en
35,"Meduza please, Please! never change your style! I love your style, you can tell a song was made by Meduza from the first note. NEVER CHANGE! I love this!",en
36,"Love the video, great tunes.  Thanks for sharing ",en
37,"I always loved meduza , regardless of the fact that up to that point every song sounded almost the same, but this one is nothing like the previous releases, total banger!",en
38,Thank you Meduza for all your music that you made. You are one of my most favourite music interpretes.,en
39,Já viciei! Meduza é brabo demaais,pt
40,I love Meduza!  All of their songs is fire!,en
41,On repeat ,en
42,essa está viciante já não paro mais de ouvir,pt
43,They never disappoint.,en
44,Moody and beautiful. Love the unique sound Meduza are gifted with. Always nice to hear something new but with the trademark vibe.,en
45,Meduza is incredible! Loove them!,en
46,CARA MUSICA BOA A GNT OUVE POR 10HR´S FACIL SEM ENJOAR E ESSA É UMA DELAS 🇧🇷🇧🇷🇧🇷🇧🇷,pt
47,Really amazing song! Thanx Meduza️,en
48,Mais uma para aquecer nossos corações!,pt
49,Vibe: your out drinking with the boys/girls and you met someone who on first sight gives you goosebumps.. what could this feeling be? Its got you in a trance for the both of you alone under the flashing lights standing there as everyone dances around you and low and behold begins a whole new reality of interconnected love adventure,en
50,"ouço direto no Spotify e quando apareceu o anúncio aqui enquanto navegava pelo youtube fiquei curioso para ver o clipe. é muito bonito pois a música tem uma vibe surreal, parabéns pelo trabalho.
abbracci dal Brasile🇮🇹🇧🇷",pt
51,this song brings back your bad memories and turn them into a cool numbing vibe inside your head which makes you happy after all,en
52,I found this song on Apple Music last night and can’t stop listening ,en
53,"Really proud because of being Vietnamese. U guys make the beauty of our landscape to the next level, very mysterious. I'm really appreciate it, ur music is good btw(Sorry if my English is not good)",en
54,Tô viciado nessa música 🇧🇷,pt
55,Can't get enough of this track!,en
56,"É das músicas que nao me sai da cabeça , é lindaaaaa ! 🇵🇹",pt
57,"I mean, the melody, the beat, the shooting… just perfect ",en
58,Listening to it gives me shivers down my spine and a melancholic mood....,en
59,"Medusa you’re brilliant, love this track",en
60,Não tem um hit ruim,pt
61,This is so good that I literally had to repeat the song for at least 10 times to soak it in,en
62,I just discovered the song and I already love it️️,en
63,"This melodic is so lit, need more this ",en
64,We need MORE music like this!!!! ,en
65,"Top demais até tradução colocou nos valorizando 🇧🇷, mais um hit, agora só no aguardo das remixes desse som",pt
66,"I just discovered Meduza's music, aside from knowing Lose Control, and my goodness I'm speechless, one of my new favorite artists by far.",en
67,"I love it, it stays in the head right away!",en
68,"Na academia  pegando peso e ouvindo esse som, combinação perfeita! Bom treino a todos....️",pt
69,Meduza vc e o cara Salve Brasil ,pt
70,This song was created for repeat! I have listened it not less than 200 times in one day! 10 hours on repeat and tomorrow I will listen it again again and again ,en
71,I LOVE meduza! Was jamming them earlier at the gym.  The music just takes you to a whole other dimension ,en
72,This video gives early 2000s vibes and I’m all for it,en
73,It's an amazing song and it just makes everything more fun to enjoy ,en
74,"This my friends, is what you call a damn great song!!",en
75,The vibes of the video are incredible! ,en
76,I'm obsessed ️.. this has been on repeat..,en
77,"I love how aesthetic is the mv, this is friend group goals, the song is ",en
78,"I had already heard the group Meduza a long time ago, notably by ""Piece of your Heart"" but for a few days I started to get interested and listen to all their sounds on repeat! What a surprise that a new big title is coming now, discovered before it became a hit! ",en
79,Music from Meduza is everything we need.,en
80,This just go on and on in my head ️️,en
81,Quality music ,en
82,"This shit fits to everything, morning coffee, midday traffic jam and evening chill...",en
83,Give it a few days to get about and this will be another meduza song being played in every club you enter. Masterpiece ️,en
84,This song is just insane. It's a hit over the hits. I just love it. Greetings from Poland🇵🇱. This song is an integral part of my day! ,en
85,Now this is what we call good  music,en
86,I love this song so much it can feel like hip hop,en
87,Love it ,en
88,love the vibe!,en
89,I don't know why there's so much negativity around.. These people deserve more support and the golden light.. Thank you so much for the inspirational music guys. All I'd say for now is just keep it up ,en
90,This AMAZING Song is a Mix of 2012 and 2016 Vibes!,en
91,"This song is truly on repeat, it’s sooo good  Also, where is the place they filmed at? It’s so pretty I want to visit even if it’s abandoned buildings",en
92,So gorgeous..as always!!! Love from Greece!! 🇬🇷 🇬🇷 ,en
93,Love this song !!!,en
94,I LOVE THIS SONG,en
95,I can listen this song again and again till the world ends ♡♡♡♡masterpiece♡♡♡♡,en
96,Another banger. They do not know how to make a bad song. Setting of the MV in Vietnam is also stunning.,en
97,I just can't stop  listening to it  love it x,en
98,Biggest hit of 2022 !!! I can’t stop with repeating this masterpiece.,en
99,"Love this song, love the video",en
100,Sick vocals also gave chills,en
101,"I'm from Hue, Vietnam. 
I'm very happy and happy when you guys filmed the MV in my hometown ️️",en
102,Number 1 on Polish radio airplay ,en
103,J'adore ,pt
104,Love it ,en
105,"Goes straight in your head like the others, insane, keep up guys <3",en
106,is the bell that sells it. masterpiece as always,en
107,"I dont usually listen to this kind of music, but this? Has got me addicted!!! This going in my: TGIF list",en
108,"NIce! Congratulations, it's done so well and it's very exciting.",en
109,More of this please  just needs to be a little longer and it’s 11/10,en
110,"Bad memories is in my head all the time - it’s so surreal - I am really addicted, listen to it all the time  - also the videos are just awesome ",en
111,Tô aqui pra apreciar essa obra prima novamente em 2023 música top demais ️,pt
112,Music from Meduza is everything we need. ,en
113,Love the guitar strumming sooo much!!!,en
114,This is gold ️,en
115,I love this Track ,en
116,Elley Duhé's vocal is just killing me,en
117,Very good song and a damn pretty music video ,en
118,"They put this on my radio now im here listening on repeat, this song is fire",en
119,I love this song!!!,en
120,This is a vibe ,en
121,Gives me goosebumps ,en
122,"[Intro: FAST BOY]

One more drink she said

I think I'm losing my head now

Tonight we'll make bad memories",en
123,This is art!,en
124,"Omg... the location in this MV is an abandonded water park in Vietnam, Hue - Ho Thuy Tien. 
i mean it looks  incredible. As a proudly Vietnamese person & I’m thrilled to say thank for making such an amazing MV.",en
125,iam in  a nother dimension cuz of this master piece,en
126,"Epic, this Song feels melancholic somehow. Nice music!",en
127,They don't release much tracks but when they do it's quality not quantity!! Long live house music!!,en
128,"This House track is So Awesome, Party on! Keep it Up!!!",en
129, One more replay I say this song is stuck in my head now,en
130,THIS IS THE BEST MUSIC VIDEO EVER// big up to the talented director,en
131,it's art ️ 🇲🇦,en
132,This is gonna be a huge hit!,en
133,muito bom,pt
134,I listened to this once and it's already stuck in my head ,en
135,Top top ️🇧🇷,en
136,"This is awesome, I've been following you since piece Of you Heart and will continue to listen to you for inspiration in my music ️",en
137,"Good video, beautiful song. Thank you. ",en
138,I see my poems inside this song ,en
139,"incredible track.......@Meduza, I hear Eddie Vedder from Pearl Jam covering this with Elley Duhe would be fire!",en
140,THIS IS A STRAIGHT HIT. SUMMER ANTHEM.,en
141,Love it!,en
142,Amazing as always ,en
143,Great! I love this song ️🇰🇿,en
144,Brasil inteiro curtindo 🇧🇷🇧🇷🇧🇷🇧🇷,pt
145,their songs seem created by the gods themselves I love them they should release more make many they are the best️️️️,en
146,This has become my jam now.️,en
147,Love this song !!,en
148,This Song is being played almost 24/7 on German Radio Stations,en
149,Wow this song is amazing ,en
150,Meduza-always super,en
151,This song is very addictive.,en
152,Não me canso de ouvir putz. muito foda essa musica,pt
153,Love it ️️,en
154, good beat ,en
155,Como sempre hit atrás de hit,pt
156,"Wow, this is all very beautiful, aesthetically pleasing, mysterious and a bit nostalgic somehow? And absolutely love the end!",en
157,Brilliant song - should be 90 million views.,en
158,"Vocals are very good 
Song is rocking",en
159,"Meduza
 every music  they make is banger ",en
160,música muito boa 🇧🇷,pt
161,Love this!,en
162,I'm very happy and happy when you guys filmed the MV in my hometown <3 wow amazing,en
163,Best release in a long time!,en
164,Mano que musica foda,pt
165,another hit for MEDUZA,en
166,"Another f*cking great track from MEDUZA, i loved this track because i met a special person in my life..and its our song",en
167,Glad I found this      and I'm pretty sure its gonna be featured soon,en
168,"The song is very catching, and the video is magical. So awesome!!!!",en
169,Can’t wait for this to play at clubs,en
170,"Medusa is a good band and my second favourite, this song is a banger",en
171,"Vocals are very good
Song is rocking",en
172,Super good my friends! ,en
173,Omg i love this song,en
174,This song is amazing! My husband passes away around the time it came out. It help me.,en
175,Elley Duhe sounds like an angel in this song ,en
176,Can't STOP listening this song Absolute Fire ,en
177,This song will be viewed as nostalgic and classic in the future. Mark my words .,en
178,Whoop whoop!!!  Love it!!,en
179,This is pure art,en
180,Very simple lyrics but awesome  music with this lyrics are the best ,en
181,"I can't stop listening..just Lovely,  like a puzzle that's completed!",en
182,"A GEO tracker has never looked so good.  

This song plays in my head rent free the majority of the time recently. It’s been nice",en
183,I LOVE THIS SONG!!,en
184,Great !!!! Again and again ,en
185,Any song that is well-produced and has the triple bass is an absolute winner with me!!!,en
186,We shouldn't ignore Elley Duhe's work! She deserves!,en
187,"One more drink she said
I think I'm losing my head now
Tonight we'll make bad memories
One more drink she said",en
188,"Strong Cooperation!!! You never disappoint!!!
Each of Your Work is a Unique, High-Quality Masterpiece!!! Another Incredibly Beautiful Track, Melody, Video, Hot Sounds, Rhythms and Fascinating Vocals. Wonderful atmosphere.",en
189,TOP THREE SONG AT THE MOMENT IN POLAND 🇵🇱,en
190,Another masterpiece <3 :)),en
191,What a track!!! ,en
192,Love it,en
193,This song Is so adictive ,en
194,"Absouletly incredible cinematography  Piece of Art! I could watch a movie in this setting and vibe, so nice ",en
195,I can't stop listening.... Absolutely in love with this song. This song was filmed in Hue city of Vietnam,en
196,"Such a banger! 
Can’t wait to post my remix ",en
197,"My memory is so bad, that I need to keep this song on repeat to not forget about it.",en
198,I am French and I listen to all Meduza songs as soon as they are released. I really like your work and thank you for it!,en
199,"Hey people, I'm 65, and I love this. I've had enough one more drink which lead to enough ' bad memories' but this is quite beautiful and soul destroying at same time. Perfect and beautiful xideo",en
200,THE banger of the moment ,en
201,Viciada ,pt
202,This is so different and today's generic music!!! Love it!,en
203,This song is fire! ,en
204,Heard this music on my dads music radio now im in love with this music,en
205,I’m not usual to love songs at first hearing. This was love at first audio on the radio. Just magnificent,en
206,At first  I didn’t think anything of this song yet I find myself coming back and hearing it in my head,en
207,I THINK IM LOSING MY HEAD NOW WITH THIS SONG,en
208,Always hear this on the radio beautiful song,en
209,Love the 90s/00s dance anthem vibe in the music video .. so nostalgic ,en
210,This Song dont Wanna go out of my head !!! Great work !! Greetings from germany . Waiting for the next one,en
211,Great new song by meduza bad memories it's got a great beat,en
212,Que clipe é esse cara ,pt
213,"Wow!!! I already heard this song about 20 times. so addicting. I think i’m losing my head now, again and again. This is an instant classic!! This coming from a 90’s house music junkie.",en
214,Elley duhe´ s voice is so beutiful i like it so much <3,en
215,"wow. great music plus a top notch landscape in Vietnam, thank you for bringing Vietnam to the world ",en
216,"This is how Ultra music sounded and that's why I bought tickets for two of them. Well, Ultra sounds should sound like this again.",en
217,Legendary for sure,en
218,Heard this in gym today. It crawled into my ear now and wont leave...and I am not complaining.,en
219,"been waiting for this, Finally u guys create another masterpiece. a solid line-up collab deserving to Blow-Up ",en
220,Can't get this song out of my head but I'm not complaining!!,en
221,THE BEST SONG I HAVE HEARD EVER,en
222,Meduza: they never disappoint when they release new music for us fans . Super amazing talented Italian DJS 🇮🇹,en
223,Makes me remember my hometown. Electronic vibes🇲🇿🇲🇿🇲🇿,en
224,Belle… Every time this song plays it brings a tear to my eye just knowing how lucky I am to have someone as amazing as you are… you are my everything babe… you are my world️️‍,en
225,"New favorite song, I've listened to it 20 times already since yesterday lol",en
226,One more drink she said  banging tune,en
227,This song hits my soul and someone is speaking to me through this song! #mytwinsoul from the universe!,en
228,MV is a great masterpiece,en
229,"a good hit in a streak, very nice!!!",en
230,"Actual Lyrics:

[Intro: FAST BOY]

One more drink she said",en
231,So good composition!,en
232,Great song!,en
233,This song hits harder then my dads belt,en
234,I can just tell it's a Meduza simply by the music!,en
235,I Love It l love It I love it.. and love It again and again..️️️,en
236,This song is living in my head,en
237,Q legal esse clima oriental com um baita dragão também. Mto foda 🇧🇷,pt
238,"I love this song so muchI have heard this song on EHR*On Radio*Love it so so muchNow i can't keep listening to it,it's like A LOVE AND LOVESICK!",en
239,Amo  essa músicsa,pt
240,Best song I've heard in the past two years. Meduza is fucking amazing!!!,en
