,comentario,liguagem
0,LOS 3 QUE NUNCA FALLAN! I LOVE IT ,en
1,LOS 3 QUE NUNCA FALLAN! I LOVE IT,en
2,MORADDDD MAQUINAAA ERES UN GRANDEEEE DALEEEE AAA POR MASSS LLEVO ESCUCHÁNDOTE DESDE QUE COMENZASTE Y NUNCA ME HE CANSADO DE TIII VAMOSSSS INSHALLA,en
3,MADRE MIA TEMAZO,en
4,Faaa que tema perro ,pt
5,AHORA SI ME MUERO ESTOS TRES JUNTOS ,en
6,TEMAZO DE CHILL!!!!,en
7,Uffffffffff rompieron ,en
8,Obra maestra,pt
9,Top 1 del álbum ,pt
10,demasiado temaa!,pt
11,Este álbum es brutal,pt
12,Morad MDLR SIEMPRE ,en
13,Bro que temazooo,pt
14,PRIMERO VA MI MADRE Y LUEGO SI ESO YA VA EL DINERO,pt
15,We need more featuring with beny,en
16,PALO OTRA VEZ DE ELADIO Y MORAD,pt
17,Temon ,en
18,Bom flow',en
19,King of music viva Morad viva Marruecos,en
20,the best concion in the world,en
21,Morad,pt
22,ESTE TEMA ES LO MÁS CABRON QUE HE ESCUCHADO EN MI VIDA,pt
23,Beny jr e o melhor não dá,pt
24,Bom flow *,en
25,Bom flow *,en
26,Goood frre,en
27,Muy top,en
28,The Best colabo m.d.l.r,en
29,Ta top',en
30,Top,en
31,Sauce boyz × MDLR,en
32,M.d.l.r throw the world,en
33,Temon,en
34,Temon,en
35,Good Luck better rapper in Espagne and morroco,en
36,Otro tema que no se filtro ,pt
37,"M.D.L.R. AND TRAP AND LOVE,",en
38,TE MA ZOOOOO,en
39,Número 1,pt
40,Morad ft grande toto?,en
41,Bosss's,en
42,Bosss.s *,en
43,MDLR PAL CIELO,en
44,Hey! an English comment!,en
