,comentario,liguagem
0,O MALU NUNCA DECEPCIONA 🇧🇷,pt
1,Música linda e magnífica! Plenitude de som!,pt
2,Brasil . Sou apaixonada  por essa música,pt
3,Toca no meu coração essa música,pt
4,Uma das minhas favoritas ️🇧🇷,pt
5,Maluma é digno de fazer um bom  filme ou série! Daria um ator incrível assim como já é um cantor,pt
6,Brasil . Sou apaixonada  por essa música ,pt
7,"Sou uma brasileira ouvindo essa lenda que é  maluma em pleno 2023! 🇧🇷 Essa música para mim nunca será esqueçida, imortal!!!  Que venha logo 1 bi de visualizações nesse clipe ",pt
8,A batida meu Deus 🇲🇿,pt
9,Amo maluma. Sou fã 🇧🇷,pt
10,"A música tem uma batida linda, apaixonada nela, mesmo a musica sendo triste",pt
11,Maravilhoso.,pt
12,Amei essa música ,pt
13,Una joyita no pasa de moda,pt
14,Yo amo esa música 🇧🇷,pt
15,musica linda igual ao cantor ,pt
16,as músicas dele e muito lindas e muito boa,pt
17,Gran artista,en
18,Hawaii e uma das música que agrada pra todos bom trabalho maluma baby ,pt
19,Amo,en
20,"This song has no age, no matter how many times you listen to it, it still feels fresh",en
21,"Ya te vi, YouTube no te lo recomendó, tú viniste a ver esta joyita #hawai ️",pt
22,Que música meus amigos! 🇧🇷 Tmj,pt
23,Amo,en
24,Eu amo essa quase todos os dias que tenho internet assisto,pt
25,"He has all the beauty in the voice, in the face in the heart, and in the soul in the mind and in morals everything i love him",en
26,"I like the way she mixes pop, rock, tango and a fast verse. She’s a genius",en
27,"yo cantando a todo pulmon.. PUEDE QUE NO TE HAGA FALTA NAA, APARENTEMENTE NAA , HAWAI DE VACACIONES, MIS FELICITCIONES..",pt
28,"hermoso, Maluma",pt
29,Me gusto,en
30,Excelente tema,pt
31,My favourite song ,en
32,Tremenda rolaa,pt
33,My favorite artist ever,en
34,"I don't know what the lyrics say since I don't speak Spanish, but I can tell what this song is about just by looking at the clip. Such a powerful music video!",en
35,"Esta música lembra a história de como acabou meu casamento, depois ela veio atrás e eu não quis.",pt
36,I love this song ...,en
37,Love you so much you are the best latin artist ever,en
38, cantar muito ,pt
39,Excellent music and production,en
40,Maluma!!!!!!! Hermoso,pt
41,Por que el amor no se compra com na’ 🇧🇷,pt
42,A lot truths at the lyrics and very nice rhythms ,en
43,Amor prohibido ️,pt
44,I like his singing voice.,en
45,Brasil ô musica boa ,pt
46,2023 still have this song on repeat lol,en
47,LO GORREARON Y QUE HIZO EL TIPO?? SACO UN HIT EXITO EN TODO EL MUNDO !! APLAUSOS,pt
48,"I love Spanish song, i don't even know the lyrics, but it made my day. Love from Indonesia 🇲🇨️",en
49,PARCERO MALUMA QUE HAWAI TODO EL MUNDO LA ESCHUCHE TEMAZO,pt
50,Amo,en
51,The best song in last summer ,en
52,"LA CANCION DE LA CUARENTENA
ALGUIEN MAS LA RECUERDA POR ESO JAJAJAJA",pt
53,Pesado!,pt
54,"Maybe I am old or something, but explain to me one thing - he is singing through the whole song how much he knows he is better for her, and he clearly wants her back, even showing up at her wedding, and when she is turning everything down for him he is like ''I can't my love''. Like, then what do you want, man?? xD And they are saying that women are not logical ahahah XD I like the song very much don't get me wrong :)",en
55,#maluma India 🇮🇳️ This songs Not Understand but LOve This S ,en
56,"WUUUAAAOOO QUE TEMA, PARA MI ES UN HIMNO NACIONAL, RITMO ESTILO  Y BUENA LETRA


OJALA, ME APOYES EN MI EMPRENDIMIENTO",pt
57,this song was so beautiful 🇧🇷,en
58,Mi mente a cada rato: HAWAI DE VACACIONESSS,pt
59,Goodness gracious I’m in love,en
60,EL TIEMPO LO CURA TODO,en
61,"This is the kind of music I wish I could still hear in clubs, 2022 who's still here??",en
62,Con esta rola si te mamaste maluma exito hasta siempre hermano,pt
63,"The only remix that did not disappoint anyone.  More music like this is needed in today's genre, who thinks the same?",en
64,The best song in 2020,en
65,te echo de menos maluma,pt
66,Miss you,en
67,The best,en
68,Papi Juanchotremendo Maluma!️,pt
69,Is there anyone who still loves this song?,en
70,"Maluma não tem como te abandonar, a não ser que seja escroto ou tenha chulé...",pt
71,I love this man,en
72,"Antes: maluma baby
Ahora: papi juancho
va madurando",pt
73,The best,en
74,FELICITACIONES  DE   ALVARO  CLEMENTE  PARA   EL  GRAN  MALUMA  POR  SU  CANCION,en
75,We still waiting your new era king,en
76,Maluma hawai e uma das musicas pregosos ,pt
77,wonderful thanks from france,en
78,Love this song ,en
79,So Fantastic Lyrics ️️. Amazing Music . So Incredible Voice Friend .,en
80,When she breaks your heart twice but on the third it's just for fun.,en
81,A mi no me gusta  A MI ME ENCANTAAAAA,pt
82,Hawaii This song is the boom one of my favorite by you. Latin flavor  Very  Nice.,en
83,ugghhh I really love this song <3,en
84,MÁS DE LO MISMO !!!  MALUMA T AMOOOO SALUDOS DESDE ESPAÑA  YO 🇧🇷,pt
85,"Antes: Maluma baby!
Ahora: Papi juancho.!
-Psdt: por qué tantos likes? Xd",pt
86,#maluma_official ️️️️ALICE ,en
