,comentario,liguagem
0,"My story in a song. 
“Circles Around This Town” single + video out now. https://mm.lnk.to/CATTAY",en
1,"this song tells her story of trying to make it in the music industry, she tried writing songs with  meaning, and finally 80's Mercedes and My Church were the songs that got her noticed!",en
2,I love this song so much and all of her other songs I’ve heard. Happy 33rd Birthday to Maren Morris! 4/10/2023,en
3,"She's got the voice, she's got the music, she's got the looks and,from what I heard on TYT she's got the balls too. Keep up the good work Maren. Love from Belgium.",en
4,I love her music. This reminds me of her first album so I’m happy ,en
5,her music always puts me at ease ,en
6,Great video and song.,en
7,I love all of marren Morris songs they all have a very great message . This is my first time hearing this song and it amazing,en
8,Great lyrics and awesome to hear your journey in song Maren! Rock on ,en
9,The vocals are amazing! Love this song ️,en
10,"There's something about her songs.
I subscribed immediately.
Great job Maren",en
11,"This is so beautiful.  I love Maren's songs.  So cleverly written, relatable, and real.",en
12,"We went and seen her last night in Cincinnati,Ohio! Best concert EVER! I didn't realize how much I really loved her and I'll Always Love You Maren! You are just so Amazing!!You are so AWESOME you're just a TALENTED ARTIST!! PERIOD",en
13,Hell yes baby girl!!  Love following you and your success. So glad your optimism helped you have the courage to give it a go. I’m starting my life over huge right now and this song truly resonates. Love the song!!,en
14,"Love it - love it - love it.   Dunno why, but the more music you put out, the more I just dig it.  Thank you for sharing this with us.",en
15,Love it Maren ️️ your albums save me!,en
16,She just gets it. This is AMAZING.,en
17,"Its got the music of ""my church"" the wordplay of ""rich"" and the soul of ""girl"" & ""the bones"" love this one Maren.",en
18,It's a beautiful song. I love all her music because it helps me think clearly. Especially when I'm having a bad day.,en
19,LOVE LOVE LOVE IT! Love your storytelling Maren ,en
20,I love this song. I can’t just play it one time. Great job!,en
21,"Killed it, Maren. As you always do ️",en
22,Maren you are amazing ..every song that you come out with is wonderful . Girl you slayed this one as well as all of the others. I'm very proud of you and I love this song  ️,en
23,Even being an old fart I will never lose the love for great songs new or old. I really love this song. I've always studied learned and loved the lines of favorite songs just so I can sing along right in step with meaning and much more. Even with the lyrics on screen in front of me I have to play it over and over and over and over and over again to memorize. Love every minute of that. I'm just an absolute sucker for such a beautiful voice with this song.,en
24,"sings like a angel, she has always, brings it in her own way",en
25,I love you dear Maren. Thank you for the song. You are outstanding.,en
26,Amazing song! Cannot wait to hear more from you. Keep on doing what you do best ,en
27," I love your songs!! 
Keep ‘em coming!",en
28,Maren never fails to deliver quality music. What a song. Can’t wait for the new album which hopefully isn’t too far away. ,en
29,So much talent ! Great singer,en
30,"LOVE LOVE LOVE IT MAREN!!! The song, the meaning behind it, and the video to match are just: ️‍ I'm so excited for your new music!!!",en
31,Thank you thank you !! Your music speaks to me  I love it ,en
32,She is truly a gem! I listened to all her music! She’s as talented as al the great female singers!,en
33,"Hi Maren, your band and your whole team, I just had to say a Huge Congratulations on your ACM nomination for Female Artist of the Year, YAY!!  I'm so proud of you and so excited  Sending lots of love to all of you and your families from Melbourne, Australia",en
34,What  a voice!!!!,en
35,Love this song!!,en
36,Such a great one love ya maren,en
37,Your voice... what a gifted person! ,en
38,Awesome song!  Great seeing her on the July 4th special! ️🇺🇸,en
39,Amazing Job Maren! Wow has to be my favorite you’ve released keep up the good work  hopefully one day we can do a feature on an album together !,en
40,"Circles around this town, Nervous and Background music are my favorite in the ""Home Quest"" Album. All the songs are good but this Three hits me most! You go girl I'd listen to you forever ️🇵🇭",en
41,such a beautiful song. so glad you’ve always got that pedal down ,en
42,"Hi Maren and your band, Huge Congratulations on your Grammy nominations for Best Country Solo Performance along with a Huge Congratulations to you, Ryan, Julia Michaels and Jimmy Robbins for Best Country Song for this amazing song  I'm so happy for all of you  Sending lots of love to you, Ryan and Hayes from Melbourne, Australia",en
43,Maren is Absolutely Incredible️ How can you NOT LOVE her ️️,en
44,I M In Love With Your Charisma and Style.,en
45,This song shows her range better than the other songs she sangs.,en
46,What an artist ,en
47,This song is amazing.. Ready for the new Maren Morris era,en
48,"Things have been tough lately,
Wars and terrorism.
Thank your for your music. 
It helps me find some calm during this time.",en
49,"Love you and all your music Maren
-someone who believes in you ",en
50,This song grew on me... LOVE IT ,en
51,Great song! Great voice! ,en
52,I've had this on repeat since it came out lol,en
53,"Wow, can a song really be this good? ",en
54,This is a really nice song to drive and jam to,en
55,I'm liking how we are seeing more strong female country artists.,en
56,Love this song,en
57,"Maren is such a genius artist , she knows exactly what she's doing.",en
58,Awesome! Love the song and the beat...and video too!,en
59,"I have loved all Maren Morris albums Live wire, walk on, hero, girl. And I am so excited for the next one!! You are my favorite singer️️",en
60,Maravilhosa demais .,pt
61,"Maren absolutely did the damn thing ONCE AGAIN, she killed it..I think Bailey Bryan, Rachel Reinert, MAREN and Mickey Guyton are my favorite MODERN country singers",en
62,I really like this song and what she is s singing about I can relate to this song so yeah I like it,en
